,thscode,ths_fund_scale_fund,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Mean
236,539002.OF,54992073.74,52478020.52,54339136.38,47507874.23,50746830.86,40117206.43,37994454.69,38751917.42,25497319.19,25648018.0,22968346.4,22030917.76,17627520.16,16962785.63,16256238.52,15179665.82,14328030.85,15508366.87,13913670.68,20950874.35,62398800.49,51212142.34,49816435.92,33357680.31521739
237,540001.OF,137803888.9,134906116.36,136802972.83,1883780322.39,1139822176.64,794189430.32,337790328.74,240240769.63,234616672.37,229345166.21,186609348.69,156858911.2,137564639.77,131263235.6,133413990.78,133723708.27,176763044.49,230189166.7,276667007.0,270717356.55,300843814.55,301013429.18,294048368.94,347781472.43956524
238,550001.OF,1330615114.63,1063762797.61,948124523.28,831313074.12,880202057.0,715667880.23,717387487.44,702569062.72,625488022.28,725764304.02,691428083.44,710709601.02,623321088.4,690052821.29,621428000.64,654927246.15,500095790.53,537023997.16,479366347.11,464883346.75,475714222.88,442409574.62,441792372.07,690175948.4952174
239,550002.OF,2525481994.94,2222839539.77,2399865822.22,1818387591.61,2189450037.04,2078789620.43,2690434936.14,1930706529.31,1388366112.13,1405974393.39,1308666504.98,1982585053.35,1576592408.97,1899648339.52,2021737707.9,2594212940.21,2209183733.15,2127859263.54,2069474232.0,1869178290.25,1918868241.84,1656797445.09,1311991078.72,1965090948.543478
240,550003.OF,1392337161.75,1065772406.89,778980459.97,742448802.01,950613033.38,2741967316.96,2266432181.87,1577061993.05,1066546306.59,1783181492.64,1185805876.21,1129256123.67,793124525.94,1018752116.63,803797588.73,604197356.66,481094849.94,335788785.23,293832291.93,198900750.25,204998391.56,196499743.63,168157709.27,946936837.598261
241,550008.OF,2422044670.0,1924112010.42,1758022629.09,1568699252.56,1985457952.63,1860329611.13,1832970243.15,2204004899.36,2292639685.18,2544780498.13,2632243723.17,3089955406.31,3037817605.4,3486706114.08,3645756349.55,3509175426.45,2724221565.01,3113759644.74,2779605472.83,2702019519.37,2856826257.23,2782003831.98,2220074266.39,2564053331.9200006
242,570001.OF,974280301.61,1058455509.15,914289629.44,792823755.93,1090778240.14,1581728915.26,1409198222.82,1097074078.7,1116949255.05,1546615174.71,2413078187.87,3559001771.19,5438330439.9,6551391195.32,5039949453.51,5175757692.46,4023909212.84,4591491635.34,4275184200.53,4142694290.6,3742318260.59,2994819465.57,2679871449.65,2878695232.0947824
243,570005.OF,1033840545.08,2357203166.97,2312082797.14,1894736233.42,1901009429.85,1902309064.59,1673584683.17,1653675595.78,748822423.47,895594689.52,1041925717.84,1200277582.97,985063097.28,960003118.61,565513985.18,489427215.12,430120857.07,465414305.48,395209828.59,1033385156.94,1013806297.75,897932140.97,594707877.89,1149810687.4208694
244,570008.OF,95879179.23,85842684.69,127719193.3,195675530.24,119799736.28,103864930.73,218855901.77,156187710.78,180487239.44,248748509.54,672163330.75,1188857513.86,1690552003.85,1822278686.26,1346001557.02,1366425073.4,1117883337.62,1719926870.78,1695443671.85,1992129542.07,1665705135.55,1301453277.22,1275628337.19,886413432.7573912
245,571002.OF,30424141.0,30821274.13,27523539.75,23308535.08,21453359.43,35568205.25,34639423.56,31638139.58,14973824.04,166592242.6,96954628.19,74188483.05,72703620.99,78992883.8,71025451.0,81132456.03,66985681.79,74213100.55,62945660.48,63901551.29,65503450.52,58190910.53,59271428.69,58389217.01434782
246,580005.OF,261519980.09,155872379.81,145661268.42,137503893.62,163786325.56,161246783.58,192923124.65,205578517.51,200860209.84,213016076.04,243313638.01,286621351.08,163381597.76,112149633.28,100850463.7,103099861.66,92259223.85,100222796.9,52877970.85,52125890.06,53675606.41,49586103.28,46693698.23,143253321.48652172
247,590005.OF,1108212362.27,924076586.61,865250958.3,742062843.26,944837108.92,871505562.18,883532318.7,895199992.52,840966217.36,1021018285.8,897329917.93,876901808.56,729572543.81,841988815.09,829513824.12,691531198.1,685548718.23,687871767.14,568714556.34,551408988.79,423520361.46,505577697.46,392692120.82,772992806.685652
248,610004.OF,80124509.51,77073296.25,71695618.03,67266132.59,87170680.51,80302076.07,88665820.65,90428328.53,78886060.19,95306785.92,94424837.74,119673999.09,98432584.26,121703117.36,1010847402.97,1476289705.02,970963227.66,791926730.53,535048096.49,459916308.61,422450492.14,364614099.72,298353688.08,329633199.90956515
249,610005.OF,55693823.75,47983796.54,42637502.23,37709532.2,50848290.77,48274167.16,52610259.3,51703947.25,44102170.91,54231911.49,64867701.95,372146488.09,738260269.11,1100296868.44,622759939.35,578685125.17,434334820.06,496457721.03,493942479.62,405072439.99,384693091.41,335466771.92,313438170.21,296792055.9978261
250,610006.OF,136133467.49,119106708.33,104319070.8,89768300.2,111289463.1,104973630.0,108123663.74,102843991.91,67446005.69,77308557.47,79717983.13,124599154.12,171953411.46,186864365.38,844596530.05,799353454.8,565823453.21,540801495.19,448141168.75,400942030.81,366814416.3,332156138.46,271451860.67,267588187.87217394
251,620006.OF,14937516.88,13771621.24,12102865.8,10284374.78,12848016.73,12281263.68,11989260.02,12131281.39,77514148.99,87663650.89,159348925.22,187367206.57,188209731.92,195979814.25,181054928.86,186983879.3,168610023.95,176044273.31,156999621.81,163653928.07,161259495.39,155837973.85,161016583.94,109038712.47130433
252,620007.OF,10964075.88,9535818.55,8984118.49,8427137.94,9765103.22,8882429.34,8777787.89,8153749.06,7111407.63,8294111.26,7267291.88,8222173.81,7351769.33,8458433.21,6181703.0,6488149.91,5809530.24,5870758.52,5473492.48,6026246.09,18379436.26,62683384.9,642210665.95,38231251.08
253,630002.OF,2881480715.94,2786580028.66,2642072143.51,2353421973.18,2804608399.81,2895587587.2,3115925193.87,3295018009.51,2429124983.81,2330896463.14,2179759128.25,2393144057.54,2196758023.74,2283982712.15,2482696918.42,2390742004.79,2262068612.43,2306495622.65,2174468547.14,2351103183.52,3497933560.14,4671263424.73,4366514081.17,2743115016.317391
254,630005.OF,1373489741.75,1029434493.16,908217145.57,646521073.39,1325804973.69,1050189452.45,936644969.17,590731042.2,560104633.63,634743068.47,596248608.03,604890146.96,455258989.2,516691009.11,471620064.61,479726039.61,382657836.89,385747098.48,354263351.6,335573715.89,350663181.53,327768127.98,295183999.85,635311859.2704347
255,630006.OF,251443123.83,207231126.18,187441541.12,162866754.22,193061106.65,172526086.77,171276179.22,169500257.78,136106767.93,161331636.05,138842680.12,147892780.31,110387109.73,141182273.32,119744977.79,116733926.65,97833081.12,98120767.84,85249670.84,85629541.46,88806216.25,85818015.04,74020714.87,139262884.13434783
256,630010.OF,1121430572.01,899704619.68,854410614.85,740165122.35,897574393.44,840095433.75,864874917.19,874837076.19,728969220.99,889164576.63,741550837.97,787337107.74,584114922.1,743853076.98,626229015.74,600351324.84,493422556.3,490229947.24,429534130.15,436804313.2,456050559.84,440302566.75,375754604.56,692033109.1517391
257,630016.OF,688419615.23,484361211.1,381841760.16,299802713.35,346831302.99,327736418.77,349824924.99,261467135.92,233208256.49,220053337.66,179096169.85,208158663.29,171021083.61,206968610.47,192427003.96,184585039.06,144460936.79,153978502.3,128748693.63,113552320.97,113565512.78,105908987.96,90341021.66,242885183.60826087
258,660003.OF,369968889.31,350492510.25,329670563.33,300257063.57,366450280.22,340323601.54,353723283.08,362283764.0,336001048.55,405788790.69,417990441.45,464255620.52,404060688.25,437253510.45,455978529.67,471387689.99,374774256.86,402653383.94,374289160.78,371416367.08,367773858.76,336014527.16,306943044.42,378250037.99434775
259,660004.OF,372496472.29,350202210.66,327232282.42,312985981.33,379082389.11,334458705.7,360480317.58,371873104.24,347829295.98,434662317.94,463141339.31,520355823.49,466168598.85,512324252.1,584341006.23,684218210.64,593628460.41,643491585.12,538735493.73,536818135.62,594642263.82,548502602.08,500419027.47,468612603.3095652
260,660006.OF,268888609.24,237727122.0,224296338.72,207607845.35,247053501.88,230193058.22,227159426.4,230501212.5,197202680.18,210648773.16,204499752.81,212276039.79,188332845.11,201744186.4,186576292.56,174506381.88,145692356.09,149358748.94,127412916.35,128607055.98,131258358.97,121104176.69,116068700.17,189944190.40826085
261,660010.OF,1189153704.05,1394928497.77,1563958128.17,1571542123.04,2335220195.16,2033096094.69,1689476093.09,1785296130.69,2024779373.43,2622736071.08,4492478155.7,4554042600.13,5234059746.57,5109878113.32,4176089188.71,3988966590.2,3148583486.6,3612283457.42,3255230551.28,3003397925.26,2944632478.59,2660974657.99,2410258370.06,2904393988.391304
262,660012.OF,940638212.23,810919127.27,750628723.82,673734873.45,820322225.16,757076311.68,790662978.42,789252677.57,681618522.35,803779028.3,839619355.93,1278750268.12,1243668693.92,1162634596.48,806011464.84,813532525.51,636024527.45,711589320.73,630620095.92,613866383.85,648203478.77,565018231.16,549098006.29,796403027.3573914
263,673071.OF,161706714.72,18425647.96,18255579.81,17538521.03,18879636.53,29123714.95,33578820.76,15466825.86,16137233.81,18330469.61,37499901.17,86846799.59,75302585.1,114048012.55,81716215.16,106281425.42,82924086.4,49736640.99,48062759.74,18935223.82,18551945.66,13818509.92,11620646.28,47512518.123478256
264,673120.OF,143737903.79,81474465.11,81146470.5,77925957.38,88856338.59,86735267.43,311579406.62,168028888.33,112915095.56,154841531.38,188007967.14,184837221.31,126722010.47,34915601.22,6014396.32,3221487.0,2421734.96,2972469.36,3761119.69,5896311.8,7909427.56,5637590.28,95390393.23,85867350.21869566
265,688888.OF,600560366.67,312294770.82,280695162.1,253308402.91,297495926.72,281994761.44,246406605.32,292253147.59,174422155.76,210819801.45,331786254.89,570151766.45,488417753.5,453271919.22,516196457.07,418114143.17,574873720.02,731066314.67,815062241.51,918102277.86,1119619460.31,776344955.01,816592969.4,499123971.0373913
266,690004.OF,70655304.59,85934442.39,74332748.66,62780211.47,69801379.83,65033456.98,63491022.19,59758642.68,50849416.18,60822859.09,241123744.2,327691876.75,267346218.27,165210627.63,138184256.97,156288449.86,123282496.29,136609553.7,111510585.37,109465248.81,104445909.36,100622933.09,86720662.06,118780958.54
267,690005.OF,209335945.79,200791244.43,180551828.91,150497076.09,216265432.86,284942306.67,441251164.8,485195300.26,500011947.4,638665145.18,884893153.05,1107948568.08,898506673.0,558192666.6,440935908.58,475151984.76,451627830.31,429579863.81,350427400.37,268658518.4,246024748.11,233814934.16,211491116.09,428902641.6395653
268,690007.OF,1219204886.47,1527408158.02,1651150227.14,1326169118.23,1300209738.38,1500443921.23,1449467086.23,1661318158.08,1445815628.21,1671055347.9,1949565855.7,2468106938.81,2344274650.36,2608234782.8,2373143252.25,2294354133.13,1845945499.84,2095215939.51,1821694672.12,1529823033.18,1459661765.72,1281619876.59,1216293722.68,1740877234.46
269,690009.OF,108983190.1,103103711.04,96989165.47,84953896.32,92690123.72,89836239.92,85444141.58,86722618.35,72169557.16,80488764.65,244618932.89,306669417.63,273167591.97,251475275.65,238449868.58,198013938.61,130114071.5,112683249.19,95278414.82,81253553.57,77390316.25,67630294.72,63405541.55,132240516.31478263
270,700001.OF,262937631.06,244477453.41,222853307.57,199942079.48,244770203.94,225317015.95,215264764.21,220923747.61,201259565.9,222177570.83,240067982.67,261026530.36,256335290.52,295873273.66,278386569.8,260492204.48,231919836.66,216054659.65,181521874.73,177255358.96,180691564.76,166376996.96,151222468.09,224223823.9678261
271,700003.OF,88798094.62,72744078.86,64513126.34,58765524.75,78730031.57,75252828.79,76989758.21,86262633.22,99778037.24,110535786.88,94643114.56,98070162.24,77164069.74,121984720.35,657691797.94,2567682997.82,2654965333.4,2973083449.88,3856458065.5,4249005191.8,3355040903.99,3290734548.05,2396910674.11,1182861083.9069564
272,720001.OF,967102338.75,702009740.41,605114711.19,606179746.33,942852542.29,868130602.32,1717924248.39,3024658332.4,2352315450.37,2894191435.89,2318379119.84,2323171367.11,1963831790.64,1934024359.42,2485022574.03,2895873859.98,3888782565.21,4583551606.32,3834668156.7,3634040497.77,3187477736.25,2367518768.43,1772525594.1,2255189006.2669563
273,730002.OF,106265723.19,18799860.46,17828857.53,8675394.84,5758093.2,104301953.65,112157274.92,81197185.02,78750801.91,87897914.72,165467996.41,213677116.24,228710818.97,242228737.73,228629461.84,248559095.36,218911403.63,232040657.81,203308853.74,209521127.06,203000407.94,196861182.62,41741716.38,141490940.6595652
274,750001.OF,109843479.74,103076021.45,83307351.67,68138111.67,82653955.0,86825932.83,182105948.9,169028923.75,140389154.63,159658168.91,230820775.73,520491277.23,1123478761.54,2376229272.82,4239043509.01,4026193630.91,4518924657.26,4055709570.63,3751881525.14,2490288815.83,2466511627.96,2164293693.82,2088302789.56,1532052041.5647826
275,900011.OF,,,,,,,,1012707443.6,683365882.47,692024241.77,663544107.42,633133301.91,544578935.17,559487987.46,446038739.64,446088822.86,353271432.27,353788917.56,304728086.13,269271656.74,264529053.02,240773187.93,220711993.77,480502736.8575001
276,900099.OF,,,,,,,,4743668564.41,5176477818.72,7106821121.84,12153667746.47,14104487116.12,13004592791.31,13553708063.16,10013876990.77,8390066397.33,6337353176.78,6324302460.72,5318736017.05,4827231652.85,4689864571.04,4136500489.2,3777199947.67,7728659682.84
277,960001.OF,3953477.12,3449021.17,2829850.12,2509957.59,2599851.37,1974926.38,1897097.35,2026693.16,2021321.49,2235801.66,1528327.65,1678002.16,1133118.49,1096253.75,1050009.22,1173320.04,956208.37,1035646.82,905816.84,1001376.86,1063790.69,1191785.47,1208081.41,1761727.6165217392
278,960004.OF,,,,,,,,,,,,,,,,,,,,,,,,
279,960005.OF,532800.81,507783.69,472982.59,419005.38,256736.0,261101.99,304121.47,291172.66,392816.26,445955.92,327875.6,356372.06,255324.76,259308.66,833788.67,667345.03,947710.42,976862.09,1831325.86,1734593.42,1774784.9,1890485.4,1961690.79,769649.757826087
280,960007.OF,20119039.52,22390332.34,17669608.01,15669639.18,26382280.8,22598360.14,14675502.85,17339545.18,45311873.51,54464129.04,108540351.96,96121610.16,158885679.33,209589578.86,183390771.35,231484993.44,214596932.16,234314527.35,187937600.91,168180654.94,160667561.12,166043003.51,132093324.69,109063778.27608696
281,960008.OF,103389826.68,107351421.99,99428918.06,79689688.79,102041454.43,74710945.61,61309620.86,57192261.68,42836633.22,41632504.99,53100751.87,48486414.61,45715745.64,45100552.43,42118740.22,43188851.98,36192539.69,40933310.92,33465510.72,32764972.84,34449268.75,26274735.14,24524669.36,55473884.368695654
282,960009.OF,,,,,,,,,,,,,,,,,,,,,,,,
283,960010.OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,960013.OF,,,,,,,,,,,,,,,,,,,,,,,,
285,960014.OF,,,,,,,,,,,,,,,,,,,,,,,,
286,960015.OF,,,,,,,,,,,,,,,,,,,,,,,,
287,960016.OF,1167646.84,1153928.05,1046650.85,920415.41,772287.49,715962.35,789929.94,883221.0,240885.33,11321340.76,12934418.64,13018586.22,20247736.15,21477607.73,20507457.99,20960962.21,16136420.77,17454663.71,16354732.9,17260908.57,15846159.15,14515144.4,13741675.83,10411684.447391307
288,960018.OF,2342705.22,2041968.25,1899140.76,1734776.24,2146834.69,2083197.61,1734410.13,1749228.97,5733135.72,7395872.68,12931767.37,47077575.32,80168990.43,87078277.68,60279160.34,62399551.95,46057826.83,53232836.13,49471476.71,47194945.78,47745158.75,51242135.33,46136761.24,31299031.91869566
289,960019.OF,,,,,,,,,,,,,,,,,,,,,,,,
290,960020.OF,269424.3,303469.72,143543.3,132481.37,166591.93,169763.65,131496.99,4977725.69,7873793.8,11512567.51,16714040.42,15390158.4,15311705.8,18572381.68,12050599.0,10994314.19,7688771.31,8961126.16,7784080.96,7383266.15,7564532.92,6498828.98,5961134.75,7241556.4773913035
291,960021.OF,28969.1,26795.46,26385.34,134839.54,2241969.88,2269735.17,2566782.35,2770493.61,365760.52,585954.01,4564895.97,7463179.19,7349737.58,5891780.27,4954199.07,5019631.76,4295064.92,4171085.41,3186074.28,4034458.34,4685916.12,4335182.41,4241666.44,3270024.2060869564
292,960023.OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,960024.OF,978728.46,877428.55,804431.82,724434.34,895957.27,18108.9,18218.33,17572.33,111950.75,558365.72,1028683.16,2807880.07,2928553.16,3820566.88,1812564.43,1486129.14,1254198.79,1577310.31,1195803.15,177611.72,170971.15,152293.32,144278.91,1024436.5504347823
294,960026.OF,1047.99,956.66,839.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.65217391304348
295,960028.OF,1941456.44,1131281.42,1082878.74,972642.8,1248073.35,399929.72,332323.36,380446.62,310565.39,365873.95,711489.91,1115162.73,1721656.39,1699888.49,1148385.11,1036956.99,852134.15,920952.34,800068.59,942522.56,1196300.71,1073046.85,991632.17,972855.1643478263
296,960033.OF,,93644046.07,86625795.69,51578895.92,32057622.7,71329.1,80145.02,85589.84,91156.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12010662.759545455
297,H000172.OF,,,,,,,,,,,,,,,,,,,,,,,,
298,160133.SZ,594427527.16,665336961.44,769797149.24,716660869.11,889485467.96,651675588.14,688612414.87,2215005001.01,2506962704.12,2469632650.39,3026210265.02,3177910025.32,2769166799.23,2984334703.58,1944688982.03,1821840262.88,1449922199.49,1562662610.6,1334760946.91,1294917575.9,1295183436.03,1221780588.27,1125856587.55,1616383970.2717392
299,160322.SZ,479635431.0,393360069.7,311449467.04,265634076.43,277799019.09,232599815.48,155637992.07,144184000.86,96877967.33,106232491.31,92261246.49,110530322.69,3704675332.39,3787192563.17,3034757940.58,1898941740.13,1415747187.57,1708963451.74,1341501996.69,1381897057.38,960331956.11,351147811.4,257707381.64,978655057.3169565
300,000041.OF,4778994500.46,4663500609.66,4714254039.08,3923692096.54,4184832360.8,3992222932.07,3826173394.65,3891740675.56,3161263312.01,3701961804.54,3433348502.89,3589203080.55,3042566839.43,2987528715.35,2605328237.42,2635244055.75,2270848119.47,1972298610.81,1851478365.61,1844337816.29,1817336757.87,1896417760.52,1831344450.9,3157213784.2708693
301,000043.OF,122239307.27,162843385.78,776244098.91,473248826.73,487436763.48,462563665.01,452472040.97,530314760.53,682072215.74,886985075.85,1075600731.24,988053266.39,941141414.57,990625899.01,1074108746.84,1652264609.89,1373799663.41,1161808682.05,1158606413.81,1185382062.47,1194971575.63,1265482943.58,1264705615.37,885346598.4578259
302,000044.OF,41673440.71,45233387.75,59750786.33,42912619.77,46109728.61,47285879.11,48888258.88,51986247.24,43684428.61,55297544.46,55474630.3,58716221.41,70009576.72,82324594.21,99032917.59,101112998.99,90441796.37,79556885.12,82120952.68,83685753.71,91729347.64,106561716.05,99695746.32,68838498.19913043
303,000082.OF,403430604.32,341124243.54,448863842.35,471661353.11,559558448.91,1043960292.19,936655135.81,592650132.63,468586313.05,391305977.79,491546715.15,552708022.37,348156670.23,573650849.71,633254050.37,750557752.47,638528010.97,726130668.85,617881287.08,649824278.57,678795030.91,649193500.46,612531933.3,590458918.006087
304,000309.OF,516402920.38,407545447.28,403835398.2,372162108.96,465869069.47,428922179.21,391956258.26,407550157.06,340704904.92,369969557.1,306362670.06,321371626.25,261578206.36,312102903.33,339606455.52,388137632.75,436094012.54,329340335.92,342073950.8,333675573.01,321523538.82,326849360.86,244896657.24,363849170.6217391
305,000326.OF,1597375782.77,1511612573.2,1477971842.85,203337463.79,204004717.87,186215766.26,172840611.72,184242768.26,138265685.12,164603026.73,217999257.46,225792372.42,200193917.1,232614670.68,258460921.67,295743401.18,263310864.33,336700004.05,402082201.55,547644006.74,1277243311.63,866152676.63,607640716.69,503132546.11739135
306,000409.OF,290650679.7,262511498.15,248235538.06,238855099.79,267326447.49,228686128.31,234419986.7,239867626.32,228569977.9,305520826.92,509560654.89,1146707650.44,1386542366.93,1712166194.19,3604003710.44,3981710078.58,3205254660.94,3675259315.75,3328110689.91,3214353424.7,2954693112.61,2648878931.92,1857831073.98,1555205029.3313046
307,000457.OF,6882395247.29,5370750711.99,4322344716.18,3575021125.24,4591656342.83,3959477602.44,3491233716.96,3389046202.19,2291100011.72,2335646733.44,1873609391.21,1648610653.91,1706777974.16,1669769578.97,1411122501.7,1468625309.89,1284024716.59,1395547410.26,960574174.58,954081451.13,1018747278.59,896948658.8,789792502.06,2490734957.0491304
308,000471.OF,1284673077.67,988233407.81,895139193.69,785604999.56,944111039.08,968748701.66,1000101839.15,1035474473.25,843919009.98,939785318.39,870819756.06,844234133.29,713757012.9,687839602.92,620459384.89,786510369.6,1035221351.55,1093291072.04,988763214.49,1031607134.29,1111098944.06,967820995.87,908950550.4,928094112.2869567
309,000513.OF,751384674.64,649272447.82,584848933.06,498007990.61,662664016.84,661319074.44,690627704.6,853330343.71,973987845.25,1190774162.04,1536506027.07,1730849728.81,1600966520.26,2000019949.42,1592605311.92,1560870877.12,925245453.7,878337128.79,701092945.59,685812789.84,739739311.55,788145801.9,737340787.65,999728253.3317393
310,000524.OF,268124034.41,224460386.16,199892433.47,180978702.71,219621280.59,194242656.23,204683774.99,205747020.82,192239338.05,236792930.36,230602560.67,250031518.4,207995245.0,230624905.04,212096086.08,207488517.51,156937845.15,163602764.01,145560497.94,131713089.34,138482652.2,137797789.65,116612067.59,193753395.49434787
311,000549.OF,196473379.05,172254495.65,158429815.97,137782344.99,188160378.49,167068956.72,178567182.78,191394228.08,169837191.02,184435082.31,150661796.22,149598732.53,114249901.07,126234680.58,111478918.35,112662097.62,91264271.82,96160720.23,71848721.08,71621624.44,77261446.71,74414822.49,64624340.45,132890657.76739131
312,000577.OF,5910521223.88,5518128930.96,4571572712.85,4003132525.01,4346368292.86,3792007599.23,3475285134.1,4042028851.28,3101409339.43,3113224126.78,3693892419.44,3856818411.98,3514664704.19,3532636191.83,2757256595.01,2833824397.31,2518418656.81,2735418916.84,2281321464.56,2239057817.24,2183378487.3,1978540620.07,2026917823.5,3392427184.454783
313,000592.OF,199674824.79,169551431.17,157229558.29,132340001.02,165712250.67,156300493.37,174051283.24,173236792.27,143884769.78,162252442.26,155994661.56,747112461.96,568264159.99,590424359.21,669966279.88,1019405324.26,909428215.0,1194839017.06,1173084535.76,1031988462.59,963079460.06,803782170.95,586176708.83,523816507.1291305
314,000628.OF,318549742.07,287032265.19,414587889.39,432363984.21,546732015.2,628721121.08,753359683.34,770108946.71,808616429.42,977271052.97,1497848103.88,2074401357.69,2014269774.9,2194813619.06,2527335596.24,4561607285.4,4738067772.51,4735928894.64,4310485322.76,4616587197.83,5069662753.59,5669009495.38,6139693452.79,2438567554.619565
315,000746.OF,432388417.68,386216002.48,365330327.26,335087078.2,464963363.79,442328946.86,500088530.2,542546406.41,999904739.5,1116351858.94,3887947289.97,4225971980.05,5252917299.94,4554394147.4,3497075404.84,3164199323.01,2652207910.95,2797443233.26,2344194134.01,2442024189.2,2575387576.52,2307483404.21,2238000195.86,2066280511.3278258
316,000751.OF,809219966.15,787352444.22,760244661.69,546966475.53,662437512.26,699365038.8,1276445410.98,2279740970.22,5135885878.42,9300331692.48,13961166708.37,14702752484.48,12466637262.42,13889334425.06,11134112844.46,10661215853.47,8104125701.57,8874785477.05,7618297292.84,8133236754.89,8591995544.75,7646701066.7,6719297593.53,6728767350.449565
317,000761.OF,54382053.16,28242613.2,9709503.08,8593711.95,10138959.77,408673221.91,418364784.24,451838845.68,423369260.47,539425653.41,627654865.41,730044868.0,752684460.15,104975371.78,10514859.52,10093957.61,8176979.71,8767180.63,13778601.88,10730508.45,21569418.57,15411340.37,13972467.88,203526673.3404348
318,000778.OF,1307093619.73,1118894887.36,557799616.75,339586780.79,374826839.8,367775636.48,194272464.43,184233098.17,176436026.37,238510530.16,280549045.15,474815599.35,733655000.25,621895352.05,358701181.78,360776513.82,346204499.29,411449168.92,333691611.0,390587865.76,354899760.05,222255097.8,232746592.48,433985077.727826
319,000780.OF,1307700362.19,1270880653.27,1113616584.09,926918042.14,1155599022.13,1133228881.8,1199326177.47,1214455285.68,1164522481.54,1497212092.32,1205971652.91,1162933317.1,1041357269.15,1150642673.06,1050016148.44,941220294.51,766718886.04,745262946.58,659906808.13,712981804.26,731785305.07,730482876.75,636949170.79,1022595162.4095653
320,000803.OF,82210158.97,55377602.81,55236584.28,49211373.55,56235633.6,53493276.36,55731032.24,65256414.65,70717040.09,88992939.2,69876026.67,103835938.33,98346323.69,118994767.32,133498699.17,169619988.51,219796638.17,235945363.2,168803434.15,245665554.65,252183257.97,165781067.17,155852524.03,120463549.51217392
321,000828.OF,78231130.84,65847715.69,57607997.46,51994485.21,72770731.43,69446737.98,77537970.18,85338876.81,176370891.43,145544791.66,119941233.53,294633940.19,316862709.71,1554179256.48,4178632572.46,5679251198.16,4818516996.74,5316124012.21,5023464400.25,4815825712.21,4565693520.45,4264576857.51,3456789547.72,1968921012.4482608
322,000831.OF,4073770176.47,3869069661.83,3292251771.72,2722400235.18,3445762985.82,3010318569.46,3212395975.66,3238373796.99,3533019078.41,5180848499.47,4455902119.37,4222070146.83,3833432904.81,4700727990.12,5339011116.18,4964980613.75,4403858384.11,4702403329.43,4168588504.42,5046582692.48,5308314919.78,4632771547.98,4221434572.63,4155577808.386956
323,000866.OF,458048640.85,421467375.2,381857018.08,333972650.76,404356369.25,350174945.5,347290918.78,371604980.68,303466773.75,343731250.2,322466978.41,309896230.73,227280374.57,220965969.44,249858110.71,276298678.21,224844871.68,234296627.83,229757698.52,348376992.25,403473709.06,469073918.06,240866024.41,324931613.3447827
324,000893.OF,884640320.89,746644584.73,675481366.43,584189234.08,664209934.06,635827685.36,656614650.44,673972589.93,576053459.46,569260841.86,593116652.83,612565501.2,602793387.18,574012741.27,584858960.54,695285225.46,1106607729.94,1082799055.65,1191759473.13,1558091410.12,2955507994.17,5806669102.37,7457199670.5,1369050503.1130433
325,000925.OF,3773713210.54,3276301420.43,2834132090.04,2387673980.49,2847032169.5,2723003426.08,2570444333.21,2563954548.47,2165110042.88,2884168715.14,3200988709.37,3050133670.61,2460378712.33,2433447962.97,2084900245.08,2048756569.05,1974989157.87,2093860567.53,2052096444.14,1667833555.45,1667699178.17,1631274341.3,1606420730.8,2434709294.8456526
326,000955.OF,1320227477.1,1137099856.89,1042734824.64,905534171.01,1038601105.46,998415757.81,1131320229.63,1129202959.41,898592379.08,980547227.87,851057887.34,852995889.97,562668296.48,588101939.92,460624046.4,460796677.23,376614804.2,406546703.87,358668873.57,370547022.8,366043932.23,343685897.88,319244359.59,734777057.4078262
327,000960.OF,727944333.51,822516702.91,886761981.39,760221140.02,988720070.53,971261756.06,851005859.23,914018928.06,1108974021.77,2240160132.99,2789979811.97,3225800717.9,3576920802.19,3922562097.2,3691945251.41,3468921583.72,3170807616.83,3348267799.05,2732120387.63,2916747222.75,2636362540.64,2179289058.26,2027606859.31,2172126811.9708695
328,000971.OF,376175777.35,310073084.14,269525044.71,238770889.61,266516548.46,623202047.45,802126199.46,827931250.15,2216730546.91,2059177209.27,1392725150.57,1353728674.72,1523351641.97,1641984134.58,1635238090.69,1542582334.73,1302057819.02,1506008318.69,1481162968.07,1484817179.25,1707789282.54,1468198678.68,1318969937.25,1189080122.0986958
329,000978.OF,4003122364.25,3541076566.33,3382025561.96,3246555926.67,4016527339.71,3392998698.94,3165724617.0,2151481769.93,1351452993.25,1052231306.57,654466268.71,579410437.58,608867735.7,783185574.48,1296297129.22,850554415.0,729953849.31,799738592.18,713794221.42,744147358.78,741058339.26,631252127.49,616505510.53,1697931682.7943478
