,thscode,ths_ths_bond_first_type_bond
0,090801.IB,金融债
1,090204.IB,金融债
2,010107.SH,国债
3,010303.SH,国债
4,058021.IB,企业债
5,078042.IB,企业债
6,111050.SZ,企业债
7,122015.SH,公司债
8,0980140.IB,政府支持机构债
9,0980146.IB,企业债
10,0980182.IB,企业债
11,100302.IB,金融债
12,100222.IB,金融债
13,1082151.IB,中期票据
14,100411.SZ,国债
15,110207.IB,金融债
16,122835.SH,企业债
17,1182082.IB,中期票据
18,1116001.IB,金融债
19,122072.SH,公司债
20,122749.SH,企业债
21,122748.SH,企业债
22,120206.SH,企业债
23,122723.SH,企业债
24,1280102.IB,企业债
25,120221.IB,金融债
26,120224.IB,金融债
27,1282176.IB,中期票据
28,120226.IB,金融债
29,1282205.IB,中期票据
30,120411.IB,金融债
31,120412.IB,金融债
32,1282253.IB,中期票据
33,120416.IB,金融债
34,1280250.IB,企业债
35,122514.SH,企业债
36,112123.SZ,公司债
37,122203.SH,公司债
38,124302.SH,企业债
39,1382011.IB,中期票据
40,130208.IB,金融债
41,130209.IB,金融债
42,1380017.IB,企业债
43,124153.SH,企业债
44,124201.SH,企业债
45,1380060.IB,企业债
46,1380102.IB,企业债
47,1382138.IB,中期票据
48,122244.SH,公司债
49,1320015.IB,金融债
50,1382312.IB,中期票据
51,101353003.IB,中期票据
52,124337.SH,企业债
53,101353010.IB,中期票据
54,1380279.IB,企业债
55,112196.SZ,公司债
56,1380363.IB,企业债
57,018002.SH,金融债
58,140402.IB,金融债
59,122271.SH,公司债
60,101456006.IB,中期票据
61,1428002.IB,金融债
62,140318.IB,金融债
63,140423.IB,金融债
64,140428.IB,金融债
65,140209.IB,金融债
66,140211.IB,金融债
67,101453008.IB,中期票据
68,1480174.IB,政府支持机构债
69,122295.SH,公司债
70,101453009.IB,中期票据
71,124668.SH,企业债
72,101454018.IB,中期票据
73,1480265.IB,企业债
74,101456018.IB,中期票据
75,1480262.IB,企业债
76,1480272.IB,企业债
77,101456023.IB,中期票据
78,140330.IB,金融债
79,101459024.IB,中期票据
80,101451016.IB,中期票据
81,101461014.IB,中期票据
82,101461015.IB,中期票据
83,124771.SH,企业债
84,091401002.IB,金融债
85,1480320.IB,企业债
86,1480335.IB,企业债
87,1480325.IB,企业债
88,1480337.IB,企业债
89,1480187.IB,企业债
90,140215.IB,金融债
91,101461017.IB,中期票据
92,101473006.IB,中期票据
93,122298.SH,公司债
94,1480411.IB,政府支持机构债
95,140441.IB,金融债
96,1480426.IB,企业债
97,1428009.IB,金融债
98,140221.IB,金融债
99,101456051.IB,中期票据
100,140350.IB,金融债
101,1428012.IB,金融债
102,1428011.IB,金融债
103,1480473.IB,企业债
104,101456059.IB,中期票据
105,101468005.IB,中期票据
106,124952.SH,企业债
107,124947.SH,企业债
108,122328.SH,公司债
109,101458029.IB,中期票据
110,101471004.IB,中期票据
111,140024.IB,国债
112,140373.IB,金融债
113,127017.SH,企业债
114,101453029.IB,中期票据
115,101456074.IB,中期票据
116,140228.IB,金融债
117,112232.SZ,金融债
118,091402002.IB,金融债
119,101460049.IB,中期票据
120,101456087.IB,中期票据
121,101478003.IB,中期票据
122,150402.IB,金融债
123,1580013.IB,企业债
124,1580005.IB,企业债
125,101555001.IB,中期票据
126,113008.SH,可转债
127,150205.IB,金融债
128,1580039.IB,企业债
129,150405.IB,金融债
130,1580046.IB,企业债
131,101552006.IB,中期票据
132,150306.IB,金融债
133,122341.SH,公司债
134,101555007.IB,中期票据
135,150308.IB,金融债
136,150208.IB,金融债
137,150209.IB,金融债
138,1580098.IB,企业债
139,101561008.IB,中期票据
140,1528002.IB,金融债
141,150412.IB,金融债
142,101554028.IB,中期票据
143,101558014.IB,中期票据
144,101554029.IB,中期票据
145,101558018.IB,中期票据
146,101559021.IB,中期票据
147,101560019.IB,中期票据
148,091501002.IB,金融债
149,101554035.IB,中期票据
150,122374.SH,金融债
151,122377.SH,公司债
152,101551034.IB,中期票据
153,110031.SH,可转债
154,101564026.IB,中期票据
155,150213.IB,金融债
156,150216.IB,金融债
157,122392.SH,公司债
158,122396.SH,公司债
159,101561014.IB,中期票据
160,101559035.IB,中期票据
161,101552022.IB,中期票据
162,122402.SH,公司债
163,122407.SH,金融债
164,122425.SH,公司债
165,122431.SH,公司债
166,101554055.IB,中期票据
167,122436.SH,公司债
168,112273.SZ,公司债
169,112274.SZ,公司债
170,101552031.IB,中期票据
171,101561023.IB,中期票据
172,1520054.IB,金融债
173,122446.SH,公司债
174,122449.SH,公司债
175,122450.SH,金融债
176,112277.SZ,公司债
177,122358.SH,公司债
178,101562033.IB,中期票据
179,1589225.IB,资产支持证券
180,101553028.IB,中期票据
181,150220.IB,金融债
182,122468.SH,公司债
183,112285.SZ,公司债
184,123935.SH,资产支持证券
185,101560059.IB,中期票据
186,136000.SH,公司债
187,122497.SH,公司债
188,101560061.IB,中期票据
189,150221.IB,金融债
190,101568004.IB,中期票据
191,136013.SH,金融债
192,101554074.IB,中期票据
193,101564059.IB,中期票据
194,136014.SH,公司债
195,132004.SH,可交换债券
196,136031.SH,公司债
197,136036.SH,公司债
198,136035.SH,公司债
199,150316.IB,金融债
200,136053.SH,公司债
201,112296.SZ,金融债
202,136061.SH,金融债
203,136057.SH,公司债
204,127313.SH,企业债
205,136065.SH,公司债
206,1520070.IB,金融债
207,132005.SH,可交换债券
208,136085.SH,公司债
209,136090.SH,公司债
210,101580018.IB,中期票据
211,127334.SH,企业债
212,1580317.IB,企业债
213,160403.IB,金融债
214,160404.IB,金融债
215,160405.IB,金融债
216,110032.SH,可转债
217,110033.SH,可转债
218,127382.SH,企业债
219,101653001.IB,中期票据
220,127365.SH,企业债
221,101658004.IB,中期票据
222,101663001.IB,中期票据
223,1620004.IB,金融债
224,136155.SH,公司债
225,101659008.IB,中期票据
226,136175.SH,公司债
227,113009.SH,可转债
228,128010.SZ,可转债
229,136196.SH,公司债
230,1628001.IB,金融债
231,131128.SH,资产支持证券
232,136194.SH,公司债
233,101651005.IB,中期票据
234,136212.SH,公司债
235,116132.SZ,资产支持证券
236,136219.SH,公司债
237,160206.IB,金融债
238,160301.IB,金融债
239,1628004.IB,金融债
240,160207.IB,金融债
241,101659010.IB,中期票据
242,160407.IB,金融债
243,136228.SH,公司债
244,160208.IB,金融债
245,136253.SH,公司债
246,1628003.IB,金融债
247,1628005.IB,金融债
248,101662022.IB,中期票据
249,101660013.IB,中期票据
250,101672001.IB,中期票据
251,136260.SH,公司债
252,139029.SH,企业债
253,1680086.IB,企业债
254,127400.SH,企业债
255,160411.IB,金融债
256,1620013.IB,金融债
257,136268.SH,公司债
258,061607004.IB,资产支持证券
259,101661013.IB,中期票据
260,1680099.IB,企业债
261,136270.SH,公司债
262,1605049.IB,地方政府债
263,1620015.IB,金融债
264,112352.SZ,公司债
265,136283.SH,公司债
266,136292.SH,公司债
267,136301.SH,公司债
268,127056.SH,企业债
269,127413.SH,企业债
270,1605052.IB,地方政府债
271,136304.SH,公司债
272,112358.SZ,公司债
273,136313.SH,公司债
274,1680133.IB,企业债
275,101659019.IB,中期票据
276,101658015.IB,中期票据
277,130856.SH,地方政府债
278,1605042.IB,地方政府债
279,1680140.IB,企业债
280,136334.SH,公司债
281,136344.SH,公司债
282,130865.SH,地方政府债
283,160210.IB,金融债
284,130887.SH,地方政府债
285,130895.SH,地方政府债
286,160412.IB,金融债
287,160413.IB,金融债
288,1605131.IB,地方政府债
289,112364.SZ,公司债
290,130909.SH,地方政府债
291,101660036.IB,中期票据
292,101681001.IB,中期票据
293,127426.SH,企业债
294,1689080.IB,资产支持证券
295,120001.SH,企业债
296,1680195.IB,企业债
297,136386.SH,公司债
298,160415.IB,金融债
299,160416.IB,金融债
300,160417.IB,金融债
301,160008.IB,国债
302,101651023.IB,中期票据
303,1626001.IB,金融债
304,1680227.IB,企业债
305,130937.SH,地方政府债
306,136411.SH,公司债
307,101653022.IB,中期票据
308,101653023.IB,中期票据
309,101661019.IB,中期票据
310,101652021.IB,中期票据
311,1621015.IB,金融债
312,101653025.IB,中期票据
313,136425.SH,公司债
314,136448.SH,公司债
315,136452.SH,公司债
316,160306.IB,金融债
317,101665003.IB,中期票据
318,136456.SH,金融债
319,136421.SH,公司债
320,127435.SH,企业债
321,1622008.IB,金融债
322,1605253.IB,地方政府债
323,136469.SH,公司债
324,101655011.IB,中期票据
325,061608001.IB,资产支持证券
326,101669020.IB,中期票据
327,101652025.IB,中期票据
328,131799.SH,资产支持证券
329,132006.SH,可交换债券
330,131837.SH,资产支持证券
331,136510.SH,公司债
332,131708.BC,国债
333,136515.SH,公司债
334,101664036.IB,中期票据
335,136519.SH,公司债
336,136523.SH,公司债
337,136141.SH,公司债
338,101661025.IB,中期票据
339,136535.SH,公司债
340,136544.SH,公司债
341,1628012.IB,金融债
342,1628013.IB,金融债
343,136554.SH,金融债
344,101654061.IB,中期票据
345,127446.SH,企业债
346,101652030.IB,中期票据
347,136562.SH,公司债
348,136558.SH,公司债
349,136994.SH,公司债
350,1622009.IB,金融债
351,160420.IB,金融债
352,160421.IB,金融债
353,019544.SH,国债
354,136577.SH,公司债
355,140196.SH,地方政府债
356,131848.SH,资产支持证券
357,112419.SZ,公司债
358,128013.SZ,可转债
359,136594.SH,公司债
360,136607.SH,公司债
361,136606.SH,金融债
362,136615.SH,公司债
363,112425.SZ,公司债
364,1620038.IB,金融债
365,160309.IB,金融债
366,136622.SH,金融债
367,160213.IB,金融债
368,136644.SH,公司债
369,131875.SH,资产支持证券
370,142151.SH,资产支持证券
371,1680360.IB,企业债
372,101654080.IB,中期票据
373,101651048.IB,中期票据
374,136710.SH,公司债
375,136721.SH,公司债
376,136722.SH,公司债
377,136725.SH,公司债
378,136753.SH,公司债
379,1605602.IB,地方政府债
380,101662071.IB,中期票据
381,160215.IB,金融债
382,101660068.IB,中期票据
383,136797.SH,公司债
384,1628017.IB,金融债
385,160312.IB,金融债
386,132007.SH,可交换债券
387,101678005.IB,中期票据
388,136813.SH,公司债
389,160313.IB,金融债
390,136819.SH,公司债
391,136826.SH,公司债
392,160025.IB,国债
393,091602002.IB,金融债
394,1628022.IB,金融债
395,1689273.IB,资产支持证券
396,142297.SH,资产支持证券
397,101658072.IB,中期票据
398,136855.SH,公司债
399,1689281.IB,资产支持证券
400,142392.SH,资产支持证券
401,160316.IB,金融债
402,101651059.IB,中期票据
403,142400.SH,资产支持证券
404,142401.SH,资产支持证券
405,160218.IB,金融债
406,136872.SH,公司债
407,112493.SZ,公司债
408,1622025.IB,金融债
409,142435.SH,资产支持证券
410,1689331.IB,资产支持证券
411,170402.IB,金融债
412,170403.IB,金融债
413,170405.IB,金融债
414,1789013.IB,资产支持证券
415,136893.SH,公司债
416,136895.SH,金融债
417,1789024.IB,资产支持证券
418,1728002.IB,金融债
419,170302.IB,金融债
420,1789036.IB,资产支持证券
421,101761002.IB,中期票据
422,1721010.IB,金融债
423,1722007.IB,金融债
424,143011.SH,公司债
425,101760007.IB,中期票据
426,1728004.IB,金融债
427,101759008.IB,中期票据
428,101761005.IB,中期票据
429,1726001.IB,金融债
430,143012.SH,公司债
431,101759011.IB,中期票据
432,1722010.IB,金融债
433,143036.SH,金融债
434,1789048.IB,资产支持证券
435,113011.SH,可转债
436,142785.SH,资产支持证券
437,101759016.IB,中期票据
438,143043.SH,公司债
439,111710141.IB,同业存单
440,101754025.IB,中期票据
441,018005.SH,金融债
442,018006.SH,金融债
443,170210.IB,金融债
444,112513.SZ,金融债
445,112515.SZ,公司债
446,143062.SH,公司债
447,1789078.IB,资产支持证券
448,170205.IB,金融债
449,1728006.IB,金融债
450,170206.IB,金融债
451,1720016.IB,金融债
452,108602.SZ,金融债
453,143070.SH,公司债
454,128014.SZ,可转债
455,170407.IB,金融债
456,143079.SH,金融债
457,170409.IB,金融债
458,101753008.IB,中期票据
459,1722013.IB,金融债
460,143087.SH,公司债
461,101764019.IB,中期票据
462,1728008.IB,金融债
463,143103.SH,公司债
464,101773004.IB,中期票据
465,170307.IB,金融债
466,1780085.IB,政府支持机构债
467,140613.SH,地方政府债
468,1789123.IB,资产支持证券
469,1721031.IB,金融债
470,1728009.IB,金融债
471,146042.SH,资产支持证券
472,127004.SH,企业债
473,1722017.IB,金融债
474,143130.SH,公司债
475,128015.SZ,可转债
476,1789148.IB,资产支持证券
477,101754055.IB,中期票据
478,1780124.IB,企业债
479,142904.SH,资产支持证券
480,1780130.IB,企业债
481,116608.SZ,资产支持证券
482,116605.SZ,资产支持证券
483,116611.SZ,资产支持证券
484,113013.SH,可转债
485,170309.IB,金融债
486,143166.SH,公司债
487,143171.SH,公司债
488,132009.SH,可交换债券
489,143174.SH,公司债
490,101754068.IB,中期票据
491,1728010.IB,金融债
492,143193.SH,公司债
493,1728011.IB,金融债
494,143196.SH,公司债
495,112556.SZ,金融债
496,1789202.IB,资产支持证券
497,1720046.IB,金融债
498,116634.SZ,资产支持证券
499,101754076.IB,中期票据
500,1789174.IB,资产支持证券
501,143222.SH,公司债
502,132010.SH,可交换债券
503,101772012.IB,中期票据
504,170310.IB,金融债
505,127581.SH,企业债
506,143243.SH,公司债
507,1789182.IB,资产支持证券
508,1728012.IB,金融债
509,1789185.IB,资产支持证券
510,1789214.IB,资产支持证券
511,101780007.IB,中期票据
512,170208.IB,金融债
513,1789196.IB,资产支持证券
514,1789197.IB,资产支持证券
515,143249.SH,公司债
516,170215.IB,金融债
517,1722029.IB,金融债
518,170411.IB,金融债
519,170412.IB,金融债
520,143263.SH,公司债
521,1722027.IB,金融债
522,1789236.IB,资产支持证券
523,143271.SH,公司债
524,101756031.IB,中期票据
525,116643.SZ,资产支持证券
526,1728014.IB,金融债
527,101754100.IB,中期票据
528,1789243.IB,资产支持证券
529,132012.SH,可交换债券
530,101759056.IB,中期票据
531,170415.IB,金融债
532,170209.IB,金融债
533,143283.SH,金融债
534,1789256.IB,资产支持证券
535,143287.SH,公司债
536,1702003.IB,金融债
537,101754106.IB,中期票据
538,1728015.IB,金融债
539,1789253.IB,资产支持证券
540,101759061.IB,中期票据
541,101782010.IB,中期票据
542,128016.SZ,可转债
543,143320.SH,公司债
544,143327.SH,金融债
545,1789288.IB,资产支持证券
546,1789289.IB,资产支持证券
547,1789278.IB,资产支持证券
548,1789292.IB,资产支持证券
549,143337.SH,金融债
550,1789297.IB,资产支持证券
551,143354.SH,公司债
552,143360.SH,公司债
553,101771016.IB,中期票据
554,1720076.IB,金融债
555,143364.SH,公司债
556,113014.SH,可转债
557,143366.SH,公司债
558,101756042.IB,中期票据
559,128017.SZ,可转债
560,113015.SH,可转债
561,170212.IB,金融债
562,128018.SZ,可转债
563,128019.SZ,可转债
564,101751038.IB,中期票据
565,110038.00,其他债券
566,1789319.IB,资产支持证券
567,1720080.IB,金融债
568,1789340.IB,资产支持证券
569,1722037.IB,金融债
570,091718001.IB,金融债
571,128020.SZ,可转债
572,1789329.IB,资产支持证券
573,1789364.IB,资产支持证券
574,101751041.IB,中期票据
575,110040.SH,可转债
576,132013.SH,可交换债券
577,123002.SH,公司债
578,143416.SH,金融债
579,128021.SZ,可转债
580,1789366.IB,资产支持证券
581,128022.SZ,可转债
582,128023.SZ,可转债
583,1789379.IB,资产支持证券
584,1789380.IB,资产支持证券
585,128024.SZ,可转债
586,123003.SH,公司债
587,1789300.IB,资产支持证券
588,128026.SZ,可转债
589,128027.SZ,可转债
590,1720092.IB,金融债
591,123004.SH,公司债
592,123006.SH,企业债
593,1789414.IB,资产支持证券
