,thscode,ths_ths_bond_first_type_bond
0,101451018.IB,中期票据
1,113008.SH,可转债
2,110031.SH,可转债
3,160206.IB,金融债
4,101656010.IB,中期票据
5,101662028.IB,中期票据
6,132006.SH,可交换债券
7,128013.SZ,可转债
8,113011.SH,可转债
9,128014.SZ,可转债
10,132008.SH,可交换债券
11,143099.SH,公司债
12,132009.SH,可交换债券
13,119424.SZ,资产支持证券
14,112587.SZ,公司债
15,143929.SH,公司债
16,113014.SH,可转债
17,128018.SZ,可转债
18,110038.00,其他债券
19,128022.SZ,可转债
20,128025.SZ,可转债
21,128026.SZ,可转债
22,123004.SH,公司债
23,110041.SH,可转债
24,128032.SZ,可转债
25,113017.SH,可转债
26,128033.SZ,可转债
27,128034.SZ,可转债
28,110043.SH,可转债
29,132015.SH,可交换债券
30,113505.SH,可转债
31,127006.SH,企业债
32,143519.SH,公司债
33,132014.SH,可交换债券
34,180208.IB,金融债
35,113508.SH,可转债
36,101800627.IB,中期票据
37,113509.SH,可转债
38,127007.SH,企业债
39,180210.BC,金融债
40,123010.SH,企业债
41,110045.SH,可转债
42,1822022.IB,金融债
43,128042.SZ,可转债
44,113516.SH,可转债
45,128044.SZ,可转债
46,1880169.IB,企业债
47,101800942.IB,中期票据
48,101801120.IB,中期票据
49,110047.SH,可转债
50,128049.SZ,可转债
51,110048.SH,可转债
52,128051.SZ,可转债
53,113525.SH,可转债
54,113527.SH,可转债
55,1928001.IB,金融债
56,190203.IB,金融债
57,190305.IB,金融债
58,190002.IB,国债
59,110051.SH,可转债
60,113528.SH,可转债
61,113021.SH,可转债
62,110052.SH,可转债
63,128057.SZ,可转债
64,110053.SH,可转债
65,101900343.IB,中期票据
66,101900356.IB,中期票据
67,123023.SH,企业债
68,127012.SH,企业债
69,113530.SH,可转债
70,101900440.IB,中期票据
71,110057.SH,可转债
72,113532.SH,可转债
73,128063.SZ,可转债
74,132018.SH,可交换债券
75,128064.SZ,可转债
76,113534.SH,可转债
77,155318.SH,公司债
78,155315.SH,公司债
79,127013.SH,企业债
80,128066.SZ,可转债
81,132017.SH,可交换债券
82,155350.SH,公司债
83,155351.SH,公司债
84,113535.SH,可转债
85,091918001.IB,金融债
86,123028.SH,公司债
87,128069.SZ,可转债
88,190208.BC,金融债
89,101900888.IB,中期票据
90,190406.IB,金融债
91,1928018.IB,金融债
92,113542.SH,可转债
93,155510.SH,公司债
94,1928021.IB,金融债
95,128071.SZ,可转债
96,101901150.IB,中期票据
97,139921.SZ,资产支持证券
98,128075.SZ,可转债
99,128074.SZ,可转债
100,113545.SH,可转债
101,101901385.IB,中期票据
102,132020.SH,可交换债券
103,110059.SH,可转债
104,101901490.IB,中期票据
105,123033.SH,公司债
106,110061.SH,可转债
107,101901565.IB,中期票据
108,113549.SH,可转债
109,128081.SZ,可转债
110,132021.SH,可交换债券
111,101901612.IB,中期票据
112,128083.SZ,可转债
113,110063.SH,可转债
114,128085.SZ,可转债
115,128087.SZ,可转债
116,113557.SH,可转债
117,110064.SH,可转债
118,113559.SH,可转债
119,113030.SH,可转债
120,128093.SZ,可转债
121,165332.SH,资产支持证券
122,200201.IB,金融债
123,102000030.IB,中期票据
124,019627.SH,国债
125,102000055.IB,中期票据
126,113563.SH,可转债
127,165733.SH,资产支持证券
128,128096.SZ,可转债
129,165418.SH,资产支持证券
130,128097.SZ,可转债
131,102000207.IB,中期票据
132,165899.SH,资产支持证券
133,113032.SH,可转债
134,138519.SZ,资产支持证券
135,102000221.IB,中期票据
136,138478.SZ,资产支持证券
137,165907.SH,资产支持证券
138,165698.SH,资产支持证券
139,113567.SH,可转债
140,102000269.IB,中期票据
141,113568.SH,可转债
142,113569.SH,可转债
143,165897.SH,资产支持证券
144,163253.SH,公司债
145,165806.SH,资产支持证券
146,200004.BC,国债
147,110067.SH,可转债
148,128100.SZ,可转债
149,165925.SH,资产支持证券
150,165968.SH,资产支持证券
151,165914.SH,资产支持证券
152,138468.SZ,资产支持证券
153,138460.SZ,资产支持证券
154,138466.SZ,资产支持证券
155,042000129.IB,短期融资券
156,110068.00,政府支持机构债
157,138565.SZ,资产支持证券
158,165895.SH,资产支持证券
159,113574.SH,可转债
160,113033.SH,可转债
161,200202.IB,金融债
162,200005.IB,国债
163,127016.SH,企业债
164,113034.SH,可转债
165,128106.SZ,可转债
166,110070.SH,可转债
167,123049.SZ,可转债
168,123050.SZ,可转债
169,200206.BC,金融债
170,012001428.IB,短期融资券
171,128107.SZ,可转债
172,200211.IB,金融债
173,128108.SZ,可转债
174,123053.SH,金融债
175,138782.SZ,资产支持证券
176,128112.SZ,可转债
177,200208.IB,金融债
178,200009.BC,国债
179,102001313.IB,中期票据
180,200212.BC,金融债
181,209933.IB,国债
182,168741.SH,资产支持证券
183,200220.IB,金融债
184,163816.SH,金融债
185,012002777.IB,短期融资券
186,112012092.IB,同业存单
187,112014132.IB,同业存单
188,168988.SH,资产支持证券
189,128129.SZ,可转债
190,200012.BC,国债
191,169288.SH,资产支持证券
192,200216.IB,金融债
193,137091.SH,可交换债券
194,137070.SH,可交换债券
195,137179.SZ,资产支持证券
196,169506.SH,资产支持证券
197,200215.IB,金融债
198,200013.IB,国债
199,175250.SH,金融债
200,149267.SH,资产支持证券
201,137239.SZ,资产支持证券
202,012003635.IB,短期融资券
203,169712.SH,资产支持证券
204,169736.SH,资产支持证券
205,012003940.IB,短期融资券
206,137312.SZ,资产支持证券
207,200016.BC,国债
208,102002272.IB,中期票据
209,175535.SH,金融债
210,112006273.IB,同业存单
211,209961.IB,国债
212,2028054.IB,金融债
213,179252.SH,资产支持证券
214,088018.IB,企业债
215,078042.IB,企业债
216,110207.IB,金融债
217,110226.IB,金融债
218,1180101.IB,企业债
219,110248.IB,金融债
220,110261.IB,金融债
221,120206.SH,企业债
222,122723.SH,企业债
223,120213.IB,金融债
224,1280101.IB,企业债
225,120222.IB,金融债
226,122150.SH,公司债
227,120226.IB,金融债
228,1282205.IB,中期票据
229,120410.IB,金融债
230,120232.IB,金融债
231,1282400.IB,中期票据
232,124302.SH,企业债
233,1382011.IB,中期票据
234,130209.IB,金融债
235,1380102.IB,企业债
236,1382138.IB,中期票据
237,140205.IB,金融债
238,140211.IB,金融债
239,019406.SH,国债
240,124667.SH,企业债
241,1480305.IB,企业债
242,140214.IB,金融债
243,101476003.IB,中期票据
244,101473006.IB,中期票据
245,1480421.IB,企业债
246,101456051.IB,中期票据
247,140350.IB,金融债
248,101473010.IB,中期票据
249,101471004.IB,中期票据
250,101453029.IB,中期票据
251,140228.IB,金融债
252,150205.IB,金融债
253,150405.IB,金融债
254,150308.IB,金融债
255,127208.SH,企业债
256,150209.IB,金融债
257,150210.IB,金融债
258,150412.IB,金融债
259,101554028.IB,中期票据
260,101573007.IB,中期票据
261,150310.IB,金融债
262,101560022.IB,中期票据
263,122385.SH,金融债
264,127232.SH,企业债
265,122402.SH,公司债
266,122436.SH,公司债
267,112273.SZ,公司债
268,101561024.IB,中期票据
269,150218.IB,金融债
270,101580008.IB,中期票据
271,122498.SH,公司债
272,132004.SH,可交换债券
273,136051.SH,公司债
274,160403.IB,金融债
275,160404.IB,金融债
276,160405.IB,金融债
277,110033.SH,可转债
278,127382.SH,企业债
279,127357.SH,企业债
280,136143.SH,公司债
281,136151.SH,公司债
282,101651002.IB,中期票据
283,112315.SZ,公司债
284,101658004.IB,中期票据
285,139001.SH,企业债
286,136155.SH,公司债
287,136171.SH,金融债
288,136185.SH,公司债
289,136110.SH,公司债
290,113009.SH,可转债
291,136194.SH,公司债
292,136169.SH,公司债
293,1628004.IB,金融债
294,101651008.IB,中期票据
295,160207.IB,金融债
296,160407.IB,金融债
297,136253.SH,公司债
298,1628005.IB,金融债
299,1680082.IB,企业债
300,160411.IB,金融债
301,136268.SH,公司债
302,101654017.IB,中期票据
303,136270.SH,公司债
304,136292.SH,公司债
305,136312.SH,公司债
306,101662029.IB,中期票据
307,1680137.IB,企业债
308,1680133.IB,企业债
309,136318.SH,公司债
310,139049.SH,企业债
311,101654027.IB,中期票据
312,136344.SH,公司债
313,160210.IB,金融债
314,160413.IB,金融债
315,139090.SH,企业债
316,112375.SZ,公司债
317,101662035.IB,中期票据
318,1680206.IB,企业债
319,101662036.IB,中期票据
320,160416.IB,金融债
321,160417.IB,金融债
322,1628011.IB,金融债
323,1605162.IB,地方政府债
324,101665002.IB,中期票据
325,136452.SH,公司债
326,160306.IB,金融债
327,091601001.IB,金融债
328,101661023.IB,中期票据
329,101664036.IB,中期票据
330,136523.SH,公司债
331,101661024.IB,中期票据
332,101656025.IB,中期票据
333,101654059.IB,中期票据
334,127446.SH,企业债
335,160421.IB,金融债
336,136588.SH,公司债
337,1620036.IB,金融债
338,1680321.IB,企业债
339,136612.SH,公司债
340,101656028.IB,中期票据
341,160309.IB,金融债
342,136623.SH,金融债
343,019547.SH,国债
344,127450.SH,企业债
345,101669024.IB,中期票据
346,136646.SH,公司债
347,112432.SZ,公司债
348,160213.IB,金融债
349,139225.SH,企业债
350,136652.SH,公司债
351,101654081.IB,中期票据
352,136685.SH,公司债
353,101664064.IB,中期票据
354,1605620.IB,地方政府债
355,1620051.IB,金融债
356,112470.SZ,公司债
357,160312.IB,金融债
358,132007.SH,可交换债券
359,101678005.IB,中期票据
360,1605677.IB,地方政府债
361,1605691.IB,地方政府债
362,1628022.IB,金融债
363,101660076.IB,中期票据
364,101677004.IB,中期票据
365,160316.IB,金融债
366,160218.IB,金融债
367,101658077.IB,中期票据
368,101662089.IB,中期票据
369,160219.IB,金融债
370,136872.SH,公司债
371,170403.IB,金融债
372,170201.IB,金融债
373,101752001.IB,中期票据
374,101758004.IB,中期票据
375,136843.SH,公司债
376,101770001.IB,中期票据
377,101759004.IB,中期票据
378,101754009.IB,中期票据
379,1780014.IB,企业债
380,1726001.IB,金融债
381,101762013.IB,中期票据
382,101754018.IB,中期票据
383,1789048.IB,资产支持证券
384,170304.IB,金融债
385,143039.SH,公司债
386,101764013.IB,中期票据
387,018006.SH,金融债
388,1780022.IB,企业债
389,170210.IB,金融债
390,112513.SZ,金融债
391,1728007.IB,金融债
392,101751002.IB,中期票据
393,101761007.IB,中期票据
394,101764014.IB,中期票据
395,170206.IB,金融债
396,1780052.IB,企业债
397,1780075.IB,企业债
398,170409.IB,金融债
399,101755011.IB,中期票据
400,101758017.IB,中期票据
401,1780085.IB,政府支持机构债
402,1789123.IB,资产支持证券
403,1721031.IB,金融债
404,1720028.IB,金融债
405,128015.SZ,可转债
406,143136.SH,金融债
407,091702001.IB,金融债
408,1780130.IB,企业债
409,127510.SH,企业债
410,113013.SH,可转债
411,170309.IB,金融债
412,143166.SH,公司债
413,101753017.IB,中期票据
414,143171.SH,公司债
415,143175.SH,公司债
416,1720042.IB,金融债
417,101777001.IB,中期票据
