,thscode,ths_ths_bond_first_type_bond
0,088019.IB,企业债
1,080018.IB,国债
2,080420.IB,金融债
3,010107.SH,国债
4,010303.SH,国债
5,058021.IB,企业债
6,078042.IB,企业债
7,090207.IB,金融债
8,0980186.IB,企业债
9,1080022.IB,企业债
10,122049.SH,公司债
11,110202.IB,金融债
12,1180009.IB,企业债
13,122844.SH,企业债
14,110003.SH,可转债
15,124576.SH,企业债
16,1180020.IB,企业债
17,122834.SH,企业债
18,110211.IB,金融债
19,122846.SH,企业债
20,1180050.IB,企业债
21,1180093.IB,企业债
22,1116001.IB,金融债
23,122075.SH,公司债
24,110236.IB,金融债
25,122801.SH,企业债
26,122838.SH,企业债
27,110311.IB,金融债
28,1180132.IB,企业债
29,112035.SZ,公司债
30,1182216.IB,中期票据
31,110254.IB,金融债
32,1180141.IB,企业债
33,1182277.IB,中期票据
34,1180144.IB,企业债
35,112044.SZ,公司债
36,122774.SH,企业债
37,110420.IB,金融债
38,122112.SH,公司债
39,1280003.IB,企业债
40,112059.SZ,公司债
41,122723.SH,企业债
42,1280047.IB,企业债
43,1280049.IB,企业债
44,112070.SZ,公司债
45,1282091.IB,中期票据
46,1280073.IB,企业债
47,120221.IB,金融债
48,1280128.IB,企业债
49,1280152.IB,企业债
50,1282176.IB,中期票据
51,1282205.IB,中期票据
52,120227.IB,金融债
53,120412.IB,金融债
54,1282253.IB,中期票据
55,1280226.IB,企业债
56,1280247.IB,企业债
57,112107.SZ,公司债
58,1280273.IB,企业债
59,1280292.IB,企业债
60,124044.SH,企业债
61,1282547.IB,中期票据
62,1280496.IB,企业债
63,130001.SH,地方政府债
64,1382023.IB,中期票据
65,1382030.IB,中期票据
66,124153.SH,企业债
67,1382046.IB,中期票据
68,1382047.IB,中期票据
69,130212.IB,金融债
70,1380046.IB,企业债
71,1382071.IB,中期票据
72,1382075.IB,中期票据
73,122224.SH,公司债
74,1320006.IB,金融债
75,1320007.IB,金融债
76,124173.SH,企业债
77,1380069.IB,企业债
78,1320005.IB,金融债
79,1382074.IB,中期票据
80,122231.SH,公司债
81,122232.SH,金融债
82,1382086.IB,中期票据
83,1380107.IB,企业债
84,122239.SH,公司债
85,1382111.IB,中期票据
86,1320010.IB,金融债
87,1382124.IB,中期票据
88,1382138.IB,中期票据
89,130216.IB,金融债
90,124232.SH,企业债
91,1382174.IB,中期票据
92,1382162.IB,中期票据
93,1382173.IB,中期票据
94,1320014.IB,金融债
95,1382189.IB,中期票据
96,1380158.IB,企业债
97,1380163.IB,企业债
98,112175.SZ,公司债
99,1382243.IB,中期票据
100,1382248.IB,中期票据
101,1382261.IB,中期票据
102,1382275.IB,中期票据
103,122253.SH,公司债
104,1382310.IB,中期票据
105,1382312.IB,中期票据
106,101354006.IB,中期票据
107,1322002.IB,金融债
108,101353003.IB,中期票据
109,1315001.IB,金融债
110,101353006.IB,中期票据
111,1320027.IB,金融债
112,101364002.IB,中期票据
113,130238.IB,金融债
114,101358007.IB,中期票据
115,101356006.IB,中期票据
116,130425.IB,金融债
117,101374003.IB,中期票据
118,130245.IB,金融债
119,1312001.IB,金融债
120,101354022.IB,中期票据
121,101360019.IB,中期票据
122,112196.SZ,公司债
123,122288.SH,金融债
124,091302002.IB,金融债
125,101360021.IB,中期票据
126,018002.SH,金融债
127,140408.IB,金融债
128,1480038.IB,企业债
129,101454003.IB,中期票据
130,1428002.IB,金融债
131,124577.SH,企业债
132,124430.SH,企业债
133,101460004.IB,中期票据
134,124602.SH,企业债
135,140423.IB,金融债
136,1428003.IB,金融债
137,124585.SH,企业债
138,101462007.IB,中期票据
139,1480160.IB,企业债
140,140211.IB,金融债
141,112203.SZ,公司债
142,101453008.IB,中期票据
143,1480180.IB,企业债
144,101474004.IB,中期票据
145,1480194.IB,企业债
146,1480209.IB,企业债
147,1480214.IB,企业债
148,101454018.IB,中期票据
149,1480249.IB,企业债
150,1480261.IB,企业债
151,1480192.IB,企业债
152,1480250.IB,企业债
153,101456023.IB,中期票据
154,140330.IB,金融债
155,101451016.IB,中期票据
156,101461014.IB,中期票据
157,101461015.IB,中期票据
158,101456057.IB,中期票据
159,091401002.IB,金融债
160,101469010.IB,中期票据
161,1480345.IB,企业债
162,1428006.IB,金融债
163,140215.IB,金融债
164,124830.SH,企业债
165,101464024.IB,中期票据
166,122298.SH,公司债
167,1420014.IB,金融债
168,101464028.IB,中期票据
169,101464029.IB,中期票据
170,140441.IB,金融债
171,101473008.IB,中期票据
172,140219.IB,金融债
173,122315.SH,金融债
174,1428009.IB,金融债
175,101461024.IB,中期票据
176,130142.SH,地方政府债
177,1428012.IB,金融债
178,1428011.IB,金融债
179,1480473.IB,企业债
180,112225.SZ,公司债
181,122328.SH,公司债
182,122329.SH,公司债
183,101453024.IB,中期票据
184,122331.SH,公司债
185,101453029.IB,中期票据
186,1420032.IB,金融债
187,101456074.IB,中期票据
188,101455031.IB,中期票据
189,101461037.IB,中期票据
190,1480557.IB,企业债
191,101459060.IB,中期票据
192,140227.IB,金融债
193,140229.IB,金融债
194,091402002.IB,金融债
195,101456084.IB,中期票据
196,101456087.IB,中期票据
197,110030.SH,可转债
198,1528001.IB,金融债
199,150201.IB,金融债
200,101553002.IB,中期票据
201,1580013.IB,企业债
202,1580005.IB,企业债
203,113008.SH,可转债
204,122321.SH,金融债
205,127105.SH,企业债
206,1520003.IB,金融债
207,101559005.IB,中期票据
208,101552004.IB,中期票据
209,101553006.IB,中期票据
210,101554014.IB,中期票据
211,123581.SH,资产支持证券
212,101563002.IB,中期票据
213,150207.IB,金融债
214,101555007.IB,中期票据
215,150308.IB,金融债
216,150208.IB,金融债
217,1520009.IB,金融债
218,150309.IB,金融债
219,101551020.IB,中期票据
220,101575002.IB,中期票据
221,1528002.IB,金融债
222,1520012.IB,金融债
223,101558012.IB,中期票据
224,101576002.IB,中期票据
225,101558014.IB,中期票据
226,101554029.IB,中期票据
227,091501001.IB,金融债
228,091501002.IB,金融债
229,101565005.IB,中期票据
230,101554035.IB,中期票据
231,101561011.IB,中期票据
232,101554038.IB,中期票据
233,101559028.IB,中期票据
234,130186.SH,地方政府债
235,122377.SH,公司债
236,150312.IB,金融债
237,132002.SH,可交换债券
238,1520024.IB,金融债
239,101551034.IB,中期票据
240,1580166.IB,企业债
241,110031.SH,可转债
242,101560029.IB,中期票据
243,101554044.IB,中期票据
244,1528004.IB,金融债
245,101564026.IB,中期票据
246,130264.SH,地方政府债
247,122388.SH,金融债
248,122366.SH,公司债
249,101554045.IB,中期票据
250,122392.SH,公司债
251,122394.SH,金融债
252,101560037.IB,中期票据
253,101561014.IB,中期票据
254,101554047.IB,中期票据
255,150418.IB,金融债
256,101561015.IB,中期票据
257,101559035.IB,中期票据
258,122402.SH,公司债
259,122406.SH,公司债
260,122399.SH,金融债
261,122407.SH,金融债
262,122410.SH,公司债
263,112262.SZ,公司债
264,101552026.IB,中期票据
265,122431.SH,公司债
266,112264.SZ,公司债
267,101556032.IB,中期票据
268,122434.SH,公司债
269,122436.SH,公司债
270,112273.SZ,公司债
271,101575013.IB,中期票据
272,122444.SH,公司债
273,122446.SH,公司债
274,122449.SH,公司债
275,122450.SH,金融债
276,1520053.IB,金融债
277,101551067.IB,中期票据
278,122456.SH,公司债
279,1589225.IB,资产支持证券
280,122465.SH,公司债
281,019522.SH,国债
282,150220.IB,金融债
283,101560056.IB,中期票据
284,101553029.IB,中期票据
285,122468.SH,公司债
286,123830.SH,资产支持证券
287,112285.SZ,公司债
288,123934.SH,资产支持证券
289,123935.SH,资产支持证券
