,thscode,ths_ths_bond_first_type_bond
0,080217.IB,金融债
1,090204.IB,金融债
2,010107.SH,国债
3,010303.SH,国债
4,058021.IB,企业债
5,078042.IB,企业债
6,098008.IB,企业债
7,090208.IB,金融债
8,122017.SH,公司债
9,0980140.IB,政府支持机构债
10,0980146.IB,企业债
11,0980165.IB,政府支持机构债
12,0980182.IB,企业债
13,0980185.IB,企业债
14,1080022.IB,企业债
15,1082151.IB,中期票据
16,1180052.IB,企业债
17,1182082.IB,中期票据
18,122066.SH,公司债
19,1116001.IB,金融债
20,122072.SH,公司债
21,110238.IB,金融债
22,110017.IB,国债
23,1180132.IB,企业债
24,1182216.IB,中期票据
25,110254.IB,金融债
26,1180141.IB,企业债
27,1182277.IB,中期票据
28,112044.SZ,公司债
29,122783.SH,企业债
30,122774.SH,企业债
31,110420.IB,金融债
32,120207.SH,企业债
33,122723.SH,企业债
34,1280047.IB,企业债
35,1280055.IB,企业债
36,1282091.IB,中期票据
37,122660.SH,企业债
38,120221.IB,金融债
39,1282150.IB,中期票据
40,1282176.IB,中期票据
41,1282205.IB,中期票据
42,120412.IB,金融债
43,1282253.IB,中期票据
44,1280212.IB,企业债
45,122609.SH,企业债
46,1280273.IB,企业债
47,1282349.IB,中期票据
48,1280292.IB,企业债
49,122514.SH,企业债
50,1282435.IB,中期票据
51,122203.SH,公司债
52,124063.SH,企业债
53,1280396.IB,企业债
54,1280417.IB,企业债
55,1282547.IB,中期票据
56,1382011.IB,中期票据
57,112143.SZ,公司债
58,124153.SH,企业债
59,1380060.IB,企业债
60,1380083.IB,企业债
61,1380102.IB,企业债
62,124184.SH,企业债
63,1382121.IB,中期票据
64,1382138.IB,中期票据
65,124232.SH,企业债
66,1320015.IB,金融债
67,1382312.IB,中期票据
68,1315001.IB,金融债
69,1320027.IB,金融债
70,101364002.IB,中期票据
71,130240.IB,金融债
72,101361013.IB,中期票据
73,101356006.IB,中期票据
74,101366004.IB,中期票据
75,130425.IB,金融债
76,130245.IB,金融债
77,122276.SH,公司债
78,1312001.IB,金融债
79,091302002.IB,金融债
80,1380372.IB,政府支持机构债
81,101360013.IB,中期票据
82,018002.SH,金融债
83,140202.IB,金融债
84,140402.IB,金融债
85,1480038.IB,企业债
86,101456006.IB,中期票据
87,1428001.IB,金融债
88,1428002.IB,金融债
89,101459005.IB,中期票据
90,140318.IB,金融债
91,124602.SH,企业债
92,140423.IB,金融债
93,112201.SZ,公司债
94,101462007.IB,中期票据
95,140211.IB,金融债
96,1480151.IB,企业债
97,112203.SZ,公司债
98,1480174.IB,政府支持机构债
99,1428005.IB,金融债
100,140008.BC,国债
101,101454018.IB,中期票据
102,101454019.IB,中期票据
103,101456023.IB,中期票据
104,140330.IB,金融债
105,101461014.IB,中期票据
106,101456031.IB,中期票据
107,1480287.IB,政府支持机构债
108,101461015.IB,中期票据
109,101456057.IB,中期票据
110,124771.SH,企业债
111,091401002.IB,金融债
112,1428006.IB,金融债
113,140215.IB,金融债
114,101461017.IB,中期票据
115,101473006.IB,中期票据
116,1420014.IB,金融债
117,1480411.IB,政府支持机构债
118,140439.IB,金融债
119,140441.IB,金融债
120,101473008.IB,中期票据
121,140219.IB,金融债
122,1428009.IB,金融债
123,101461024.IB,中期票据
124,1428012.IB,金融债
125,1428011.IB,金融债
126,101452018.IB,中期票据
127,1480473.IB,企业债
128,101456059.IB,中期票据
129,101468005.IB,中期票据
130,101459044.IB,中期票据
131,1480491.IB,企业债
132,101454057.IB,中期票据
133,122328.SH,公司债
134,140445.IB,金融债
135,122329.SH,公司债
136,101453024.IB,中期票据
137,127017.SH,企业债
138,101453029.IB,中期票据
139,1420032.IB,金融债
140,101455031.IB,中期票据
141,1480557.IB,企业债
142,101456077.IB,中期票据
143,140227.IB,金融债
144,091402002.IB,金融债
145,101456087.IB,中期票据
146,101454072.IB,中期票据
147,101466014.IB,中期票据
148,110030.SH,可转债
149,127072.SH,企业债
150,1580005.IB,企业债
151,113008.SH,可转债
152,150205.IB,金融债
153,127105.SH,企业债
154,150405.IB,金融债
155,1580046.IB,企业债
156,101554011.IB,中期票据
157,150306.IB,金融债
158,101553006.IB,中期票据
159,101555007.IB,中期票据
160,150308.IB,金融债
161,150208.IB,金融债
162,1520009.IB,金融债
163,101556014.IB,中期票据
164,1521003.IB,金融债
165,1528002.IB,金融债
166,101558014.IB,中期票据
167,101554029.IB,中期票据
168,101558018.IB,中期票据
169,101560019.IB,中期票据
170,091501002.IB,金融债
171,101554035.IB,中期票据
172,122374.SH,金融债
173,122377.SH,公司债
174,132002.SH,可交换债券
175,101551034.IB,中期票据
176,110031.SH,可转债
177,1528004.IB,金融债
178,101564026.IB,中期票据
179,150213.IB,金融债
180,122366.SH,公司债
181,150214.IB,金融债
182,122392.SH,公司债
183,122394.SH,金融债
184,101561014.IB,中期票据
185,101554047.IB,中期票据
186,150418.IB,金融债
187,101564028.IB,中期票据
188,101559035.IB,中期票据
189,101552022.IB,中期票据
190,122407.SH,金融债
191,122415.SH,公司债
192,122425.SH,公司债
193,101552026.IB,中期票据
194,112269.SZ,公司债
195,112264.SZ,公司债
196,122430.SH,公司债
197,122427.SH,公司债
198,122414.SH,公司债
199,122436.SH,公司债
200,101558034.IB,中期票据
201,112273.SZ,公司债
202,130436.SH,地方政府债
203,122444.SH,公司债
204,122446.SH,公司债
205,122449.SH,公司债
206,1520053.IB,金融债
207,101554059.IB,中期票据
208,1528006.IB,金融债
209,101551067.IB,中期票据
210,123842.SH,资产支持证券
211,101575014.IB,中期票据
212,101562033.IB,中期票据
213,1580229.IB,企业债
214,1523003.IB,金融债
215,1589225.IB,资产支持证券
216,101553028.IB,中期票据
217,122464.SH,公司债
218,150220.IB,金融债
219,101560056.IB,中期票据
220,101553029.IB,中期票据
221,122468.SH,公司债
222,112285.SZ,公司债
223,122481.SH,公司债
224,123935.SH,资产支持证券
225,122497.SH,公司债
226,1522007.IB,金融债
227,1520065.IB,金融债
228,101568004.IB,中期票据
229,150223.BC,金融债
230,1580246.IB,企业债
231,136014.SH,公司债
232,136015.SH,金融债
233,136021.SH,公司债
234,101555031.IB,中期票据
235,136025.SH,公司债
236,132004.SH,可交换债券
237,1580253.IB,企业债
238,136029.SH,公司债
239,136022.SH,金融债
240,112291.SZ,公司债
241,1589305.IB,资产支持证券
242,136047.SH,金融债
243,136045.SH,公司债
244,136053.SH,公司债
245,150317.IB,金融债
246,136057.SH,公司债
247,127313.SH,企业债
248,101558055.IB,中期票据
249,132005.SH,可交换债券
250,101569037.IB,中期票据
251,136085.SH,公司债
252,101551107.IB,中期票据
253,136090.SH,公司债
254,101558059.IB,中期票据
255,136101.SH,公司债
256,136108.SH,公司债
257,123001.SH,公司债
258,160403.IB,金融债
259,160405.IB,金融债
260,110032.SH,可转债
261,110033.SH,可转债
262,127382.SH,企业债
263,127365.SH,企业债
264,160203.IB,金融债
265,136151.SH,公司债
266,110034.SH,可转债
267,101660003.IB,中期票据
268,101663001.IB,中期票据
269,136155.SH,公司债
270,101651003.IB,中期票据
271,136175.SH,公司债
272,113009.SH,可转债
273,136196.SH,公司债
274,136194.SH,公司债
275,101651005.IB,中期票据
276,116132.SZ,资产支持证券
277,112336.SZ,公司债
278,160206.IB,金融债
279,160301.IB,金融债
280,160207.IB,金融债
281,101659010.IB,中期票据
282,136222.SH,公司债
283,160208.IB,金融债
284,136246.SH,公司债
285,136253.SH,公司债
286,1628005.IB,金融债
287,101662022.IB,中期票据
288,136236.SH,公司债
289,101660013.IB,中期票据
290,101672001.IB,中期票据
291,136259.SH,公司债
292,136260.SH,公司债
293,139029.SH,企业债
294,127400.SH,企业债
295,1620013.IB,金融债
296,136268.SH,公司债
297,1622003.IB,金融债
298,061607004.IB,资产支持证券
299,112343.SZ,公司债
300,136276.SH,公司债
301,136247.SH,公司债
302,127418.SH,企业债
303,1605049.IB,地方政府债
304,1620015.IB,金融债
305,1605052.IB,地方政府债
306,136304.SH,公司债
307,113010.SH,可转债
308,136313.SH,公司债
309,136320.SH,公司债
310,1680133.IB,企业债
311,101658015.IB,中期票据
312,130856.SH,地方政府债
313,1605042.IB,地方政府债
314,1680140.IB,企业债
315,101654028.IB,中期票据
316,136201.SH,公司债
317,130865.SH,地方政府债
318,160210.IB,金融债
319,130887.SH,地方政府债
320,130895.SH,地方政府债
321,160412.IB,金融债
322,160413.IB,金融债
323,136361.SH,公司债
324,130909.SH,地方政府债
325,1605101.IB,地方政府债
326,136370.SH,公司债
327,112376.SZ,公司债
328,1689080.IB,资产支持证券
329,120001.SH,企业债
330,1680195.IB,企业债
331,136386.SH,公司债
332,160415.IB,金融债
333,160416.IB,金融债
334,160417.IB,金融债
335,160008.IB,国债
336,101651023.IB,中期票据
337,1680227.IB,企业债
338,130937.SH,地方政府债
339,136415.SH,公司债
340,101653022.IB,中期票据
341,101653023.IB,中期票据
342,136427.SH,公司债
343,101661019.IB,中期票据
344,136417.SH,公司债
345,1621015.IB,金融债
346,136436.SH,公司债
347,136380.SH,公司债
348,136452.SH,公司债
349,101673008.IB,中期票据
350,160306.IB,金融债
351,136449.SH,公司债
352,136396.SH,公司债
353,136455.SH,金融债
354,136456.SH,金融债
355,136421.SH,公司债
356,127435.SH,企业债
