,thscode,ths_ths_bond_first_type_bond
0,113009.SH,可转债
1,1680196.IB,企业债
2,170304.IB,金融债
3,113011.SH,可转债
4,128014.SZ,可转债
5,132008.SH,可交换债券
6,143099.SH,公司债
7,132009.SH,可交换债券
8,119424.SZ,资产支持证券
9,123002.SH,公司债
10,128022.SZ,可转债
11,128023.SZ,可转债
12,128026.SZ,可转债
13,123004.SH,公司债
14,113017.SH,可转债
15,128034.SZ,可转债
16,132015.SH,可交换债券
17,113504.SH,可转债
18,113505.SH,可转债
19,127006.SH,企业债
20,128037.SZ,可转债
21,132014.SH,可交换债券
22,128039.SZ,可转债
23,110045.SH,可转债
24,123014.SZ,可转债
25,128042.SZ,可转债
26,113516.SH,可转债
27,180211.BC,金融债
28,128044.SZ,可转债
29,113519.SH,可转债
30,110047.SH,可转债
31,180217.IB,金融债
32,128049.SZ,可转债
33,110048.SH,可转债
34,113524.SH,可转债
35,190305.IB,金融债
36,128056.SZ,可转债
37,113021.SH,可转债
38,110052.SH,可转债
39,110053.SH,可转债
40,101900356.IB,中期票据
41,110056.SH,可转债
42,123023.SH,企业债
43,127012.SH,企业债
44,110057.SH,可转债
45,101900459.IB,中期票据
46,128063.SZ,可转债
47,132018.SH,可交换债券
48,113024.SH,可转债
49,113025.SH,可转债
50,113026.SH,可转债
51,127013.SH,企业债
52,128066.SZ,可转债
53,132017.SH,可交换债券
54,155350.SH,公司债
55,113535.SH,可转债
56,190207.IB,金融债
57,190208.BC,金融债
58,128070.SZ,可转债
59,113542.SH,可转债
60,128071.SZ,可转债
61,128073.SZ,可转债
62,128075.SZ,可转债
63,128074.SZ,可转债
64,132020.SH,可交换债券
65,127014.SH,企业债
66,110060.SH,可转债
67,110059.SH,可转债
68,110061.SH,可转债
69,123035.SH,公司债
70,113549.SH,可转债
71,113550.SH,可转债
72,128081.SZ,可转债
73,132021.SH,可交换债券
74,101901612.IB,中期票据
75,110062.SH,可转债
76,101901649.IB,中期票据
77,128083.SZ,可转债
78,110063.SH,可转债
79,110064.SH,可转债
80,113030.SH,可转债
81,128090.SZ,可转债
82,127015.SH,企业债
83,165332.SH,资产支持证券
84,113563.SH,可转债
85,128095.SZ,可转债
86,102000119.IB,中期票据
87,165418.SH,资产支持证券
88,128097.SZ,可转债
89,113565.SH,可转债
90,165698.SH,资产支持证券
91,113569.SH,可转债
92,110067.SH,可转债
93,123045.SZ,可转债
94,165968.SH,资产支持证券
95,110068.00,政府支持机构债
96,113033.SH,可转债
97,200202.IB,金融债
98,128105.SZ,可转债
99,127016.SH,企业债
100,128106.SZ,可转债
101,123049.SZ,可转债
102,128107.SZ,可转债
103,102000864.IB,中期票据
104,2028014.IB,金融债
105,2028017.IB,金融债
106,200006.BC,国债
107,128108.SZ,可转债
108,127017.SH,企业债
109,113584.SH,可转债
110,2080149.IB,政府支持机构债
111,128114.SZ,可转债
112,123056.SZ,可转债
113,127018.SH,企业债
114,113591.SH,可转债
115,110071.SH,可转债
116,123059.SZ,可转债
117,127019.SH,企业债
118,128120.SZ,可转债
119,127020.SH,企业债
120,123060.SZ,可转债
121,113037.SH,可转债
122,110073.SH,可转债
123,113596.SH,可转债
124,128124.SZ,可转债
125,123063.SH,金融债
126,128125.SZ,可转债
127,168741.SH,资产支持证券
128,113598.SH,可转债
129,200407.BC,金融债
130,128127.SZ,可转债
131,113601.SH,可转债
132,128129.SZ,可转债
133,128130.SZ,可转债
134,2028033.IB,金融债
135,128132.SZ,可转债
136,2028038.IB,金融债
137,137091.SH,可交换债券
138,2028037.IB,金融债
139,2028041.IB,金融债
140,128133.SZ,可转债
141,128134.SZ,可转债
142,113604.SH,可转债
143,169506.SH,资产支持证券
144,200215.IB,金融债
145,110075.SH,可转债
146,123071.SH,金融债
147,113605.SH,可转债
148,2028044.IB,金融债
149,137269.SZ,资产支持证券
150,110076.SH,可转债
151,128136.SZ,可转债
152,169736.SH,资产支持证券
153,127024.SH,企业债
154,127025.SH,企业债
155,113608.SH,可转债
156,200016.BC,国债
157,128138.SZ,可转债
158,2028051.IB,金融债
159,123076.SZ,可转债
160,110077.SH,可转债
161,123077.SH,金融债
162,113609.SH,可转债
163,113610.SH,可转债
164,128139.SZ,可转债
165,123080.SH,金融债
166,123082.SH,金融债
167,127026.SH,企业债
168,123083.SH,金融债
169,113043.00,其他债券
170,127027.SH,企业债
171,123084.SH,金融债
172,113044.00,其他债券
173,123088.SH,金融债
174,128141.SZ,可转债
175,128142.SZ,可转债
176,123090.SH,金融债
177,113616.SH,可转债
178,113618.SH,可转债
179,137583.SZ,资产支持证券
180,123093.SH,金融债
181,113619.SH,可转债
182,113042.00,其他债券
183,123096.SH,金融债
184,123099.SH,公司债
185,118000.SH,可转债
186,210205.IB,金融债
187,210203.IB,金融债
188,113045.00,其他债券
189,123101.SZ,可转债
190,123104.SZ,可转债
191,127029.SH,企业债
192,113046.00,其他债券
193,127030.SH,企业债
194,123106.SZ,可转债
195,127031.SH,企业债
196,113622.SH,可转债
197,102100578.IB,中期票据
198,179907.IB,国债
199,110079.SH,可转债
200,123107.SZ,可转债
201,123108.SZ,可转债
202,123110.SZ,可转债
203,123111.SZ,可转债
204,113623.SH,可转债
205,113047.SH,可转债
206,110080.SH,可转债
207,127032.SH,企业债
208,132100035.IB,中期票据
209,127033.SH,企业债
210,210206.IB,金融债
211,123113.SZ,可转债
212,012101594.IB,短期融资券
213,113048.SH,可转债
214,113624.SH,可转债
215,189080.SH,资产支持证券
216,137963.SZ,资产支持证券
217,210009.BC,国债
218,127035.SH,企业债
219,189351.SH,资产支持证券
220,127036.SZ,可转债
221,136037.SH,公司债
222,210210.IB,金融债
223,2128021.IB,金融债
224,136035.SH,公司债
225,189333.SH,资产支持证券
226,123115.SZ,可转债
227,127038.SH,企业债
228,113050.SH,可转债
229,210207.IB,金融债
230,136050.SH,公司债
231,188367.SH,金融债
232,188379.SH,公司债
233,210406.IB,金融债
234,219933.IB,国债
235,136285.SH,公司债
236,210316.IB,金融债
237,189827.SH,资产支持证券
238,210211.IB,金融债
239,210011.IB,国债
240,149599.SH,资产支持证券
241,149606.SH,资产支持证券
242,2120071.IB,金融债
243,193103.SH,资产支持证券
244,042100381.IB,短期融资券
245,210306.IB,金融债
246,136592.SH,公司债
247,188854.SH,金融债
248,012103734.IB,短期融资券
249,188838.SH,公司债
250,042100472.IB,短期融资券
251,042100475.IB,短期融资券
252,210411.IB,金融债
253,2128033.IB,金融债
254,2128035.IB,金融债
255,210218.IB,金融债
256,2128041.IB,金融债
257,2128039.IB,金融债
258,012104128.IB,短期融资券
259,102103046.IB,中期票据
260,012180046.IB,短期融资券
261,112104053.IB,同业存单
262,102103087.IB,中期票据
263,2189543.IB,资产支持证券
264,2128046.IB,金融债
265,2128047.IB,金融债
266,2180497.IB,企业债
267,136793.SH,公司债
268,2189616.IB,资产支持证券
269,219962.IB,国债
270,183226.SH,资产支持证券
271,183210.SH,资产支持证券
272,183269.SH,资产支持证券
273,088018.IB,企业债
274,1280003.IB,企业债
275,120206.SH,企业债
276,122723.SH,企业债
277,122150.SH,公司债
278,120226.IB,金融债
279,1282205.IB,中期票据
280,120232.IB,金融债
281,1280405.IB,企业债
282,1382011.IB,中期票据
283,122249.SH,公司债
284,130313.IB,金融债
285,130231.IB,金融债
286,130321.IB,金融债
287,130240.IB,金融债
288,130247.IB,金融债
289,140205.IB,金融债
290,140211.IB,金融债
291,140215.IB,金融债
292,140222.IB,金融债
293,140229.IB,金融债
294,101459064.IB,中期票据
295,150205.IB,金融债
296,150405.IB,金融债
297,150308.IB,金融债
298,150209.IB,金融债
299,150210.IB,金融债
300,150412.IB,金融债
301,101554028.IB,中期票据
302,101556016.IB,中期票据
303,101573007.IB,中期票据
304,122374.SH,金融债
305,150216.IB,金融债
306,150218.IB,金融债
307,150314.IB,金融债
308,1589230.IB,资产支持证券
309,150221.IB,金融债
310,101553046.IB,中期票据
311,160404.IB,金融债
312,160405.IB,金融债
313,1680001.IB,企业债
314,110034.SH,可转债
315,136110.SH,公司债
316,160303.IB,金融债
317,160207.IB,金融债
318,160407.IB,金融债
319,136268.SH,公司债
320,160210.IB,金融债
321,160417.IB,金融债
322,1605337.IB,地方政府债
323,101661023.IB,中期票据
324,019547.SH,国债
325,160213.IB,金融债
326,160310.IB,金融债
327,1689185.IB,资产支持证券
328,1689313.IB,资产支持证券
329,170404.IB,金融债
330,170405.IB,金融债
331,101759005.IB,中期票据
332,1780014.IB,企业债
333,1726001.IB,金融债
334,101754018.IB,中期票据
335,1789048.IB,资产支持证券
336,1728005.IB,金融债
337,101764013.IB,中期票据
338,018006.SH,金融债
339,1780022.IB,企业债
340,170210.IB,金融债
341,143058.SH,公司债
342,170206.IB,金融债
343,101751004.IB,中期票据
344,170409.IB,金融债
345,143900.SH,公司债
346,101762029.IB,中期票据
347,1720019.IB,金融债
348,1721031.IB,金融债
349,140914.IB,地方政府债
350,1720028.IB,金融债
351,1720030.IB,金融债
352,113013.SH,可转债
353,170309.IB,金融债
354,101777001.IB,中期票据
355,1720045.IB,金融债
356,146285.SH,资产支持证券
357,112566.SZ,公司债
358,101759052.IB,中期票据
359,1789185.IB,资产支持证券
360,170208.IB,金融债
361,170215.IB,金融债
362,1780262.IB,企业债
363,1780265.IB,企业债
364,127616.SH,企业债
365,170415.IB,金融债
366,1722032.IB,金融债
367,1728017.IB,金融债
368,1789289.IB,资产支持证券
369,101758051.IB,中期票据
370,1728018.IB,金融债
371,143350.SH,公司债
372,1728020.IB,金融债
373,101756043.IB,中期票据
374,1728021.IB,金融债
375,101751038.IB,中期票据
376,110038.00,其他债券
377,1789320.IB,资产支持证券
378,1728022.IB,金融债
379,1780401.IB,企业债
380,1789364.IB,资产支持证券
381,101758063.IB,中期票据
382,101769025.IB,中期票据
383,128021.SZ,可转债
384,101766011.IB,中期票据
385,143434.SH,公司债
386,1723002.IB,金融债
387,180401.IB,金融债
388,1889005.IB,资产支持证券
389,101800037.IB,中期票据
390,180403.IB,金融债
391,101800066.IB,中期票据
392,180303.IB,金融债
393,101800079.IB,中期票据
394,110043.SH,可转债
395,128035.SZ,可转债
396,180205.IB,金融债
397,101800148.IB,中期票据
398,127005.SH,企业债
399,101800187.IB,中期票据
400,101800202.IB,中期票据
401,1880032.IB,企业债
402,127764.SH,企业债
403,127769.SH,企业债
404,180204.BC,金融债
405,143522.SH,公司债
406,1889034.IB,资产支持证券
407,180310.IB,金融债
408,149678.SH,资产支持证券
409,180206.IB,金融债
410,1820013.IB,金融债
411,101800340.IB,中期票据
412,101800385.IB,中期票据
413,101800398.IB,中期票据
414,101800392.IB,中期票据
415,1889059.IB,资产支持证券
416,101800408.IB,中期票据
417,101800429.IB,中期票据
418,101800454.IB,中期票据
419,101800476.IB,中期票据
420,1889075.IB,资产支持证券
421,1828002.IB,金融债
422,1889081.IB,资产支持证券
423,1889078.IB,资产支持证券
424,1889087.IB,资产支持证券
425,091800007.IB,金融债
426,101800635.IB,中期票据
427,180408.IB,金融债
428,1889096.IB,资产支持证券
429,143669.SH,公司债
430,180309.IB,金融债
431,1828003.IB,金融债
432,101800718.IB,中期票据
433,180210.BC,金融债
434,1889151.IB,资产支持证券
435,123010.SH,企业债
436,101800757.IB,中期票据
437,101800763.IB,中期票据
438,112729.SZ,公司债
439,180017.BC,国债
440,143739.SH,公司债
441,101800799.IB,中期票据
442,101800803.IB,中期票据
443,018008.SH,金融债
444,101800875.IB,中期票据
445,143422.SH,公司债
446,127850.SH,企业债
447,1889184.IB,资产支持证券
448,101800944.IB,中期票据
449,1828006.IB,金融债
450,139100.SH,企业债
451,1828008.IB,金融债
452,1889240.IB,资产支持证券
453,1880246.IB,企业债
454,101801079.IB,中期票据
455,1880156.IB,企业债
456,1828009.IB,金融债
457,1889243.IB,资产支持证券
458,1889256.IB,资产支持证券
459,101801097.IB,中期票据
460,1889235.IB,资产支持证券
461,1880213.IB,企业债
462,1889264.IB,资产支持证券
463,180321.IB,金融债
464,1828011.IB,金融债
465,1889274.IB,资产支持证券
466,1805295.IB,地方政府债
467,128046.SZ,可转债
468,1828012.IB,金融债
469,1880190.IB,企业债
470,143844.SH,公司债
471,101801187.IB,中期票据
472,180214.IB,金融债
473,101801205.IB,中期票据
474,1828013.IB,金融债
475,1889298.IB,资产支持证券
476,143890.SH,公司债
477,1880233.IB,企业债
478,128048.SZ,可转债
479,101801321.IB,中期票据
480,1828015.IB,金融债
481,112801.SZ,公司债
482,180413.IB,金融债
483,1889366.IB,资产支持证券
484,1880259.IB,企业债
485,1889343.IB,资产支持证券
486,101801392.IB,中期票据
487,1889368.IB,资产支持证券
488,1889399.IB,资产支持证券
489,1889409.IB,资产支持证券
490,101801504.IB,中期票据
491,155100.SH,公司债
492,1889434.IB,资产支持证券
493,101801556.IB,中期票据
494,156521.SH,资产支持证券
495,190205.BC,金融债
496,101900027.IB,中期票据
497,101900042.IB,中期票据
498,101900041.IB,中期票据
499,190202.IB,金融债
500,155127.SH,公司债
501,101900063.IB,中期票据
502,101900066.IB,中期票据
503,101900071.IB,中期票据
504,112847.SZ,金融债
505,1920002.IB,金融债
506,101900112.IB,中期票据
507,101900107.IB,中期票据
508,101900114.IB,中期票据
509,101900117.IB,中期票据
510,101900113.IB,中期票据
511,101900134.IB,中期票据
512,101900128.IB,中期票据
513,101900123.IB,中期票据
514,190401.IB,金融债
515,113527.SH,可转债
516,157140.SH,地方政府债
517,156659.SH,资产支持证券
518,190203.IB,金融债
519,190303.IB,金融债
520,101900182.IB,中期票据
521,101900200.IB,中期票据
522,1920007.IB,金融债
523,190204.IB,金融债
524,1920008.IB,金融债
525,1980052.IB,企业债
526,1989035.IB,资产支持证券
527,112857.SZ,金融债
528,1989044.IB,资产支持证券
529,156807.SH,资产支持证券
530,156808.SH,资产支持证券
531,156809.SH,资产支持证券
532,156810.SH,资产支持证券
533,156811.SH,资产支持证券
534,156812.SH,资产支持证券
535,019613.SH,国债
536,190003.BC,国债
537,1989048.IB,资产支持证券
538,1920011.IB,金融债
539,1920013.IB,金融债
540,101900302.IB,中期票据
541,112864.SZ,金融债
542,127011.SH,企业债
543,101900308.IB,中期票据
544,1922011.IB,金融债
545,101900322.IB,中期票据
546,112872.SZ,公司债
547,1928004.IB,金融债
548,101900343.IB,中期票据
549,1980086.IB,企业债
550,155240.SH,金融债
551,101900369.IB,中期票据
552,1923001.IB,金融债
553,101900376.IB,中期票据
554,1989071.IB,资产支持证券
555,101900375.IB,中期票据
556,1928006.IB,金融债
557,101900384.IB,中期票据
558,101900402.IB,中期票据
559,101900396.IB,中期票据
560,1928005.IB,金融债
561,101900405.IB,中期票据
562,155259.SH,金融债
563,101900428.IB,中期票据
564,101900429.IB,中期票据
565,113530.SH,可转债
566,101900439.IB,中期票据
567,101900441.IB,中期票据
568,190403.IB,金融债
569,190404.IB,金融债
570,101900466.IB,中期票据
571,155298.SH,公司债
572,1928009.IB,金融债
573,1980116.IB,企业债
574,1920026.IB,金融债
575,101900508.IB,中期票据
576,1920025.IB,金融债
577,1980126.IB,企业债
578,101900898.IB,中期票据
579,101900549.IB,中期票据
580,1920029.IB,金融债
581,1922018.IB,金融债
582,101900558.IB,中期票据
583,112890.SZ,公司债
584,155344.SH,公司债
585,101900569.IB,中期票据
586,1920031.IB,金融债
587,1920030.IB,金融债
588,1924010.IB,企业债
589,1928011.IB,金融债
590,1928010.IB,金融债
591,1920033.IB,金融债
592,155389.SH,公司债
593,101900638.IB,中期票据
594,101900669.IB,中期票据
595,101900689.IB,中期票据
596,159124.SH,资产支持证券
597,018082.SH,金融债
598,1920035.IB,金融债
599,155417.SH,公司债
600,190310.IB,金融债
601,1920036.IB,金融债
602,101900729.IB,中期票据
603,101900732.IB,中期票据
604,101900733.IB,中期票据
605,101900735.IB,中期票据
606,101900751.IB,中期票据
607,101900752.IB,中期票据
608,1928013.IB,金融债
609,155441.SH,公司债
610,190306.IB,金融债
611,157731.IB,地方政府债
612,1989172.IB,资产支持证券
613,113537.SH,可转债
