,thscode,ths_ths_bond_first_type_bond
0,1382121.IB,中期票据
1,150218.IB,金融债
2,1680196.IB,企业债
3,113011.SH,可转债
4,128014.SZ,可转债
5,128015.SZ,可转债
6,113013.SH,可转债
7,132009.SH,可交换债券
8,128017.SZ,可转债
9,110038.00,其他债券
10,1789346.IB,资产支持证券
11,123002.SH,公司债
12,128021.SZ,可转债
13,128023.SZ,可转债
14,123004.SH,公司债
15,128029.SZ,可转债
16,113017.SH,可转债
17,128033.SZ,可转债
18,128034.SZ,可转债
19,132015.SH,可交换债券
20,128035.SZ,可转债
21,113505.SH,可转债
22,127005.SH,企业债
23,128037.SZ,可转债
24,132014.SH,可交换债券
25,180210.BC,金融债
26,110045.SH,可转债
27,128042.SZ,可转债
28,113516.SH,可转债
29,180211.BC,金融债
30,128044.SZ,可转债
31,1889302.IB,资产支持证券
32,113519.SH,可转债
33,110047.SH,可转债
34,180217.IB,金融债
35,128049.SZ,可转债
36,110048.SH,可转债
37,113021.SH,可转债
38,110052.SH,可转债
39,110053.SH,可转债
40,101900356.IB,中期票据
41,123023.SH,企业债
42,127012.SH,企业债
43,113530.SH,可转债
44,110057.SH,可转债
45,113532.SH,可转债
46,128063.SZ,可转债
47,132018.SH,可交换债券
48,113024.SH,可转债
49,128066.SZ,可转债
50,113535.SH,可转债
51,101900886.IB,中期票据
52,101901016.IB,中期票据
53,113542.SH,可转债
54,128071.SZ,可转债
55,128073.SZ,可转债
56,128075.SZ,可转债
57,128074.SZ,可转债
58,132020.SH,可交换债券
59,127014.SH,企业债
60,190214.IB,金融债
61,110060.SH,可转债
62,110059.SH,可转债
63,110061.SH,可转债
64,123035.SH,公司债
65,113549.SH,可转债
66,128081.SZ,可转债
67,132021.SH,可交换债券
68,101901612.IB,中期票据
69,110062.SH,可转债
70,101901649.IB,中期票据
71,128083.SZ,可转债
72,110063.SH,可转债
73,128087.SZ,可转债
74,110064.SH,可转债
75,113030.SH,可转债
76,127015.SH,企业债
77,165332.SH,资产支持证券
78,200203.IB,金融债
79,113563.SH,可转债
80,128095.SZ,可转债
81,165418.SH,资产支持证券
82,132000003.IB,中期票据
83,128097.SZ,可转债
84,200003.BC,国债
85,102000239.IB,中期票据
86,165698.SH,资产支持证券
87,113569.SH,可转债
88,110067.SH,可转债
89,123044.SZ,可转债
90,110068.00,政府支持机构债
91,113033.SH,可转债
92,200303.IB,金融债
93,200202.IB,金融债
94,128105.SZ,可转债
95,127016.SH,企业债
96,128106.SZ,可转债
97,123048.SH,公司债
98,123049.SZ,可转债
99,113579.SH,可转债
100,102000864.IB,中期票据
101,2028013.IB,金融债
102,2022020.IB,金融债
103,128108.SZ,可转债
104,127017.SH,企业债
105,128109.SZ,可转债
106,113584.SH,可转债
107,113588.SH,可转债
108,123056.SZ,可转债
109,127018.SH,企业债
110,113591.SH,可转债
111,2028023.IB,金融债
112,127019.SH,企业债
113,128121.SZ,可转债
114,113593.SH,可转债
115,127020.SH,企业债
116,123060.SZ,可转债
117,102001402.IB,中期票据
118,113037.SH,可转债
119,110073.SH,可转债
120,113596.SH,可转债
121,128124.SZ,可转债
122,123063.SH,金融债
123,113599.SH,可转债
124,128127.SZ,可转债
125,113601.SH,可转债
126,113602.SH,可转债
127,128129.SZ,可转债
128,128130.SZ,可转债
129,2028037.IB,金融债
130,128133.SZ,可转债
131,113604.SH,可转债
132,2028042.IB,金融债
133,200215.IB,金融债
134,110075.SH,可转债
135,127022.SH,企业债
136,128135.SZ,可转债
137,123073.SH,金融债
138,137269.SZ,资产支持证券
139,113606.SH,可转债
140,110076.SH,可转债
141,128136.SZ,可转债
142,169736.SH,资产支持证券
143,127024.SH,企业债
144,127025.SH,企业债
145,175361.SH,公司债
146,200016.BC,国债
147,2028051.IB,金融债
148,123076.SZ,可转债
149,110077.SH,可转债
150,123077.SH,金融债
151,113609.SH,可转债
152,123078.SH,金融债
153,113610.SH,可转债
154,128139.SZ,可转债
155,123080.SH,金融债
