,thscode,ths_ths_bond_first_type_bond
0,010107.SH,国债
1,050203.IB,金融债
2,058021.IB,企业债
3,060211.IB,金融债
4,078042.IB,企业债
5,122015.SH,公司债
6,0980133.IB,企业债
7,0980140.IB,政府支持机构债
8,0980146.IB,企业债
9,122934.SH,企业债
10,100204.IB,金融债
11,122052.SH,公司债
12,100302.IB,金融债
13,100222.IB,金融债
14,1080105.IB,政府支持机构债
15,100411.SZ,国债
16,100228.IB,金融债
17,122866.SH,企业债
18,110207.IB,金融债
19,1182082.IB,中期票据
20,1116001.IB,金融债
21,1180101.IB,企业债
22,122749.SH,企业债
23,120206.SH,企业债
24,122723.SH,企业债
25,1280084.IB,企业债
26,120226.IB,金融债
27,1282205.IB,中期票据
28,1280197.IB,企业债
29,120412.IB,金融债
30,1280250.IB,企业债
31,120241.IB,金融债
32,122203.SH,公司债
33,124302.SH,企业债
34,130204.IB,金融债
35,1382011.IB,中期票据
36,130208.IB,金融债
37,130209.IB,金融债
38,124153.SH,企业债
39,1380032.IB,企业债
40,1380102.IB,企业债
41,1382138.IB,中期票据
42,124234.SH,企业债
43,130225.IB,金融债
44,124252.SH,企业债
45,1382312.IB,中期票据
46,124340.SH,企业债
47,1380279.IB,企业债
48,101355011.IB,中期票据
49,140203.IB,金融债
50,1480036.IB,企业债
51,124548.SH,企业债
52,1480085.IB,企业债
53,140428.IB,金融债
54,140210.IB,金融债
55,140330.IB,金融债
56,1480293.IB,企业债
57,124761.SH,企业债
58,140214.IB,金融债
59,124805.SH,企业债
60,101473006.IB,中期票据
61,101464029.IB,中期票据
62,140441.IB,金融债
63,101477002.IB,中期票据
64,140219.IB,金融债
65,1428009.IB,金融债
66,140221.IB,金融债
67,101456051.IB,中期票据
68,140350.IB,金融债
69,1428012.IB,金融债
70,1428011.IB,金融债
71,1480472.IB,企业债
72,1480473.IB,企业债
73,124952.SH,企业债
74,101456061.IB,中期票据
75,124947.SH,企业债
76,122329.SH,公司债
77,101458029.IB,中期票据
78,101471004.IB,中期票据
79,101460037.IB,中期票据
80,1422011.IB,金融债
81,101459055.IB,中期票据
82,127017.SH,企业债
83,101453029.IB,中期票据
84,101456074.IB,中期票据
85,1480564.IB,企业债
86,091402002.IB,金融债
87,101456085.IB,中期票据
88,101456087.IB,中期票据
89,101560001.IB,中期票据
90,127096.SH,企业债
91,101555001.IB,中期票据
92,019503.SH,国债
93,113008.SH,可转债
94,150205.IB,金融债
95,150404.IB,金融债
96,150405.IB,金融债
97,101559005.IB,中期票据
98,101552006.IB,中期票据
99,150308.IB,金融债
100,150210.IB,金融债
101,150410.IB,金融债
102,101560014.IB,中期票据
103,1528002.IB,金融债
104,101569004.IB,中期票据
105,101554028.IB,中期票据
106,101573007.IB,中期票据
107,101570004.IB,中期票据
108,101558014.IB,中期票据
109,101552013.IB,中期票据
110,101559024.IB,中期票据
111,091501002.IB,金融债
112,101556022.IB,中期票据
113,101562012.IB,中期票据
114,101552016.IB,中期票据
115,101556023.IB,中期票据
116,150313.IB,金融债
117,101551034.IB,中期票据
118,101573008.IB,中期票据
119,101564026.IB,中期票据
120,150213.IB,金融债
121,150216.IB,金融债
122,122392.SH,公司债
123,101561014.IB,中期票据
124,1580172.IB,企业债
125,101552022.IB,中期票据
126,101558028.IB,中期票据
127,122425.SH,公司债
128,101552026.IB,中期票据
129,122436.SH,公司债
130,112273.SZ,公司债
131,112274.SZ,公司债
132,150420.IB,金融债
133,1520054.IB,金融债
134,122449.SH,公司债
135,122450.SH,金融债
136,112277.SZ,公司债
137,101561024.IB,中期票据
138,101564043.IB,中期票据
139,122358.SH,公司债
140,1589225.IB,资产支持证券
141,101553027.IB,中期票据
142,122464.SH,公司债
143,150220.IB,金融债
144,122484.SH,公司债
145,101560059.IB,中期票据
146,101559046.IB,中期票据
147,101560061.IB,中期票据
148,150221.IB,金融债
149,1520065.IB,金融债
150,101568004.IB,中期票据
151,136013.SH,金融债
152,119240.SZ,资产支持证券
153,101564059.IB,中期票据
154,136014.SH,公司债
155,132004.SH,可交换债券
156,136031.SH,公司债
157,136036.SH,公司债
158,136035.SH,公司债
159,150316.IB,金融债
160,101572004.IB,中期票据
161,136053.SH,公司债
162,136051.SH,公司债
163,112296.SZ,金融债
164,136078.SH,公司债
165,136062.SH,公司债
166,136061.SH,金融债
167,136057.SH,公司债
168,112298.SZ,金融债
169,127313.SH,企业债
170,1520070.IB,金融债
171,132005.SH,可交换债券
172,136085.SH,公司债
173,136090.SH,公司债
174,1521021.IB,金融债
175,1580305.IB,企业债
176,101551108.IB,中期票据
177,1520077.IB,金融债
178,160403.IB,金融债
179,160405.IB,金融债
180,110033.SH,可转债
181,127382.SH,企业债
182,127365.SH,企业债
183,136148.SH,公司债
184,136161.SH,公司债
185,101663001.IB,中期票据
186,136155.SH,公司债
187,160205.IB,金融债
188,136188.SH,公司债
189,128010.SZ,可转债
190,101662012.IB,中期票据
191,131128.SH,资产支持证券
192,136194.SH,公司债
193,136213.SH,公司债
194,116132.SZ,资产支持证券
195,160206.IB,金融债
196,160302.IB,金融债
197,1628004.IB,金融债
198,160207.IB,金融债
199,101659010.IB,中期票据
200,160407.IB,金融债
201,1628005.IB,金融债
202,101660013.IB,中期票据
203,1680084.IB,企业债
204,136260.SH,公司债
205,127400.SH,企业债
206,160411.IB,金融债
207,136268.SH,公司债
208,061607004.IB,资产支持证券
209,112343.SZ,公司债
210,1605049.IB,地方政府债
211,101661014.IB,中期票据
212,127409.SH,企业债
213,136275.SH,公司债
214,136292.SH,公司债
215,136280.SH,公司债
216,1605052.IB,地方政府债
217,136313.SH,公司债
218,1680133.IB,企业债
219,136318.SH,公司债
220,130857.SH,地方政府债
221,101664023.IB,中期票据
222,136344.SH,公司债
223,130865.SH,地方政府债
224,101660031.IB,中期票据
225,160210.IB,金融债
226,160413.IB,金融债
227,136360.SH,公司债
228,136361.SH,公司债
229,1605101.IB,地方政府债
230,136370.SH,公司债
231,1680195.IB,企业债
232,160417.IB,金融债
233,019536.SH,国债
234,1680212.IB,企业债
235,1680227.IB,企业债
236,130937.SH,地方政府债
237,127434.SH,企业债
238,1605168.IB,地方政府债
239,101652021.IB,中期票据
240,136436.SH,公司债
241,160306.IB,金融债
242,101654051.IB,中期票据
243,127003.SH,企业债
244,136479.SH,公司债
245,061608001.IB,资产支持证券
246,101652025.IB,中期票据
247,132006.SH,可交换债券
248,131837.SH,资产支持证券
249,136513.SH,公司债
250,101664036.IB,中期票据
251,136519.SH,公司债
252,136529.SH,公司债
253,136523.SH,公司债
254,101661025.IB,中期票据
255,136535.SH,公司债
256,101654059.IB,中期票据
257,127446.SH,企业债
258,101652030.IB,中期票据
259,136994.SH,公司债
260,1622009.IB,金融债
261,160420.IB,金融债
262,160421.IB,金融债
263,019544.SH,国债
264,112419.SZ,公司债
265,128013.SZ,可转债
266,101653029.IB,中期票据
267,160017.IB,国债
268,136594.SH,公司债
269,101654065.IB,中期票据
270,1680321.IB,企业债
271,136615.SH,公司债
272,136595.SH,公司债
273,101654068.IB,中期票据
274,1620038.IB,金融债
275,136611.SH,公司债
276,160309.IB,金融债
277,136623.SH,金融债
278,101653033.IB,中期票据
279,019547.SH,国债
280,1622014.IB,金融债
281,1622015.IB,金融债
282,101651042.IB,中期票据
283,160213.IB,金融债
284,101669026.IB,中期票据
285,131922.SH,资产支持证券
286,131875.SH,资产支持证券
287,142151.SH,资产支持证券
288,101662066.IB,中期票据
289,136711.SH,金融债
290,1680390.IB,企业债
291,101661031.IB,中期票据
292,136710.SH,公司债
293,136713.SH,公司债
294,101652039.IB,中期票据
295,136753.SH,公司债
296,112457.SZ,公司债
297,160215.IB,金融债
298,1680414.IB,企业债
299,1605605.IB,地方政府债
300,136766.SH,公司债
301,136799.SH,金融债
302,136797.SH,公司债
303,1620051.IB,金融债
304,1628017.IB,金融债
305,112470.SZ,公司债
306,160312.IB,金融债
307,132007.SH,可交换债券
308,101678005.IB,中期票据
309,160313.IB,金融债
310,136819.SH,公司债
311,136826.SH,公司债
312,136830.SH,金融债
313,091602002.IB,金融债
314,1628022.IB,金融债
315,101660075.IB,中期票据
316,136837.SH,公司债
317,101658072.IB,中期票据
318,136855.SH,公司债
319,101652045.IB,中期票据
320,142392.SH,资产支持证券
321,142401.SH,资产支持证券
322,160218.IB,金融债
323,160219.IB,金融债
324,136872.SH,公司债
325,112493.SZ,公司债
326,1622025.IB,金融债
327,1680495.IB,企业债
328,101758001.IB,中期票据
329,170402.IB,金融债
330,170403.IB,金融债
331,170405.IB,金融债
332,101759002.IB,中期票据
333,101763001.IB,中期票据
334,1789024.IB,资产支持证券
335,1722006.IB,金融债
336,1728002.IB,金融债
337,170302.IB,金融债
338,101761002.IB,中期票据
339,1780014.IB,企业债
340,1722007.IB,金融债
341,101760007.IB,中期票据
342,1728004.IB,金融债
343,101764008.IB,中期票据
344,101759008.IB,中期票据
345,1726001.IB,金融债
346,143017.SH,公司债
347,101759011.IB,中期票据
348,1722010.IB,金融债
349,143036.SH,金融债
350,1789048.IB,资产支持证券
351,170304.IB,金融债
352,113011.SH,可转债
353,142785.SH,资产支持证券
354,101758010.IB,中期票据
355,113012.SH,可转债
356,136977.SH,公司债
357,018006.SH,金融债
358,170210.IB,金融债
359,112513.SZ,金融债
360,170305.IB,金融债
361,143065.SH,公司债
362,091701001.IB,金融债
363,170205.IB,金融债
364,143064.SH,公司债
365,1728006.IB,金融债
366,101751003.IB,中期票据
367,170206.IB,金融债
368,108602.SZ,金融债
369,112516.SZ,金融债
370,101756010.IB,中期票据
371,128014.SZ,可转债
372,170407.IB,金融债
373,101754037.IB,中期票据
374,101754038.IB,中期票据
375,101753007.IB,中期票据
376,143077.SH,公司债
377,143079.SH,金融债
378,170409.IB,金融债
379,143085.SH,公司债
380,1722013.IB,金融债
381,143087.SH,公司债
382,101764019.IB,中期票据
383,1728008.IB,金融债
384,143099.SH,公司债
385,1780085.IB,政府支持机构债
386,1721031.IB,金融债
387,1720028.IB,金融债
388,143125.SH,公司债
389,1728009.IB,金融债
390,146042.SH,资产支持证券
391,127004.SH,企业债
392,1722017.IB,金融债
393,143130.SH,公司债
394,128015.SZ,可转债
395,1721034.IB,金融债
396,101754056.IB,中期票据
397,1789148.IB,资产支持证券
398,101754055.IB,中期票据
399,101758024.IB,中期票据
400,101768006.IB,中期票据
401,143105.SH,公司债
402,1780124.IB,企业债
403,101754062.IB,中期票据
404,1780130.IB,企业债
405,112539.SZ,公司债
406,113013.SH,可转债
407,112542.SZ,公司债
408,170309.IB,金融债
409,143166.SH,公司债
410,1720041.IB,金融债
411,143169.SH,公司债
412,143175.SH,公司债
413,1780149.IB,企业债
414,132009.SH,可交换债券
415,112546.SZ,公司债
416,127517.SH,企业债
417,1728010.IB,金融债
418,101769014.IB,中期票据
419,1722021.IB,金融债
420,143193.SH,公司债
421,101761028.IB,中期票据
422,143196.SH,公司债
423,112556.SZ,金融债
424,112557.SZ,公司债
425,143222.SH,公司债
426,101761032.IB,中期票据
427,143221.SH,公司债
428,143229.SH,金融债
429,101754077.IB,中期票据
430,170310.IB,金融债
431,127581.SH,企业债
432,119424.SZ,资产支持证券
433,143243.SH,公司债
434,1789182.IB,资产支持证券
435,1728012.IB,金融债
436,101764041.IB,中期票据
437,170208.IB,金融债
438,1789196.IB,资产支持证券
439,101764046.IB,中期票据
440,132011.SH,可交换债券
441,101780008.IB,中期票据
442,170215.IB,金融债
443,1722029.IB,金融债
444,146377.SH,资产支持证券
445,170411.IB,金融债
446,170412.IB,金融债
447,143263.SH,公司债
448,101751025.IB,中期票据
449,101751026.IB,中期票据
450,143269.SH,公司债
451,146426.SH,资产支持证券
452,1728014.IB,金融债
453,1789243.IB,资产支持证券
454,132012.SH,可交换债券
455,1705373.IB,地方政府债
456,170415.IB,金融债
457,170209.IB,金融债
458,143287.SH,公司债
459,1702003.IB,金融债
460,101754106.IB,中期票据
461,1728015.IB,金融债
462,101782010.IB,中期票据
463,1728017.IB,金融债
464,128016.SZ,可转债
465,143320.SH,公司债
466,1722033.IB,金融债
467,1789288.IB,资产支持证券
468,1789289.IB,资产支持证券
469,1789278.IB,资产支持证券
470,1728018.IB,金融债
471,101773021.IB,中期票据
472,112595.SZ,金融债
473,143337.SH,金融债
474,101751034.IB,中期票据
475,101764071.IB,中期票据
476,101771016.IB,中期票据
477,143348.SH,公司债
478,143364.SH,公司债
479,113014.SH,可转债
480,143366.SH,公司债
481,101756042.IB,中期票据
482,1728020.IB,金融债
483,128017.SZ,可转债
484,113015.SH,可转债
485,1728021.IB,金融债
486,170212.IB,金融债
487,113016.SH,可转债
488,128018.SZ,可转债
489,128019.SZ,可转债
490,101751038.IB,中期票据
491,143340.SH,公司债
492,110038.00,其他债券
493,101752040.IB,中期票据
494,101766009.IB,中期票据
495,1789319.IB,资产支持证券
496,128020.SZ,可转债
497,101780012.IB,中期票据
498,1789364.IB,资产支持证券
499,101752042.IB,中期票据
500,110040.SH,可转债
501,132013.SH,可交换债券
502,123002.SH,公司债
503,143416.SH,金融债
504,143423.SH,金融债
505,128021.SZ,可转债
506,1789366.IB,资产支持证券
507,128022.SZ,可转债
508,128023.SZ,可转债
509,128024.SZ,可转债
510,128025.SZ,可转债
511,123003.SH,公司债
512,1789300.IB,资产支持证券
513,128026.SZ,可转债
514,112627.SZ,公司债
515,128027.SZ,可转债
516,1720092.IB,金融债
517,123004.SH,公司债
518,128028.SZ,可转债
519,1789402.IB,资产支持证券
520,1780416.IB,企业债
521,128029.SZ,可转债
522,110041.SH,可转债
523,128032.SZ,可转债
524,110042.SH,可转债
525,113017.SH,可转债
526,128033.SZ,可转债
527,123007.SH,企业债
528,180401.IB,金融债
529,1889002.IB,资产支持证券
530,143452.SH,金融债
531,112634.SZ,公司债
532,149055.SH,资产支持证券
533,180402.IB,金融债
534,180403.IB,金融债
535,180303.IB,金融债
536,143461.SH,公司债
537,128034.SZ,可转债
538,101800075.IB,中期票据
539,180202.IB,金融债
540,110043.SH,可转债
541,132015.SH,可交换债券
542,128035.SZ,可转债
543,101800121.IB,中期票据
544,116823.SZ,资产支持证券
545,180205.IB,金融债
546,149238.SH,资产支持证券
547,113019.SH,可转债
548,113504.SH,可转债
549,180203.IB,金融债
550,1889016.IB,资产支持证券
551,101800154.IB,中期票据
552,101800160.IB,中期票据
553,113505.SH,可转债
554,101800162.IB,中期票据
555,123009.SH,企业债
556,101800171.IB,中期票据
557,128036.SZ,可转债
558,143497.SH,金融债
559,143496.SH,公司债
560,127005.SH,企业债
561,101800189.IB,中期票据
562,127006.SH,企业债
563,101800206.IB,中期票据
564,101800211.IB,中期票据
565,1880037.IB,企业债
566,143505.SH,公司债
567,128037.SZ,可转债
568,101800230.IB,中期票据
569,101800225.IB,中期票据
570,180204.BC,金融债
571,1820009.IB,金融债
572,101800243.IB,中期票据
573,101800258.IB,中期票据
574,101800255.IB,中期票据
575,1820012.IB,金融债
576,143530.SH,公司债
577,143529.SH,金融债
578,1889033.IB,资产支持证券
579,101800287.IB,中期票据
580,101800285.IB,中期票据
581,101800277.IB,中期票据
582,149678.SH,资产支持证券
583,180206.IB,金融债
584,1820013.IB,金融债
585,101800326.IB,中期票据
586,149296.SH,资产支持证券
587,101800335.IB,中期票据
588,1822005.IB,金融债
589,180304.IB,金融债
590,116878.SZ,资产支持证券
591,101800336.IB,中期票据
592,101800349.IB,中期票据
593,041800133.IB,短期融资券
594,1889052.IB,资产支持证券
595,1889053.IB,资产支持证券
596,1889049.IB,资产支持证券
597,180405.IB,金融债
598,101800361.IB,中期票据
599,101800359.IB,中期票据
600,1822006.IB,金融债
601,101800373.IB,中期票据
602,101800370.IB,中期票据
603,143564.SH,公司债
604,101800379.IB,中期票据
605,1889055.IB,资产支持证券
606,112674.SZ,公司债
607,101800398.IB,中期票据
608,101800393.IB,中期票据
609,1880072.IB,企业债
610,180009.BC,国债
611,127792.SH,企业债
612,143571.SH,公司债
613,101800422.IB,中期票据
614,1889061.IB,资产支持证券
615,143309.SH,公司债
616,101800450.IB,中期票据
617,1828001.IB,金融债
618,101800466.IB,中期票据
619,101800462.IB,中期票据
620,143592.SH,公司债
621,101800487.IB,中期票据
622,143607.SH,金融债
623,132014.SH,可交换债券
624,101800496.IB,中期票据
625,1889075.IB,资产支持证券
