,thscode,ths_ths_bond_first_type_bond
0,050217.IB,金融债
1,101459002.IB,中期票据
2,127017.SH,企业债
3,150218.IB,金融债
4,150314.IB,金融债
5,160303.IB,金融债
6,160408.IB,金融债
7,019547.SH,国债
8,160213.IB,金融债
9,170201.IB,金融债
10,113013.SH,可转债
11,170208.IB,金融债
12,170415.IB,金融债
13,180401.IB,金融债
14,180310.IB,金融债
15,180206.IB,金融债
16,112729.SZ,公司债
17,101800783.IB,中期票据
18,1823005.IB,金融债
19,018008.SH,金融债
20,180211.BC,金融债
21,101801105.IB,中期票据
22,180322.IB,金融债
23,180214.IB,金融债
24,143891.SH,公司债
25,180411.IB,金融债
26,155037.SH,公司债
27,180217.IB,金融债
28,101801418.IB,中期票据
29,156521.SH,资产支持证券
30,190205.BC,金融债
31,101900029.IB,中期票据
32,101900037.IB,中期票据
33,101900066.IB,中期票据
34,190203.IB,金融债
35,190305.IB,金融债
36,190204.BC,金融债
37,1928004.IB,金融债
38,1923001.IB,金融债
39,1989071.IB,资产支持证券
40,1928006.IB,金融债
41,127012.SH,企业债
42,132018.SH,可交换债券
43,113024.SH,可转债
44,1928009.IB,金融债
45,101900515.IB,中期票据
46,1923004.IB,金融债
47,1928011.IB,金融债
48,101900721.IB,中期票据
49,1928013.IB,金融债
50,190208.BC,金融债
51,1920046.IB,金融债
52,101900980.IB,中期票据
53,190409.IB,金融债
54,1928019.IB,金融债
55,091900017.IB,金融债
56,1928022.IB,金融债
57,1928026.IB,金融债
58,190215.IB,金融债
59,1928028.IB,金融债
60,1920059.IB,金融债
61,1920066.IB,金融债
62,1980354.IB,企业债
63,1922050.IB,金融债
64,200203.IB,金融债
65,102000715.IB,中期票据
66,200405.IB,金融债
67,2028021.IB,金融债
68,200208.IB,金融债
69,019638.SH,国债
70,200009.BC,国债
71,200212.BC,金融债
72,138845.SZ,资产支持证券
73,127020.SH,企业债
74,2028027.IB,金融债
75,200407.BC,金融债
76,2028029.IB,金融债
77,200207.IB,金融债
78,102001692.IB,中期票据
79,152565.SH,企业债
80,200313.IB,金融债
81,128131.SZ,可转债
82,2028033.IB,金融债
83,102001784.IB,中期票据
84,128132.SZ,可转债
85,200408.IB,金融债
86,102001865.IB,中期票据
87,128135.SZ,可转债
88,152590.SH,企业债
89,200410.IB,金融债
90,113605.SH,可转债
91,110076.SH,可转债
92,128136.SZ,可转债
93,2022048.IB,金融债
94,169674.SH,资产支持证券
95,2022052.IB,金融债
96,169977.SH,资产支持证券
97,127026.SH,企业债
98,102002269.IB,中期票据
99,179050.SH,资产支持证券
100,113044.00,其他债券
101,2028054.IB,金融债
102,210202.IB,金融债
103,210204.IB,金融债
104,149342.SH,资产支持证券
105,102100073.IB,中期票据
106,102100105.IB,中期票据
107,102100177.IB,中期票据
108,2180023.IB,企业债
109,175726.SH,公司债
110,092118001.IB,金融债
111,210203.IB,金融债
112,210402.BC,金融债
113,102100417.IB,中期票据
114,2128007.IB,金融债
115,2128012.IB,金融债
116,110079.SH,可转债
117,132100026.IB,中期票据
118,210303.IB,金融债
119,2128014.IB,金融债
120,2120029.IB,金融债
121,2120026.IB,金融债
122,189101.SH,资产支持证券
123,2180129.IB,企业债
124,175975.SH,金融债
125,2128018.IB,金融债
126,102100935.IB,中期票据
127,102100964.IB,中期票据
128,102100970.IB,中期票据
129,102101041.IB,中期票据
130,113050.SH,可转债
131,210207.IB,金融债
132,102101196.IB,中期票据
133,102101226.IB,中期票据
134,102101239.IB,中期票据
135,127040.SH,企业债
136,127041.SH,企业债
137,102101311.IB,中期票据
