,jydm,jydm_mc,p00475_f001,p00475_f002,p00475_f009
0,000011.OF,华夏大盘精选混合A/B,2017/12/31,000089.SZ,0.32253436905775210300
1,000011.OF,华夏大盘精选混合A/B,2017/12/31,000858.SZ,5.62663060467047725300
2,000011.OF,华夏大盘精选混合A/B,2017/12/31,000333.SZ,5.78191699843318690300
3,000011.OF,华夏大盘精选混合A/B,2017/12/31,600009.SH,6.40695935847296181700
4,000011.OF,华夏大盘精选混合A/B,2017/12/31,600600.SH,8.65094755536267849400
5,000011.OF,华夏大盘精选混合A/B,2017/12/31,600690.SH,9.07989858271547643100
6,000011.OF,华夏大盘精选混合A/B,2017/12/31,000568.SZ,5.13798562290224920500
7,000011.OF,华夏大盘精选混合A/B,2017/12/31,600741.SH,4.82833675917439122600
8,000011.OF,华夏大盘精选混合A/B,2017/12/31,600004.SH,4.53126503122710865000
9,000011.OF,华夏大盘精选混合A/B,2017/12/31,600176.SH,4.40855405227476304800
10,000011.OF,华夏大盘精选混合A/B,2017/12/31,600036.SH,4.30331972934793432600
11,000011.OF,华夏大盘精选混合A/B,2017/12/31,600019.SH,3.87571377263535532900
12,000011.OF,华夏大盘精选混合A/B,2017/12/31,000069.SZ,3.77995456077552334200
13,000011.OF,华夏大盘精选混合A/B,2017/12/31,601318.SH,3.63210772475012517100
14,000011.OF,华夏大盘精选混合A/B,2017/12/31,000963.SZ,3.59532387963864977500
15,000011.OF,华夏大盘精选混合A/B,2017/12/31,002043.SZ,3.41622275033938105900
16,000011.OF,华夏大盘精选混合A/B,2017/12/31,600703.SH,3.10622841152205464500
17,000011.OF,华夏大盘精选混合A/B,2017/12/31,600309.SH,2.76245719327222866800
18,000011.OF,华夏大盘精选混合A/B,2017/12/31,601088.SH,2.57693839002348835000
19,000011.OF,华夏大盘精选混合A/B,2017/12/31,603833.SH,2.55693230047176027100
20,000011.OF,华夏大盘精选混合A/B,2017/12/31,601098.SH,2.47166829581075616400
21,000011.OF,华夏大盘精选混合A/B,2017/12/31,601668.SH,2.46144731326416774200
22,000011.OF,华夏大盘精选混合A/B,2017/12/31,000820.SZ,1.89492789508160555300
23,000011.OF,华夏大盘精选混合A/B,2017/12/31,300156.SZ,1.31971941656725223500
24,000011.OF,华夏大盘精选混合A/B,2017/12/31,002508.SZ,1.20563177730561690600
25,000011.OF,华夏大盘精选混合A/B,2017/12/31,600011.SH,0.68621967485735533500
26,000011.OF,华夏大盘精选混合A/B,2017/12/31,603899.SH,0.54853086489408047200
27,000011.OF,华夏大盘精选混合A/B,2017/12/31,300124.SZ,0.32275680655365400100
28,000011.OF,华夏大盘精选混合A/B,2017/12/31,603655.SH,0.000303404744410188874400
29,000011.OF,华夏大盘精选混合A/B,2017/12/31,603787.SH,0.000337965228877626603400
30,000011.OF,华夏大盘精选混合A/B,2017/12/31,300514.SZ,0.000378254961781177552000
31,000011.OF,华夏大盘精选混合A/B,2017/12/31,300684.SZ,0.000427390663167587147500
32,000011.OF,华夏大盘精选混合A/B,2017/12/31,603080.SH,0.000598475497307253303600
33,000011.OF,华夏大盘精选混合A/B,2017/12/31,002923.SZ,0.000601602227041314316500
34,000011.OF,华夏大盘精选混合A/B,2017/12/31,603329.SH,0.000665190433994789898300
35,000011.OF,华夏大盘精选混合A/B,2017/12/31,603283.SH,0.000727165227644657046500
36,000011.OF,华夏大盘精选混合A/B,2017/12/31,002866.SZ,0.000745101104397546755400
37,000011.OF,华夏大盘精选混合A/B,2017/12/31,603161.SH,0.000769383493637677450800
38,000011.OF,华夏大盘精选混合A/B,2017/12/31,002922.SZ,0.000824803795741635337900
39,000011.OF,华夏大盘精选混合A/B,2017/12/31,002919.SZ,0.001073203825436043037900
40,000011.OF,华夏大盘精选混合A/B,2017/12/31,300664.SZ,0.001198315277922704915000
41,000011.OF,华夏大盘精选混合A/B,2017/12/31,300730.SZ,0.001264651700138048446500
42,000011.OF,华夏大盘精选混合A/B,2017/12/31,603477.SH,0.001372724811167784773200
43,000011.OF,华夏大盘精选混合A/B,2017/12/31,002915.SZ,0.001415486566109125481500
44,000011.OF,华夏大盘精选混合A/B,2017/12/31,603890.SH,0.001758679076140446688000
45,000011.OF,华夏大盘精选混合A/B,2017/12/31,300735.SZ,0.002008015938421761215000
46,000011.OF,华夏大盘精选混合A/B,2017/12/31,002920.SZ,0.006628080171949326197300
47,000011.OF,华夏大盘精选混合A/B,2017/12/31,002916.SZ,0.009921514575126537056300
48,000011.OF,华夏大盘精选混合A/B,2017/12/31,002419.SZ,0.16971980937314817500
49,000011.OF,华夏大盘精选混合A/B,2017/12/31,600535.SH,0.20880630371553379000
50,000011.OF,华夏大盘精选混合A/B,2017/12/31,600297.SH,0.29732478618887032900
51,000017.OF,财通可持续混合,2017/12/31,300730.SZ,0.02179233260016887500
52,000017.OF,财通可持续混合,2017/12/31,601318.SH,4.26707527435573987700
53,000017.OF,财通可持续混合,2017/12/31,000830.SZ,4.77459722964763479900
54,000017.OF,财通可持续混合,2017/12/31,601336.SH,5.09454000457950896400
55,000017.OF,财通可持续混合,2017/12/31,600487.SH,5.21398145001280545000
56,000017.OF,财通可持续混合,2017/12/31,600036.SH,5.84405754190457240900
57,000017.OF,财通可持续混合,2017/12/31,000725.SZ,6.14313244413463488400
58,000017.OF,财通可持续混合,2017/12/31,000063.SZ,6.18972719701576617400
59,000017.OF,财通可持续混合,2017/12/31,000858.SZ,6.80932180078236551200
60,000017.OF,财通可持续混合,2017/12/31,600519.SH,6.86106974522171336000
61,000017.OF,财通可持续混合,2017/12/31,600887.SH,7.05687185934725143300
62,000017.OF,财通可持续混合,2017/12/31,600702.SH,0.002980809816691744515900
63,000017.OF,财通可持续混合,2017/12/31,002475.SZ,0.003279376313890427267000
64,000017.OF,财通可持续混合,2017/12/31,603655.SH,0.005228235649336741774100
65,000017.OF,财通可持续混合,2017/12/31,300684.SZ,0.007364746736938014068100
66,000017.OF,财通可持续混合,2017/12/31,603080.SH,0.010312860915734712830800
67,000017.OF,财通可持续混合,2017/12/31,002923.SZ,0.010366740362785673339200
68,000017.OF,财通可持续混合,2017/12/31,603329.SH,0.011462485029263601763700
69,000017.OF,财通可持续混合,2017/12/31,603283.SH,0.012530427543314949664900
70,000017.OF,财通可持续混合,2017/12/31,603161.SH,0.01325792784574752400
71,000017.OF,财通可持续混合,2017/12/31,002922.SZ,0.01421292411556588900
72,000017.OF,财通可持续混合,2017/12/31,002919.SZ,0.01849332484914451300
73,000017.OF,财通可持续混合,2017/12/31,600809.SH,0.01947789284772727100
74,000017.OF,财通可持续混合,2017/12/31,300664.SZ,0.02064923100447719600
75,000017.OF,财通可持续混合,2017/12/31,002915.SZ,0.02439150165721817400
76,000017.OF,财通可持续混合,2017/12/31,300735.SZ,0.02525276787639251500
77,000017.OF,财通可持续混合,2017/12/31,002920.SZ,0.11421431497062559800
78,000017.OF,财通可持续混合,2017/12/31,601601.SH,0.56419283554959001700
79,000017.OF,财通可持续混合,2017/12/31,601111.SH,0.60051627103457070600
80,000017.OF,财通可持续混合,2017/12/31,600029.SH,1.20315858901940933400
81,000017.OF,财通可持续混合,2017/12/31,002493.SZ,1.26002702299071646300
82,000017.OF,财通可持续混合,2017/12/31,600703.SH,1.40708948522791349400
83,000017.OF,财通可持续混合,2017/12/31,600622.SH,1.72199451908379839100
