,thscode,x1,ww1,x2,ww2,x3,ww3,x4,ww4,x5,ww5,x6,ww6,x7,ww7,x8,ww8,x9,ww9,x10,ww10
0,570001.OF,138.0,363523360.98,62.0,331094130.92,940.0,326251082.41,30.0,326194635.0,493.0,320336298.0,540.0,303139609.5,107.0,288871800.0,1790.0,275488659.0,153.0,267785730.0,266.0,259724764.68
1,570008.OF,62.0,98838519.36,30.0,94811094.43,138.0,91906493.9,493.0,90068154.0,940.0,90037966.84,107.0,86364000.0,1.0,65210125.22,540.0,65105353.25,153.0,64666215.9,1790.0,60629130.0
2,590005.OF,336.0,37044000.0,385.0,35824017.54,25.0,34160000.0,254.0,34000000.0,23.0,33264000.0,24.0,27972000.0,125.0,25160000.0,247.0,24804000.0,308.0,21897405.5,22.0,20268000.0
3,610004.OF,68.0,65900534.0,202.0,50178829.6,463.0,41521620.0,178.0,41165376.0,54.0,39125784.24,50.0,38398140.0,202.0,35789053.6,30.0,35629875.0,40.0,35541235.75,5.0,35434632.0
4,610006.OF,463.0,34464990.0,859.0,31803540.0,280.0,28621688.79,178.0,27239016.0,68.0,26493718.0,202.0,26415800.0,30.0,22157970.0,540.0,19602550.0,374.0,18068305.26,202.0,17811301.1
5,630002.OF,419.0,158199974.1,93.0,100446662.6,54.0,85264594.56,88.0,73263193.93,47.0,66441766.5,28.0,65435256.72,18.0,65271936.0,14.0,64588788.0,15.0,63890829.37,646.0,60261193.98
6,630006.OF,50.0,5281185.49,361.0,4658000.0,33.0,4020500.0,102.0,3943050.0,3.0,3711823.5,15.0,3618438.0,522.0,3284400.0,17.0,3067418.97,108.0,3034211.98,25.0,3021855.0
7,630010.OF,50.0,27048779.32,361.0,23128340.0,33.0,20754000.0,102.0,20287550.0,3.0,19034946.7,15.0,18607892.0,522.0,16753200.0,17.0,15512805.0,108.0,15351922.46,25.0,15233820.0
8,630016.OF,463.0,9306570.0,385.0,8997600.0,1917.0,7274660.0,940.0,6891257.4,360.0,6270000.0,859.0,5911188.0,27.0,5514642.0,308.0,5233383.0,145.0,5005263.0,124.0,4954656.0
9,660004.OF,1917.0,33350730.0,52.0,17401544.0,1790.0,15986700.0,134.0,15960000.0,302.0,14274400.0,73.0,14207277.0,493.0,14164056.0,154.0,14032356.0,360.0,12276000.0,86.0,11851875.0
10,660006.OF,332.0,5020938.36,1790.0,4469400.0,1917.0,3739790.0,405.0,3055223.84,270.0,2450175.0,280.0,2433561.0,336.0,2198385.0,963.0,2176200.0,14.0,2027464.66,447.0,1971915.0
11,660010.OF,138.0,257816173.42,134.0,241823450.0,23.0,211879061.76,332.0,196708314.54,493.0,194681975.64,17.0,166671264.11,1790.0,159523200.0,45.0,127662200.79,14.0,111042142.12,73.0,106946092.89
12,660012.OF,493.0,40893600.0,138.0,34406889.66,1790.0,30426300.0,117.0,22373120.0,23.0,21225031.12,51.0,21030722.0,71.0,19495986.92,86.0,19436000.0,616.0,19352494.0,302.0,18990050.0
13,688888.OF,546.0,74780000.0,71.0,68530000.0,733.0,63350000.0,80.0,61920000.0,4.0,49800000.0,97.0,49048000.0,7.0,42210000.0,15.0,40560000.0,10.0,38176272.5,5.0,35550000.0
14,690004.OF,1917.0,10768033.7,281.0,8658670.76,87.0,7385136.0,360.0,6688000.0,940.0,5574511.8,204.0,5508221.0,25.0,5477260.0,87.0,5151984.0,194.0,5073003.0,657.0,5054956.0
15,690005.OF,94.0,25086768.0,88.0,21037305.0,57.0,18812079.0,97.0,18393000.0,58.0,18178818.0,57.0,18101718.0,522.0,18091800.0,209.0,17832075.0,242.0,17616000.0,23.0,17376829.22
16,690007.OF,940.0,129222987.6,859.0,92632586.4,204.0,91513614.77,473.0,90397115.4,463.0,82961424.0,657.0,80336586.0,60.0,74903261.65,1790.0,73860273.0,103.0,70970060.8,272.0,69994361.0
17,700001.OF,65.0,12845408.0,243.0,10308256.0,138.0,8235920.0,679.0,8225190.0,336.0,7276500.0,47.0,7070700.0,129.0,7047712.0,75.0,7039120.0,4.0,6936984.0,64.0,6744000.0
18,700003.OF,254.0,193625393.0,940.0,171259513.36,76.0,122458585.95,199.0,122048324.76,94.0,121560055.0,196.0,100390355.0,243.0,69430200.0,59.0,68283720.0,859.0,67225716.0,74.0,64351470.79
19,720001.OF,55.0,323967764.0,65.0,307594875.0,45.0,301644187.68,82.0,281509208.4,336.0,267213696.75,10.0,212002769.28,86.0,210946906.01,88.0,206563000.54,385.0,193675508.52,22.0,188172557.6
20,750001.OF,679.0,347868720.0,419.0,335881909.44,266.0,299930368.4,243.0,283544224.0,94.0,252836261.6,1917.0,188427013.8,129.0,149631020.0,263.0,146521653.6,333.0,141141691.9,179.0,113579025.0
21,160133.SZ,662.0,104656160.31,1917.0,97029620.0,1790.0,44621802.0,36.0,39184528.0,540.0,34641823.0,361.0,33729400.0,59.0,29803693.75,145.0,22903260.0,28.0,22509897.6,204.0,22261214.91
22,160322.SZ,352.0,123212856.45,97.0,81605951.05,248.0,65456390.02,43.0,56781080.93,112.0,53885166.97,20.0,45740639.6,40.0,40570045.34,2.0,37829762.58,247.0,28295640.0,134.0,28109004.0
23,000041.OF,,,,,,,,,,,,,,,,,,,,
24,000043.OF,,,,,,,,,,,,,,,,,,,,
25,000082.OF,16.0,20964825.0,14.0,19876546.15,546.0,19101578.86,1917.0,16635917.9,733.0,16633784.16,963.0,16149510.0,117.0,12076400.0,1790.0,12074256.0,522.0,10584600.0,83.0,9429556.0
26,000309.OF,5.0,38212808.38,41.0,36682800.0,8.0,36224598.0,473.0,30954060.0,52.0,27267818.4,6.0,25845611.0,5.0,23755460.0,185.0,23095039.38,85.0,20697992.0,522.0,15097200.0
27,000409.OF,1917.0,297669353.5,194.0,296485815.6,178.0,287612851.68,940.0,276826704.24,360.0,203953200.0,154.0,169044322.8,281.0,162027814.08,374.0,154031459.34,52.0,125163600.0,64.0,119011500.0
28,000457.OF,62.0,93940878.3,5.0,85698230.67,497.0,67774600.0,97.0,42483109.13,52.0,40623022.34,2.0,38939306.6,43.0,38176777.6,5.0,38108508.0,38.0,37176936.0,58.0,36194646.0
29,000471.OF,616.0,57462335.63,540.0,40618450.0,44.0,35104825.96,474.0,31434905.0,546.0,31277146.29,17.0,31218984.0,209.0,31142456.9,153.0,30516110.1,21.0,29696462.8,32.0,29219516.48
30,000513.OF,234.0,51681000.0,1790.0,47272500.0,27.0,43416000.0,33.0,41520000.0,546.0,37401217.0,13.0,36904351.0,28.0,36338336.08,859.0,36175122.0,23.0,33771644.3,15.0,33458889.0
31,000524.OF,385.0,8233328.0,1790.0,7047900.0,336.0,5486966.1,463.0,5072592.0,27.0,5043456.0,88.0,5011602.0,19.0,4769856.0,80.0,4662934.0,646.0,4525675.83,302.0,4435260.0
32,000549.OF,19.0,3683504.37,83.0,2574254.4,178.0,2538658.0,374.0,2186157.0,243.0,2033040.0,360.0,2002000.0,1917.0,1741820.0,12.0,1653451.53,107.0,1594800.0,84.0,1365595.4
33,000577.OF,1917.0,244973150.9,679.0,229968064.2,1790.0,224925993.0,546.0,215391226.96,243.0,154664857.6,385.0,126592320.0,940.0,120372493.6,266.0,118698944.0,646.0,109516873.83,35.0,83986403.34
34,000592.OF,54.0,51857395.0,1917.0,51333484.6,107.0,36938820.0,97.0,33487606.4,679.0,29167830.0,47.0,27611700.0,115.0,26910806.0,1790.0,26300700.0,85.0,23800944.0,13.0,23315416.0
35,000628.OF,251.0,494909646.0,474.0,462430800.0,216.0,460639977.16,99.0,439044078.92,73.0,431561200.6,39.0,406311065.34,61.0,378168195.24,15.0,375751741.28,10.0,259978317.48,17.0,234532377.4
36,000746.OF,247.0,221413597.65,134.0,218334116.0,125.0,213422845.0,344.0,195134456.0,129.0,161376176.15,67.0,131076180.0,47.0,129499368.25,679.0,126604560.0,87.0,96739326.0,546.0,87825819.68
37,000751.OF,33.0,657654206.2,103.0,634526848.0,60.0,617611720.88,191.0,576070419.96,540.0,538899294.0,124.0,529118021.84,53.0,294759650.64,58.0,288500793.32,182.0,239804643.0,131.0,233011109.59
38,000778.OF,616.0,34127639.91,1790.0,32145300.0,657.0,29756014.0,511.0,29486955.0,321.0,27184073.1,251.0,27116258.4,963.0,26357760.0,92.0,17382713.28,48.0,16001958.0,153.0,14422230.0
39,000780.OF,42.0,72083930.63,96.0,39817008.0,859.0,39338506.62,22.0,29859594.0,13.0,28131620.0,82.0,26842267.86,33.0,24608010.0,13.0,24154147.65,13.0,23492694.5,40.0,22638275.0
40,000828.OF,1917.0,416909740.0,254.0,365773887.0,385.0,322689046.2,80.0,320486463.0,105.0,283823408.8,132.0,269097466.0,940.0,257178607.56,31.0,256528266.0,50.0,237074245.65,154.0,218924639.06
41,000831.OF,859.0,410540997.0,242.0,372187545.0,196.0,270620000.0,540.0,239655000.0,54.0,237513267.36,124.0,203616000.0,159.0,158057360.1,202.0,150640000.0,96.0,136080000.0,38.0,133680000.0
42,000866.OF,23.0,9062042.0,65.0,8980185.24,44.0,8881521.44,242.0,8000600.0,38.0,7548588.0,33.0,7546368.0,497.0,7519271.7,40.0,7501320.0,474.0,6760900.0,13.0,6668973.0
43,000893.OF,216.0,56551174.86,58.0,54320400.0,22.0,48529800.0,4.0,44520000.0,32.0,43274400.0,138.0,39131400.0,9.0,36785029.71,80.0,36687600.0,59.0,36180000.0,149.0,32034872.8
44,000925.OF,1917.0,123648728.0,134.0,106365952.0,209.0,81026490.78,141.0,62633597.6,37.0,60295590.0,54.0,57927448.41,266.0,43266315.0,163.0,42726920.0,385.0,42687076.4,77.0,41805388.8
45,000955.OF,1917.0,27339914.1,332.0,20083753.42,36.0,12922252.0,1790.0,10760940.0,154.0,8792480.0,361.0,8631000.0,59.0,7245826.0,540.0,6913125.0,302.0,5811720.0,28.0,5623690.8
46,000960.OF,859.0,262046672.58,522.0,250689972.0,242.0,244127299.0,152.0,242040700.0,42.0,217290009.42,540.0,215091898.75,549.0,177956276.9,11.0,123779898.0,91.0,122934832.0,202.0,121979879.2
47,000971.OF,1790.0,118284390.0,21.0,105572867.56,263.0,103656817.47,657.0,89290370.64,302.0,88413849.3,130.0,60003393.84,30.0,58068780.0,115.0,52708993.18,963.0,45961110.0,49.0,40012116.6
48,000978.OF,17.0,15121953.25,13.0,15010902.0,11.0,14589017.82,20.0,14524345.28,4.0,14364345.0,22.0,14227256.0,86.0,13937375.0,333.0,13775085.5,270.0,13723744.3,419.0,13087494.0
49,000979.OF,112.0,155309611.24,18.0,155237532.73,13.0,151301456.86,28.0,146807250.96,13.0,146484561.84,352.0,63651579.56,65.0,37118056.64,76.0,36112685.72,540.0,35561115.0,8.0,34960536.53
