,thscode,x1,ww1,x2,ww2,x3,ww3,x4,ww4,x5,ww5,x6,ww6,x7,ww7,x8,ww8,x9,ww9,x10,ww10
0,570001.OF,1560.0,399501217.08,367.0,328362602.4,689.0,312985711.36,450.0,307530400.66,742.0,305297196.78,1369.0,299000910.2,481.0,289261894.18,1441.0,266354178.81,2354.0,261327913.0,449.0,220825167.64
1,570008.OF,1560.0,171505346.04,367.0,163191268.8,481.0,154227196.34,742.0,152149696.53,689.0,148952033.72,450.0,141648698.31,1369.0,135085104.24,2354.0,120769110.0,449.0,112217414.32,556.0,91272053.68
2,590005.OF,612.0,29070000.0,668.0,28488600.0,172.0,26712000.0,250.0,25792000.0,68.0,24900000.0,679.0,23940000.0,730.0,23673750.0,639.0,23397000.0,230.0,23094000.0,134.0,22284000.0
3,610004.OF,569.0,31515167.87,236.0,30880927.0,646.0,29480112.0,1039.0,29064391.29,117.0,27878120.0,243.0,25821054.72,639.0,25483934.41,730.0,24584400.25,479.0,24393532.66,300.0,21544940.16
4,610006.OF,1267.0,31096206.18,1039.0,29124421.2,970.0,26626813.6,646.0,25725628.8,1363.0,24573640.0,639.0,24356277.0,1369.0,21220436.4,1444.0,19858192.2,569.0,19826417.85,117.0,17381945.0
5,630002.OF,1074.0,174232150.0,316.0,98324600.78,377.0,85684477.12,174.0,84941271.69,197.0,74862840.0,363.0,71877367.04,642.0,63504454.3,778.0,60856017.46,561.0,52478087.8,119.0,51529624.9
6,630006.OF,171.0,5749882.89,335.0,4588248.0,658.0,4080510.0,603.0,3519601.26,50.0,3400920.0,183.0,2909914.0,41.0,2784081.0,177.0,2710138.8,171.0,2707179.3,1051.0,2523360.0
7,630010.OF,171.0,28684796.6,335.0,23046960.0,658.0,20505420.0,603.0,17759412.06,50.0,17056008.6,183.0,14552152.0,41.0,14017902.0,177.0,13543118.4,171.0,13525109.46,1051.0,12999810.0
8,630016.OF,485.0,5593302.0,578.0,4414086.0,1363.0,4147780.0,226.0,3828726.0,942.0,3629262.0,1578.0,3396972.0,347.0,3345615.0,1267.0,3342955.2,876.0,3286544.0,437.0,3264250.0
9,660004.OF,2345.0,19671000.0,1363.0,14991373.8,1267.0,14526564.0,2354.0,13125200.0,462.0,12998250.0,500.0,12912510.0,139.0,12073620.0,942.0,10903970.0,1042.0,10635050.6,1560.0,10406592.0
