,thscode,x1,ww1,x2,ww2,x3,ww3,x4,ww4,x5,ww5,x6,ww6,x7,ww7,x8,ww8,x9,ww9,x10,ww10
473,519029.OF,20.0,65653649.87,67.0,56525638.05,30.0,50840640.0,86.0,44434305.86,164.0,43615280.8,141.0,41578251.87,12.0,41163922.2,22.0,40719156.16,20.0,39219616.0,1668.0,39115265.7
474,519035.OF,138.0,198834000.0,291.0,184418329.5,624.0,166529949.74,2045.0,163350600.0,226.0,159676294.8,370.0,142884521.2,1536.0,126634292.96,181.0,105352610.7,381.0,102762060.0,103.0,80049069.0
475,519069.OF,2045.0,682193366.0,1488.0,520820456.31,1104.0,434943856.0,764.0,433140606.54,394.0,433121678.99,1032.0,430117524.61,807.0,366179575.3,1185.0,346118854.44,1011.0,326931696.0,841.0,318832080.84
476,519087.OF,413.0,80660000.0,192.0,76820739.92,518.0,56096205.0,194.0,50871075.0,252.0,49713897.0,327.0,49055124.04,454.0,48705432.84,124.0,45463688.01,253.0,42117758.9,99.0,40566444.0
477,519089.OF,813.0,41779646.0,1536.0,32977011.48,1204.0,30806268.0,2311.0,30599518.55,935.0,29031275.0,2045.0,27394200.0,225.0,27107786.19,193.0,26479676.0,215.0,25324430.0,818.0,24416747.0
478,519093.OF,1488.0,6542800.0,131.0,6231837.92,1087.0,6206700.0,411.0,6064200.0,1104.0,5568000.0,2045.0,5073000.0,715.0,4877138.69,188.0,4584000.0,700.0,4452840.0,1357.0,4419000.0
479,519133.OF,269.0,265979374.01,279.0,252944712.74,406.0,244693246.9,678.0,241141789.58,770.0,202251076.0,278.0,200625160.88,1357.0,178810416.0,1495.0,174567844.44,223.0,173768991.51,2311.0,172013244.81
480,519139.OF,1052.0,6053425.65,777.0,5694286.78,42.0,3335723.64,59.0,3217249.21,36.0,3046221.92,85.0,2067540.15,21.0,1954228.81,87.0,1867193.9,158.0,1706769.38,32.0,1703819.04
481,519181.OF,215.0,60702373.2,765.0,52661140.0,57.0,50759007.0,176.0,49862307.0,576.0,46254768.0,1204.0,44568168.0,271.0,33881484.6,1536.0,31585851.36,962.0,31300920.0,979.0,29131536.0
482,519195.OF,765.0,374542560.0,576.0,312460136.0,1204.0,307048377.0,270.0,287067322.74,73.0,278159700.5,962.0,265232520.0,215.0,263466141.3,1536.0,229893223.7,979.0,227942350.16,57.0,204619527.0
483,519196.OF,765.0,169744628.5,1204.0,164775816.0,576.0,160211720.0,962.0,137151000.0,406.0,135153087.0,1536.0,130244414.86,979.0,124326104.0,73.0,89860959.1,215.0,89823595.0,57.0,85606124.28
484,519224.OF,70.0,49523100.0,682.0,32961743.89,2311.0,12560571.0,1495.0,11262042.0,1357.0,11004134.88,985.0,10097808.0,550.0,5994660.0,1029.0,5936040.0,2045.0,5918500.0,1003.0,5821920.0
485,519621.OF,1011.0,5393376.0,2045.0,5073000.0,888.0,3967632.0,478.0,3206685.0,1488.0,3126640.55,755.0,3033577.81,1032.0,2936962.0,835.0,2719289.24,1104.0,2533440.0,511.0,2358212.9
486,519651.OF,2045.0,35680100.0,1488.0,31172189.18,777.0,24431493.7,430.0,22927149.6,411.0,19526724.0,328.0,19335048.0,687.0,18099846.0,322.0,17645096.32,700.0,16277604.0,775.0,16104106.8
487,519664.OF,2045.0,27679979.0,1488.0,23423224.0,775.0,22838116.4,430.0,22283575.2,411.0,15628791.0,328.0,14722152.0,322.0,14352674.76,700.0,13878018.0,157.0,13110160.0,687.0,12914184.6
488,519668.OF,2311.0,13100515.4,2045.0,11837000.0,1051.0,8351509.2,1429.0,7921746.0,1357.0,6439956.0,673.0,5941420.0,532.0,5867397.0,1372.0,5551588.0,507.0,5046580.0,472.0,4634591.0
489,519672.OF,2311.0,51477750.0,538.0,45080640.0,1051.0,45036000.0,1372.0,28207432.02,602.0,26582301.6,1144.0,25032000.0,487.0,23143750.0,201.0,22260766.32,873.0,20590000.0,699.0,19608000.0
490,519674.OF,908.0,1349375000.0,293.0,1310586070.0,1260.0,1297663780.0,930.0,1247844000.0,309.0,1233100000.0,211.0,1231700000.0,356.0,1208376405.74,566.0,1177744200.0,174.0,1080156457.31,1144.0,996586500.0
491,519688.OF,668.0,554061358.1,1429.0,550533893.33,2045.0,535071293.0,2311.0,461877133.78,331.0,289491462.0,1357.0,238519295.88,1267.0,185096712.8,521.0,172990005.74,608.0,172728369.3,640.0,170718766.02
492,519690.OF,639.0,143775000.0,708.0,93332619.5,98.0,80224765.03,394.0,74252919.4,334.0,68703020.19,413.0,57274104.5,2311.0,45758000.0,1029.0,44970000.0,507.0,41470000.0,379.0,40300000.0
493,519692.OF,311.0,192054016.8,362.0,179283039.45,708.0,175384786.5,164.0,173415505.33,1029.0,158253327.4,220.0,136453221.0,120.0,121573972.6,524.0,104620896.0,625.0,99955736.56,69.0,86809824.66
494,519694.OF,311.0,130456555.92,362.0,121296756.1,708.0,119622312.25,164.0,117680282.26,1029.0,99146258.4,220.0,94704606.0,625.0,72033540.0,82.0,70180737.7,524.0,67822551.0,69.0,60546364.72
495,519696.OF,,,,,,,,,,,,,,,,,,,,
496,519704.OF,639.0,717136185.15,708.0,664528034.5,182.0,325174068.88,153.0,323134978.8,2311.0,304045894.7,750.0,303482287.2,93.0,274688476.4,1032.0,265225467.58,93.0,241083549.6,687.0,239650110.0
497,519710.OF,388.0,62116257.28,2045.0,59687227.0,1429.0,57417988.6,668.0,57315623.3,331.0,50408330.0,683.0,32357952.2,945.0,31661767.23,360.0,26838305.0,237.0,19794877.2,687.0,12843858.0
498,519712.OF,2311.0,526983675.29,817.0,518157178.55,945.0,509155946.16,1029.0,460568349.6,537.0,434362654.74,558.0,318564124.7,550.0,317042250.6,274.0,269469753.42,639.0,184330285.2,683.0,173547882.55
499,519727.OF,371.0,103769729.0,639.0,102500456.4,2045.0,100952700.0,624.0,93557328.62,835.0,56045752.15,2311.0,38927932.13,1032.0,32930719.0,668.0,29002080.0,708.0,27116633.75,807.0,23737472.0
500,519736.OF,2311.0,841876503.89,2045.0,836135242.0,331.0,829987531.0,668.0,748921053.35,687.0,748284462.57,835.0,479755827.88,640.0,479042292.24,945.0,463202570.4,1357.0,256182922.68,775.0,254460743.6
501,519756.OF,2311.0,396138903.08,640.0,391775241.51,639.0,262114381.35,708.0,259520811.25,1267.0,232536777.0,732.0,218619346.62,435.0,205077398.89,1260.0,199325375.0,381.0,178631132.75,433.0,168465390.78
502,519767.OF,695.0,33370880.4,127.0,30391142.47,435.0,28060843.7,639.0,27176850.0,775.0,26776320.0,261.0,21231668.48,268.0,21154800.0,642.0,20250351.0,1267.0,19610978.5,342.0,18897626.0
