,thscode,x1,ww1,x2,ww2,x3,ww3,x4,ww4,x5,ww5,x6,ww6,x7,ww7,x8,ww8,x9,ww9,x10,ww10
0,161818.OF,1738.0,22426119.95,48.0,19484640.0,171.0,19210724.0,811.0,18467029.35,684.0,17926415.92,246.0,17400280.0,82.0,17055392.35,57.0,15382779.72,270.0,15356700.0,31.0,13321326.47
1,161910.OF,146.0,4479195.0,672.0,3892980.0,18.0,3113644.0,234.0,2733204.0,28.0,2403755.0,89.0,2324266.0,17.0,2289809.86,152.0,2182400.0,66.0,2119169.0,24.0,1982365.0
2,162209.OF,267.0,58991170.0,187.0,57754229.0,570.0,56028882.42,123.0,54916992.0,234.0,52026309.42,228.0,44826852.0,73.0,39890370.0,92.0,28415116.0,48.0,26018400.0,346.0,25418496.0
3,162214.OF,13.0,1889252.0,234.0,1871500.0,163.0,1867559.4,165.0,1784907.53,347.0,1764446.0,42.0,1692451.15,94.0,1606982.4,35.0,1556919.2,599.0,1528560.0,24.0,1480405.15
4,163411.OF,570.0,115043248.96,811.0,102543044.8,216.0,100716065.57,53.0,69772436.4,212.0,66135192.3,108.0,61700994.63,729.0,60481808.22,35.0,57160748.0,52.0,57129243.57,227.0,56321244.0
5,163805.OF,35.0,34779431.3,35.0,33454260.0,1738.0,32562747.75,771.0,28982774.8,757.0,25588128.33,158.0,23581703.0,42.0,19935278.98,3.0,16687954.71,811.0,15403815.0,447.0,10587452.4
6,163807.OF,1738.0,173221947.6,42.0,99916557.38,241.0,86121813.0,1453.0,85542832.93,162.0,81577440.0,545.0,75612493.74,619.0,67428984.0,221.0,60715731.72,672.0,59128521.9,109.0,50110668.0
7,163822.OF,672.0,151210395.0,109.0,141700402.41,162.0,123294780.0,874.0,96611589.09,286.0,94781495.0,757.0,92300034.33,241.0,81264981.0,16.0,81034588.64,55.0,78367228.0,359.0,77463540.0
8,166002.OF,98.0,639372986.28,125.0,507430958.9,79.0,367419995.54,346.0,317440008.96,227.0,281893787.28,1738.0,276442530.65,421.0,244848364.0,212.0,243302201.1,288.0,230261984.96,170.0,210504211.02
9,166005.OF,13.0,322686131.86,16.0,185588263.08,13.0,145811726.94,30.0,135753060.66,48.0,130142725.12,21.0,123474786.24,38.0,122731200.0,57.0,120324960.0,13.0,116167126.0,5.0,91961543.97
