,thscode,x1,ww1,x2,ww2,x3,ww3,x4,ww4,x5,ww5,x6,ww6,x7,ww7,x8,ww8,x9,ww9,x10,ww10
0,570001.OF,862.0,356531978.43,123.0,332577858.24,22.0,323881539.84,158.0,309156699.56,471.0,309026180.7,1716.0,291780580.0,92.0,254538171.03,44.0,254326095.25,62.0,193196807.68,5.0,189552227.34
1,570008.OF,22.0,153699454.08,123.0,153180982.27,862.0,151821717.3,158.0,144653033.64,471.0,134995302.81,1716.0,127272600.0,92.0,122025017.4,44.0,109143518.0,5.0,78784966.26,62.0,75202434.56
2,590005.OF,105.0,25734000.0,13.0,23854500.0,8.0,23680000.0,9.0,22912500.0,8.0,22668755.6,140.0,21489785.1,54.0,21351708.0,118.0,20664000.0,9.0,17178000.0,246.0,17070000.0
3,610004.OF,31.0,25607137.6,86.0,24147635.6,309.0,23493516.82,93.0,20335888.65,85.0,18987661.1,214.0,16318807.29,172.0,15243813.23,50.0,12407520.86,21.0,11978679.0,58.0,11352250.0
4,610006.OF,174.0,26215455.87,310.0,24142089.56,503.0,23048228.0,214.0,21753304.9,86.0,20707481.04,95.0,14307513.5,31.0,14057780.0,21.0,13045947.0,50.0,12419431.77,394.0,9420750.0
5,630002.OF,433.0,225524204.85,160.0,129652487.54,110.0,110856517.08,33.0,107852223.76,98.0,101492575.84,57.0,94720047.12,20.0,80575992.0,99.0,74935909.3,23.0,61871767.5,18.0,60101412.0
6,630006.OF,8.0,5444998.38,128.0,4443494.0,4.0,3682896.0,74.0,3634993.44,7.0,3494400.0,26.0,3412360.0,35.0,3344592.0,23.0,3098026.02,79.0,2988636.0,435.0,2817486.0
7,630010.OF,8.0,27291303.05,128.0,22543598.0,3.0,20600271.38,4.0,19172244.0,74.0,18695165.28,7.0,17854200.0,26.0,17771320.0,35.0,17159088.0,23.0,15650528.88,79.0,15382997.0
8,630016.OF,862.0,4586220.0,111.0,4538975.0,629.0,4521960.0,1458.0,4477107.3,127.0,4356100.0,285.0,4073256.0,259.0,3748966.65,6.0,3537686.4,137.0,3333000.0,24.0,3159855.0
9,660004.OF,1458.0,20383710.0,318.0,16466268.0,21.0,15354128.0,37.0,14578337.28,7.0,14510381.47,1021.0,14282500.0,862.0,13249080.0,380.0,12615628.4,503.0,12393508.26,1716.0,12376000.0
