,thscode,x1,ww1,x2,ww2,x3,ww3,x4,ww4,x5,ww5,x6,ww6,x7,ww7,x8,ww8,x9,ww9,x10,ww10
0,570001.OF,628.0,418636667.53,1523.0,402590204.94,639.0,383708092.05,2095.0,373219283.1,503.0,370928343.8,736.0,359892192.0,704.0,342759117.0,2563.0,327733745.0,1295.0,293822942.4,34.0,223589976.62
1,570008.OF,628.0,134876115.22,1523.0,130738436.22,639.0,129860667.0,2095.0,126794491.32,2563.0,122025150.0,736.0,119206896.0,450.0,90161808.75,503.0,86191676.2,704.0,80735953.75,1295.0,78458479.2
2,590005.OF,319.0,41604000.0,111.0,34803000.0,275.0,34037839.94,2563.0,32740450.0,42.0,32250877.2,1111.0,30527750.0,600.0,30475161.0,453.0,30192000.0,393.0,29187000.0,1624.0,28077300.0
3,610004.OF,290.0,59152250.97,752.0,51690426.9,888.0,50563921.5,453.0,49875838.22,1098.0,44280648.0,1041.0,42131574.3,523.0,41730141.6,251.0,39168954.0,430.0,34350376.0,606.0,32394140.0
4,610006.OF,1041.0,38241252.0,888.0,33826839.75,1098.0,31967820.0,752.0,28097475.0,523.0,28050682.1,1085.0,26780870.0,2094.0,25008904.2,245.0,24649376.0,1324.0,24570000.0,453.0,23510760.0
5,630002.OF,976.0,137022385.95,347.0,93645213.6,542.0,93368351.43,233.0,86051189.21,175.0,83924610.0,830.0,68322444.0,487.0,67700688.3,376.0,63956771.72,209.0,61579984.96,229.0,58517000.0
6,630006.OF,114.0,5520253.65,509.0,4807486.56,280.0,4563419.14,473.0,3905200.0,177.0,3281520.0,202.0,3079531.0,177.0,3051048.0,628.0,3048227.0,646.0,3038447.0,66.0,3002545.67
7,630010.OF,114.0,27539231.0,509.0,24393655.2,280.0,23372577.52,473.0,19435884.0,177.0,16583880.0,202.0,15367133.6,646.0,15355404.64,628.0,15281168.0,177.0,15255240.0,66.0,14815245.71
8,630016.OF,1171.0,10197203.66,2094.0,9016638.12,2602.0,7648482.0,1098.0,6924780.0,1041.0,6192072.0,1159.0,5960710.0,1193.0,5940480.0,722.0,5479560.0,452.0,5061997.72,205.0,4723838.0
9,660004.OF,2602.0,31719600.0,2563.0,19018500.0,1030.0,18840314.0,440.0,18694902.0,831.0,18477432.0,1235.0,18188800.0,386.0,16121438.0,1523.0,16074408.0,440.0,15512280.0,633.0,14375166.0
10,660006.OF,2563.0,5317000.0,2602.0,4111800.0,748.0,4044893.15,1193.0,2283840.0,732.0,2252500.64,19.0,2047532.05,1206.0,1962300.0,1213.0,1933478.0,867.0,1900283.0,1086.0,1858750.0
11,660010.OF,1235.0,286818537.6,1030.0,277175219.51,736.0,274914292.0,1523.0,274806550.62,2563.0,265645500.0,382.0,213045154.56,281.0,191232833.82,748.0,185893176.98,246.0,135455411.12,309.0,108307865.28
12,660012.OF,1523.0,46522098.0,953.0,46461858.3,2563.0,36196500.0,448.0,30343690.0,190.0,25958712.0,718.0,25565184.0,1235.0,24197600.0,500.0,22093214.24,382.0,21341844.72,435.0,21106250.0
13,688888.OF,1113.0,107430000.0,365.0,105100000.0,1730.0,101600000.0,87.0,92850000.0,509.0,84945000.0,351.0,76400000.0,233.0,71960000.0,190.0,70650000.0,103.0,60960000.0,356.0,58350000.0
14,690004.OF,2602.0,11971746.0,1159.0,7613680.0,2095.0,7515064.44,880.0,6904412.8,452.0,6820800.91,1741.0,6582918.0,807.0,5836050.0,1041.0,5661864.0,678.0,5619264.0,462.0,5530072.0
15,690005.OF,1111.0,21624748.0,478.0,21363396.45,509.0,21323460.2,487.0,20189161.16,1624.0,20048752.05,409.0,19495987.2,262.0,18829878.6,649.0,18016345.0,1170.0,18001344.0,1439.0,17917452.0
16,690007.OF,2095.0,173015189.28,1523.0,125550314.26,1624.0,110404207.19,1741.0,98804349.0,1098.0,97057716.48,2563.0,95638515.0,968.0,93621515.13,616.0,92189214.0,346.0,90546248.54,880.0,88509075.92
17,700001.OF,310.0,10820128.0,406.0,10197760.0,111.0,8887655.0,584.0,8708623.0,245.0,7471401.0,635.0,6951256.0,509.0,6686100.0,216.0,6652529.94,149.0,6507208.45,1438.0,6468930.0
18,700003.OF,857.0,217879869.9,2094.0,206926927.56,91.0,183215326.92,606.0,162755850.0,1193.0,150095462.4,1384.0,135265013.23,616.0,131828009.28,637.0,122314426.0,561.0,104413202.3,435.0,104059230.28
19,720001.OF,179.0,320255075.16,157.0,316379509.56,744.0,306909954.94,141.0,285529359.36,453.0,265567259.5,406.0,263226952.0,153.0,260089478.0,163.0,249298322.5,169.0,234288280.45,246.0,199380855.94
