,thscode,x1,ww1,x2,ww2,x3,ww3,x4,ww4,x5,ww5,x6,ww6,x7,ww7,x8,ww8,x9,ww9,x10,ww10
0,570001.OF,836.0,376658784.26,76.0,353826470.64,188.0,344301276.0,144.0,332978190.72,551.0,332565441.0,817.0,329571452.7,147.0,311149121.95,69.0,272178560.0,2071.0,256380827.5,9.0,233742425.4
1,570008.OF,76.0,140009380.56,836.0,131820575.38,551.0,131440998.0,817.0,127902644.04,188.0,124586462.88,69.0,121408640.0,144.0,110294102.94,147.0,104628453.4,2071.0,101358425.0,43.0,94705643.34
2,590005.OF,198.0,27680756.4,51.0,27120000.0,37.0,25701970.58,265.0,22104000.0,5.0,22050000.0,19.0,21105319.0,30.0,20376000.0,396.0,20223000.0,189.0,19524400.0,551.0,17957043.0
3,610004.OF,246.0,37402892.1,95.0,35625173.2,18.0,33889350.0,282.0,33653518.74,185.0,33215192.55,452.0,32011488.0,49.0,31360888.0,303.0,30974931.24,26.0,28448364.0,62.0,26199628.0
4,610006.OF,452.0,33969456.0,246.0,32639391.54,303.0,31038907.2,282.0,30884030.85,95.0,30515197.0,185.0,24547545.0,1545.0,24334023.0,817.0,24057527.4,174.0,20756125.6,49.0,19553443.0
5,630002.OF,189.0,136598005.6,88.0,96165933.88,88.0,88716407.49,161.0,84200399.61,12.0,79984849.34,363.0,57603905.1,14.0,57404014.32,132.0,53896128.0,110.0,51888814.0,331.0,50253390.0
6,630006.OF,13.0,4783942.5,89.0,3688516.0,18.0,3492960.0,22.0,3335921.94,4.0,3094596.0,2.0,2902440.0,83.0,2887803.2,25.0,2775326.0,6.0,2659034.0,17.0,2503579.76
7,630010.OF,13.0,23865950.0,89.0,18488860.0,18.0,17194612.65,22.0,16816474.83,4.0,15519758.18,2.0,14602260.0,83.0,14596826.4,25.0,13920085.0,6.0,13284574.8,17.0,12626509.04
8,630016.OF,452.0,7107840.0,74.0,5865888.0,265.0,5222684.0,516.0,5177016.0,255.0,4873960.0,189.0,4832289.0,396.0,4669266.0,247.0,4657400.0,346.0,4477840.0,75.0,4130496.0
9,660004.OF,1545.0,19242720.0,2071.0,17788750.0,587.0,16961840.0,452.0,15868800.0,221.0,15396048.0,109.0,15278400.0,836.0,15039032.0,74.0,12866802.0,516.0,11647290.42,725.0,11370600.0
