,thscode,bondfundtype20230630,bondfundtype20221231,bondfundtype20220630,bondfundtype20211231,bondfundtype20210630,bondfundtype20201231,bondtype
69,000254.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
70,000265.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
71,000295.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
72,000345.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
73,000346.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
74,000355.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
75,000395.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
76,000402.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
77,000469.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
78,000516.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
79,000546.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
80,000552.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
81,000606.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
82,000799.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
83,000815.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
84,000914.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
85,000943.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
86,001001.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
87,001246.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
88,001299.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
89,001368.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
90,001545.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
91,001578.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
92,001785.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
93,001819.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
94,001911.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
95,001960.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
96,001961.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
97,001993.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
98,002109.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
99,002140.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
100,002143.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
101,002169.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
102,002175.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
103,002188.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
104,002198.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
105,002206.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
106,002268.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
107,002301.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
108,002336.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
109,002338.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
110,002341.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
111,002354.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
112,002377.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
113,002381.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
114,002395.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
115,002438.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
116,002445.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
117,002447.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
118,002452.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
119,002466.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
120,002483.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
121,002548.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
122,002549.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
123,002552.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
124,002568.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
125,002578.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
126,002600.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
127,002603.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
128,002625.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
129,002638.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
130,002698.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
131,002716.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
132,002750.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
133,002754.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
134,002755.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
135,002781.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
136,002817.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
137,002832.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
138,002864.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
139,002868.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
140,002898.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
141,002904.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
142,002927.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
143,002929.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
144,002930.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
145,002970.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
146,002985.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
147,002991.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
148,002994.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
149,003039.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
150,003102.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
151,003155.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
152,003162.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
153,003188.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
154,003192.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
155,003193.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
156,003209.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
157,003213.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
158,003214.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
159,003223.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
160,003258.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
161,003260.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
