,thscode,久期标签20230930,久期标签20230630,久期标签20230331,久期标签20221231,久期标签20220930,久期标签20220630,Duration
122,004978.OF,中,中,长,长,中,中,轮动基金
123,070025.OF,中,长,中,长,中,长,轮动基金
124,004042.OF,中,长,长,长,长,长,轮动基金
125,002832.OF,中,中,中,中,中,中,稳定中
126,003605.OF,中,长,中,中,长,长,轮动基金
127,161019.SZ,中,长,短,中,长,短,轮动基金
128,002864.OF,中,短,中,中,短,短,轮动基金
129,005622.OF,中,长,长,长,中,中,轮动基金
130,003590.OF,中,中,长,中,中,中,轮动基金
131,003640.OF,中,长,中,中,中,长,轮动基金
132,002354.OF,中,中,长,长,中,中,轮动基金
133,100018.OF,中,中,长,长,长,长,轮动基金
134,001578.OF,中,中,长,长,长,中,轮动基金
135,004911.OF,中,中,短,中,短,中,轮动基金
136,003102.OF,中,长,长,长,长,短,轮动基金
137,005594.OF,中,中,中,中,中,长,轮动基金
138,485107.OF,中,中,长,长,长,长,轮动基金
139,000084.OF,中,中,短,短,短,短,轮动基金
140,004601.OF,中,中,中,中,长,短,轮动基金
141,004141.OF,中,中,中,中,长,长,轮动基金
142,002109.OF,中,长,中,中,中,中,轮动基金
143,005432.OF,中,长,中,长,长,中,轮动基金
144,160128.SZ,中,中,长,长,短,短,轮动基金
145,002466.OF,中,中,中,长,中,中,轮动基金
146,004032.OF,中,中,中,短,中,中,轮动基金
147,006107.OF,中,中,中,中,长,中,轮动基金
148,004307.OF,中,中,长,长,中,中,轮动基金
149,003571.OF,中,中,短,中,中,中,轮动基金
150,003445.OF,中,中,长,长,中,中,轮动基金
151,003863.OF,中,长,长,长,长,长,轮动基金
152,005703.OF,中,中,短,中,中,长,轮动基金
153,003730.OF,中,短,长,长,中,长,轮动基金
154,519743.OF,中,长,长,中,长,中,轮动基金
155,003269.OF,中,中,长,中,中,长,轮动基金
156,005024.OF,中,中,长,长,长,长,轮动基金
157,161115.SZ,中,中,中,中,长,长,轮动基金
158,005336.OF,中,中,长,长,长,长,轮动基金
159,002169.OF,中,长,中,中,长,中,轮动基金
160,005419.OF,中,中,中,中,中,中,稳定中
161,002548.OF,中,长,中,短,短,长,轮动基金
162,005525.OF,中,中,中,中,长,中,轮动基金
163,004940.OF,中,长,长,长,中,中,轮动基金
164,003315.OF,中,中,中,长,长,中,轮动基金
165,003289.OF,中,中,中,中,中,长,轮动基金
166,005921.OF,中,中,短,中,中,中,轮动基金
167,006053.OF,中,短,中,中,中,中,轮动基金
168,519718.OF,中,中,中,中,中,中,稳定中
169,519332.OF,中,中,短,中,中,中,轮动基金
170,005920.OF,中,中,中,中,中,长,轮动基金
171,004547.OF,中,长,中,中,长,长,轮动基金
172,004238.OF,中,中,中,长,中,中,轮动基金
173,002377.OF,中,长,短,短,短,中,轮动基金
174,164703.SZ,中,中,中,中,中,长,轮动基金
175,217003.OF,中,长,长,中,中,中,轮动基金
176,100072.OF,中,中,中,长,长,长,轮动基金
177,006275.OF,中,长,长,中,中,短,轮动基金
178,161014.SZ,中,中,长,中,长,中,轮动基金
179,005369.OF,中,长,中,中,中,中,轮动基金
180,004322.OF,中,中,中,中,中,长,轮动基金
