,thscode,总排名,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,bigcompany,Duration,lever,bondtype,是否为定开
285,007823.OF,285,天弘弘择短债A,王昌俊,短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0.0
286,005871.OF,286,天弘荣享,"任明,刘洋",混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
287,050027.OF,287,博时信用债纯债债券A,张李陵,中长期纯债券型基金,稳定小基金公司,稳定长,轮动基金,轮动基金,0.0
288,004954.OF,288,中银证券中高等级债券A,王玉玺,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
289,003192.OF,289,创金合信尊丰纯债,郑振源,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
290,004504.OF,290,鹏华永泽定期开放债券,"方昶,王石千",混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
291,004544.OF,291,嘉实稳华纯债债券A,王亚洲,中长期纯债券型基金,稳定小基金公司,稳定短,轮动基金,轮动基金,0.0
292,002198.OF,292,博时裕达纯债,王帅,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
293,005845.OF,293,长城久荣定期开放债券型发起式,吴冰燕,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
294,003571.OF,294,招商招琪纯债A,王梓林,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
295,007706.OF,295,南方聪元A,黄斌斌,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
296,005362.OF,296,中银证券安源债券A,吕文晔,中长期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0.0
297,005531.OF,297,华安安悦债券A,郑如熙,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
298,008582.OF,298,兴银聚丰债券,王深,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
299,002549.OF,299,嘉实稳祥纯债债券A,王亚洲,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,轮动基金,0.0
300,040045.OF,300,华安添鑫中短债A,"郑如熙,马晓璇",短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
301,006325.OF,301,招商添荣3个月定开债发起式A,康晶,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
302,001961.OF,302,博时裕荣纯债债券,郭思洁,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
303,004020.OF,303,广发景祥纯债,赵子良,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
304,003607.OF,304,博时富益纯债债券,于渤洋,中长期纯债券型基金,稳定大基金公司,稳定中,轮动基金,稳定信用债,0.0
305,001578.OF,305,博时裕瑞纯债债券,"李汉楠,李秋实,何平",中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
306,003869.OF,306,长信稳势纯债债券,"杜国昊,邹依恩",中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
307,000147.OF,307,易方达高等级信用债债券A,胡剑,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
308,008302.OF,308,永赢易弘债券A,陶毅,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
309,003417.OF,309,中加丰泽纯债,袁素,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
310,008995.OF,310,中银证券安沛债券A,余亮,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
311,006915.OF,311,南方亨元A,黄斌斌,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
