,thscode,总排名,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,bigcompany,Duration,lever,bondtype,是否为定开
428,004334.OF,428,博时广利3个月定开债发起式,于渤洋,中长期纯债券型基金,稳定小基金公司,轮动基金,稳定中,稳定信用债,1.0
429,007670.OF,429,嘉实商业银行精选债券,王立芹,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
430,519330.OF,430,浦银安盛盛跃纯债债券A,陶祺,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
431,519776.OF,431,交银裕盈纯债债券A,"于海颖,姬静",中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
432,004503.OF,432,鹏华永泰定期开放债券,"祝松,应琛",混合债券型基金(一级),稳定小基金公司,轮动基金,稳定大,稳定信用债,0.0
433,008761.OF,433,南方骏元中短期利率债债券,"黄斌斌,王润栋",短期纯债券型基金,稳定小基金公司,稳定中,轮动基金,稳定信用债,0.0
434,008242.OF,434,英大通盈纯债债券A,"吕一楠,易祺坤,张大铮",混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
435,003329.OF,435,万家鑫安纯债A,"周慧,周潜玮",中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
436,002140.OF,436,博时裕诚纯债债券,郭思洁,中长期纯债券型基金,稳定大基金公司,轮动基金,稳定中,稳定信用债,0.0
437,519334.OF,437,浦银安盛盛勤定开债券A,李羿,中长期纯债券型基金,稳定大基金公司,轮动基金,稳定小,稳定信用债,1.0
438,004030.OF,438,嘉实丰安6个月定期债券,王亚洲,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
439,004126.OF,439,浦银安盛稳健增利债券(LOF)A,章潇枫,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,,0.0
440,005971.OF,440,平安惠锦债券,欧阳亮,中长期纯债券型基金,稳定小基金公司,稳定中,轮动基金,稳定信用债,0.0
441,002754.OF,441,博时裕创纯债,李汉楠,中长期纯债券型基金,稳定大基金公司,轮动基金,稳定大,轮动基金,0.0
442,003315.OF,442,景顺长城政策性金融债A,"陈健宾,何江波",中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
443,003730.OF,443,博时富华纯债债券,李汉楠,中长期纯债券型基金,稳定大基金公司,轮动基金,稳定大,稳定信用债,0.0
444,002991.OF,444,嘉实稳鑫纯债债券,李卓锴,中长期纯债券型基金,稳定大基金公司,稳定长,轮动基金,稳定信用债,0.0
445,006029.OF,445,鹏华尊享定期开放发起式债券,应琛,中长期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0.0
446,090021.OF,446,大成月添利一个月滚动持有中短债债券A,曾婷婷,短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
447,005920.OF,447,富国颐利纯债债券,"吕春杰,李金柳",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
448,005073.OF,448,永赢永益债券A,徐沛琳,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
449,004728.OF,449,中欧瑾泰债券A,LI TONG,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
450,004910.OF,450,中加颐享纯债债券A,于跃,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
451,008875.OF,451,国寿安保尊恒利率债债券A,"李辉,卢珊",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
452,008539.OF,452,工银开元利率债债券A,张略钊,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
453,004479.OF,453,博时富和纯债债券,李秋实,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
454,005200.OF,454,浦银普瑞A,章潇枫,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
455,002930.OF,455,博时聚润纯债债券,王帅,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
456,004956.OF,456,中银证券安誉债券A,余亮,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
457,009922.OF,457,华夏鼎富债券A,吴彬,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
458,007408.OF,458,鹏扬淳开债券A,"王黎骁,陈钟闻",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
459,007068.OF,459,浦银安盛普丰纯债债券A,章潇枫,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
460,010083.OF,460,中银欣享利率债,"白洁,刘筱筠",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
461,002994.OF,461,招商招裕纯债A,"王闯,康晶",中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
462,519680.OF,462,交银增利债券A/B,"张顺晨,魏玉敏",混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
463,006750.OF,463,富国德利纯债三个月定期开放债券型发起式,"刘瀚驰,吕春杰",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
464,002524.OF,464,兴业福益债券,唐丁祥,混合债券型基金(一级),稳定大基金公司,轮动基金,稳定中,稳定信用债,0.0
465,006097.OF,465,平安高等级债A,欧阳亮,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
466,005864.OF,466,国投瑞银顺达纯债债券,"敬夏玺,李鸥",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
467,261001.OF,467,景顺长城稳定收益债券A,"李训练,何江波",混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
468,006367.OF,468,交银裕祥纯债债券A,季参平,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
469,004136.OF,469,博时民泽纯债债券,倪玉娟,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
470,050106.OF,470,博时稳定价值债券A,"罗霄,张李陵",混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,,0.0
471,006665.OF,471,华夏鼎康债券A,吴彬,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
472,000005.OF,472,嘉实增强信用定期债券,轩璇,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
473,007714.OF,473,南方贺元利率债A,金凌志,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
474,005393.OF,474,南方卓利3个月定开债发起式,"金凌志,李璇",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,1.0
475,519328.OF,475,浦银安盛盛泰纯债债券A,陶祺,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,轮动基金,0.0
476,006172.OF,476,万家鑫悦纯债A,周潜玮,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
477,002698.OF,477,博时裕利纯债债券,陈黎,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
478,161115.SZ,478,易方达岁丰添利债券A,"张凯頔,胡剑",混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
479,161019.SZ,479,富国新天锋债券(LOF)A,武磊,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
480,002336.OF,480,创金合信尊享纯债债券A,郑振源,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
481,003188.OF,481,博时聚源纯债债券A,黄海峰,中长期纯债券型基金,稳定大基金公司,稳定长,轮动基金,稳定信用债,0.0
482,006450.OF,482,嘉实致盈债券,"张文佳,王立芹",混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
483,164703.SZ,483,汇添富纯债(LOF),胡娜,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
484,009338.OF,484,万家民瑞祥和6个月持有期债券A,"周潜玮,周慧",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
485,003590.OF,485,建信睿富纯债债券,刘思,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
486,006464.OF,486,浦银普益A,章潇枫,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
487,002970.OF,487,博时裕昂纯债债券,李汉楠,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
488,005972.OF,488,交银裕如纯债债券A,"于海颖,张顺晨",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
489,002188.OF,489,鹏华丰华债券,刘涛,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
490,006599.OF,490,国寿安保安丰纯债债券,李一鸣,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
491,007086.OF,491,永赢汇利六个月定开债,钱布克,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
492,000606.OF,492,天弘优选债券,刘洋,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
493,002578.OF,493,博时裕泉纯债债券,李秋实,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
494,460008.OF,494,华泰柏瑞稳健收益债券A,罗远航,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
495,006934.OF,495,平安3-5年期政策性金融债债券A,"刘晓兰,苏宁,张璐",中长期纯债券型基金,稳定小基金公司,稳定长,轮动基金,,0.0
496,007199.OF,496,永赢泰利债券A,"刘星宇,陶毅,杨野",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
497,005072.OF,497,中银丰进定期开放债券,易芳菲,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
498,100018.OF,498,富国天利增长债券A,黄纪亮,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
499,007555.OF,499,中航瑞明纯债A,茅勇峰,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
500,070005.OF,500,嘉实债券,轩璇,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
501,002568.OF,501,博时裕发纯债债券,于渤洋,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
502,006169.OF,502,工银瑞福纯债债券A,李娜,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
503,519743.OF,503,交银丰润收益债券A,季参平,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
504,006944.OF,504,永赢悦利债券,"徐沛琳,吴玮",中长期纯债券型基金,稳定小基金公司,稳定中,轮动基金,稳定信用债,0.0
505,003039.OF,505,广发集富纯债A,吴迪,中长期纯债券型基金,稳定大基金公司,稳定中,轮动基金,稳定信用债,0.0
506,485105.OF,506,工银增强收益债券A,"杜海涛,张略钊",混合债券型基金(一级),稳定大基金公司,稳定长,轮动基金,稳定信用债,0.0
