,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,bigcompany,Duration,lever,bondtype,是否为定开
132,002750.OF,工银泰享三年理财债券,陈桂都,中长期纯债券型基金,轮动基金,轮动基金,稳定大,稳定信用债,0
133,002754.OF,博时裕创纯债,李汉楠,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
134,002755.OF,博时裕盛纯债,李汉楠,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
135,002781.OF,博时聚瑞6个月定开债发起式,于渤洋,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,1
136,002817.OF,招商招恒纯债A,"欧阳倩蓉,王闯",中长期纯债券型基金,,,轮动基金,稳定信用债,0
137,002832.OF,工银恒享纯债债券A,"杨曼丽,陈桂都",中长期纯债券型基金,轮动基金,稳定中,轮动基金,稳定信用债,0
138,002864.OF,广发安泽短债A,刘志辉,短期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
139,002868.OF,鹏华丰茂债券,杜培俊,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
140,002898.OF,富国两年期理财债券A,俞晓斌,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
141,002904.OF,博时安仁一年定开债发起式A,李汉楠,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,1
142,002927.OF,长盛盛和纯债A,王贵君,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
143,002929.OF,博时聚盈纯债债券,于渤洋,中长期纯债券型基金,轮动基金,稳定长,轮动基金,稳定信用债,0
144,002930.OF,博时聚润纯债债券,王帅,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
145,002970.OF,博时裕昂纯债债券,李汉楠,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
146,002985.OF,中银季季红定期开放债券,易芳菲,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
147,002991.OF,嘉实稳鑫纯债债券,李卓锴,中长期纯债券型基金,轮动基金,稳定长,稳定小,稳定信用债,0
148,002994.OF,招商招裕纯债A,"王闯,康晶",中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
149,003039.OF,广发集富纯债A,吴迪,中长期纯债券型基金,轮动基金,稳定中,轮动基金,稳定信用债,0
150,003102.OF,长盛盛裕纯债A,王贵君,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
151,003155.OF,中加丰尚纯债债券A,王霈,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
152,003162.OF,博时富宁纯债债券,李秋实,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
153,003188.OF,博时聚源纯债债券A,黄海峰,中长期纯债券型基金,轮动基金,稳定长,轮动基金,稳定信用债,0
154,003192.OF,创金合信尊丰纯债,郑振源,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
155,003193.OF,创金合信尊智纯债A,郑振源,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
156,003209.OF,鹏华丰达债券,杜培俊,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
157,003213.OF,中银悦享定期开放债券,白洁,中长期纯债券型基金,轮动基金,轮动基金,稳定小,稳定信用债,0
158,003214.OF,易方达富惠纯债债券A,李一硕,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
159,003223.OF,广发景丰纯债,吴迪,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
160,003258.OF,博时富祥纯债债券A,陈黎,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
161,003260.OF,博时利发纯债债券A,王帅,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
162,003265.OF,招商招坤纯债A,郭敏,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
163,003268.OF,博时悦楚纯债债券A,郭思洁,中长期纯债券型基金,轮动基金,稳定中,轮动基金,稳定信用债,0
164,003269.OF,招商招乾3个月定开债发起式A,王梓林,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,1
165,003280.OF,鹏华丰恒债券,方昶,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
166,003285.OF,国寿安保安康纯债债券,李一鸣,中长期纯债券型基金,轮动基金,稳定长,轮动基金,稳定信用债,0
167,003289.OF,创金合信尊泰纯债,郑振源,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
168,003290.OF,长城久稳债券A,吴冰燕,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
169,003313.OF,中银睿享定期开放债券,白洁,中长期纯债券型基金,轮动基金,轮动基金,稳定小,稳定信用债,0
170,003315.OF,景顺长城政策性金融债A,"陈健宾,何江波",中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
171,003327.OF,万家鑫璟纯债A,"周慧,周潜玮",中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
172,003329.OF,万家鑫安纯债A,"周慧,周潜玮",中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
173,003417.OF,中加丰泽纯债,袁素,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
174,003428.OF,中加丰盈一年定期开放债券型发起式,于跃,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
175,003438.OF,招商招怡纯债A,欧阳倩蓉,中长期纯债券型基金,,,轮动基金,稳定信用债,0
176,003440.OF,招商招享纯债A,王闯,中长期纯债券型基金,,,轮动基金,稳定信用债,0
177,003445.OF,中加丰享纯债债券,王霈,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
178,003452.OF,招商招盛纯债A,李家辉,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
179,003454.OF,招商招通纯债A,黄晓婷,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
180,003518.OF,万家鑫瑞纯债A,"徐青,谷丹青",混合债券型基金(一级),,,轮动基金,稳定信用债,0
181,003528.OF,汇添富长添利定期开放债券A,杨靖,混合债券型基金(一级),轮动基金,稳定长,轮动基金,稳定信用债,0
182,003547.OF,鹏华丰禄债券,刘涛,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
183,003569.OF,招商招丰纯债A,王闯,中长期纯债券型基金,,,轮动基金,稳定信用债,0
184,003571.OF,招商招琪纯债A,王梓林,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
185,003590.OF,建信睿富纯债债券,刘思,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
186,003605.OF,景顺长城景泰汇利定期开放债券A,何江波,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
187,003607.OF,博时富益纯债债券,于渤洋,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
188,003640.OF,兴业裕丰债券,冯小波,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
189,003651.OF,博时丰达6个月定开债发起式,郭思洁,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,1
190,003660.OF,中加纯债两年债券A,于跃,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
191,003662.OF,鹏华永盛定期开放债券,"祝松,杜培俊,应琛",混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
192,003671.OF,兴业裕恒债券,雷志强,中长期纯债券型基金,轮动基金,稳定长,轮动基金,稳定信用债,0
193,003673.OF,中加丰裕纯债债券A,王霈,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
194,003730.OF,博时富华纯债债券,李汉楠,中长期纯债券型基金,轮动基金,轮动基金,稳定大,稳定信用债,0
195,003746.OF,广发汇瑞3个月定期开放债券,赵子良,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
196,003770.OF,中银丰庆定期开放债券,白洁,中长期纯债券型基金,轮动基金,稳定长,稳定小,稳定信用债,0
197,003809.OF,招商招顺纯债A,刘万锋,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
198,003832.OF,中银丰润定期开放债券,易芳菲,中长期纯债券型基金,轮动基金,轮动基金,稳定小,稳定信用债,0
199,003859.OF,招商招旭纯债A,郭敏,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
200,003863.OF,招商招祥纯债A,"马龙,王梓林",中长期纯债券型基金,轮动基金,轮动基金,稳定中,稳定信用债,0
201,003869.OF,长信稳势纯债债券,"杜国昊,邹依恩",中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
202,003929.OF,中银证券安进债券A,"余亮,王玉玺",中长期纯债券型基金,轮动基金,稳定长,稳定小,稳定信用债,0
203,003949.OF,兴全稳泰债券A,王帅,中长期纯债券型基金,轮动基金,稳定长,轮动基金,稳定信用债,0
204,003952.OF,兴业嘉瑞6个月定开债券A,倪侃,混合债券型基金(一级),,,轮动基金,稳定信用债,1
205,003983.OF,鹏华丰惠债券,杜培俊,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
206,004020.OF,广发景祥纯债,赵子良,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
207,004027.OF,广发景源纯债A,"刘志辉,方抗",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
208,004030.OF,嘉实丰安6个月定期债券,王亚洲,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
209,004031.OF,鑫元添利三个月定期开放债券,郭卉,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
210,004032.OF,工银丰淳半年定开债券,陈桂都,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1
211,004042.OF,华夏鼎茂债券A,刘明宇,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
212,004052.OF,华夏鼎智债券A,孙蕾,中长期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0
213,004061.OF,华夏鼎隆债券A,孙蕾,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
214,004118.OF,博时裕鹏纯债债券,王帅,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
215,004122.OF,兴银长益三个月定开债,范泰奇,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1
216,004124.OF,民生加银鑫升,刘昊,中长期纯债券型基金,,,轮动基金,稳定信用债,0
217,004126.OF,浦银安盛稳健增利债券(LOF)A,章潇枫,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
218,004127.OF,鹏华丰康债券A,"杜培俊,应琛,祝松",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
219,004136.OF,博时民泽纯债债券,倪玉娟,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
220,004140.OF,兴业福鑫债券,伍方方,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
221,004141.OF,兴业瑞丰6个月定开债券,冯小波,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1
222,004200.OF,博时富瑞纯债债券A,倪玉娟,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
223,004230.OF,永赢添益债券,吴玮,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
224,004238.OF,永赢瑞益债券A,"余国豪,杨凡颖",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
225,004307.OF,博时富元纯债债券,"王帅,李汉楠",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
226,004322.OF,创金尊隆纯债A,郑振源,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
227,004334.OF,博时广利3个月定开债发起式,于渤洋,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1
228,004366.OF,博时汇享纯债债券A,王帅,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
229,004388.OF,鹏华丰享债券,方昶,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
230,004438.OF,鹏华永安定期开放债券,邓明明,中长期纯债券型基金,稳定小基金公司,稳定长,轮动基金,稳定信用债,0
231,004459.OF,鑫元瑞利定开债券,郭卉,中长期纯债券型基金,稳定小基金公司,稳定长,轮动基金,稳定信用债,1
232,004479.OF,博时富和纯债债券,李秋实,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
233,004498.OF,鹏华丰源债券,刘涛,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
234,004499.OF,鹏华丰瑞债券,刘涛,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
235,004503.OF,鹏华永泰定期开放债券,"祝松,应琛",混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
236,004544.OF,嘉实稳华纯债债券A,王亚洲,中长期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0
237,004547.OF,华夏稳定双利债券A,张海静,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
238,004555.OF,南方和元A,"黄斌斌,施彦珏",中长期纯债券型基金,稳定小基金公司,稳定中,轮动基金,稳定信用债,0
239,004601.OF,博时富腾纯债债券,郭思洁,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
240,004614.OF,鹏扬利泽债券A,"焦翠,陈钟闻",短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
241,004637.OF,华夏鼎兴债券A,孙蕾,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
242,004655.OF,汇添富鑫汇债券A,杨靖,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
243,004672.OF,华夏短债债券A,刘明宇,短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0
244,004689.OF,博时丰庆纯债债券,李汉楠,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
245,004705.OF,南方祥元A,黄斌斌,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
246,004722.OF,中银丰和定期开放债券,郑涛,中长期纯债券型基金,稳定小基金公司,轮动基金,稳定小,稳定信用债,0
247,004728.OF,中欧瑾泰债券A,LI TONG,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
248,004736.OF,富国鼎利纯债三个月定开债,武磊,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1
249,004797.OF,国寿安保安盛纯债3个月定开债券发起式,"卢珊,黄力",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1
250,004821.OF,国寿安保安吉纯债半年定开债券发起式,"吴闻,李一鸣",混合债券型基金(一级),稳定小基金公司,轮动基金,稳定大,稳定信用债,1
251,004859.OF,泰康年年红纯债一年债券,经惠云,混合债券型基金(一级),稳定小基金公司,轮动基金,稳定大,稳定信用债,0
252,004882.OF,中银丰荣定期开放债券,郑涛,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债,0
253,004887.OF,长信稳通三个月定开债券发起式,"邹依恩,杜国昊",中长期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,1
254,004899.OF,中银信享定期开放债券,白洁,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
255,004910.OF,中加颐享纯债债券A,于跃,中长期纯债券型基金,稳定小基金公司,轮动基金,稳定小,稳定信用债,0
256,004911.OF,中加纯债定开债券A,王霈,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1
257,004919.OF,兴全兴泰债券,"王帅,田志祥,季伟杰",中长期纯债券型基金,稳定小基金公司,轮动基金,稳定大,稳定信用债,0
258,004920.OF,富国泓利纯债债券型发起式A,武磊,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
259,004923.OF,华夏鼎祥三个月定期开放债券A,孙蕾,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
260,004940.OF,中加聚鑫纯债一年A,袁素,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
261,004956.OF,中银证券安誉债券A,余亮,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
262,004978.OF,富国聚利纯债三个月定开债发起式,"刘瀚驰,朱梦娜",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1
263,005024.OF,南方兴利半年定开债券发起,"李璇,杜才超",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1
264,005072.OF,中银丰进定期开放债券,易芳菲,中长期纯债券型基金,稳定小基金公司,稳定长,轮动基金,稳定信用债,0
265,005073.OF,永赢永益债券A,徐沛琳,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
266,005124.OF,易方达恒益定开债券发起式,胡剑,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1
267,005171.OF,富国景利纯债债券,"朱梦娜,陈倩",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
268,005307.OF,财通资管鸿达纯债债券A,"王珊,陈希希",中长期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0
269,005309.OF,中银证券汇嘉定期开放债券,"吕文晔,余亮",中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债,0
270,005321.OF,中银证券汇宇定期开放债券,余亮,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债,0
271,005322.OF,中银丰禧定期开放债券,郑涛,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
272,005336.OF,中加颐慧定开债券A,王霈,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1
273,005338.OF,兴业3个月定开债券,倪侃,中长期纯债券型基金,,,轮动基金,稳定信用债,1
