,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,bigcompany,Duration,lever,bondtype,是否为定开
318,005871.OF,天弘荣享,"任明,刘洋",混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
319,005879.OF,中加颐兴定开债券,"颜灵珊,闫沛贤",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1
320,005897.OF,平安合颖定开债,张文平,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1
321,005898.OF,浦银安盛盛泽定开债券,陶祺,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1
322,005920.OF,富国颐利纯债债券,"吕春杰,李金柳",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
323,005921.OF,农银金鑫定开债券,郭振宇,混合债券型基金(一级),稳定小基金公司,轮动基金,稳定大,稳定信用债,1
324,005936.OF,申万菱信安泰惠利纯债债券A,"唐俊杰,叶瑜珍",中长期纯债券型基金,,,轮动基金,稳定信用债,0
325,005972.OF,交银裕如纯债债券A,"于海颖,张顺晨",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
326,005988.OF,兴业纯债6个月定开债券A,伍方方,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,1
327,006029.OF,鹏华尊享定期开放发起式债券,应琛,中长期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0
328,006037.OF,国泰瑞和纯债债券,胡智磊,中长期纯债券型基金,,,轮动基金,稳定信用债,0
329,006043.OF,永赢惠益债券A,吴玮,中长期纯债券型基金,稳定小基金公司,稳定长,轮动基金,稳定信用债,0
330,006053.OF,中航瑞景3个月定开A,茅勇峰,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,1
331,006066.OF,中加颐睿纯债债券A,于跃,中长期纯债券型基金,稳定小基金公司,稳定中,轮动基金,稳定信用债,0
332,006076.OF,创金合信恒利超短债债券A,"谢创,吕沂洋,郑振源",混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
333,006107.OF,招商添利6个月定开债发起式A,"刘万锋,康晶",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1
334,006112.OF,易方达恒惠定开债券发起式,李一硕,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1
335,006150.OF,招商添利两年债券,"马龙,李家辉",混合债券型基金(一级),稳定小基金公司,稳定短,稳定大,稳定信用债,0
336,006171.OF,鹏扬淳利定期开放债券,"陈钟闻,王莹莹",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
337,006172.OF,万家鑫悦纯债A,周潜玮,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
338,006212.OF,东方臻选纯债债券A,刘长俊,中长期纯债券型基金,,,轮动基金,稳定信用债,0
339,006275.OF,永赢聚益债券A,徐沛琳,中长期纯债券型基金,稳定小基金公司,轮动基金,稳定大,稳定信用债,0
340,006360.OF,财通资管鸿益中短债债券A,李杰,短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0
341,006367.OF,交银裕祥纯债债券A,季参平,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0
342,006393.OF,招商添德3个月定开债A,黄晓婷,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1
