,thscode,ths_fund_code_fund,ths_fund_short_name_fund,ths_fund_supervisor_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,ths_mergesize_fund,ACEtype,Fundtype
1726,005710.OF,005710,兴业嘉润3个月定开债券发起式,兴业基金,雷志强,中长期纯债券型基金,2040033775.38,,纯债基金
1727,005712.OF,005712,兴全祥泰定期开放债券,兴证全球基金,"石广翔,王健,翟秀华",中长期纯债券型基金,10036794668.62,,纯债基金
1731,005718.OF,005718,长信富瑞两年定开债券A,长信基金,"杜国昊,邹依恩",中长期纯债券型基金,10056960935.66,A,纯债基金
1732,005719.OF,005719,招商招诚半年定开债发起式,招商基金,李家辉,中长期纯债券型基金,1799920490.57,,纯债基金
1739,005736.OF,005736,中欧兴华债券,中欧基金,"洪慧梅,周锦程,LI TONG",中长期纯债券型基金,2413534564.76,,纯债基金
1740,005740.OF,005740,易方达恒信定开债券发起式,易方达基金,胡剑,中长期纯债券型基金,7562454045.61,,纯债基金
1747,005754.OF,005754,平安短债A,平安基金,欧阳亮,短期纯债券型基金,8647675245.86,A,纯债基金
1752,005772.OF,005772,工银瑞景定开发起式债券,工银瑞信,陈桂都,中长期纯债券型基金,14162660089.45,,纯债基金
1756,005781.OF,005781,华富富瑞3个月定期开放债券,华富基金,倪莉莎,中长期纯债券型基金,4934246859.6,,纯债基金
1757,005782.OF,005782,创金合信汇益纯债一年定开债券A,创金合信基金,郑振源,混合债券型基金(一级),512280056.8,A,纯债基金
1759,005784.OF,005784,创金合信汇誉纯债六个月定开债券A,创金合信基金,郑振源,混合债券型基金(一级),305667625.14,A,纯债基金
1763,005791.OF,005791,华夏鼎福三个月定开债券A,华夏基金,孙蕾,中长期纯债券型基金,2016344031.05,A,纯债基金
1766,005816.OF,005816,国泰农惠定期开放债券,国泰基金,刘嵩扬,混合债券型基金(一级),219565399.05,,纯债基金
1769,005820.OF,005820,博时富兴纯债3个月定开债发起式,博时基金,陈黎,中长期纯债券型基金,3234451826.32,,纯债基金
1771,005831.OF,005831,鹏华尊悦定开债发起式,鹏华基金,刘涛,中长期纯债券型基金,3481760472.19,,纯债基金
