,thscode,ths_fund_code_fund,ths_fund_short_name_fund,ths_fund_supervisor_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,ths_mergesize_fund,ACEtype,Fundtype
2390,007215.OF,007215,国寿安保泰荣纯债债券,国寿安保基金,丁宇佳,混合债券型基金(一级),2789058876.16,,纯债基金
2393,007220.OF,007220,天弘华享三个月定开,天弘基金,潘昱杉,中长期纯债券型基金,1026912729.27,,纯债基金
2411,007268.OF,007268,山证裕睿6个月定开A,山西证券,缪佳,混合债券型基金(一级),1754940385.97,A,纯债基金
2413,007278.OF,007278,国泰兴富三个月定期开放债券,国泰基金,"刘嵩扬,胡智磊",中长期纯债券型基金,503365579.97,,纯债基金
2423,007295.OF,007295,天弘安益A,天弘基金,"程仕湘,赵鼎龙",中长期纯债券型基金,1669706488.61,A,纯债基金
2433,007321.OF,007321,鹏华金利债券,鹏华基金,邓明明,中长期纯债券型基金,5750992183.53,,纯债基金
2448,007342.OF,007342,国投瑞银顺臻纯债债券A,国投瑞银基金,李鸥,中长期纯债券型基金,2104517702.78,A,纯债基金
2449,007347.OF,007347,永赢昌利债券A,永赢基金,陶毅,中长期纯债券型基金,12087151353.46,A,纯债基金
2462,007373.OF,007373,永赢卓利债券,永赢基金,"张雪,杨凡颖",中长期纯债券型基金,2105339781.72,,纯债基金
2463,007374.OF,007374,永赢淳利债券,永赢基金,徐沛琳,中长期纯债券型基金,3166047760.79,,纯债基金
2478,007408.OF,007408,鹏扬淳开债券A,鹏扬基金,"王黎骁,陈钟闻",中长期纯债券型基金,504706110.52,A,纯债基金
2481,007417.OF,007417,泰康信用精选债券A,泰康基金,经惠云,中长期纯债券型基金,3655579545.07,A,纯债基金
2487,007427.OF,007427,永赢凯利债券,永赢基金,"杨凡颖,张雪",中长期纯债券型基金,1073707008.89,,纯债基金
2494,007440.OF,007440,南方旭元A,南方基金,金凌志,中长期纯债券型基金,2027969301.07,A,纯债基金
2500,007447.OF,007447,平安惠泰纯债,平安基金,张文平,中长期纯债券型基金,851710796.21,,纯债基金
2501,007451.OF,007451,易方达恒兴3个月定开债券发起式,易方达基金,王晓晨,中长期纯债券型基金,8001741972.3,,纯债基金
2502,007454.OF,007454,民生加银嘉盈债券,民生加银基金,李文君,中长期纯债券型基金,3080727889.03,,纯债基金
2518,007496.OF,007496,农银汇理丰泽三年定期开放债券,农银汇理基金,"王明君,周宇,郭振宇",中长期纯债券型基金,8151400383.2,,纯债基金
2524,007513.OF,007513,博时富丰3个月定开债发起式,博时基金,郭思洁,混合债券型基金(一级),1673972271.54,,纯债基金
2525,007515.OF,007515,鹏华稳利短债A,鹏华基金,"王康佳,叶朝明",短期纯债券型基金,8542506982.12,A,纯债基金
2527,007517.OF,007517,博时富淳3个月定开债发起式,博时基金,郭思洁,中长期纯债券型基金,1997963743.82,,纯债基金
2529,007525.OF,007525,易方达年年恒夏纯债A,易方达基金,李一硕,中长期纯债券型基金,3055713312.96,A,纯债基金
2531,007529.OF,007529,嘉实汇鑫中短债债券A,嘉实基金,"赵国英,王立芹",短期纯债券型基金,16977884170.77,A,纯债基金
2534,007535.OF,007535,中欧盈和债券,中欧基金,LI TONG,中长期纯债券型基金,7372650558.59,,纯债基金
2536,007537.OF,007537,景顺长城景泰盈利纯债债券,景顺长城基金,彭成军,中长期纯债券型基金,1238200877.7,,纯债基金
2538,007542.OF,007542,永赢开泰中高等级中短债A,永赢基金,卢绮婷,短期纯债券型基金,8472816393.04,A,纯债基金
2540,007544.OF,007544,鹏华尊晟定期开放发起式债券,鹏华基金,应琛,中长期纯债券型基金,1079776754.57,,纯债基金
2546,007555.OF,007555,中航瑞明纯债A,中航基金,茅勇峰,中长期纯债券型基金,1022916535.88,A,纯债基金
2553,007562.OF,007562,景顺长城景泰纯利债券A,景顺长城基金,彭成军,混合债券型基金(一级),2505845896.35,A,纯债基金
2560,007572.OF,007572,中加民丰纯债A,中加基金,袁素,中长期纯债券型基金,505627393.56,A,纯债基金
2561,007573.OF,007573,农银丰盈定开债券,农银汇理基金,王明君,中长期纯债券型基金,8132700933.43,,纯债基金
2562,007576.OF,007576,华夏鼎琪三个月定开债券,华夏基金,孙蕾,中长期纯债券型基金,2035366798.82,,纯债基金
2565,007584.OF,007584,丰鑫债券,鹏华基金,刘涛,中长期纯债券型基金,1794027871.5,,纯债基金
2566,007585.OF,007585,工银瑞弘3个月定开发起式债券,工银瑞信,陈桂都,中长期纯债券型基金,14176919726.73,,纯债基金
2569,007589.OF,007589,嘉实致元42个月定期债券,嘉实基金,王立芹,中长期纯债券型基金,7976500564.85,,纯债基金
2571,007595.OF,007595,招商添泽纯债A,招商基金,康晶,中长期纯债券型基金,1980320062.08,A,纯债基金
2574,007600.OF,007600,泰康润颐63个月定开债券,泰康基金,经惠云,中长期纯债券型基金,8536772879.29,,纯债基金
2575,007603.OF,007603,景顺长城中短债债券A类,景顺长城基金,彭成军,短期纯债券型基金,4509502848.46,A,纯债基金
2581,007616.OF,007616,富国投资级信用债A,富国基金,"黄纪亮,朱梦娜",中长期纯债券型基金,4896295163.66,A,纯债基金
2583,007618.OF,007618,富国投资级信用债D,富国基金,"朱梦娜,黄纪亮",中长期纯债券型基金,4896295163.66,,纯债基金
2584,007619.OF,007619,中欧润逸债券,中欧基金,LI TONG,中长期纯债券型基金,8251746727.76,,纯债基金
2590,007645.OF,007645,平安季享裕定开债A,平安基金,张文平,混合债券型基金(一级),1580719606.26,A,纯债基金
2593,007653.OF,007653,长盛稳益6个月A,长盛基金,"王贵君,段鹏",短期纯债券型基金,2279684091.86,A,纯债基金
2597,007659.OF,007659,博时富汇3个月定开债发起式,博时基金,何平,中长期纯债券型基金,5432519712.47,,纯债基金
2600,007670.OF,007670,嘉实商业银行精选债券,嘉实基金,王立芹,中长期纯债券型基金,451577905.98,,纯债基金
2603,007680.OF,007680,中加享利三年债券,中加基金,于跃,中长期纯债券型基金,9157068860.99,,纯债基金
2604,007681.OF,007681,鹏华丰登债券,鹏华基金,"张丽娟,吴国杰,刘涛",中长期纯债券型基金,2794298216.48,,纯债基金
2605,007682.OF,007682,鹏华锦利两年定期开放债券,鹏华基金,"邓明明,应琛",中长期纯债券型基金,8119024120.18,,纯债基金
2608,007691.OF,007691,永赢泽利一年,永赢基金,钱布克,中长期纯债券型基金,1519134621.01,,纯债基金
2609,007692.OF,007692,永赢鼎利债券A,永赢基金,谢越,中长期纯债券型基金,2525799396.46,A,纯债基金
2616,007706.OF,007706,南方聪元A,南方基金,黄斌斌,中长期纯债券型基金,3642945379.82,A,纯债基金
2621,007714.OF,007714,南方贺元利率债A,南方基金,金凌志,中长期纯债券型基金,3172022853.81,A,纯债基金
2623,007716.OF,007716,嘉实致华纯债债券,嘉实基金,王立芹,中长期纯债券型基金,980797955.33,,纯债基金
2624,007717.OF,007717,工银尊享短债债券F,工银瑞信,王朔,短期纯债券型基金,5137730305.79,,纯债基金
2627,007723.OF,007723,鹏华锦润86个月定开债券,鹏华基金,"邓明明,应琛",中长期纯债券型基金,8271073342.69,,纯债基金
2631,007740.OF,007740,天弘信益A,天弘基金,潘昱杉,中长期纯债券型基金,608392416.39,A,纯债基金
2633,007744.OF,007744,长盛安逸纯债债券A,长盛基金,王贵君,中长期纯债券型基金,9734363894.39,A,纯债基金
2637,007754.OF,007754,上银慧永利中短期债券A,上银基金,葛沁沁,短期纯债券型基金,833572507.24,A,纯债基金
2640,007758.OF,007758,平安乐享一年定开债A,平安基金,段玮婧,中长期纯债券型基金,7123649441.8,A,纯债基金
2642,007761.OF,007761,鑫元安睿三年定期开放债券,鑫元基金,郭卉,中长期纯债券型基金,8098167856.45,,纯债基金
2643,007762.OF,007762,富国天盈债券(LOF)A,富国基金,俞晓斌,混合债券型基金(一级),5493833046.12,A,纯债基金
2649,007772.OF,007772,浦银安盛盛煊定开债券,浦银安盛基金,陶祺,中长期纯债券型基金,4527050885.74,,纯债基金
2657,007823.OF,007823,天弘弘择短债A,天弘基金,王昌俊,短期纯债券型基金,7787122151.9,A,纯债基金
2659,007828.OF,007828,创金合信信用红利债券A,创金合信基金,"张贺章,郑振源,谢创",混合债券型基金(一级),2799251771.67,A,纯债基金
2661,007830.OF,007830,建信荣瑞一年定期开放债券,建信基金,刘思,中长期纯债券型基金,8105506472.57,,纯债基金
2664,007836.OF,007836,泰康润和两年定开债券,泰康基金,经惠云,中长期纯债券型基金,7729711547.64,,纯债基金
2668,007852.OF,007852,工银瑞安3个月定开纯债债券发起式,工银瑞信,陈桂都,中长期纯债券型基金,10998990397.28,,纯债基金
2671,007867.OF,007867,华泰柏瑞锦泰一年定开债券,华泰柏瑞基金,何子建,中长期纯债券型基金,8095001269.67,,纯债基金
2672,007870.OF,007870,鹏华尊信3个月定开发起式债券,鹏华基金,杜培俊,中长期纯债券型基金,1644290016.96,,纯债基金
2673,007871.OF,007871,国泰惠享三个月定期开放债券,国泰基金,索峰,中长期纯债券型基金,2012744218.09,,纯债基金
2677,007888.OF,007888,农银金盈债券,农银汇理基金,郭振宇,中长期纯债券型基金,1904351396.0,,纯债基金
2688,007915.OF,007915,财通资管鸿福短债债券A,财通证券资管,"王珊,李杰",短期纯债券型基金,17013112912.51,A,纯债基金
2692,007928.OF,007928,中加享润两年债券,中加基金,袁素,中长期纯债券型基金,8044296267.2,,纯债基金
2693,007930.OF,007930,淳厚稳鑫债券A,淳厚基金,江文军,混合债券型基金(一级),974672508.28,A,纯债基金
2695,007935.OF,007935,平安惠澜纯债A,平安基金,张文平,中长期纯债券型基金,8493303968.58,A,纯债基金
2701,007948.OF,007948,汇添富盛安39个月定开债,汇添富基金,胡娜,中长期纯债券型基金,8014659738.45,,纯债基金
2702,007949.OF,007949,富国泽利纯债债券,富国基金,武磊,中长期纯债券型基金,560231224.94,,纯债基金
2704,007953.OF,007953,平安惠文纯债,平安基金,段玮婧,中长期纯债券型基金,1046942344.02,,纯债基金
2705,007954.OF,007954,平安惠涌纯债,平安基金,欧阳亮,中长期纯债券型基金,1034471374.79,,纯债基金
2709,007958.OF,007958,华泰柏瑞益通三个月定开债,华泰柏瑞基金,罗远航,中长期纯债券型基金,2505604231.07,,纯债基金
2713,007967.OF,007967,大成惠嘉一年定开债券,大成基金,曾婷婷,中长期纯债券型基金,8060378460.35,,纯债基金
2715,007970.OF,007970,国寿安保安泽纯债39个月定期开放债券,国寿安保基金,卢珊,中长期纯债券型基金,8790063819.45,,纯债基金
2721,007985.OF,007985,博时富悦纯债A,博时基金,王帅,中长期纯债券型基金,3028176998.17,A,纯债基金
2722,007986.OF,007986,嘉实致禄3个月定期纯债债券,嘉实基金,"闵锐,祝杨",中长期纯债券型基金,986152963.64,,纯债基金
2726,007990.OF,007990,富国汇远纯债三年定期开放债券A,富国基金,朱梦娜,中长期纯债券型基金,10121045307.36,A,纯债基金
2728,007996.OF,007996,博时富顺纯债债券,博时基金,陈黎,中长期纯债券型基金,2262861707.64,,纯债基金
2729,007997.OF,007997,易方达年年恒秋纯债一年定期开放债券A,易方达基金,李一硕,中长期纯债券型基金,2380455197.62,A,纯债基金
2734,008003.OF,008003,大成通嘉三年定开债券A,大成基金,曾婷婷,中长期纯债券型基金,8004106575.99,A,纯债基金
2741,008014.OF,008014,天弘鑫利三年定开,天弘基金,"陈钢,柴文婷",中长期纯债券型基金,11771496274.07,,纯债基金
2744,008017.OF,008017,国泰惠信三年定期开放债券,国泰基金,刘嵩扬,中长期纯债券型基金,13744661630.6,,纯债基金
2745,008018.OF,008018,华富安兴39个月定期开放债券A,华富基金,倪莉莎,中长期纯债券型基金,8084102871.12,A,纯债基金
2747,008022.OF,008022,建信短债债券F,建信基金,"李星佑,吴沛文,陈建良",短期纯债券型基金,19934409386.8,,纯债基金
2748,008027.OF,008027,工银泰和39个月定开债券A,工银瑞信,王朔,中长期纯债券型基金,7914697482.22,A,纯债基金
2750,008030.OF,008030,农银金益债券,农银汇理基金,郭振宇,中长期纯债券型基金,6243121061.57,,纯债基金
2751,008031.OF,008031,创金合信汇嘉三个月定开债券,创金合信基金,郑振源,混合债券型基金(一级),4002887250.39,,纯债基金
2752,008032.OF,008032,海富通裕昇三年定开债券,海富通基金,"方昆明,张靖爽",中长期纯债券型基金,8004783733.51,,纯债基金
2778,008102.OF,008102,中金鑫福87个月,中金基金,董珊珊,中长期纯债券型基金,8144170144.53,,纯债基金
2779,008104.OF,008104,中金鑫裕A,中金基金,董珊珊,中长期纯债券型基金,3263096849.97,A,纯债基金
2785,008117.OF,008117,博时稳欣39个月定开债,博时基金,"黄海峰,郭思洁",中长期纯债券型基金,16283431090.49,,纯债基金
2790,008130.OF,008130,广发汇优66个月定期开放债券,广发基金,刘志辉,中长期纯债券型基金,14578764453.4,,纯债基金
2791,008139.OF,008139,鑫元一年定开中高等级,鑫元基金,郭卉,混合债券型基金(一级),1412981729.91,,纯债基金
2797,008170.OF,008170,博时富添纯债债券A,博时基金,倪玉娟,中长期纯债券型基金,4907191238.24,A,纯债基金
2802,008204.OF,008204,交银稳利中短债债券A,交银施罗德,黄莹洁,短期纯债券型基金,12745824950.38,A,纯债基金
2805,008207.OF,008207,国泰合融纯债债券A,国泰基金,"刘嵩扬,魏伟",中长期纯债券型基金,7007678015.42,A,纯债基金
2807,008214.OF,008214,华安鑫福定开债A,华安基金,孙丽娜,中长期纯债券型基金,12114146573.56,A,纯债基金
2810,008217.OF,008217,国泰聚盈三年定期开放债券,国泰基金,刘嵩扬,中长期纯债券型基金,2267663983.25,,纯债基金
2811,008219.OF,008219,西部利得尊逸三年定开债券,西部利得基金,"刘心峰,李烨",中长期纯债券型基金,8018324676.16,,纯债基金
2813,008223.OF,008223,交银裕泰两年定期开放债券,交银施罗德,"于海颖,张顺晨,魏玉敏",中长期纯债券型基金,7846279709.88,,纯债基金
2817,008229.OF,008229,鑫元安硕两年定期开放债券,鑫元基金,郭卉,中长期纯债券型基金,8132204661.87,,纯债基金
2818,008231.OF,008231,海富通裕通30个月定开债券,海富通基金,"张靖爽,方昆明",中长期纯债券型基金,8094461254.68,,纯债基金
2821,008242.OF,008242,英大通盈纯债债券A,英大基金,"吕一楠,易祺坤,张大铮",混合债券型基金(一级),6272671299.55,A,纯债基金
2826,008266.OF,008266,华夏鼎明债券A,华夏基金,孙蕾,中长期纯债券型基金,1129163279.82,A,纯债基金
2829,008278.OF,008278,国泰惠鑫一年定期开放债券,国泰基金,"丁士恒,陈育洁",混合债券型基金(一级),558514904.13,,纯债基金
2834,008302.OF,008302,永赢易弘债券A,永赢基金,陶毅,中长期纯债券型基金,2564629500.08,A,纯债基金
2835,008316.OF,008316,蜂巢添跃66个月定开债券,蜂巢基金,金之洁,中长期纯债券型基金,8024896193.18,,纯债基金
2845,008338.OF,008338,嘉实安元39个月定期纯债债券A,嘉实基金,李卓锴,中长期纯债券型基金,16592437109.06,A,纯债基金
2852,008349.OF,008349,华夏恒泰64个月定开债券,华夏基金,张海静,中长期纯债券型基金,7160585251.55,,纯债基金
2853,008352.OF,008352,交银裕坤纯债一年定期开放债券,交银施罗德,"于海颖,张顺晨",中长期纯债券型基金,2552722563.17,,纯债基金
2858,008366.OF,008366,广发汇明一年定期开放债券,广发基金,刘志辉,中长期纯债券型基金,505421244.0,,纯债基金
2862,008383.OF,008383,招商安心收益债券A,招商基金,马龙,混合债券型基金(一级),10160812014.76,A,纯债基金
2867,008406.OF,008406,兴银汇裕定开债,兴银基金,王深,中长期纯债券型基金,11110180.9,,纯债基金
2868,008409.OF,008409,景顺长城景泰裕利纯债A,景顺长城基金,彭成军,中长期纯债券型基金,14819547236.81,A,纯债基金
2869,008411.OF,008411,博时富信纯债债券,博时基金,陈黎,中长期纯债券型基金,2536947310.4,,纯债基金
2874,008429.OF,008429,中信保诚嘉裕五年定开纯债,中信保诚基金,臧淑玲,中长期纯债券型基金,9341168676.53,,纯债基金
2886,008460.OF,008460,招商招和39个月定开债,招商基金,康晶,中长期纯债券型基金,8792587182.47,,纯债基金
2887,008463.OF,008463,招商添瑞1年定开债A,招商基金,"李家辉,马龙,欧阳倩蓉",中长期纯债券型基金,8410579664.7,A,纯债基金
2889,008465.OF,008465,蜂巢添益纯债A,蜂巢基金,金之洁,中长期纯债券型基金,118208451.32,A,纯债基金
2893,008471.OF,008471,工银泰颐三年定开债券A,工银瑞信,陈桂都,中长期纯债券型基金,8007838892.18,A,纯债基金
2897,008478.OF,008478,天弘鑫意39个月定开债,天弘基金,柴文婷,中长期纯债券型基金,8261082648.05,,纯债基金
2906,008493.OF,008493,鹏华尊泰一年定开发起式债券,鹏华基金,刘涛,混合债券型基金(一级),2038332821.24,,纯债基金
2909,008497.OF,008497,鹏扬浦利中短债A,鹏扬基金,陈钟闻,短期纯债券型基金,4636636961.770001,A,纯债基金
2917,008508.OF,008508,国联聚锦一年定开债券,国联基金,石霄蒙,混合债券型基金(一级),1550955765.37,,纯债基金
2918,008509.OF,008509,南方得利一年定开债券发起,南方基金,黄斌斌,中长期纯债券型基金,1018167093.62,,纯债基金
2922,008516.OF,008516,浦银安盛盛熙一年定开债券,浦银安盛基金,曹治国,中长期纯债券型基金,5685386564.76,,纯债基金
2924,008521.OF,008521,富国汇优纯债63个月定期开放债券,富国基金,朱梦娜,中长期纯债券型基金,8191347402.11,,纯债基金
2930,008535.OF,008535,兴银合盛定开债A,兴银基金,"王深,范泰奇",中长期纯债券型基金,8000949230.1,A,纯债基金
2932,008539.OF,008539,工银开元利率债债券A,工银瑞信,张略钊,中长期纯债券型基金,1428409611.35,A,纯债基金
2940,008558.OF,008558,永赢邦利债券A,永赢基金,"谢越,吴玮",中长期纯债券型基金,3537770544.4,A,纯债基金
2947,008568.OF,008568,蜂巢丰业一年定开,蜂巢基金,"廖新昌,金之洁",中长期纯债券型基金,3789863363.35,,纯债基金
2948,008569.OF,008569,中航瑞智纯债A,中航基金,茅勇峰,中长期纯债券型基金,204749452.09,A,纯债基金
2953,008575.OF,008575,财通裕惠63个月定开债券,财通基金,闫梦璇,中长期纯债券型基金,4086466960.89,,纯债基金
2956,008582.OF,008582,兴银聚丰债券,兴银基金,王深,中长期纯债券型基金,1531850813.79,,纯债基金
2959,008587.OF,008587,淳厚中短债A,淳厚基金,"祁洁萍,江文军",短期纯债券型基金,221386528.57,A,纯债基金
2963,008596.OF,008596,平安乐顺39个月定开债A,平安基金,段玮婧,中长期纯债券型基金,8363673076.19,A,纯债基金
2967,008608.OF,008608,广发汇浦三年定期开放债券,广发基金,刘志辉,中长期纯债券型基金,8004781712.38,,纯债基金
2975,008620.OF,008620,嘉实致宁3个月定开纯债债券,嘉实基金,"李卓锴,李宇昂",中长期纯债券型基金,1623540784.49,,纯债基金
2985,008644.OF,008644,天弘季季兴三个月定开A,天弘基金,"柴文婷,陈钢",中长期纯债券型基金,596465666.82,A,纯债基金
2987,008646.OF,008646,天弘增利短债A,天弘基金,"王昌俊,王顺利",短期纯债券型基金,6970922639.74,A,纯债基金
2989,008648.OF,008648,嘉实致业一年定期纯债债券,嘉实基金,"王立芹,崔思维",中长期纯债券型基金,1041015790.66,,纯债基金
2990,008649.OF,008649,华泰柏瑞锦兴39个月定开债券,华泰柏瑞基金,何子建,中长期纯债券型基金,8027575091.63,,纯债基金
2991,008650.OF,008650,华泰柏瑞益商一年定开债券,华泰柏瑞基金,罗远航,中长期纯债券型基金,2042546679.48,,纯债基金
2992,008651.OF,008651,博时富进一年期定开债发起式,博时基金,李秋实,中长期纯债券型基金,9006676595.22,,纯债基金
2997,008661.OF,008661,嘉实致融一年定期债券,嘉实基金,"轩璇,胡永青",混合债券型基金(一级),1742060329.91,,纯债基金
3003,008674.OF,008674,博时稳悦63个月定开债,博时基金,陈黎,中长期纯债券型基金,8346398077.55,,纯债基金
3004,008675.OF,008675,华安鑫浦定开债A,华安基金,孙丽娜,中长期纯债券型基金,8169540664.59,A,纯债基金
3021,008700.OF,008700,泰康瑞丰3月定开债券,泰康基金,经惠云,混合债券型基金(一级),231352611.28,,纯债基金
3026,008722.OF,008722,永赢欣益一年,永赢基金,"吴玮,张雪",中长期纯债券型基金,1973582466.25,,纯债基金
3032,008730.OF,008730,天弘纯享一年定开,天弘基金,潘昱杉,中长期纯债券型基金,2004007554.45,,纯债基金
3036,008738.OF,008738,天弘兴享一年定开,天弘基金,"潘昱杉,柴文婷",中长期纯债券型基金,999827190.61,,纯债基金
3041,008746.OF,008746,财通多利债券A,财通基金,"闫梦璇,罗晓倩",中长期纯债券型基金,5414478670.97,A,纯债基金
3049,008761.OF,008761,南方骏元中短期利率债债券,南方基金,"黄斌斌,王润栋",短期纯债券型基金,1528727102.7,,纯债基金
3050,008762.OF,008762,天弘恒享一年定开,天弘基金,"潘昱杉,程明",中长期纯债券型基金,4229365019.93,,纯债基金
3056,008774.OF,008774,招商鑫福中短债A,招商基金,李家辉,短期纯债券型基金,7022338327.22,A,纯债基金
3064,008796.OF,008796,国联恒安纯债A,国联基金,石霄蒙,中长期纯债券型基金,1002503369.84,A,纯债基金
3068,008802.OF,008802,浦银安盛盛晖一年定开债券,浦银安盛基金,"陶祺,翁凯骅",中长期纯债券型基金,55251582.02,,纯债基金
3073,008807.OF,008807,鹏扬淳悦一年定开债券,鹏扬基金,焦翠,中长期纯债券型基金,1950027870.09,,纯债基金
3082,008826.OF,008826,天弘成享一年定开,天弘基金,"刘洋,彭玮",混合债券型基金(一级),7998199605.65,,纯债基金
3083,008829.OF,008829,博时富洋一年定开债发起式,博时基金,李秋实,中长期纯债券型基金,1054995928.82,,纯债基金
3086,008857.OF,008857,华夏鼎航债券A,华夏基金,孙蕾,中长期纯债券型基金,1207328742.28,A,纯债基金
3089,008862.OF,008862,中银证券汇远定期开放债券,中银证券,余亮,中长期纯债券型基金,212143504.42,,纯债基金
3090,008863.OF,008863,中银证券汇兴定期开放债券,中银证券,"王玉玺,曹张琪",中长期纯债券型基金,3003527381.38,,纯债基金
3096,008875.OF,008875,国寿安保尊恒利率债债券A,国寿安保基金,"李辉,卢珊",中长期纯债券型基金,1526908940.92,A,纯债基金
3106,008902.OF,008902,国寿安保泰吉纯债一年定开债券发起式,国寿安保基金,丁宇佳,中长期纯债券型基金,2137602574.09,,纯债基金
3113,008925.OF,008925,鹏华尊达一年定开发起式债券,鹏华基金,杜培俊,混合债券型基金(一级),2307613325.03,,纯债基金
3135,008995.OF,008995,中银证券安沛债券A,中银证券,余亮,中长期纯债券型基金,204534500.67,A,纯债基金
3139,009001.OF,009001,长城泰利债券A,长城基金,"张棪,吴冰燕",中长期纯债券型基金,14332771964.27,A,纯债基金
3143,009021.OF,009021,鹏华丰诚债券A,鹏华基金,"祝松,杜培俊",混合债券型基金(一级),1026731049.17,A,纯债基金
3149,009041.OF,009041,浦银安盛普天纯债债券A,浦银安盛基金,陶祺,中长期纯债券型基金,1071304509.91,A,纯债基金
3151,009045.OF,009045,浦银安盛盛智一年定开债券,浦银安盛基金,曹治国,中长期纯债券型基金,110720531.68,,纯债基金
3155,009082.OF,009082,华夏鼎佳债券A,华夏基金,张海静,中长期纯债券型基金,6348119391.11,A,纯债基金
3161,009091.OF,009091,兴银汇悦定开债,兴银基金,范泰奇,中长期纯债券型基金,2826657330.31,,纯债基金
3166,009105.OF,009105,兴业嘉荣一年定开债券发起式,兴业基金,"王卓然,雷志强",中长期纯债券型基金,8011813691.26,,纯债基金
3170,009148.OF,009148,平安合聚定开债,平安基金,段玮婧,中长期纯债券型基金,965473844.69,,纯债基金
3171,009166.OF,009166,平安合享1年定开债,平安基金,张璐,中长期纯债券型基金,531282568.17,,纯债基金
3172,009167.OF,009167,博时富灿一年定开债发起式,博时基金,李汉楠,中长期纯债券型基金,1020613410.62,,纯债基金
3182,009207.OF,009207,兴银汇智定开债,兴银基金,"洪木妹,王深",中长期纯债券型基金,1002563842.91,,纯债基金
3183,009212.OF,009212,易方达恒茂39个月定开债发起式,易方达基金,藏海涛,中长期纯债券型基金,8041430670.19,,纯债基金
3189,009235.OF,009235,景顺长城弘远66个月定期开放债券,景顺长城基金,何江波,中长期纯债券型基金,8595941055.74,,纯债基金
3191,009237.OF,009237,兴业绿色纯债一年定开债券A,兴业基金,冯小波,中长期纯债券型基金,1334458197.01,A,纯债基金
3193,009252.OF,009252,蜂巢添元纯债A,蜂巢基金,金之洁,中长期纯债券型基金,526054461.44,A,纯债基金
3195,009254.OF,009254,蜂巢添禧87个月定开,蜂巢基金,"李海涛,金之洁",中长期纯债券型基金,8083633032.75,,纯债基金
3198,009257.OF,009257,工银尊利中短债债券F,工银瑞信,张略钊,短期纯债券型基金,421324169.52,,纯债基金
3200,009271.OF,009271,博时信用优选债券A,博时基金,于渤洋,中长期纯债券型基金,6821896740.28,A,纯债基金
3204,009284.OF,009284,上银慧丰利债券,上银基金,"许佳,高永",中长期纯债券型基金,1001334748.03,,纯债基金
3207,009289.OF,009289,富国长江经济带纯债债券,富国基金,"吕春杰,张洋",中长期纯债券型基金,3417291563.93,,纯债基金
3208,009290.OF,009290,富国添享一年持有期债券A,富国基金,武磊,混合债券型基金(一级),2152431569.91,A,纯债基金
3210,009292.OF,009292,易方达年年恒春纯债一年定开发起式A,易方达基金,李一硕,中长期纯债券型基金,2278562129.22,A,纯债基金
3212,009294.OF,009294,嘉实致益纯债债券,嘉实基金,王立芹,中长期纯债券型基金,1013472083.96,,纯债基金
3214,009298.OF,009298,英大安惠纯债A,英大基金,"张婧珣,张大铮,易祺坤",中长期纯债券型基金,5523844488.48,A,纯债基金
3221,009306.OF,009306,平安惠铭纯债,平安基金,"李瑾懿,张文平",中长期纯债券型基金,4881785808.95,,纯债基金
3222,009309.OF,009309,国寿安保尊庆6个月持有期债券A,国寿安保基金,卢珊,混合债券型基金(一级),88711332.54,A,纯债基金
3230,009338.OF,009338,万家民瑞祥和6个月持有期债券A,万家基金,"周潜玮,周慧",中长期纯债券型基金,1986244634.35,A,纯债基金
3232,009343.OF,009343,泰康长江经济带债券A,泰康基金,经惠云,中长期纯债券型基金,953109623.5,A,纯债基金
3236,009356.OF,009356,博时季季乐持有期债券A,博时基金,"李更,倪玉娟",短期纯债券型基金,5766051709.15,A,纯债基金
3250,009417.OF,009417,国投瑞银顺荣债券A,国投瑞银基金,李鸥,中长期纯债券型基金,8405659202.47,A,纯债基金
3259,009450.OF,009450,中金新辉1年,中金基金,董珊珊,中长期纯债券型基金,4008502794.7,,纯债基金
3262,009453.OF,009453,平安合兴1年定开债,平安基金,"张璐,段玮婧",中长期纯债券型基金,213766588.46,,纯债基金
3273,009483.OF,009483,鹏华普利债券A,鹏华基金,刘涛,混合债券型基金(一级),3194692169.13,A,纯债基金
3301,009577.OF,009577,上银聚永益一年定开债券,上银基金,"许佳,楼昕宇",中长期纯债券型基金,5054651391.68,,纯债基金
3302,009578.OF,009578,上银聚德益一年定开债券,上银基金,许佳,中长期纯债券型基金,5133318457.73,,纯债基金
3304,009580.OF,009580,招商双债增强(LOF)D,招商基金,刘万锋,混合债券型基金(一级),7412691640.54,,纯债基金
3307,009583.OF,009583,淳厚安裕87个月定开债,淳厚基金,江文军,中长期纯债券型基金,7513404681.44,,纯债基金
3310,009587.OF,009587,国寿安保瑞和纯债66个月定期开放债券,国寿安保基金,丁宇佳,中长期纯债券型基金,8153519445.17,,纯债基金
3313,009599.OF,009599,嘉实致嘉纯债债券,嘉实基金,轩璇,中长期纯债券型基金,10557030397.19,,纯债基金
3314,009600.OF,009600,嘉实安泽一年定期纯债债券,嘉实基金,"赵国英,王立芹",中长期纯债券型基金,5849756842.76,,纯债基金
3323,009632.OF,009632,浦银安盛普嘉87个月定开债券A,浦银安盛基金,李羿,中长期纯债券型基金,8042752351.21,A,纯债基金
3329,009643.OF,009643,嘉实致信一年定期纯债债券,嘉实基金,轩璇,中长期纯债券型基金,994167389.32,,纯债基金
