,thscode,杠杆比例标签20230630,杠杆比例标签20230331,杠杆比例标签20221231,杠杆比例标签20220930,杠杆比例标签20220630,杠杆比例标签20220331,lever
529,008409.OF,中,中,中,小,中,中,轮动基金
530,014476.OF,中,小,小,中,中,中,轮动基金
531,004689.OF,中,小,小,小,中,大,轮动基金
532,000914.OF,中,大,中,小,大,中,轮动基金
533,015893.OF,中,中,小,小,小,小,轮动基金
534,002548.OF,中,小,小,中,中,中,轮动基金
535,009643.OF,中,大,中,中,中,小,轮动基金
536,007659.OF,中,大,中,中,小,小,轮动基金
537,007953.OF,中,中,中,中,小,大,轮动基金
538,000606.OF,中,小,小,小,小,大,轮动基金
539,002140.OF,中,中,中,中,中,中,稳定中
540,009655.OF,中,大,大,大,中,大,轮动基金
541,485022.OF,中,大,大,大,中,大,轮动基金
542,006332.OF,中,中,中,中,中,中,稳定中
543,003651.OF,中,大,中,中,大,大,轮动基金
544,006191.OF,中,中,中,中,中,大,轮动基金
545,000931.OF,中,中,中,大,中,大,轮动基金
546,005577.OF,中,中,中,中,中,中,稳定中
547,007996.OF,中,中,小,大,中,中,轮动基金
548,007930.OF,中,中,中,中,大,中,轮动基金
549,013808.OF,中,大,中,大,中,小,轮动基金
550,016247.OF,中,中,小,小,小,小,轮动基金
551,004499.OF,中,中,大,大,大,大,轮动基金
552,008465.OF,中,小,小,中,中,大,轮动基金
553,003452.OF,中,中,小,大,大,大,轮动基金
554,000084.OF,中,小,中,中,中,小,轮动基金
555,000147.OF,中,中,小,中,大,小,轮动基金
556,007714.OF,中,中,中,大,大,中,轮动基金
557,003445.OF,中,中,大,大,中,大,轮动基金
558,008857.OF,中,中,大,大,中,中,轮动基金
559,006662.OF,中,中,大,中,大,小,轮动基金
560,006664.OF,中,中,大,中,大,中,轮动基金
561,007740.OF,中,大,小,小,小,大,轮动基金
562,002169.OF,中,中,中,中,中,中,稳定中
563,006850.OF,中,中,中,大,大,中,轮动基金
564,012465.OF,中,大,中,小,中,中,轮动基金
565,003192.OF,中,中,大,大,大,大,轮动基金
566,009309.OF,中,中,中,大,中,小,轮动基金
567,005719.OF,中,中,中,大,大,大,轮动基金
568,014815.OF,中,中,小,小,小,小,轮动基金
569,003703.OF,中,小,大,小,中,小,轮动基金
570,000254.OF,中,中,中,中,中,小,轮动基金
571,005684.OF,中,大,中,小,中,中,轮动基金
572,530021.OF,中,小,大,中,中,中,轮动基金
573,007184.OF,中,中,中,大,中,中,轮动基金
574,003289.OF,中,中,中,大,中,中,轮动基金
575,017024.OF,中,小,小,小,小,小,轮动基金
576,013976.OF,中,大,大,大,大,大,轮动基金
577,009082.OF,中,中,中,中,中,小,轮动基金
578,003746.OF,中,小,中,中,中,大,轮动基金
579,012591.OF,中,中,中,中,中,大,轮动基金
580,007754.OF,中,中,中,小,中,小,轮动基金
581,013068.OF,中,中,中,中,小,中,轮动基金
582,013780.OF,中,中,中,中,大,大,轮动基金
583,003223.OF,中,大,中,中,中,中,轮动基金
584,006076.OF,中,小,中,中,中,中,轮动基金
585,005816.OF,中,大,大,大,小,中,轮动基金
586,003329.OF,中,小,中,小,小,中,轮动基金
587,000402.OF,中,大,大,中,大,大,轮动基金
588,007347.OF,中,中,中,中,中,中,稳定中
589,003280.OF,中,中,小,中,中,中,轮动基金
590,007515.OF,中,小,小,小,中,小,轮动基金
591,002198.OF,中,中,小,小,小,小,轮动基金
592,007706.OF,中,小,中,中,中,小,轮动基金
593,004127.OF,中,中,中,大,中,中,轮动基金
594,007050.OF,中,中,中,中,中,中,稳定中
595,012773.OF,中,大,小,大,中,大,轮动基金
596,016011.OF,中,小,小,小,小,小,轮动基金
597,007562.OF,中,小,大,大,中,中,轮动基金
598,002377.OF,中,小,中,小,小,小,轮动基金
599,014446.OF,中,中,小,小,大,中,轮动基金
600,003269.OF,中,小,中,中,大,大,轮动基金
601,007440.OF,中,大,小,中,大,大,轮动基金
602,009922.OF,中,中,中,小,中,大,轮动基金
603,006107.OF,中,中,中,小,中,中,轮动基金
604,004136.OF,中,小,中,大,小,大,轮动基金
605,007167.OF,中,小,中,中,中,中,轮动基金
606,012941.OF,中,中,中,中,中,大,轮动基金
607,018666.OF,中,小,小,小,小,小,轮动基金
608,006829.OF,中,中,大,小,小,大,轮动基金
609,011529.OF,中,中,中,中,中,中,稳定中
610,005099.OF,中,中,小,中,小,中,轮动基金
611,002625.OF,中,小,中,小,小,小,轮动基金
612,016914.OF,中,大,小,小,小,小,轮动基金
613,007584.OF,中,中,小,中,中,小,轮动基金
614,009289.OF,中,小,中,小,中,中,轮动基金
615,004728.OF,中,小,中,小,小,小,轮动基金
616,012101.OF,中,中,中,大,大,大,轮动基金
617,519332.OF,中,中,中,大,中,中,轮动基金
618,016296.OF,中,小,小,小,小,小,轮动基金
619,009356.OF,中,中,中,大,大,中,轮动基金
620,010083.OF,中,中,小,小,中,中,轮动基金
621,008302.OF,中,中,中,大,大,中,轮动基金
622,003809.OF,中,小,小,中,大,中,轮动基金
623,012489.OF,中,小,小,中,大,中,轮动基金
624,004911.OF,中,小,大,大,中,中,轮动基金
625,001961.OF,中,大,中,小,中,大,轮动基金
626,002354.OF,中,中,小,小,大,大,轮动基金
627,011262.OF,中,小,小,小,中,中,轮动基金
628,004027.OF,中,大,小,中,小,小,轮动基金
629,010092.OF,中,中,小,中,中,小,轮动基金
630,010632.OF,中,小,大,大,大,大,轮动基金
631,013216.OF,中,中,中,大,中,大,轮动基金
632,014250.OF,中,中,中,大,小,中,轮动基金
633,016816.OF,中,小,小,小,小,小,轮动基金
634,004498.OF,中,中,中,小,小,大,轮动基金
635,007374.OF,中,中,中,大,中,小,轮动基金
636,004061.OF,中,小,中,大,中,中,轮动基金
637,007691.OF,中,大,小,中,大,大,轮动基金
638,011946.OF,中,小,中,大,中,中,轮动基金
639,006378.OF,中,小,小,小,中,中,轮动基金
640,013075.OF,中,大,小,小,中,中,轮动基金
641,015487.OF,中,中,小,小,小,小,轮动基金
642,007949.OF,中,中,大,小,小,中,轮动基金
643,005854.OF,中,小,中,中,中,中,轮动基金
644,005648.OF,中,小,中,中,大,大,轮动基金
645,000191.OF,中,中,中,中,中,大,轮动基金
646,006684.OF,中,中,中,中,中,大,轮动基金
647,015569.OF,中,小,小,小,小,小,轮动基金
648,002994.OF,中,小,小,大,小,小,轮动基金
649,008587.OF,中,小,中,中,小,中,轮动基金
650,009599.OF,中,中,中,中,中,大,轮动基金
651,001578.OF,中,小,中,小,小,小,轮动基金
652,007681.OF,中,小,小,大,中,大,轮动基金
653,006985.OF,中,中,中,大,大,中,轮动基金
654,006958.OF,中,中,大,中,中,大,轮动基金
655,009920.OF,中,中,大,中,中,中,轮动基金
656,012567.OF,中,中,小,小,小,小,轮动基金
657,003290.OF,中,中,小,小,小,小,轮动基金
658,006869.OF,中,中,中,小,中,小,轮动基金
659,006434.OF,中,大,中,中,大,小,轮动基金
660,005666.OF,中,中,大,中,大,中,轮动基金
661,002268.OF,中,小,小,中,大,大,轮动基金
662,015301.OF,中,大,大,中,中,小,轮动基金
663,005072.OF,中,小,大,小,小,中,轮动基金
664,010753.OF,中,大,中,中,小,小,轮动基金
665,003859.OF,中,大,中,中,小,小,轮动基金
666,006797.OF,中,大,大,大,大,中,轮动基金
667,002929.OF,小,大,大,大,中,中,轮动基金
668,100018.OF,小,中,大,中,中,中,轮动基金
669,003949.OF,小,中,大,大,大,大,轮动基金
670,008022.OF,小,中,小,中,中,中,轮动基金
671,531028.OF,小,中,小,中,中,中,轮动基金
672,004923.OF,小,中,大,中,中,中,轮动基金
673,011080.OF,小,小,中,中,中,小,轮动基金
674,016609.OF,小,中,小,小,小,小,轮动基金
675,017428.OF,小,中,小,小,小,小,轮动基金
676,002175.OF,小,中,中,小,小,小,轮动基金
677,014480.OF,小,小,小,中,小,小,轮动基金
678,006771.OF,小,小,小,中,中,中,轮动基金
679,018011.OF,小,小,小,小,小,小,稳定小
680,005784.OF,小,中,小,大,中,大,轮动基金
681,006597.OF,小,小,中,小,小,中,轮动基金
682,006901.OF,小,大,中,小,中,大,轮动基金
683,007454.OF,小,中,中,大,大,小,轮动基金
684,015815.OF,小,中,小,小,小,小,轮动基金
685,006066.OF,小,中,中,中,小,中,轮动基金
686,013457.OF,小,中,大,小,小,中,轮动基金
687,007321.OF,小,小,小,中,中,中,轮动基金
688,002755.OF,小,大,大,大,大,中,轮动基金
689,007670.OF,小,中,小,大,小,小,轮动基金
690,006043.OF,小,中,中,中,中,中,轮动基金
691,012265.OF,小,中,中,小,中,小,轮动基金
692,016396.OF,小,小,小,小,小,小,稳定小
693,004655.OF,小,小,中,中,中,小,轮动基金
694,013456.OF,小,中,中,小,小,中,轮动基金
695,007744.OF,小,中,中,中,小,中,轮动基金
696,009271.OF,小,小,中,大,大,中,轮动基金
697,015049.OF,小,小,小,小,小,小,稳定小
698,005703.OF,小,小,大,大,大,大,轮动基金
699,011292.OF,小,小,小,小,小,小,稳定小
700,006489.OF,小,小,小,小,小,小,稳定小
701,090021.OF,小,大,小,小,小,小,轮动基金
702,016695.OF,小,中,小,小,小,小,轮动基金
703,007823.OF,小,小,小,小,中,小,轮动基金
704,012580.OF,小,中,中,中,大,中,轮动基金
705,004238.OF,小,中,小,中,中,小,轮动基金
706,000943.OF,小,中,中,中,大,大,轮动基金
707,005383.OF,小,大,大,大,中,中,轮动基金
708,013375.OF,小,中,大,大,中,小,轮动基金
709,013864.OF,小,小,中,小,小,小,轮动基金
710,005988.OF,小,中,小,大,小,中,轮动基金
711,017314.OF,小,小,小,小,小,小,稳定小
712,007618.OF,小,中,大,中,中,大,轮动基金
713,007616.OF,小,中,大,中,中,大,轮动基金
714,110035.OF,小,中,小,小,中,中,轮动基金
715,007871.OF,小,中,中,中,小,小,轮动基金
716,015852.OF,小,中,小,小,小,小,轮动基金
717,005606.OF,小,小,小,小,小,小,稳定小
718,014012.OF,小,中,小,小,小,小,轮动基金
719,004141.OF,小,中,大,大,大,大,轮动基金
720,006411.OF,小,中,小,中,小,小,轮动基金
721,009167.OF,小,中,中,中,中,中,轮动基金
722,006683.OF,小,中,大,小,小,中,轮动基金
723,000139.OF,小,中,大,小,小,中,轮动基金
724,006082.OF,小,中,中,大,大,大,轮动基金
725,050027.OF,小,小,大,中,大,大,轮动基金
726,006963.OF,小,小,小,大,中,中,轮动基金
727,005897.OF,小,小,大,小,中,中,轮动基金
728,002188.OF,小,大,中,小,中,中,轮动基金
729,005171.OF,小,大,中,小,中,中,轮动基金
730,002698.OF,小,小,小,大,大,中,轮动基金
731,010168.OF,小,中,小,中,中,小,轮动基金
732,006393.OF,小,中,中,中,中,中,轮动基金
733,160618.SZ,小,中,小,大,中,大,轮动基金
734,005920.OF,小,中,中,大,中,中,轮动基金
735,040045.OF,小,小,小,小,中,中,轮动基金
736,016510.OF,小,大,大,小,小,小,轮动基金
737,006552.OF,小,大,大,中,大,大,轮动基金
738,007986.OF,小,小,小,中,小,中,轮动基金
739,005971.OF,小,小,中,中,中,小,轮动基金
740,007158.OF,小,中,中,小,小,小,轮动基金
741,008242.OF,小,小,小,中,中,小,轮动基金
742,002549.OF,小,小,中,小,小,中,轮动基金
743,015516.OF,小,小,小,中,小,小,轮动基金
744,018169.OF,小,小,小,小,小,小,稳定小
745,006617.OF,小,大,大,大,中,大,轮动基金
746,015654.OF,小,小,小,大,小,小,轮动基金
747,006793.OF,小,小,小,大,中,大,轮动基金
748,016189.OF,小,中,大,小,小,小,轮动基金
749,014966.OF,小,中,小,中,小,小,轮动基金
750,009237.OF,小,小,大,大,大,中,轮动基金
751,007576.OF,小,小,大,大,大,大,轮动基金
752,000345.OF,小,小,中,大,中,小,轮动基金
753,009148.OF,小,大,大,中,大,大,轮动基金
754,003454.OF,小,中,中,中,中,中,轮动基金
755,013408.OF,小,中,中,大,小,小,轮动基金
756,010479.OF,小,小,中,中,中,中,轮动基金
757,008875.OF,小,小,小,小,大,中,轮动基金
758,017695.OF,小,小,小,小,小,小,稳定小
759,002301.OF,小,小,中,中,中,小,轮动基金
760,013703.OF,小,小,小,小,中,中,轮动基金
761,013008.OF,小,大,中,大,大,中,轮动基金
762,015832.OF,小,小,中,中,小,小,轮动基金
763,008829.OF,小,小,小,中,中,小,轮动基金
764,006360.OF,小,小,小,中,中,中,轮动基金
765,006053.OF,小,小,中,小,中,大,轮动基金
766,004910.OF,小,小,小,小,小,中,轮动基金
767,013405.OF,小,中,小,小,小,小,轮动基金
768,006319.OF,小,小,小,小,大,中,轮动基金
769,014517.OF,小,小,小,中,大,小,轮动基金
770,002603.OF,小,大,大,大,大,大,轮动基金
771,012806.OF,小,中,中,中,中,小,轮动基金
772,519776.OF,小,小,小,小,小,大,轮动基金
773,016955.OF,小,中,小,小,小,小,轮动基金
774,010258.OF,小,中,中,中,中,中,轮动基金
775,007220.OF,小,中,小,小,小,中,轮动基金
776,013804.OF,小,小,小,中,大,中,轮动基金
777,013563.OF,小,中,大,小,大,中,轮动基金
778,161115.SZ,小,小,中,小,小,中,轮动基金
779,007105.OF,小,中,中,小,小,中,轮动基金
780,015081.OF,小,小,大,大,中,小,轮动基金
781,008826.OF,小,小,中,小,大,大,轮动基金
782,007653.OF,小,小,小,小,小,小,稳定小
783,008207.OF,小,中,大,中,中,中,轮动基金
784,007645.OF,小,中,大,中,中,中,轮动基金
785,006824.OF,小,小,中,中,小,中,轮动基金
786,016427.OF,小,小,小,中,小,小,轮动基金
787,006893.OF,小,小,小,中,小,中,轮动基金
788,015853.OF,小,小,小,小,小,小,稳定小
789,519330.OF,小,小,小,小,小,大,轮动基金
790,004118.OF,小,小,大,中,中,中,轮动基金
791,013952.OF,小,小,中,小,小,小,轮动基金
792,003327.OF,小,小,中,大,大,大,轮动基金
793,000205.OF,小,小,小,小,小,小,稳定小
794,004637.OF,小,小,中,大,中,中,轮动基金
795,015746.OF,小,大,中,小,小,小,轮动基金
796,015720.OF,小,小,小,小,小,小,稳定小
797,006517.OF,小,中,大,中,中,中,轮动基金
798,006965.OF,小,小,小,中,小,小,轮动基金
799,007061.OF,小,大,中,小,大,中,轮动基金
800,009578.OF,小,大,中,中,大,大,轮动基金
801,530029.OF,小,小,小,小,小,小,稳定小
802,014252.OF,小,小,小,中,小,小,轮动基金
803,013351.OF,小,小,小,小,小,小,稳定小
804,013699.OF,小,小,小,小,小,大,轮动基金
805,004956.OF,小,小,小,小,中,小,轮动基金
806,001783.OF,小,中,中,中,大,大,轮动基金
807,012452.OF,小,小,大,小,中,中,轮动基金
808,014721.OF,小,大,大,大,小,小,轮动基金
809,012279.OF,小,中,中,中,大,大,轮动基金
810,519743.OF,小,小,小,大,大,中,轮动基金
811,519784.OF,小,小,中,小,小,大,轮动基金
812,004547.OF,小,小,小,大,中,中,轮动基金
813,013065.OF,小,小,中,小,中,小,轮动基金
814,009257.OF,小,小,中,中,小,中,轮动基金
815,006740.OF,小,小,中,中,小,中,轮动基金
816,005307.OF,小,中,中,中,大,中,轮动基金
817,011067.OF,小,中,中,中,大,中,轮动基金
818,006915.OF,小,小,小,中,小,中,轮动基金
819,008746.OF,小,小,中,中,小,小,轮动基金
820,006929.OF,小,小,中,中,中,大,轮动基金
821,008649.OF,小,小,中,大,大,大,轮动基金
822,007447.OF,小,小,小,小,中,中,轮动基金
823,519324.OF,小,中,大,大,大,中,轮动基金
824,008411.OF,小,中,中,大,中,中,轮动基金
825,008497.OF,小,小,大,小,中,中,轮动基金
826,006653.OF,小,小,中,中,小,小,轮动基金
827,009001.OF,小,中,中,中,中,中,轮动基金
828,018085.OF,小,小,小,小,小,小,稳定小
829,004126.OF,小,小,小,小,大,中,轮动基金
830,003265.OF,小,大,中,小,中,中,轮动基金
831,006570.OF,小,中,中,大,大,大,轮动基金
832,016031.OF,小,小,小,小,小,小,稳定小
833,007201.OF,小,大,小,大,小,中,轮动基金
834,016812.OF,小,小,小,小,小,小,稳定小
835,003590.OF,小,小,小,中,小,中,轮动基金
836,006956.OF,小,大,大,大,大,大,轮动基金
837,006764.OF,小,小,中,中,中,大,轮动基金
838,003673.OF,小,小,小,大,小,小,轮动基金
839,005200.OF,小,小,中,中,小,小,轮动基金
840,002781.OF,小,中,小,小,大,中,轮动基金
841,014315.OF,小,中,中,小,中,小,轮动基金
842,006772.OF,小,小,小,中,小,小,轮动基金
843,006097.OF,小,小,小,小,中,中,轮动基金
844,007762.OF,小,小,中,小,小,中,轮动基金
845,002832.OF,小,小,大,大,中,中,轮动基金
846,005871.OF,小,大,小,中,中,大,轮动基金
847,000355.OF,小,小,大,大,大,大,轮动基金
848,519137.OF,小,小,小,小,中,中,轮动基金
849,007954.OF,小,小,中,中,中,中,轮动基金
850,006970.OF,小,中,中,中,大,小,轮动基金
851,003162.OF,小,小,小,中,小,中,轮动基金
852,005442.OF,小,大,大,中,中,大,轮动基金
853,003056.OF,小,小,小,小,小,中,轮动基金
854,014097.OF,小,中,中,小,小,小,轮动基金
855,006838.OF,小,中,中,中,大,大,轮动基金
856,000207.OF,小,小,小,中,小,小,轮动基金
857,003880.OF,小,小,中,中,中,中,轮动基金
858,016790.OF,小,中,小,小,小,小,轮动基金
859,004899.OF,小,小,中,小,小,小,轮动基金
860,003869.OF,小,中,中,中,大,大,轮动基金
861,010084.OF,小,大,大,大,中,大,轮动基金
862,013522.OF,小,小,中,小,大,中,轮动基金
863,002483.OF,小,大,大,小,小,大,轮动基金
864,001299.OF,小,中,中,大,中,中,轮动基金
865,013648.OF,小,小,中,中,大,大,轮动基金
866,015848.OF,小,中,大,小,小,小,轮动基金
867,010634.OF,小,中,大,小,小,大,轮动基金
868,008406.OF,小,小,中,大,大,中,轮动基金
869,004544.OF,小,中,中,小,小,中,轮动基金
870,162715.SZ,小,小,大,中,中,中,轮动基金
871,519334.OF,小,小,小,小,小,小,稳定小
872,002970.OF,小,中,小,中,中,中,轮动基金
873,006665.OF,小,小,小,中,中,中,轮动基金
874,006629.OF,小,大,小,小,小,小,轮动基金
875,006714.OF,小,大,小,大,大,中,轮动基金
876,005322.OF,小,小,小,中,小,中,轮动基金
877,003640.OF,小,小,中,中,中,中,轮动基金
878,002864.OF,小,大,中,大,中,中,轮动基金
879,004887.OF,小,小,小,中,小,中,轮动基金
880,008774.OF,小,小,小,中,小,小,轮动基金
881,002991.OF,小,小,小,小,小,大,轮动基金
882,015629.OF,小,小,小,小,小,小,稳定小
883,014257.OF,小,中,中,中,中,小,轮动基金
884,014230.OF,小,小,中,中,中,小,轮动基金
885,002336.OF,小,小,中,中,中,中,轮动基金
886,006151.OF,小,小,大,小,小,大,轮动基金
887,015917.OF,小,小,小,中,小,小,轮动基金
888,006806.OF,小,小,小,小,小,小,稳定小
889,013236.OF,小,小,中,小,小,小,轮动基金
890,003155.OF,小,小,小,小,中,大,轮动基金
891,970132.OF,小,小,小,中,小,小,轮动基金
892,016526.OF,小,中,小,小,小,小,轮动基金
893,013799.OF,小,小,小,小,中,小,轮动基金
894,006626.OF,小,小,中,中,小,中,轮动基金
895,001545.OF,小,中,中,中,中,小,轮动基金
896,007121.OF,小,小,小,中,中,大,轮动基金
897,485105.OF,小,中,小,小,小,小,轮动基金
898,006169.OF,小,大,大,中,大,大,轮动基金
899,017614.OF,小,大,大,小,小,小,轮动基金
900,008802.OF,小,大,大,中,大,大,轮动基金
901,005781.OF,小,小,小,中,中,大,轮动基金
902,012742.OF,小,小,小,小,小,小,稳定小
903,017307.OF,小,小,小,小,小,小,稳定小
904,970098.OF,小,小,小,小,小,中,轮动基金
905,970096.OF,小,小,小,小,小,小,稳定小
906,004614.OF,小,小,大,小,中,大,轮动基金
907,016172.OF,小,小,大,小,小,小,轮动基金
908,006325.OF,小,小,小,小,中,小,轮动基金
909,002985.OF,小,小,小,小,小,小,稳定小
910,012468.OF,小,小,小,小,小,小,稳定小
911,013718.OF,小,中,小,中,小,小,轮动基金
912,202103.OF,小,小,中,小,小,大,轮动基金
913,014474.OF,小,小,小,小,小,小,稳定小
914,017529.OF,小,小,小,小,小,小,稳定小
915,000783.OF,小,小,中,中,小,小,轮动基金
916,008862.OF,小,小,小,小,小,小,稳定小
917,000546.OF,小,大,大,大,中,中,轮动基金
918,017305.OF,小,小,小,小,小,小,稳定小
919,016885.OF,小,小,小,小,小,小,稳定小
920,013373.OF,小,小,小,小,小,小,稳定小
921,008508.OF,小,小,小,小,小,小,稳定小
922,006934.OF,小,小,小,小,小,中,轮动基金
923,261001.OF,小,小,小,大,中,中,轮动基金
924,006032.OF,小,小,中,中,中,中,轮动基金
925,009045.OF,小,大,小,小,大,小,轮动基金
926,015552.OF,小,小,中,中,小,小,轮动基金
927,017006.OF,小,小,小,小,小,小,稳定小
928,016432.OF,小,小,小,小,小,小,稳定小
929,009831.OF,小,中,小,中,大,小,轮动基金
930,009792.OF,小,小,中,中,中,中,轮动基金
931,016426.OF,小,小,小,小,小,小,稳定小
932,009252.OF,小,中,小,中,大,中,轮动基金
933,016947.OF,小,小,小,小,小,小,稳定小
934,002447.OF,小,中,小,大,大,大,轮动基金
935,006112.OF,小,中,大,中,小,小,轮动基金
936,017777.OF,小,小,小,小,小,小,稳定小
937,008539.OF,小,小,中,小,小,小,轮动基金
938,008266.OF,小,小,小,中,小,大,轮动基金
939,012352.OF,小,小,小,中,中,大,轮动基金
940,006776.OF,小,小,中,大,中,中,轮动基金
941,008796.OF,小,小,小,中,大,大,轮动基金
942,006172.OF,小,小,小,中,中,中,轮动基金
943,009284.OF,小,小,小,小,小,小,稳定小
944,015492.OF,小,中,小,小,小,小,轮动基金
945,015925.OF,小,小,小,小,小,小,稳定小
946,016483.OF,小,小,小,小,小,小,稳定小
947,004052.OF,小,小,小,大,中,大,轮动基金
948,460008.OF,小,中,中,中,中,大,轮动基金
949,005435.OF,小,小,小,中,大,中,轮动基金
950,008582.OF,小,小,小,中,小,中,轮动基金
951,519328.OF,小,小,小,小,中,中,轮动基金
952,003213.OF,小,小,小,小,小,小,稳定小
953,004020.OF,小,小,小,中,中,中,轮动基金
954,005845.OF,小,小,小,中,中,中,轮动基金
955,013213.OF,小,小,小,小,小,小,稳定小
956,011952.OF,小,小,小,中,中,中,轮动基金
957,008730.OF,小,小,小,小,中,中,轮动基金
958,015423.OF,小,小,中,中,中,小,轮动基金
959,002578.OF,小,小,小,中,中,中,轮动基金
960,015471.OF,小,小,小,中,中,小,轮动基金
961,007199.OF,小,小,中,小,中,中,轮动基金
962,006029.OF,小,小,中,中,中,中,轮动基金
963,016208.OF,小,小,小,小,小,小,稳定小
964,007852.OF,小,小,中,大,大,大,轮动基金
965,003770.OF,小,小,小,小,小,小,稳定小
966,007585.OF,小,小,大,大,大,大,轮动基金
967,005772.OF,小,小,中,大,大,大,轮动基金
968,005309.OF,小,小,小,小,小,小,稳定小
969,009298.OF,小,小,中,小,中,小,轮动基金
970,003832.OF,小,小,小,小,小,小,稳定小
971,004882.OF,小,小,小,小,小,小,稳定小
972,016928.OF,小,小,小,小,小,小,稳定小
973,003929.OF,小,小,小,小,小,小,稳定小
974,003313.OF,小,小,小,小,小,小,稳定小
975,005321.OF,小,小,小,小,小,小,稳定小
976,004722.OF,小,小,小,小,小,小,稳定小
977,001369.OF,小,大,大,大,大,大,轮动基金
978,014778.OF,小,小,小,小,小,小,稳定小
979,000799.OF,小,大,大,小,小,小,轮动基金
980,007068.OF,小,中,小,小,中,小,轮动基金
981,006464.OF,小,大,中,小,中,中,轮动基金
982,006427.OF,小,小,小,小,中,小,轮动基金
983,014367.OF,小,小,小,小,中,小,轮动基金
984,016235.OF,小,小,小,小,小,小,稳定小
985,008214.OF,小,小,中,大,大,大,轮动基金
986,006791.OF,小,中,小,大,小,小,轮动基金
987,008608.OF,小,中,大,大,大,大,轮动基金
988,018275.OF,小,小,小,小,小,小,稳定小
989,960040.OF,小,小,小,小,小,小,稳定小
990,H000355.OF,小,小,小,小,小,小,稳定小
991,H202108.OF,小,小,小,小,小,小,稳定小
992,H217003.OF,小,小,小,小,小,小,稳定小
993,016951.OF,小,小,小,小,小,小,稳定小
994,017500.OF,小,小,小,小,小,小,稳定小
995,017681.OF,小,小,小,小,小,小,稳定小
996,018256.OF,小,小,小,小,小,小,稳定小
997,018407.OF,小,小,小,小,小,小,稳定小
998,018559.OF,小,小,小,小,小,小,稳定小
999,018584.OF,小,小,小,小,小,小,稳定小
