,thscode,杠杆比例标签20230630,杠杆比例标签20230331,杠杆比例标签20221231,杠杆比例标签20220930,杠杆比例标签20220630,杠杆比例标签20220331,lever
122,012803.OF,大,大,中,大,大,大,轮动基金
123,008521.OF,大,大,大,大,大,大,稳定大
124,000183.OF,大,大,小,中,大,大,轮动基金
125,011719.OF,大,大,大,大,大,大,稳定大
126,004919.OF,大,大,大,大,大,大,稳定大
127,009577.OF,大,大,大,大,大,大,稳定大
128,009450.OF,大,中,大,大,大,大,轮动基金
129,519138.OF,大,大,小,大,大,大,轮动基金
130,007268.OF,大,大,大,大,大,大,稳定大
131,013723.OF,大,大,大,大,小,小,轮动基金
132,000516.OF,大,大,大,中,中,中,轮动基金
133,014952.OF,大,大,小,小,小,小,轮动基金
134,008338.OF,大,小,小,大,大,大,轮动基金
135,161014.SZ,大,大,大,大,中,大,轮动基金
136,006421.OF,大,中,中,小,小,中,轮动基金
137,016875.OF,大,小,小,小,小,小,轮动基金
138,004504.OF,大,大,大,小,中,中,轮动基金
139,008349.OF,大,大,大,大,大,大,稳定大
140,011088.OF,大,大,大,中,中,中,轮动基金
141,008003.OF,大,大,大,中,大,大,轮动基金
142,015260.OF,大,小,小,小,小,小,轮动基金
143,001819.OF,大,大,大,大,大,大,稳定大
144,011960.OF,大,大,大,大,大,中,轮动基金
145,005740.OF,大,大,小,大,中,中,轮动基金
146,015018.OF,大,大,大,小,小,小,轮动基金
147,007830.OF,大,大,中,小,小,小,轮动基金
148,015397.OF,大,小,小,中,小,小,轮动基金
149,008674.OF,大,大,大,大,大,大,稳定大
150,007758.OF,大,大,小,小,小,中,轮动基金
151,013538.OF,大,小,中,小,小,小,轮动基金
152,011943.OF,大,大,大,大,大,大,稳定大
153,008017.OF,大,大,中,小,大,大,轮动基金
154,007990.OF,大,大,大,大,大,大,稳定大
155,006782.OF,大,大,大,中,中,中,轮动基金
156,006986.OF,大,大,中,中,大,大,轮动基金
157,005398.OF,大,大,大,大,中,大,轮动基金
158,000032.OF,大,大,中,中,小,中,轮动基金
159,006841.OF,大,大,小,中,中,小,轮动基金
160,016023.OF,大,大,大,小,小,小,轮动基金
161,018196.OF,大,小,小,小,小,小,轮动基金
162,012933.OF,大,大,大,大,中,小,轮动基金
163,013159.OF,大,中,大,大,大,中,轮动基金
164,008278.OF,大,大,大,小,中,大,轮动基金
165,012356.OF,大,大,小,小,大,中,轮动基金
166,009294.OF,大,大,大,大,大,中,轮动基金
167,000116.OF,大,中,中,小,小,中,轮动基金
168,010477.OF,大,中,中,中,小,小,轮动基金
169,007544.OF,大,大,中,大,大,大,轮动基金
170,008620.OF,大,中,中,中,大,中,轮动基金
171,007417.OF,大,大,大,大,大,中,轮动基金
172,011683.OF,大,中,大,大,大,大,轮动基金
173,004042.OF,大,大,大,中,大,大,轮动基金
174,009851.OF,大,大,大,大,大,大,稳定大
175,014105.OF,大,小,小,中,中,中,轮动基金
176,009799.OF,大,大,大,大,大,大,稳定大
177,003662.OF,大,大,大,中,中,中,轮动基金
178,005439.OF,大,大,大,大,大,大,稳定大
179,009600.OF,大,大,中,中,大,中,轮动基金
180,008700.OF,大,大,大,大,大,大,稳定大
181,006045.OF,大,大,大,大,中,中,轮动基金
182,006450.OF,大,小,小,中,小,中,轮动基金
183,008104.OF,大,大,中,小,小,小,轮动基金
184,003671.OF,大,中,大,大,大,小,轮动基金
185,008018.OF,大,大,小,中,大,大,轮动基金
186,005705.OF,大,大,中,大,大,中,轮动基金
187,008117.OF,大,小,小,大,大,大,轮动基金
188,006750.OF,大,中,中,大,大,大,轮动基金
189,008130.OF,大,大,大,大,大,大,稳定大
190,008031.OF,大,中,中,中,中,中,轮动基金
191,007970.OF,大,中,小,中,中,大,轮动基金
192,015830.OF,大,小,中,小,小,小,轮动基金
193,009453.OF,大,大,大,中,小,小,轮动基金
194,110053.OF,大,中,大,大,中,大,轮动基金
195,006088.OF,大,大,中,中,大,中,轮动基金
196,008995.OF,大,小,小,小,小,中,轮动基金
197,008738.OF,大,大,大,大,大,大,稳定大
198,003188.OF,大,中,小,中,中,小,轮动基金
199,011699.OF,大,大,中,小,中,大,轮动基金
200,002552.OF,大,大,大,中,中,中,轮动基金
201,009166.OF,大,大,大,大,中,大,轮动基金
202,003605.OF,大,小,大,中,大,中,轮动基金
203,009343.OF,大,中,大,大,大,大,轮动基金
204,007928.OF,大,大,大,大,大,大,稳定大
205,003039.OF,大,小,小,中,中,小,轮动基金
206,004940.OF,大,大,大,中,大,大,轮动基金
207,016024.OF,大,大,大,小,小,小,轮动基金
208,017201.OF,大,小,小,小,小,小,轮动基金
209,006171.OF,大,大,大,小,小,大,轮动基金
210,012290.OF,大,小,小,中,中,中,轮动基金
211,010653.OF,大,中,中,大,中,中,轮动基金
212,003730.OF,大,大,大,大,大,大,稳定大
213,001993.OF,大,大,大,大,大,中,轮动基金
214,002206.OF,大,大,中,大,大,小,轮动基金
215,008535.OF,大,小,大,大,大,大,轮动基金
216,017137.OF,大,小,小,小,小,小,轮动基金
217,003260.OF,大,小,中,大,大,中,轮动基金
218,002550.OF,大,大,大,大,大,大,稳定大
219,000469.OF,大,大,中,大,大,大,轮动基金
220,000552.OF,大,大,大,大,中,大,轮动基金
