,thscode,基金公司标签20230930,基金公司标签20230630,基金公司标签20230331,基金公司标签20221231,基金公司标签20220930,基金公司标签20220630,bigcompany
296,005853.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
297,005854.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
298,005864.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
299,005871.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
300,005879.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
301,005897.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
302,005898.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
303,005920.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
304,005921.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
305,005972.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
306,005988.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
307,006029.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
308,006043.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
309,006053.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
310,006066.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
311,006076.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
312,006107.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
313,006112.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
314,006150.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
315,006171.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
316,006172.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
317,006275.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
318,006360.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
319,006367.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
320,006393.OF,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,稳定小基金公司
