,thscode,ths_jjggbl_fund
0,460008.OF,125.09197009574
1,485022.OF,128.7093754298
2,485105.OF,123.3554845113
3,485107.OF,126.64866535338
4,485120.OF,132.64743087205
5,519137.OF,103.96678043211
6,519138.OF,136.98313705388
7,519225.OF,124.31740747425
8,519322.OF,151.33970913027
9,519324.OF,121.16266793835
10,519328.OF,100.05145264935
11,519330.OF,100.04632678009
12,519332.OF,114.98114558339
13,519334.OF,100.05888018705
14,519680.OF,112.52815202735
15,519718.OF,121.08335144608
16,519743.OF,103.03339538628
17,519746.OF,121.98357850952
18,519762.OF,135.31592336525
19,519776.OF,100.73992405941
20,519782.OF,126.98812240662
21,519784.OF,103.5093366028
22,530021.OF,111.9946169411
23,530029.OF,109.03831466943
24,531028.OF,115.12802493669
25,650001.OF,123.69877660463
26,675041.OF,119.45960066648
27,960040.OF,
28,970096.OF,100.11007886091
29,970098.OF,100.89861340154
30,970132.OF,100.66882431035
31,H000355.OF,
32,H202108.OF,
33,H217003.OF,
34,160128.SZ,153.0099229924
35,160515.SZ,140.82452071201
36,160618.SZ,123.81378133321
37,161014.SZ,140.91274961849
38,161019.SZ,115.44926654108
39,161115.SZ,105.36602666114
40,161117.SZ,154.19706979715
41,162715.SZ,107.17404891424
42,164703.SZ,131.65450873502
43,000005.OF,122.0655734141
44,000032.OF,137.94642897267
45,000037.OF,125.24422546536
46,000053.OF,104.07575030425
47,000084.OF,112.58924513635
48,000090.OF,134.63323584556
49,000111.OF,139.94835185099
50,000116.OF,122.56196781622
51,000137.OF,100.04895901049
52,000139.OF,114.46953312116
53,000147.OF,113.4159104781
54,000183.OF,143.91958916491
55,000186.OF,124.52454617162
56,000187.OF,125.28411908604
57,000191.OF,123.9019354387
58,000205.OF,112.02406583355
59,000207.OF,110.24368698978
60,000244.OF,137.32978819749
61,000252.OF,111.54686252937
62,000254.OF,118.02432522272
63,000265.OF,151.72480982448
64,000295.OF,100.8410115073
65,000345.OF,100.09163847857
66,000346.OF,119.16061464807
67,000355.OF,110.56579216992
68,000402.OF,130.30620694484
69,000469.OF,143.05394778739
70,000516.OF,152.1975441756
71,000546.OF,136.93407078916
72,000552.OF,130.53380567042
73,000606.OF,102.16472123476
74,000783.OF,102.78955142921
75,000799.OF,135.59216940081
76,000815.OF,133.24478130132
77,000914.OF,131.46319793627
78,000931.OF,117.36276072726
79,000943.OF,125.20995071185
80,001246.OF,157.79559410424
81,001299.OF,119.7058436534
82,001368.OF,133.70984684638
83,001369.OF,134.10749666826
84,001545.OF,118.98909687291
85,001578.OF,101.80645182285
86,001619.OF,135.97267286229
87,001783.OF,120.07923714854
88,001785.OF,100.04895901049
89,001819.OF,144.75437359754
90,001911.OF,137.92365945946
91,001960.OF,125.56043123692
92,001961.OF,130.52580679809
93,001993.OF,136.52797085074
94,002109.OF,123.24945959517
95,002140.OF,118.58095063913
96,002143.OF,103.5186894245
97,002169.OF,117.06067658818
98,002175.OF,124.98423798738
99,002188.OF,133.85352419118
100,002198.OF,119.06140779657
101,002206.OF,136.44418654752
102,002268.OF,105.07000675796
103,002301.OF,104.09718744745
104,002336.OF,105.21822290253
105,002341.OF,118.84434373818
106,002354.OF,125.34895691301
107,002377.OF,107.43894252529
108,002395.OF,160.26938479118
109,002438.OF,130.65608078998
110,002445.OF,122.18135229331
111,002447.OF,116.59726279114
112,002466.OF,127.41319688771
113,002483.OF,135.08703561432
114,002524.OF,118.71170846667
115,002548.OF,102.38276378547
116,002549.OF,110.46621637387
117,002550.OF,138.66206944712
118,002552.OF,131.15079140273
119,002568.OF,107.02726983125
120,002578.OF,100.0401588323
121,002600.OF,138.21899651971
122,002603.OF,129.30910269577
123,002625.OF,100.07306246964
124,002638.OF,132.88628983058
125,002698.OF,100.03848434639
126,002716.OF,100.04499693353
127,002750.OF,154.24362035186
128,002754.OF,133.0520294019
129,002755.OF,128.73847560887
130,002781.OF,115.8792628273
131,002832.OF,100.76445696875
132,002864.OF,132.80824804828
133,002868.OF,132.45000522091
134,002898.OF,121.36989658874
135,002904.OF,112.08203816651
136,002927.OF,133.33668302147
137,002929.OF,129.33559309253
138,002930.OF,131.41627029987
139,002970.OF,124.4211939766
140,002985.OF,100.17495129402
141,002991.OF,112.78826787686
142,002994.OF,100.09131113751
143,003039.OF,113.16563017069
144,003056.OF,106.75879314429
145,003102.OF,128.45830560144
146,003155.OF,100.90434602009
147,003162.OF,103.79610876817
148,003188.OF,118.5524748206
149,003192.OF,127.94587125236
150,003193.OF,115.77551653618
151,003209.OF,123.12392702446
152,003213.OF,100.04440796633
153,003214.OF,101.21763627905
154,003223.OF,132.21617996787
155,003258.OF,114.03198567839
156,003260.OF,107.31901449667
157,003265.OF,128.13600851274
158,003268.OF,117.599760541
159,003269.OF,110.26573192152
160,003280.OF,123.4460862301
161,003285.OF,124.76130480273
162,003289.OF,116.25638800853
163,003290.OF,113.88980067146
164,003309.OF,153.02948501708
165,003313.OF,100.03519154361
166,003315.OF,125.60314962885
167,003327.OF,103.17097274784
168,003329.OF,110.64680404071
169,003417.OF,123.89796238334
170,003428.OF,124.67884796869
171,003445.OF,119.48905141126
172,003452.OF,119.706723693
173,003454.OF,118.37014742414
174,003528.OF,175.75219959767
175,003547.OF,124.32604308891
176,003571.OF,116.35356533168
177,003590.OF,107.78618350103
178,003605.OF,101.59377078595
179,003607.OF,135.09164024232
180,003640.OF,106.97735892402
