,thscode,ths_jjggbl_fund
0,460008.OF,117.65667250608
1,485022.OF,123.06668952043
2,485105.OF,101.77366214884
3,485107.OF,129.71189509652
4,485120.OF,133.38198240229
5,519137.OF,103.1444752821
6,519138.OF,127.81953645288
7,519225.OF,126.90264541274
8,519322.OF,145.49767894781
9,519324.OF,138.25094709211
10,519328.OF,100.04924256129
11,519330.OF,100.04291179675
12,519332.OF,124.70427908767
13,519334.OF,100.10656600612
14,519680.OF,118.98390859505
15,519718.OF,116.95716268137
16,519743.OF,123.45636803778
17,519746.OF,128.94196627537
18,519762.OF,129.52024116794
19,519776.OF,100.06103425778
20,519782.OF,108.58644810758
21,519784.OF,105.69734671298
22,530021.OF,117.85499629762
23,530029.OF,100.03685493598
24,531028.OF,107.08917139751
25,650001.OF,127.20813009038
26,675041.OF,120.62581187147
27,960040.OF,
28,970096.OF,102.07883303842
29,970098.OF,101.1770094277
30,970132.OF,108.03939299553
31,H000355.OF,
32,H202108.OF,
33,H217003.OF,
34,160128.SZ,100.76836004615
35,160515.SZ,129.30355911049
36,160618.SZ,122.75631409716
37,161014.SZ,133.03353995644
38,161019.SZ,113.19882419616
39,161115.SZ,101.04108574041
40,161117.SZ,122.50480103229
41,162715.SZ,113.96878824434
42,164703.SZ,129.54335322949
43,000005.OF,142.12886599754
44,000032.OF,119.33774995995
45,000037.OF,124.3284908289
46,000053.OF,141.64722024026
47,000084.OF,118.97318079917
48,000090.OF,121.72385585638
49,000111.OF,154.85739456623
50,000116.OF,103.31393631098
51,000137.OF,103.31247365597
52,000139.OF,102.54002295073
53,000147.OF,112.12259688422
54,000183.OF,116.55779794985
55,000186.OF,104.46532599787
56,000187.OF,100.61191078223
57,000191.OF,111.03225012667
58,000205.OF,100.93090504374
59,000207.OF,115.51881877457
60,000244.OF,147.6387411249
61,000252.OF,124.31285837273
62,000254.OF,117.63987537874
63,000265.OF,127.60042081357
64,000295.OF,143.09268551939
65,000345.OF,137.19980735494
66,000346.OF,100.22490089244
67,000355.OF,134.97258220844
68,000402.OF,111.65785048718
69,000469.OF,129.92829883888
70,000516.OF,112.36144237885
71,000546.OF,124.75496364076
72,000552.OF,129.33807160442
73,000606.OF,100.04941413457
74,000783.OF,109.25239047098
75,000799.OF,
76,000815.OF,121.39212396234
77,000914.OF,102.22233158785
78,000931.OF,131.86253653906
79,000943.OF,106.72525238864
80,001246.OF,157.22033909703
81,001299.OF,124.41945004072
82,001368.OF,124.16354238576
83,001369.OF,130.58451493223
84,001545.OF,112.42967543157
85,001578.OF,103.56577532826
86,001619.OF,100.04736276657
87,001783.OF,120.77502893258
88,001785.OF,103.31247365597
89,001819.OF,150.32626977136
90,001911.OF,100.0455325169
91,001960.OF,124.86723364361
92,001961.OF,105.86275707733
93,001993.OF,130.07969823076
94,002109.OF,135.14123008281
95,002140.OF,116.29249899573
96,002143.OF,111.86998079614
97,002169.OF,120.96023351007
98,002175.OF,100.35396719795
99,002188.OF,100.03553682359
100,002198.OF,100.04816311398
101,002206.OF,131.46121852751
102,002268.OF,112.57382750237
103,002301.OF,106.64868315009
104,002336.OF,110.98189586599
105,002341.OF,105.14929302168
106,002354.OF,103.83717679119
107,002377.OF,103.5073509114
108,002395.OF,130.31421921237
109,002438.OF,110.47560395999
110,002445.OF,138.33509430629
111,002447.OF,122.98912519529
112,002466.OF,117.71409983138
