,thscode,ths_jjggbl_fund
213,004140.OF,131.69780378088
214,004141.OF,128.27241050123
215,004200.OF,136.3125492621
216,004230.OF,138.74111819205
217,004238.OF,115.14205147031
218,004307.OF,134.05375906926
219,004322.OF,120.02750724478
220,004334.OF,123.11171485128
221,004366.OF,118.52357389429
222,004388.OF,105.87403314582
223,004438.OF,145.05853070159
224,004459.OF,134.29341855469
225,004479.OF,121.68383890991
226,004498.OF,106.4476904131
227,004499.OF,125.426346542
228,004503.OF,145.04240954441
229,004504.OF,123.37193571121
230,004544.OF,103.48624324922
231,004547.OF,121.64235021448
232,004555.OF,126.27305609295
233,004601.OF,123.81035136317
234,004614.OF,112.9974619798
235,004637.OF,109.53803283575
236,004639.OF,100.91515114609
237,004655.OF,111.93443574841
238,004672.OF,127.63639904795
239,004689.OF,118.58801853387
240,004705.OF,130.05548319095
241,004722.OF,100.03448684901
242,004728.OF,103.10771886085
243,004736.OF,118.81198415687
244,004797.OF,138.26344916743
245,004821.OF,150.50623214564
246,004839.OF,128.41308484767
247,004859.OF,175.74625526659
248,004882.OF,100.03769645243
249,004887.OF,105.20827106641
250,004899.OF,104.454643991
251,004910.OF,103.29705473328
252,004911.OF,118.10672972392
253,004919.OF,143.95187618784
254,004920.OF,103.02030730991
255,004923.OF,118.35513363499
256,004940.OF,147.56228495347
257,004954.OF,107.43179843754
258,004956.OF,109.30561829682
259,004978.OF,158.41153338737
260,005024.OF,140.07296326079
261,005072.OF,100.57064048869
262,005073.OF,120.51133072421
263,005099.OF,102.90520537706
264,005124.OF,134.41352695546
265,005171.OF,111.24053204852
266,005200.OF,104.1125814331
267,005307.OF,129.1368609185
268,005309.OF,100.03541731781
269,005321.OF,100.03421000172
270,005322.OF,105.14094382474
271,005336.OF,128.12580436057
272,005362.OF,133.54076205342
273,005364.OF,111.25875892756
274,005369.OF,129.24883645582
275,005383.OF,121.76149388704
276,005388.OF,132.60848510229
277,005393.OF,105.2511022703
278,005398.OF,115.98963680246
279,005419.OF,134.72724367922
280,005432.OF,132.78066886373
281,005435.OF,126.04332123236
282,005439.OF,131.83316564361
283,005442.OF,121.12411751898
284,005462.OF,147.1318802535
285,005469.OF,128.89433600078
286,005525.OF,131.4813250718
287,005531.OF,101.74431140003
288,005577.OF,114.1768018826
289,005590.OF,103.61998884177
290,005594.OF,140.03836686609
291,005606.OF,102.0538347911
292,005622.OF,137.85508410526
293,005631.OF,111.70951674056
294,005648.OF,133.56312895633
295,005666.OF,127.41140226448
296,005670.OF,132.12317306727
297,005684.OF,121.48493228391
298,005703.OF,134.97169316895
299,005705.OF,137.80826439843
300,005709.OF,110.34297566695
301,005710.OF,138.96451628294
302,005712.OF,158.87322868818
303,005718.OF,182.52455695832
304,005719.OF,136.37864017304
305,005736.OF,118.80381866657
306,005740.OF,119.32128031412
307,005754.OF,133.54980103
308,005772.OF,135.38404211152
309,005781.OF,124.26152590621
310,005782.OF,104.94094524344
311,005784.OF,119.84201569101
312,005791.OF,132.46323905853
313,005816.OF,103.7428101532
314,005820.OF,124.72105405572
315,005831.OF,117.50178338314
316,005836.OF,127.34262580933
317,005841.OF,134.5422744078
318,005842.OF,131.74041816709
319,005845.OF,121.95236403741
320,005853.OF,117.87302601868
321,005854.OF,116.10459827855
322,005862.OF,101.53015904388
323,005864.OF,114.32797264653
324,005871.OF,120.24244076947
325,005879.OF,137.94587219614
326,005897.OF,115.11899223597
327,005898.OF,111.06743711387
328,005920.OF,110.91284785514
329,005921.OF,151.9805158603
330,005971.OF,117.03903946895
331,005972.OF,120.37189796276
332,005988.OF,101.54467568816
333,006029.OF,119.48927418213
334,006032.OF,111.52806572728
335,006043.OF,121.21877931086
