,thscode,ths_jjggbl_fund
0,070005.OF,124.68450040519
1,070025.OF,137.19286662048
2,070037.OF,124.8079331246
3,100018.OF,115.60360962236
4,100058.OF,131.86178329484
5,100066.OF,127.94832222484
6,100072.OF,148.57101880284
7,110035.OF,131.9119086586
8,160602.OF,102.02976701528
9,202103.OF,132.78418641519
10,202108.OF,133.68256968148
11,217003.OF,136.16351807142
12,217022.OF,125.72624376292
13,261001.OF,107.79546179963
14,270043.OF,159.76791945991
15,270048.OF,125.37557629114
16,400009.OF,121.71103769216
17,485105.OF,116.75973516777
18,485107.OF,129.08618278664
19,519137.OF,124.87202432429
20,519138.OF,132.30531960396
21,519206.OF,149.14150436634
22,519225.OF,132.8964297102
23,519322.OF,113.34275706397
24,519324.OF,100.34912629973
25,519328.OF,100.0483877935
26,519330.OF,102.27890115849
27,519332.OF,136.46688675088
28,519334.OF,100.05053992435
29,519680.OF,127.42262666944
30,519718.OF,126.3376625998
31,519743.OF,124.14763957858
32,519746.OF,128.76419537638
33,519762.OF,101.01984449366
34,519776.OF,100.0328944624
35,519782.OF,128.62730985443
36,519784.OF,112.11963084112
37,530021.OF,116.47395668299
38,650001.OF,132.94631540842
39,675041.OF,117.43783497143
40,960040.OF,
41,H000355.OF,
42,H202108.OF,
43,H217003.OF,
44,160128.SZ,175.37584901622
45,160515.SZ,133.42718571491
46,160618.SZ,104.84372745093
47,161014.SZ,132.88193879453
48,161019.SZ,130.67197185455
49,161115.SZ,124.50696055657
50,161117.SZ,157.72104661662
51,162715.SZ,123.78184280676
52,164703.SZ,132.97629490044
53,000005.OF,149.78941914366
54,000032.OF,134.25870104649
55,000084.OF,129.85281942868
56,000105.OF,100.01629063861
57,000111.OF,154.30344210841
58,000128.OF,126.42585995423
59,000137.OF,106.15948524062
60,000139.OF,108.29589663515
61,000147.OF,123.40191744198
62,000183.OF,146.10448785273
63,000187.OF,134.60764427097
64,000191.OF,123.07618456213
65,000205.OF,125.10737435835
66,000207.OF,101.15219397367
67,000244.OF,155.16033423706
68,000252.OF,124.60019892311
69,000254.OF,128.79225287526
70,000265.OF,134.25320027548
71,000295.OF,105.75259418755
