,thscode,ths_jjggbl_fund
0,460008.OF,128.83348526136
1,485022.OF,132.09465778921
2,485105.OF,100.84211199364
3,485107.OF,134.83630887387
4,485120.OF,128.29099379965
5,519137.OF,110.90699845262
6,519138.OF,134.74487617074
7,519225.OF,116.27070599441
8,519322.OF,156.41326700695
9,519324.OF,121.44210249821
10,519328.OF,107.09450363715
11,519330.OF,132.76021154949
12,519332.OF,114.94668534512
13,519334.OF,100.0400692351
14,519680.OF,118.71720530863
15,519718.OF,123.23928236763
16,519743.OF,122.48344180471
17,519746.OF,116.21045184493
18,519762.OF,126.50816223608
19,519776.OF,133.27139589706
20,519782.OF,124.53047948922
21,519784.OF,127.02551358112
22,530021.OF,111.99727822255
23,530029.OF,102.56250127636
24,531028.OF,113.24534830278
25,650001.OF,111.31042242445
26,675041.OF,111.20632127951
27,960040.OF,
28,970096.OF,100.12079749439
29,970098.OF,109.78755216293
30,970132.OF,
31,H000355.OF,
32,H202108.OF,
33,H217003.OF,
34,160128.SZ,154.18331151547
35,160515.SZ,131.16812298827
36,160618.SZ,128.2582141827
37,161014.SZ,135.01800186312
38,161019.SZ,133.27215322453
39,161115.SZ,114.01654398405
40,161117.SZ,155.58371025854
41,162715.SZ,120.7017580242
42,164703.SZ,119.53847505881
43,000005.OF,140.60312960456
44,000032.OF,125.38027292053
45,000037.OF,130.74627981514
46,000053.OF,106.25643483373
47,000084.OF,102.58072247297
48,000090.OF,119.23420087218
49,000111.OF,141.27176851151
50,000116.OF,122.09712079544
51,000137.OF,100.04819935297
52,000139.OF,108.6149761306
53,000147.OF,103.74774208316
54,000183.OF,149.4961194034
55,000186.OF,110.59496549024
56,000187.OF,127.90085662749
57,000191.OF,128.20866163375
58,000205.OF,102.56721861209
59,000207.OF,100.41983686602
60,000244.OF,178.72726322213
61,000252.OF,130.41578010483
62,000254.OF,100.14498936762
63,000265.OF,147.81499102019
64,000295.OF,100.11643903164
65,000345.OF,100.09703570044
66,000346.OF,105.8761972314
67,000355.OF,149.42489779204
68,000402.OF,132.92757887192
69,000469.OF,147.57659438249
70,000516.OF,122.52098808591
71,000546.OF,112.83814080488
72,000552.OF,135.62775589084
73,000606.OF,133.98046655859
74,000783.OF,102.33431747195
75,000799.OF,
76,000815.OF,106.8711095472
77,000914.OF,115.71468754603
78,000931.OF,131.65001958946
79,000943.OF,131.72998355735
80,001246.OF,164.77740916496
81,001299.OF,113.07044427313
82,001368.OF,131.0041540136
83,001369.OF,132.15183817893
84,001545.OF,100.0469174059
85,001578.OF,103.0320075488
86,001619.OF,121.81647054829
87,001783.OF,129.69908044275
88,001785.OF,100.04819935297
89,001819.OF,159.01981834923
90,001911.OF,102.1885730134
91,001960.OF,138.95951799659
92,001961.OF,126.14535141099
93,001993.OF,125.50960404236
94,002109.OF,100.50241137952
95,002140.OF,117.59152248318
96,002143.OF,112.51595528509
97,002169.OF,115.61537789932
98,002175.OF,105.43635544194
99,002188.OF,114.18269783755
100,002198.OF,100.05849357253
101,002206.OF,100.06287709412
102,002268.OF,134.7787980434
103,002301.OF,106.57949853214
104,002336.OF,107.56636724099
105,002341.OF,128.1999661294
106,002354.OF,129.83846695715
107,002377.OF,100.12187074298
108,002395.OF,124.04183104212
109,002438.OF,126.25418270501
110,002445.OF,136.23332758379
111,002447.OF,126.85557353758
112,002466.OF,106.07336901057
113,002483.OF,140.76112529581
114,002524.OF,107.94467486283
115,002548.OF,121.0218520266
116,002549.OF,110.72924660025
117,002550.OF,138.12204795284
118,002552.OF,122.19867412723
119,002568.OF,100.04651162883
120,002578.OF,121.92134759491
121,002600.OF,103.9942330543
122,002603.OF,141.96935032273
123,002625.OF,100.10914631366
124,002638.OF,130.46855458901
125,002698.OF,123.33418914721
126,002716.OF,102.42354885817
127,002750.OF,108.2682264966
128,002754.OF,134.58017451647
129,002755.OF,124.53262613193
130,002781.OF,109.74990008578
