,thscode,ths_jjggbl_fund
0,460008.OF,112.52106936387
1,485022.OF,132.65656793384
2,485105.OF,109.08413476741
3,485107.OF,136.65082457462
4,485120.OF,130.99754159402
5,519137.OF,107.27737583322
6,519138.OF,109.34721499635
7,519225.OF,125.44351491711
8,519322.OF,148.2236488653
9,519324.OF,135.72321776194
10,519328.OF,100.15380743997
11,519330.OF,100.04637900866
12,519332.OF,117.98911805623
13,519334.OF,100.10190733375
14,519680.OF,109.80592372731
15,519718.OF,123.42122677213
16,519743.OF,100.02989452368
17,519746.OF,124.14810020807
18,519762.OF,132.53443562649
19,519776.OF,100.06857203852
20,519782.OF,125.56800524058
21,519784.OF,112.19283065315
22,530021.OF,130.11888702345
23,530029.OF,102.46426881391
24,531028.OF,101.62674117826
25,650001.OF,120.88689106235
26,675041.OF,119.49633010706
27,960040.OF,
28,970096.OF,101.3213368146
29,970098.OF,107.14481687846
30,970132.OF,100.18480916214
31,H000355.OF,
32,H202108.OF,
33,H217003.OF,
34,160128.SZ,190.92090460845
35,160515.SZ,130.554002165
36,160618.SZ,104.50276255594
37,161014.SZ,130.00977961328
38,161019.SZ,116.63124903659
39,161115.SZ,121.06249668279
40,161117.SZ,139.07739670088
41,162715.SZ,138.65945519483
42,164703.SZ,127.55577482533
43,000005.OF,145.14517093148
44,000032.OF,122.57633753212
45,000037.OF,120.70957468327
46,000053.OF,146.35231019824
47,000084.OF,113.33900193829
48,000090.OF,119.33270108068
49,000111.OF,153.57869856084
50,000116.OF,117.70580245488
51,000137.OF,123.22888753118
52,000139.OF,127.40260528936
53,000147.OF,107.189989983
54,000183.OF,101.09838664883
55,000186.OF,126.37300882729
56,000187.OF,120.14219872912
57,000191.OF,124.84645399868
58,000205.OF,100.5770586075
59,000207.OF,104.8890963337
60,000244.OF,150.05361174623
61,000252.OF,114.70230947902
62,000254.OF,119.71247184875
63,000265.OF,133.68281629557
64,000295.OF,142.18199886169
65,000345.OF,116.45968694022
66,000346.OF,100.19542259462
67,000355.OF,134.75818716596
68,000402.OF,130.33896625238
69,000469.OF,116.18215871302
70,000516.OF,158.83068655407
71,000546.OF,140.70398333782
72,000552.OF,158.25296469934
73,000606.OF,106.34804326218
74,000783.OF,116.47230493726
75,000799.OF,136.64359030802
76,000815.OF,129.07814627957
77,000914.OF,121.41179452525
78,000931.OF,113.50505360722
