,jydm,jydm_mc,p00483_f002,p00483_f007,p00483_f008
0,005666.OF,上银慧佳盈债券,090801,2.610,2.5539196410154734
1,002524.OF,兴业福益债券,090204,14.200,14.4054945405273880
2,002832.OF,工银恒享纯债债券A,010107,4.150,4.2529314425732934
3,003315.OF,景顺长城政策性金融债A,010107,32.320,32.5045660048441644
4,005988.OF,兴业纯债6个月定开债券A,010107,12.730,9.7139205379653736
5,161019.SZ,富国新天锋债券(LOF)A,010303,4.310,5.1896511085956107
6,000183.OF,嘉实丰益策略定期债券,010303,1.570,8.6825918786642262
7,003315.OF,景顺长城政策性金融债A,010303,10.550,10.6106859142249916
8,002206.OF,博时裕康纯债,058021,9.040,9.6476225203133962
9,002206.OF,博时裕康纯债,078042,8.350,8.9099983596743170
10,005841.OF,富国尊利纯债定期开放债券型发起式,111050,3.500,2.4781925964915961
11,006029.OF,鹏华尊享定期开放发起式债券,122015,9.790,10.0342368280276890
12,005781.OF,华富富瑞3个月定期开放债券,0980140,6.690,6.9276808104375745
13,005772.OF,工银瑞景定开发起式债券,0980140,3.560,3.6119296610956371
14,003528.OF,汇添富长添利定期开放债券A,0980146,4.740,4.8500494696609300
15,003417.OF,中加丰泽纯债,0980182,6.010,4.4825603781586414
16,003590.OF,建信睿富纯债债券,100302,9.060,9.3288867630967428
17,005772.OF,工银瑞景定开发起式债券,100222,3.830,3.8811462451670201
18,005124.OF,易方达恒益定开债券发起式,1082151,4.650,2.8380755446210149
19,003590.OF,建信睿富纯债债券,100411,9.470,9.7475642683220683
20,003949.OF,兴全稳泰债券A,110207,6.380,5.6832714424273684
21,004859.OF,泰康年年红纯债一年债券,122835,4.390,2.4053013122701590
22,001961.OF,博时裕荣纯债债券,1182082,8.070,8.5150828949227127
23,485105.OF,工银增强收益债券A,1116001,9.110,8.6740098687285701
24,002550.OF,嘉实稳荣债券,122072,8.880,6.9270876437970703
25,004032.OF,工银丰淳半年定开债券,122749,9.260,8.4367861574288999
26,004544.OF,嘉实稳华纯债债券A,122748,4.350,3.6650794206710934
27,004052.OF,华夏鼎智债券A,120206,4.420,4.6779586073984081
28,005921.OF,农银金鑫定开债券,120206,37.120,38.8912710455477089
29,003528.OF,汇添富长添利定期开放债券A,122723,8.140,8.3307873447145906
30,003929.OF,中银证券安进债券A,1280102,3.140,3.5259029069511669
31,002188.OF,鹏华丰华债券,120221,55.380,58.8632971170374141
32,001299.OF,兴业添利债券,120224,4.720,4.1886943996632290
33,004307.OF,博时富元纯债债券,1282176,6.480,4.8477806623845457
34,005322.OF,中银丰禧定期开放债券,120226,7.420,7.5200262844984042
35,005845.OF,长城久荣定期开放债券型发起式,120226,9.520,9.6578122488345925
36,005772.OF,工银瑞景定开发起式债券,120226,3.760,3.8137032459154211
37,003590.OF,建信睿富纯债债券,1282205,8.350,8.6010112136946605
38,002994.OF,招商招裕纯债A,120411,10.180,10.8518468727973847
39,001961.OF,博时裕荣纯债债券,120412,14.680,15.4812528626893656
40,003056.OF,嘉实稳泽纯债债券A,120412,24.870,21.3085769779767182
41,003452.OF,招商招盛纯债A,1282253,2.220,2.2569493288828671
42,005594.OF,招商添润3个月定开债发起式A,1282253,1.920,1.9388827840391799
43,006635.OF,永赢伟益债券,120416,5.030,9.0149205696457147
44,160128.SZ,南方金利定开债券A,1280250,7.050,3.9248885417441678
45,006360.OF,财通资管鸿益中短债债券A,122514,2.660,2.6715024202360285
46,000265.OF,易方达恒久1年定期债券A,112123,5.110,3.0040847718400737
47,004030.OF,嘉实丰安6个月定期债券,122203,2.700,1.8780602684150681
48,003417.OF,中加丰泽纯债,124302,6.250,4.6577816893286229
