,thscode,ths_nb_mv_to_bond_invest_mv_fund,ths_zcxjrzszzzqtzszb_fund,ths_cbb_to_bond_invest_mv_fund
0,070005.OF,1.9260660160533,17.30184488172,
1,070025.OF,2.7637567985203,15.200950873344,
2,070037.OF,0.017702046628781,21.254315886521,
3,100018.OF,1.4394668574893,17.073478742358,
4,100058.OF,0.12915277368154,4.0049927892053,
5,100066.OF,32.296580489974,38.783168581492,
6,100072.OF,0.26235426038681,3.373718615421,
7,110035.OF,,19.723886504578,
8,160602.OF,,12.46191831702,
9,202103.OF,,4.1088171683443,
10,202108.OF,,16.974527742943,
11,217003.OF,0.55696575967115,19.931413560607,
12,217022.OF,,5.6190522625213,
13,261001.OF,,99.999688120567,
14,270043.OF,,,
15,270048.OF,,6.4029113600971,
16,400009.OF,,53.849787880919,
17,485105.OF,,5.7499975752697,
18,485107.OF,,16.570744652111,
19,519137.OF,,16.284503955933,
20,519138.OF,,,
21,519206.OF,,20.086094704175,
22,519225.OF,,100.0,
23,519322.OF,,15.664500535564,
24,519324.OF,,2.3966256128614,
25,519328.OF,,100.0,
26,519330.OF,,17.41386598934,
27,519332.OF,,38.446802380939,
28,519334.OF,,53.667564213862,
29,519680.OF,,4.0544272081218,
30,519718.OF,0.67857348126579,13.750349383127,
31,519743.OF,,100.0,
32,519746.OF,,100.0,
33,519762.OF,0.33913065761666,79.292698311186,
34,519776.OF,,17.667432983694,
35,519782.OF,,3.744994318001,
36,519784.OF,,,
37,530021.OF,4.6335429450113,25.859172031756,
38,650001.OF,18.812390231374,56.984624673845,
39,675041.OF,,66.977949515298,
40,960040.OF,,,
41,H000355.OF,,,
42,H202108.OF,,,
43,H217003.OF,,,
44,160128.SZ,,,
45,160515.SZ,,3.3956514173335,
46,160618.SZ,,11.87032334117,
47,161014.SZ,,2.4653764024005,
48,161019.SZ,5.1896511085956,28.617831815364,
49,161115.SZ,4.8978252939968,41.411725777425,
50,161117.SZ,,,
51,162715.SZ,,61.183129159483,
52,164703.SZ,,9.394189119926,
53,000005.OF,,11.128178273352,
54,000032.OF,,21.286011316214,
55,000084.OF,,5.768876651241,
56,000105.OF,2.6276569473601,20.360457976784,
57,000111.OF,,,
58,000128.OF,1.0052761295929,3.88061616147,
59,000137.OF,,46.403768627941,
60,000139.OF,0.014611068127923,9.6249513561852,
61,000147.OF,,11.015128619836,
62,000183.OF,8.6825918786642,69.677942785044,
63,000187.OF,,27.074307740458,
64,000191.OF,0.0059457446723587,10.83316069715,
65,000205.OF,,4.0732878780144,
66,000207.OF,0.099004304056989,8.6047304201542,
67,000244.OF,,13.429827607818,
68,000252.OF,,32.588139109326,
69,000254.OF,17.871434300852,82.128565699148,
70,000265.OF,,1.7520264271354,
71,000295.OF,,,
72,000345.OF,,,
73,000346.OF,6.9387667072862,11.38990034539,
74,000355.OF,,22.88396939355,
