,thscode,ths_nb_mv_to_bond_invest_mv_fund,ths_zcxjrzszzzqtzszb_fund,ths_cbb_to_bond_invest_mv_fund
0,070005.OF,1.7473435709495,19.075387170212,
1,070025.OF,0.24206755739872,7.7396649271014,
2,070037.OF,0.083287067730503,12.707317459197,
3,100018.OF,0.23104334995005,16.110101275477,
4,100058.OF,,3.9964563792173,
5,100066.OF,11.380773255554,66.188784939237,
6,100072.OF,0.21083687738572,0.5659371815574,
7,110035.OF,,17.12020551707,
8,160602.OF,,24.493760510782,
9,202103.OF,,7.5995427759939,
10,202108.OF,,6.3136092175608,
11,217003.OF,,18.614076832809,
12,217022.OF,5.5801029776297,,
13,261001.OF,2.6874589748629,2.9567969422215,
14,270043.OF,,,
15,270048.OF,,8.3265323412556,
16,400009.OF,,6.7891173480521,
17,485105.OF,,28.753861601855,
18,485107.OF,6.6274246599962,54.476006912011,
19,519137.OF,,,
20,519138.OF,,,
21,519206.OF,,,
22,519225.OF,97.574454734543,,
23,519322.OF,,14.002894976474,
24,519324.OF,,10.077820575923,
25,519328.OF,,62.050191796391,
26,519330.OF,,11.507879859325,
27,519332.OF,,45.01757196918,
28,519334.OF,84.625132677647,,
29,519680.OF,,4.2110448581024,
30,519718.OF,,12.848005348074,
31,519743.OF,,5.5052137514366,
32,519746.OF,,4.6680000093641,
33,519762.OF,,4.3838889469662,
34,519776.OF,,8.8855517633675,
35,519782.OF,,4.3446651831013,
36,519784.OF,,,
37,530021.OF,,23.228379686246,
38,650001.OF,,32.832070292092,
39,675041.OF,,7.640302705912,
40,960040.OF,,,
41,H000355.OF,,,
42,H202108.OF,,,
43,H217003.OF,,,
44,160128.SZ,,2.0370338735206,
45,160515.SZ,8.5736654516831,3.3409622814655,
46,160618.SZ,,6.2654985230592,
47,161014.SZ,,,
48,161019.SZ,,,
49,161115.SZ,,6.5034194700305,
50,161117.SZ,,5.8217683474858,
51,162715.SZ,,99.99977804891,
52,164703.SZ,1.4237444071025,6.1868093819894,
53,000005.OF,,1.0906060799966,
54,000032.OF,,5.0314878801279,
55,000084.OF,,7.0300448911572,
56,000105.OF,,6.7013742480532,
57,000111.OF,,,
58,000128.OF,1.4466297424852,4.3648547168637,
59,000137.OF,,2.4151438104708,
60,000139.OF,,5.3850215406231,
61,000147.OF,,4.8685315937088,
62,000183.OF,37.908051920817,6.9843123783498,
63,000187.OF,,34.965339864462,
64,000191.OF,2.1986350920141,2.947835717751,
65,000205.OF,,5.0331670194641,
