,jydm,jydm_mc,p00483_f002,p00483_f007,p00483_f008
831,003445.OF,中加丰享纯债债券,1722013,6.590,6.7247140669054271
832,003770.OF,中银丰庆定期开放债券,1722013,8.010,8.2410165814937079
833,003188.OF,博时聚源纯债债券A,011764032,4.910,5.9552107057626240
834,000187.OF,华泰柏瑞丰盛纯债债券A,011767006,8.540,9.2556989477041451
835,003289.OF,创金合信尊泰纯债,1720011,7.500,8.1170515732552375
836,000084.OF,博时安盈债券A,011752024,4.290,4.7236305239210969
837,002755.OF,博时裕盛纯债,011758038,9.490,10.2622588598691613
838,000516.OF,富国祥利一年期定期开放债券型A,127489,3.830,2.7944380905787488
839,004438.OF,鹏华永安定期开放债券,041764010,6.580,4.3281972518929442
840,003547.OF,鹏华丰禄债券,041759010,5.810,4.6603202082650791
841,000207.OF,建信双债增强A,019563,6.760,7.1142640944200611
842,519225.OF,海富通集利债券,019563,39.630,41.7690189288743769
843,519334.OF,浦银安盛盛勤定开债券A,019563,82.440,84.6251326776467929
844,160515.SZ,博时安丰18个月定开债A,019564,4.780,4.0788177135594818
845,003260.OF,博时利发纯债债券A,170010,9.300,9.4851134104534853
846,003607.OF,博时富益纯债债券,011751041,5.000,4.3473270984325718
847,002354.OF,博时裕腾纯债,101773004,7.530,5.8938483846296464
848,003662.OF,鹏华永盛定期开放债券,011764041,8.390,7.0426250049093505
849,003223.OF,广发景丰纯债,011754079,4.010,4.0950335003370610
850,519328.OF,浦银安盛盛泰纯债债券A,011754079,7.310,7.6444561709727832
851,530021.OF,建信纯债A,011754080,7.980,6.7552263978407323
852,003859.OF,招商招旭纯债A,101753012,7.100,5.7354178114604381
853,519330.OF,浦银安盛盛跃纯债债券A,1789110,1.210,1.1441631371955831
854,004230.OF,永赢添益债券,1789110,1.210,1.1343592545277732
855,004020.OF,广发景祥纯债,1780085,6.540,6.2333781279891753
856,519137.OF,海富通瑞福债券A,011771019,5.980,5.0804030766431842
857,000147.OF,易方达高等级信用债债券A,101754051,7.840,6.2337222791166831
858,003329.OF,万家鑫安纯债A,1789120,0.310,0.28689757841201387337
859,004230.OF,永赢添益债券,1789120,1.190,1.1147972971231740
860,002198.OF,博时裕达纯债,1721031,9.670,9.9252234925992095
861,003417.OF,中加丰泽纯债,011759038,5.050,5.0122063075175600
862,002549.OF,嘉实稳祥纯债债券A,011769013,5.080,4.5368840755084633
863,675041.OF,西部利得合享A,1720028,5.080,6.0344109854219332
864,000552.OF,中加纯债一年A,011758048,8.160,5.0531230054465420
865,002549.OF,嘉实稳祥纯债债券A,011786006,5.080,4.5368840755084633
866,004544.OF,嘉实稳华纯债债券A,011786006,5.300,5.2522687732167207
867,004388.OF,鹏华丰享债券,041772008,9.790,10.6919817107170737
868,675041.OF,西部利得合享A,1720033,3.810,4.5272114454241597
869,001961.OF,博时裕荣纯债债券,011754115,8.570,8.8062013974737122
870,003445.OF,中加丰享纯债债券,111798827,7.810,7.9774063050058758
871,003445.OF,中加丰享纯债债券,111798842,7.800,7.9648037673992315
872,161115.SZ,易方达岁丰添利债券A,127004,2.060,1.6229456241357345
873,161014.SZ,富国汇利回报定期开放债券,127004,0.040,0.02973673520675999929
874,000346.OF,建信安心回报6个月定期开放债券A,127004,0.100,0.07515227659300272521
875,002377.OF,建信睿怡纯债A,127004,0.000,0.00276586514494769755
876,002985.OF,中银季季红定期开放债券,127004,0.000,0.00493135708986938960
877,003193.OF,创金合信尊智纯债A,011761034,9.990,13.2983214226358650
878,003660.OF,中加纯债两年债券A,011754086,8.980,7.8749709356601602
879,004140.OF,兴业福鑫债券,1722017,4.770,3.7600887116811189
880,161019.SZ,富国新天锋债券(LOF)A,128015,0.140,0.11158087648286177365
881,002698.OF,博时裕利纯债债券,1789144,0.970,0.71359956755086316180
882,675041.OF,西部利得合享A,1721034,5.090,6.0531204035247296
883,003983.OF,鹏华丰惠债券,011760069,3.350,2.6579664275701002
884,519718.OF,交银纯债债券A/B,011765003,6.310,5.3971790203330627
885,002832.OF,工银恒享纯债债券A,011777003,8.360,8.5343747836548743
886,002755.OF,博时裕盛纯债,011751053,9.490,10.2704197019048425
887,003640.OF,兴业裕丰债券,011753036,4.990,4.6057619929971514
888,003571.OF,招商招琪纯债A,1789148,2.580,2.6202869435274154
889,000186.OF,华泰柏瑞季季红债券A,041776002,6.980,5.6595332885904813
890,002447.OF,博时裕安一年定开债发起式,011753037,7.380,7.5811756895407086
891,000187.OF,华泰柏瑞丰盛纯债债券A,011764053,8.540,9.2510977849741272
892,002140.OF,博时裕诚纯债债券,011764053,5.920,6.1149015115418538
893,530021.OF,建信纯债A,011760073,7.970,6.7505264092923887
894,000346.OF,建信安心回报6个月定期开放债券A,011760073,4.060,3.1850614870853357
895,003214.OF,易方达富惠纯债债券A,1705177,2.300,2.1791634238233767
896,003607.OF,博时富益纯债债券,111718200,4.730,4.1160633023043600
897,003428.OF,中加丰盈一年定期开放债券型发起式,011752030,9.130,7.1105907898197953
898,003949.OF,兴全稳泰债券A,011760076,5.200,5.6187576358552326
899,160515.SZ,博时安丰18个月定开债A,019567,4.110,3.5061454245682509
900,004061.OF,华夏鼎隆债券A,011760077,5.820,7.2539357465335619
901,000914.OF,中加纯债债券,011754095,9.580,7.7287572765140810
902,003214.OF,易方达富惠纯债债券A,111718209,3.090,2.9313816115342755
903,004479.OF,博时富和纯债债券,111799904,7.090,5.8069907634673708
904,004122.OF,兴银长益三个月定开债,111711257,6.320,5.7601672517372149
905,519680.OF,交银增利债券A/B,101761021,8.640,7.1364567443212157
906,460008.OF,华泰柏瑞稳健收益债券A,011760079,7.130,8.7085398644441259
907,004334.OF,博时广利3个月定开债发起式,1780123,5.560,5.7385463163557585
908,002438.OF,创金合信尊盛纯债债券,011752034,3.630,3.1881185802075698
909,519680.OF,交银增利债券A/B,101754060,8.670,7.1668431173201503
910,003329.OF,万家鑫安纯债A,1789164,0.090,0.08443959157667199116
911,160618.SZ,鹏华丰泽债券(LOF),011754101,5.500,6.3152346950167548
912,001911.OF,博时裕恒纯债债券,142904,1.970,1.9478749683965816
913,003607.OF,博时富益纯债债券,146129,1.440,1.2479383480978337
914,002625.OF,博时安怡6个月定开债,127495,9.730,7.7626880571149720
915,004127.OF,鹏华丰康债券A,146156,4.920,4.0847254202349770
916,003983.OF,鹏华丰惠债券,170308,3.320,2.6354883511256211
917,004555.OF,南方和元A,170308,5.920,4.7430536005334266
918,001299.OF,兴业添利债券,170207,3.480,3.5810048973385580
919,003214.OF,易方达富惠纯债债券A,170207,3.460,3.2825985459975144
920,004498.OF,鹏华丰源债券,170207,6.600,5.9711360300254831
921,004544.OF,嘉实稳华纯债债券A,170207,7.870,7.7992507954420777
922,002548.OF,嘉实稳瑞纯债债券,041761008,4.180,4.7547655253342972
923,004141.OF,兴业瑞丰6个月定开债券,1780130,3.190,3.2002892112696970
924,001299.OF,兴业添利债券,116605,0.500,0.51403951787703232339
925,000186.OF,华泰柏瑞季季红债券A,011752041,6.970,5.6544549436655248
926,000265.OF,易方达恒久1年定期债券A,011771021,5.210,3.4027788922242920
927,519322.OF,浦银安盛盛元定开债券A,143159,4.770,5.6423957836293403
928,002832.OF,工银恒享纯债债券A,011752060,8.350,8.5233242983772335
929,002175.OF,博时裕乾纯债A,011771022,7.800,8.4184926575019758
930,002438.OF,创金合信尊盛纯债债券,011769020,3.620,3.1862110501436243
931,485105.OF,工银增强收益债券A,170309,6.120,4.9722710201606282
932,003313.OF,中银睿享定期开放债券,170309,6.540,6.5844915583251448
933,000295.OF,鹏华丰实定期开放债券A,143167,6.060,5.0487080789531599
934,003265.OF,招商招坤纯债A,111712136,12.140,10.3023894017737237
935,004030.OF,嘉实丰安6个月定期债券,111780787,3.900,3.7104063243355392
936,000295.OF,鹏华丰实定期开放债券A,143165,6.160,5.1344744063768515
937,004689.OF,博时丰庆纯债债券,111780875,18.780,19.7531040004073584
938,004940.OF,中加聚鑫纯债一年A,011754105,9.650,7.3758592218004492
939,002930.OF,博时聚润纯债债券,011752044,6.010,6.1343582437455223
940,000147.OF,易方达高等级信用债债券A,011761044,7.700,6.1272675066594936
941,000207.OF,建信双债增强A,132009,9.240,9.7234615467511455
942,002991.OF,嘉实稳鑫纯债债券,111713070,4.450,4.8349703698627271
943,004940.OF,中加聚鑫纯债一年A,011755040,8.030,6.1416389865301323
944,000191.OF,富国信用债债券A/B,112547,2.760,2.8462508812717355
