,thscode,ths_nb_mv_to_bond_invest_mv_fund,ths_zcxjrzszzzqtzszb_fund,ths_cbb_to_bond_invest_mv_fund
0,070005.OF,0.4279947481762,19.613596293014,
1,070025.OF,,5.2199869084198,
2,070037.OF,1.7219170689886,15.714096563612,
3,100018.OF,0.42599625272739,16.603305826114,
4,100058.OF,,3.8727567314477,
5,100066.OF,0.29418221407718,24.715000715591,
6,100072.OF,0.24189532461616,,
7,110035.OF,,18.306008117952,
8,160602.OF,,16.392618413244,
9,202103.OF,,8.2209308840981,
10,202108.OF,,15.912151976944,
11,217003.OF,,25.523118901517,
12,217022.OF,3.8129553915999,0.71563106984634,
13,261001.OF,,5.113079547039,
14,270043.OF,,,
15,270048.OF,,8.0931972905872,
16,400009.OF,,6.8902418070073,
17,485105.OF,,13.620005204304,
18,485107.OF,,42.793358786115,
19,519137.OF,,,
20,519138.OF,,4.5434034880851,
21,519206.OF,,,
22,519225.OF,4.3624798239306,95.637520176069,
23,519322.OF,,9.6268782281967,
24,519324.OF,,5.8961680872701,
25,519328.OF,,60.816376743843,
26,519330.OF,,11.007665943171,
27,519332.OF,,34.6545974319,
28,519334.OF,78.261744366281,,
29,519680.OF,,15.130120325306,
30,519718.OF,,11.808849950335,
31,519743.OF,,3.8101266119936,
32,519746.OF,,12.756615060415,
33,519762.OF,,9.8988286152502,
34,519776.OF,,9.0422689467862,
35,519782.OF,,4.0227951694305,
36,519784.OF,,,
37,530021.OF,4.0267573678701,21.219694881568,
38,650001.OF,,7.4369715720725,
39,675041.OF,,59.468758182671,
40,960040.OF,,,
41,H000355.OF,,,
42,H202108.OF,,,
43,H217003.OF,,,
44,160128.SZ,,2.6059008630546,
45,160515.SZ,,2.8930555706002,
46,160618.SZ,,31.012142654198,
47,161014.SZ,,3.1638967712884,
48,161019.SZ,,2.5030650304198,
49,161115.SZ,,7.54254873137,
50,161117.SZ,,5.556105698096,
51,162715.SZ,,29.964411708342,
52,164703.SZ,,19.178121038489,
53,000005.OF,,,
54,000032.OF,,36.2104969791,
55,000084.OF,,16.619656357163,
56,000105.OF,,13.514189152579,
57,000111.OF,,,
58,000128.OF,0.54532350631114,8.1086951968592,
59,000137.OF,,1.3075574524153,
60,000139.OF,,5.9062606057475,
61,000147.OF,,5.6125412843396,
62,000183.OF,13.206157291948,32.172107539425,
63,000187.OF,4.7182351306108,31.659316843204,
64,000191.OF,0.096277247840039,7.0392857883547,
65,000205.OF,,5.5603439348479,
66,000207.OF,6.6157373149695,,
67,000244.OF,,,
68,000252.OF,,4.304382299107,
69,000254.OF,,1.3115042429477,
70,000265.OF,,,
71,000295.OF,,,
72,000345.OF,,,
73,000346.OF,1.3451481185506,3.2090023508866,
74,000355.OF,0.23382534355702,10.401540939196,
75,000395.OF,,5.3083952213117,
76,000402.OF,8.2480412989563,10.988104670011,
77,000469.OF,,,
78,000516.OF,,2.5634591114493,
79,000546.OF,,,
80,000552.OF,,0.022338629578158,
81,000606.OF,,8.2131023070286,
82,000799.OF,,,
83,000815.OF,3.0775207879505,18.036124629029,
84,000914.OF,,4.6265192589134,
85,000943.OF,,4.1512658874043,
86,001001.OF,,4.7494391296433,
87,001246.OF,,,
88,001299.OF,,5.1634117694672,
89,001368.OF,,,
90,001545.OF,,39.411254406759,
91,001578.OF,,70.498238846977,
92,001785.OF,,1.3075574524153,
93,001819.OF,,4.9786449154248,
94,001911.OF,,16.529690522319,
95,001960.OF,,50.35795067806,
96,001961.OF,1.7347902843349,37.119090318579,
97,001993.OF,,3.9251259786365,
98,002109.OF,,33.181116211091,
99,002140.OF,,4.2439632367903,
100,002143.OF,,93.416085440279,
101,002169.OF,,13.493851136161,
102,002175.OF,,77.487770830601,
103,002188.OF,,100.0,
104,002198.OF,,27.351161408406,
105,002206.OF,,5.1121686068655,
106,002268.OF,0.0031204453132207,8.1525336867995,
107,002301.OF,,9.4303146896012,
108,002336.OF,,38.455005729103,
109,002338.OF,,13.13696943633,
110,002341.OF,,100.0,
111,002354.OF,,3.9577294580773,
112,002377.OF,0.94980627838427,32.97597587553,
113,002381.OF,7.0364847365626,18.016591552569,
114,002395.OF,,,
115,002438.OF,,4.4621715808476,
116,002445.OF,,6.3938342519327,
117,002447.OF,,4.9878013696839,
118,002452.OF,,100.0,
119,002466.OF,,38.313242606872,
120,002483.OF,,,
121,002548.OF,,4.3650778602002,
122,002549.OF,3.0349532266148,7.5483663609003,
123,002552.OF,,,
124,002568.OF,,6.333163999899,
125,002578.OF,,4.7525842515866,
126,002600.OF,,,
127,002603.OF,,,
128,002625.OF,,,
129,002638.OF,18.847194717765,36.528364033051,
130,002698.OF,,61.334829131487,
131,002716.OF,,100.0,
132,002750.OF,,35.448762596425,
133,002754.OF,,7.6738044536472,
134,002755.OF,,19.387129061639,
135,002781.OF,,20.545498300961,
136,002817.OF,,87.733328122309,
137,002832.OF,,100.0,
138,002864.OF,,4.8868833119777,
139,002868.OF,,5.3474449103155,
140,002898.OF,,23.506213811382,
141,002904.OF,,,
142,002927.OF,,6.9084108973162,
143,002929.OF,,54.601466994268,
144,002930.OF,,6.0101316911477,
145,002970.OF,0.74134231581494,23.743707540234,
146,002985.OF,,1.0307008750802,
147,002991.OF,0.17363748350065,4.3662693299617,
148,002994.OF,,47.052478708778,
149,003039.OF,,100.0,
150,003102.OF,0.22913886455507,7.8007075607452,
151,003155.OF,6.5023751868072,55.85975211035,
152,003162.OF,,19.001926068248,
153,003188.OF,3.0865421423941,96.913457857606,
154,003192.OF,,21.822827078399,
155,003193.OF,1.8867788960268,3.811709707554,
156,003209.OF,,6.5915678902139,
157,003213.OF,,2.8476831542236,
158,003214.OF,,26.806099382776,
159,003223.OF,0.4984444602633,16.967163724192,
160,003258.OF,,82.26139147942,
161,003260.OF,10.176907551244,5.2140624368862,
162,003265.OF,,35.00381480143,
163,003268.OF,,4.9711900713171,
164,003269.OF,,100.0,
165,003280.OF,,17.499774288092,
166,003285.OF,,17.113819627957,
167,003289.OF,10.985148244402,50.485745280295,
168,003290.OF,7.4987275068116,82.697585756061,
169,003313.OF,,59.471502860912,
170,003315.OF,24.0605563292,75.9394436708,
171,003327.OF,,11.292611526771,
172,003329.OF,,8.1167582953619,
173,003417.OF,,3.9609983692798,
174,003428.OF,,29.099603828027,
175,003438.OF,,7.0509328029407,
176,003440.OF,20.048426061425,19.99759699562,
177,003445.OF,0.01695640709295,6.3799655489138,
178,003452.OF,,10.892986025111,
179,003454.OF,34.297755884757,4.7845404266335,
180,003518.OF,,34.281734105437,
181,003528.OF,,,
182,003547.OF,,5.5402349762934,
183,003569.OF,,4.7880939650386,
184,003571.OF,,8.9311441707817,
185,003590.OF,,12.941378466494,
186,003605.OF,,,
187,003607.OF,,20.530646265206,
188,003640.OF,,85.823976152796,
189,003651.OF,25.841496745062,22.309838187908,
190,003660.OF,,,
191,003662.OF,,9.5101753645975,
192,003671.OF,,9.5851751171658,
193,003673.OF,,5.428466617506,
194,003730.OF,,55.428388263619,
195,003746.OF,,33.112083900917,
196,003770.OF,,80.467649016428,
197,003809.OF,,4.5400716892249,
198,003832.OF,,48.949693518172,
199,003859.OF,3.5308154611558,3.3213749926169,
200,003863.OF,,5.3501721697671,
201,003869.OF,,58.282982936645,
202,003929.OF,,44.2681889137,
203,003949.OF,,6.6010303086159,
204,003952.OF,,,
205,003983.OF,0.90942583006616,4.9337711103983,
206,004020.OF,,11.279928711624,
207,004027.OF,,4.0343481210912,
208,004030.OF,,8.3569270312459,
209,004031.OF,,100.0,
210,004032.OF,,23.681405868839,
211,004042.OF,,24.473898542688,
212,004052.OF,,6.1639452603389,
213,004061.OF,,15.710754535171,
214,004118.OF,,6.1356245144976,
215,004122.OF,,,
216,004124.OF,,42.182815498687,
217,004126.OF,0.27715354002555,11.633113858877,
218,004127.OF,0.48351841373242,22.218834288765,
219,004136.OF,,14.204761282542,
220,004140.OF,,5.6287786010304,
221,004141.OF,,3.0054497207834,
222,004200.OF,,17.637433605201,
223,004230.OF,,75.479826577726,
224,004238.OF,,4.282354553809,
225,004307.OF,,3.9430101608709,
226,004322.OF,,4.1571043703852,
227,004334.OF,,7.2372939871125,
228,004366.OF,51.026245035286,48.973754964714,
229,004388.OF,1.0239247245986,98.976075275401,
230,004438.OF,,5.4871594136639,
231,004459.OF,,7.0653955139535,
232,004479.OF,,9.1100801349642,
233,004498.OF,,100.0,
234,004499.OF,6.1914426458173,4.0507548949569,
235,004503.OF,,5.7977484937779,
236,004544.OF,,17.036993860327,
237,004547.OF,0.046737103422103,16.782018496349,
238,004555.OF,,83.38532619044,
239,004601.OF,,8.7028178536349,
240,004614.OF,8.3507965795811,12.237761551688,
241,004637.OF,,8.3709759969,
242,004655.OF,,23.765120047743,
243,004672.OF,41.726290767678,49.718607666181,
244,004689.OF,,75.556963133735,
245,004705.OF,,23.378580983708,
246,004722.OF,,38.921861222275,
247,004728.OF,83.553986010729,,
248,004736.OF,,51.840081857939,
249,004797.OF,,4.4579136091692,
250,004821.OF,,0.053688024958861,
251,004859.OF,,2.7894389686898,
252,004882.OF,,,
253,004887.OF,,17.559819651689,
254,004899.OF,,2.6017736649393,
255,004910.OF,,4.4906340261288,
256,004911.OF,,,
257,004919.OF,,3.379027282488,
258,004920.OF,,5.7016672673509,
259,004923.OF,,,
260,004940.OF,,,
261,004956.OF,,,
262,004978.OF,,14.580495745382,
263,005024.OF,,5.5062121676926,
264,005072.OF,,100.0,
265,005073.OF,,5.4103044311247,
266,005124.OF,,,
267,005171.OF,,28.125721303922,
268,005307.OF,2.1826810821635,3.2730394167583,
269,005309.OF,,,
270,005321.OF,,51.043078657224,
