,thscode,ths_nb_mv_to_bond_invest_mv_fund,ths_zcxjrzszzzqtzszb_fund,ths_cbb_to_bond_invest_mv_fund
0,070005.OF,11.895796104987,6.9216961480388,
1,070025.OF,1.2462894430086,7.7816516238437,
2,070037.OF,1.8936442670298,7.8200825077274,
3,100018.OF,0.046855608538048,18.871904099249,
4,100058.OF,,5.7965423769404,
5,100066.OF,,15.18477670922,
6,100072.OF,,0.32811536974562,
7,110035.OF,,5.5658162884408,
8,160602.OF,2.5226981385082,15.964738411432,
9,202103.OF,,12.840394504038,
10,202108.OF,0.68900824737403,17.93049205623,
11,217003.OF,,20.546374677302,
12,217022.OF,0.65271910618903,4.1348455745614,
13,261001.OF,5.0603124785508,,
14,270043.OF,,,
15,270048.OF,5.7304656516737,4.1701458741758,
16,400009.OF,56.530069111198,11.310513769273,
17,485105.OF,5.7567997168439,0.29243514639396,
18,485107.OF,1.553145947912,20.266580282182,
19,519137.OF,,15.937730147078,
20,519138.OF,,10.587554162173,
21,519206.OF,,5.1133591966802,
22,519225.OF,,100.0,
23,519322.OF,,6.9527474874379,
24,519324.OF,,13.33277679407,
25,519328.OF,,100.0,
26,519330.OF,,11.648927866811,
27,519332.OF,,31.830605723975,
28,519334.OF,,7.2704404723677,
29,519680.OF,,11.834507811617,
30,519718.OF,,7.4987947192439,
31,519743.OF,,100.0,
32,519746.OF,,14.610024690145,
33,519762.OF,,100.0,
34,519776.OF,1.5114057221373,57.205787782235,
35,519782.OF,,3.9550002835521,
36,519784.OF,,100.0,
37,530021.OF,2.0144118307654,13.62012493841,
38,650001.OF,5.9333831296312,73.656061817917,
39,675041.OF,,51.535263235902,
40,960040.OF,,,
41,H000355.OF,,,
42,H202108.OF,,,
43,H217003.OF,,,
44,160128.SZ,,,
45,160515.SZ,,18.456571841471,
46,160618.SZ,,5.0536334213558,
47,161014.SZ,,6.9179113331316,
48,161019.SZ,,12.818691907542,
49,161115.SZ,,26.406276754896,
50,161117.SZ,,,
51,162715.SZ,,59.229682038514,
52,164703.SZ,,11.031744310531,
53,000005.OF,,,
54,000032.OF,,4.9310530376024,
55,000084.OF,,6.173699529932,
56,000105.OF,19.938963920618,32.164935112009,
57,000111.OF,,,
58,000128.OF,,5.6424621694934,
59,000137.OF,,53.232920294863,
60,000139.OF,0.016090904532742,6.8169615732404,
61,000147.OF,,4.2691491073594,
62,000183.OF,,3.6752671363992,
63,000187.OF,9.5516175406617,28.255517866707,
64,000191.OF,,15.825615054334,
65,000205.OF,,4.4729447707255,
66,000207.OF,14.504626968356,8.7218083589138,
67,000244.OF,,11.180269225924,
68,000252.OF,0.1914011565756,5.7431832190596,
69,000254.OF,0.53783515146831,80.655560296998,
70,000265.OF,,2.9204788291387,
71,000295.OF,,,
72,000345.OF,,,
73,000346.OF,22.371023127235,,
74,000355.OF,9.51328297053,8.9395559413505,
75,000395.OF,2.188271714157,3.3618600808549,
76,000402.OF,4.5954694097769,10.280638139737,
77,000469.OF,,9.553025915971,
78,000516.OF,0.88135967560048,11.321653201949,
79,000546.OF,,7.7256431420783,
80,000552.OF,,,
81,000606.OF,3.5728790307586,96.427120969241,
82,000799.OF,,,
83,000815.OF,,96.17699999924,
84,000914.OF,,5.6723174594543,
85,000943.OF,,4.9191831171901,
86,001001.OF,4.9517056013922,,
87,001246.OF,,,
88,001299.OF,,3.8039273848635,
89,001368.OF,,,
90,001545.OF,,51.167877238168,
91,001578.OF,3.1074913265721,60.914020254026,
92,001785.OF,,53.232920294863,
93,001819.OF,,0.80249461127187,
94,001911.OF,,6.9914152997356,
95,001960.OF,,73.105876401008,
96,001961.OF,,25.830616544631,
97,001993.OF,,15.620630916153,
98,002109.OF,,37.767055868258,
99,002140.OF,,4.6717817561807,
100,002143.OF,,59.004270131425,
101,002169.OF,3.1637537905825,52.010395235788,
102,002175.OF,,100.0,
103,002188.OF,,100.0,
104,002198.OF,,53.643789003697,
105,002206.OF,,5.0633861306015,
106,002268.OF,0.0032188915294419,15.723645844527,
