,jydm,jydm_mc,p00483_f002,p00483_f007,p00483_f008
0,002832.OF,工银恒享纯债债券A,010107,10.650,9.2239605984776083
1,002552.OF,华夏恒利3个月定开债券,010107,12.950,12.7219778354898697
2,005988.OF,兴业纯债6个月定开债券A,010107,14.710,13.4909490300498236
3,002638.OF,兴业天融债券,050203,5.860,4.5544555345217035
4,002206.OF,博时裕康纯债,058021,8.930,9.4188555938044861
5,002638.OF,兴业天融债券,060211,6.830,5.3109103384253428
6,002206.OF,博时裕康纯债,078042,8.250,8.6990802645001605
7,006029.OF,鹏华尊享定期开放发起式债券,122015,9.810,9.7643508067072011
8,002578.OF,博时裕泉纯债债券,0980133,4.430,3.7653407522862339
9,005590.OF,添富鑫永定开债A,0980140,4.580,3.1945703876431481
10,003746.OF,广发汇瑞3个月定期开放债券,0980146,5.230,4.5370188947802297
11,000105.OF,建信安心回报定期开放债券A,122934,9.160,7.4033220140840785
12,004052.OF,华夏鼎智债券A,100204,7.490,6.8644335769524493
13,005309.OF,中银证券汇嘉定期开放债券,100204,11.030,11.3225087131609935
14,004672.OF,华夏短债债券A,122052,5.680,6.2871733981508595
15,003590.OF,建信睿富纯债债券,100302,8.910,9.0609940704551452
16,005772.OF,工银瑞景定开发起式债券,100222,3.800,3.3188741177921174
17,002452.OF,民生加银和鑫定开债券发起式,1080105,6.750,5.3482895289216581
18,005388.OF,兴业安弘3个月定开债券发起式,1080105,9.310,6.8974010740054203
19,003590.OF,建信睿富纯债债券,100411,9.300,9.4629532191041387
20,003949.OF,兴全稳泰债券A,100228,10.400,7.9049949990084985
21,004722.OF,中银丰和定期开放债券,100228,4.500,4.5843356544576373
22,005309.OF,中银证券汇嘉定期开放债券,100228,9.630,9.8870613197885166
23,004503.OF,鹏华永泰定期开放债券,122866,8.780,7.0321049329683666
24,003949.OF,兴全稳泰债券A,110207,10.410,7.9082051492619030
25,004722.OF,中银丰和定期开放债券,110207,9.420,9.5979180893005267
26,001961.OF,博时裕荣纯债债券,1182082,7.980,8.2534144748587663
27,485105.OF,工银增强收益债券A,1116001,6.990,7.5612067243555243
28,000346.OF,建信安心回报6个月定期开放债券A,1180101,8.240,6.2778547451402590
29,000105.OF,建信安心回报定期开放债券A,1180101,9.400,7.5962926473550511
30,004032.OF,工银丰淳半年定开债券,122749,4.600,3.7133868792665058
31,004052.OF,华夏鼎智债券A,120206,9.720,8.9107286058701542
32,005921.OF,农银金鑫定开债券,120206,36.840,38.6403924139773196
33,003528.OF,汇添富长添利定期开放债券A,122723,8.300,8.4520225277997833
34,001001.OF,华夏债券A/B,1280084,5.770,4.8407804309401813
35,519322.OF,浦银安盛盛元定开债券A,120226,6.880,6.8245761940336174
36,003949.OF,兴全稳泰债券A,120226,5.860,4.4524784014719949
37,005322.OF,中银丰禧定期开放债券,120226,7.590,6.3694637320248718
38,005845.OF,长城久荣定期开放债券型发起式,120226,9.450,8.1577086996829530
39,003590.OF,建信睿富纯债债券,1282205,8.200,8.3381331292672015
40,400009.OF,东方稳健回报债券A,1280197,1.950,1.9896396580239897
41,001961.OF,博时裕荣纯债债券,120412,12.770,13.2094232146999879
42,160128.SZ,南方金利定开债券A,1280250,6.940,5.3371384319897625
43,400009.OF,东方稳健回报债券A,120241,19.360,19.7274000265706993
44,004030.OF,嘉实丰安6个月定期债券,122203,2.720,2.2161460506321705
45,003417.OF,中加丰泽纯债,124302,5.800,4.8152980770721237
46,400009.OF,东方稳健回报债券A,130204,38.920,39.6513076736869779
47,002206.OF,博时裕康纯债,1382011,8.330,8.7868676564424159
48,004020.OF,广发景祥纯债,130208,6.610,5.9830011680143660
49,005921.OF,农银金鑫定开债券,130209,6.550,6.8692324796653321
50,003528.OF,汇添富长添利定期开放债券A,124153,6.620,6.7436992188052688
51,001001.OF,华夏债券A/B,1380032,5.300,4.4469260722371739
52,002206.OF,博时裕康纯债,1380102,8.030,8.4698576299842714
53,002206.OF,博时裕康纯债,1382138,8.190,8.6405553365386569
54,270048.OF,广发纯债债券A,124234,7.420,5.7277743651103798
55,005435.OF,国投瑞银顺银债券,130225,11.560,9.3343731692747669
56,519137.OF,海富通瑞福债券A,124252,7.010,5.7320201394944245
57,003528.OF,汇添富长添利定期开放债券A,1382312,6.640,6.7616506055937775
58,519137.OF,海富通瑞福债券A,124340,8.270,6.7612121641557416
59,161115.SZ,易方达岁丰添利债券A,1380279,6.560,5.6608597313060108
60,005338.OF,兴业3个月定开债券,101355011,4.760,3.7690993193820176
61,004136.OF,博时民泽纯债债券,140203,3.600,3.6584060875581981
62,002338.OF,兴业优债增利债券A,1480036,7.530,7.6484129059551536
63,161115.SZ,易方达岁丰添利债券A,124548,5.050,4.3570501860574947
64,000147.OF,易方达高等级信用债债券A,1480085,2.110,1.5789183640775226
65,001960.OF,兴银瑞益,140428,9.070,7.5541922194231905
66,001960.OF,兴银瑞益,140210,9.320,7.7695269688602168
67,519330.OF,浦银安盛盛跃纯债债券A,140210,4.520,3.9240630873231881
68,001960.OF,兴银瑞益,140330,8.000,6.6670506682214811
69,003605.OF,景顺长城景泰汇利定期开放债券A,1480293,6.330,4.2218415115721295
70,000546.OF,兴业定开债券A,124761,6.820,5.2842747880317904
71,002143.OF,博时裕坤3个月定开债发起式,140214,12.630,12.8698616783559370
72,270048.OF,广发纯债债券A,124805,6.220,4.7975181582591464
73,005712.OF,兴全祥泰定期开放债券,101473006,8.140,5.5735556574580540
74,003280.OF,鹏华丰恒债券,101464029,5.080,5.4101472655742682
75,002994.OF,招商招裕纯债A,140441,9.060,10.9829143701078775
76,003280.OF,鹏华丰恒债券,101477002,4.050,4.3153542683353820
77,519334.OF,浦银安盛盛勤定开债券A,140219,17.240,17.6650298401946279
78,003213.OF,中银悦享定期开放债券,1428009,8.710,8.9395685992852268
79,003155.OF,中加丰尚纯债债券A,140221,5.080,4.8190159912148718
80,004136.OF,博时民泽纯债债券,140221,5.080,5.1613256682940556
81,002447.OF,博时裕安一年定开债发起式,101456051,6.600,5.6318306727360450
82,002143.OF,博时裕坤3个月定开债发起式,140350,6.220,6.3423088492422963
