,thscode,ths_nb_mv_to_bond_invest_mv_fund,ths_zcxjrzszzzqtzszb_fund,ths_cbb_to_bond_invest_mv_fund
173,003417.OF,,8.5118098756418,
174,003428.OF,,100.0,
175,003438.OF,,5.533137963262,
176,003440.OF,6.7095419102918,16.749729836834,
177,003445.OF,0.016380514883812,8.8556702165138,
178,003452.OF,1.4827443232716,13.836168594218,
179,003454.OF,,78.127860360217,
180,003518.OF,,62.305696843626,
181,003528.OF,,8.9699925210088,
182,003547.OF,,4.5397910695446,
183,003569.OF,,4.3005026164882,
184,003571.OF,,11.134559384317,
185,003590.OF,,54.994667089562,
186,003605.OF,,14.236024106493,
187,003607.OF,,18.610204067244,
188,003640.OF,,100.0,
189,003651.OF,,6.6917138139676,
190,003660.OF,,11.957813319052,
191,003662.OF,,5.9356707740795,
192,003671.OF,,100.0,
193,003673.OF,,4.7385224635181,
194,003730.OF,18.76844945991,73.567360604732,
195,003746.OF,,25.446536765106,
196,003770.OF,,75.650130258492,
197,003809.OF,,6.611806238283,
198,003832.OF,,55.650298815411,
199,003859.OF,,5.7670108409317,
200,003863.OF,,8.5000801728205,
201,003869.OF,,26.711039603316,
202,003929.OF,,46.429180387079,
203,003949.OF,,16.403922243405,
204,003952.OF,,,
205,003983.OF,,5.2277833289179,
206,004020.OF,,10.548645808134,
207,004027.OF,,12.655806944813,
208,004030.OF,,3.1229760024501,
209,004031.OF,,100.0,
210,004032.OF,,8.645093406947,
211,004042.OF,1.2109132977102,15.02061541761,
212,004052.OF,,19.737211489924,
213,004061.OF,,100.0,
214,004118.OF,,100.0,
215,004122.OF,,5.8835065699157,
216,004124.OF,0.43953421307991,96.533490595897,
217,004126.OF,,3.6856807630778,
218,004127.OF,,16.425221732318,
219,004136.OF,,24.811398749164,
220,004140.OF,0.74314745965761,14.761028609558,
221,004141.OF,,8.5698010403058,
222,004200.OF,,10.890748434994,
223,004230.OF,,83.979330464241,
224,004238.OF,,8.3342341960725,
225,004307.OF,,33.0049653167,
226,004322.OF,,50.421139896373,
227,004334.OF,,5.0856762485875,
228,004366.OF,,100.0,
229,004388.OF,1.0483940892204,5.7822255843607,
230,004438.OF,,5.7026593945072,
231,004459.OF,,9.1617627500189,
232,004479.OF,,87.216396902859,
233,004498.OF,,60.703076975135,
234,004499.OF,,6.5615008026767,
235,004503.OF,,5.8461279610429,
236,004544.OF,2.3693506601749,11.197733813761,
237,004547.OF,,4.8638765230203,
238,004555.OF,0.86168534500433,28.379333190899,
239,004601.OF,,11.581889467436,
240,004614.OF,,11.79113032004,
241,004637.OF,,4.4389946634363,
242,004655.OF,,1.1631666604637,
243,004672.OF,,4.2128632702627,
244,004689.OF,,100.0,
245,004705.OF,,18.448711482479,
246,004722.OF,,41.615609171902,
247,004728.OF,,98.282404040179,
248,004736.OF,11.099558847637,21.949287542364,
249,004797.OF,,3.8602168471604,
250,004821.OF,,10.130084400896,
251,004859.OF,,5.8573886676538,
252,004882.OF,,26.226631897014,
253,004887.OF,,5.0544273720239,
254,004899.OF,,5.4781604062363,
255,004910.OF,0.41438820862415,6.3039684178069,
256,004911.OF,,32.807885186049,
257,004919.OF,,9.801251836359,
258,004920.OF,0.37086385401605,9.0479811041646,
259,004923.OF,,3.2848664393311,
260,004940.OF,,,
261,004956.OF,,28.129947252801,
262,004978.OF,0.2476487474468,99.752351252553,
263,005024.OF,5.613296950665,4.4791483742485,
264,005072.OF,,31.839934697534,
265,005073.OF,,5.5967453061598,
266,005124.OF,,,
267,005171.OF,,4.444481404174,
268,005307.OF,5.4455002370853,8.9057150845287,
269,005309.OF,,100.0,
270,005321.OF,,43.702453540681,
271,005322.OF,,14.504839193402,
272,005336.OF,,35.104781501859,
273,005338.OF,,,
274,005364.OF,,39.095300081551,
275,005369.OF,,5.7827060905023,
276,005375.OF,,0.094964400252314,
277,005383.OF,,15.334705373813,
278,005388.OF,,37.454136538362,
279,005393.OF,,46.055898132379,
280,005398.OF,,48.400366219025,
281,005410.OF,,,
282,005419.OF,,100.0,
283,005432.OF,,4.2476856640205,
284,005435.OF,,4.1420140128936,
285,005439.OF,,4.7593443424723,
286,005442.OF,,11.98228993672,
287,005462.OF,,2.7859514356136,
288,005469.OF,,61.3257930065,
289,005525.OF,,4.9045893361462,
290,005577.OF,,,
291,005590.OF,,,
292,005594.OF,,6.4880374100852,
293,005606.OF,,79.499344420675,
294,005622.OF,,13.130588241747,
295,005631.OF,,43.140813823439,
296,005648.OF,,10.690379473044,
297,005666.OF,,3.9859242073007,
298,005670.OF,,,
299,005684.OF,,,
300,005703.OF,,39.883054284714,
301,005710.OF,,85.851246071005,
302,005712.OF,,10.247444915203,
303,005719.OF,,85.429716131665,
304,005740.OF,,,
305,005754.OF,0.093087424588848,5.2677049305787,
306,005772.OF,,12.816954203873,
307,005781.OF,,2.3251138716283,
308,005782.OF,,,
309,005784.OF,,,
310,005791.OF,,80.01618582505,
311,005820.OF,,16.351774291611,
312,005831.OF,,,
313,005841.OF,,4.2638132674606,
314,005845.OF,,8.1098498551641,
315,005853.OF,,42.94030097569,
316,005854.OF,,6.2213928349917,
317,005864.OF,1.7554175796923,64.370052823945,
318,005871.OF,,,
319,005879.OF,,11.835742065641,
320,005897.OF,,17.684886316216,
321,005898.OF,,73.3725623337,
322,005920.OF,4.8301908556482,95.169809144352,
323,005921.OF,,100.0,
324,005936.OF,,33.615306112895,
325,005972.OF,7.357121894449,92.642878105551,
326,005988.OF,11.510525398055,70.551464531658,
327,006029.OF,,4.8696273799278,
328,006037.OF,0.10676236249748,70.853904742405,
329,006043.OF,,100.0,
330,006053.OF,,43.764346346206,
331,006066.OF,,5.7820943081177,
332,006076.OF,,5.0718795211475,
333,006107.OF,,6.8748043179374,
334,006112.OF,,,
335,006150.OF,,,
336,006171.OF,3.8526680312761,96.147331968724,
337,006172.OF,,100.0,
338,006212.OF,,26.268762320443,
339,006275.OF,,25.165008698116,
340,006360.OF,,9.4540296567472,
341,006367.OF,4.7708273047168,95.229172695283,
342,006393.OF,,53.143217268001,
