,thscode,ths_nb_mv_to_bond_invest_mv_fund,ths_zcxjrzszzzqtzszb_fund,ths_cbb_to_bond_invest_mv_fund
0,070005.OF,5.7754007811915,12.107823175524,
1,070025.OF,4.7490012189854,7.4575058682199,
2,070037.OF,2.6239293543414,11.014745463485,
3,100018.OF,0.28532466050178,19.86026897735,
4,100058.OF,,4.7793368183947,
5,100066.OF,3.3142744618584,7.4329106600201,
6,100072.OF,,,
7,110035.OF,,4.5196413701223,
8,160602.OF,6.7927451086798,9.0379247318648,
9,202103.OF,,13.556437213024,
10,202108.OF,1.3168038752238,29.756282753116,
11,217003.OF,,21.453582352762,
12,217022.OF,2.7738085585817,6.4173833696538,
13,261001.OF,,3.7104664194193,
14,270043.OF,,,
15,270048.OF,,4.9480243681143,
16,400009.OF,,65.419156359967,
17,485105.OF,4.331028297169,31.198728274486,
18,485107.OF,,32.429041574148,
19,519137.OF,6.2436671214676,14.086023851412,
20,519138.OF,3.3469254634749,9.8233637358617,
21,519206.OF,,,
22,519225.OF,1.9989055702682,98.001094429732,
23,519322.OF,,,
24,519324.OF,,3.2499503369447,
25,519328.OF,,100.0,
26,519330.OF,,13.294251472679,
27,519332.OF,,19.204631491614,
28,519334.OF,,,
29,519680.OF,,4.9253387516956,
30,519718.OF,,3.9459143356866,
31,519743.OF,,100.0,
32,519746.OF,,11.89428623866,
33,519762.OF,,100.0,
34,519776.OF,0.49779696246788,92.592399298883,
35,519782.OF,2.0510299672414,1.9593076241486,
36,519784.OF,1.2571827841959,35.851502416941,
37,530021.OF,3.4317603612764,16.852617419922,
38,650001.OF,,100.0,
39,675041.OF,0.44529864494912,47.962172213709,
40,960040.OF,,,
41,H000355.OF,,,
42,H202108.OF,,,
43,H217003.OF,,,
44,160128.SZ,,3.1450264782276,
45,160515.SZ,,,
46,160618.SZ,,4.249237793259,
47,161014.SZ,3.3840599122057,,
48,161019.SZ,,20.410400521443,
49,161115.SZ,0.72316180955565,38.604254600217,
50,161117.SZ,,,
51,162715.SZ,,51.359494119426,
52,164703.SZ,,17.696698767873,
53,000005.OF,,72.750617841108,
54,000032.OF,5.2473682023459,6.7625563136382,
55,000084.OF,,7.7254164807484,
56,000105.OF,12.555930398729,11.792333122414,
57,000111.OF,,,
58,000128.OF,,4.6849072607014,
59,000137.OF,0.27774298928595,52.752057501703,
60,000139.OF,0.06454974721385,7.6123320068352,
61,000147.OF,,9.489348024449,
62,000183.OF,3.7359882534009,4.1975071014798,
63,000187.OF,,4.906435529496,
64,000191.OF,,9.756166368134,
65,000205.OF,,9.0740526909086,
66,000207.OF,2.8703678354741,5.9153446431766,
67,000244.OF,,,
68,000252.OF,,5.7123689771793,
69,000254.OF,,,
70,000265.OF,,,
71,000295.OF,,,
72,000345.OF,,,
73,000346.OF,14.748401081284,13.851467239024,
74,000355.OF,7.7164930363267,31.993994432296,
75,000395.OF,,15.287965997734,
76,000402.OF,1.2708419732071,25.523141023735,
77,000469.OF,0.003885953190985,,
78,000516.OF,0.3845084423023,1.3630320177228,
79,000546.OF,,17.370429183071,
80,000552.OF,,3.0825554074425,
81,000606.OF,2.562254514898,97.437745485102,
82,000799.OF,,,
83,000815.OF,,100.0,
84,000914.OF,,25.181192013539,
85,000943.OF,,12.585777419005,
86,001001.OF,3.6711953847155,12.229175988504,
87,001246.OF,2.6947853113364,,
88,001299.OF,,4.1107269812317,
89,001368.OF,,,
90,001545.OF,,36.667878793603,
91,001578.OF,,31.957016546187,
92,001785.OF,0.27774298928595,52.752057501703,
93,001819.OF,,3.6936757307462,
94,001911.OF,,8.4057609192273,
95,001960.OF,,3.9102479666006,
96,001961.OF,,85.259170086942,
97,001993.OF,,15.149311597015,
98,002109.OF,,54.500922626007,
99,002140.OF,,4.7371811640319,
100,002143.OF,,57.218491559645,
101,002169.OF,1.9073165028853,5.457377592869,
102,002175.OF,,48.156534260374,
103,002188.OF,,100.0,
104,002198.OF,,41.435549203683,
105,002206.OF,,6.031698016445,
106,002268.OF,0.0028795876468441,31.112476220019,
107,002301.OF,,4.3677144780596,
108,002336.OF,,79.89507848946,
109,002338.OF,5.8693163724789,56.504294485349,
110,002341.OF,,4.8492680883434,
111,002354.OF,,6.0303498553825,
112,002377.OF,0.38978404533866,28.02144279144,
113,002381.OF,0.12317591728022,12.885786675357,
114,002395.OF,,,
115,002438.OF,,4.2107872972386,
116,002445.OF,,67.583967610119,
117,002447.OF,,4.7883332010545,
118,002452.OF,,17.818291573713,
119,002466.OF,,33.67868672125,
120,002483.OF,,,
121,002548.OF,,7.9774403637228,
122,002549.OF,4.9200349047356,12.592285818306,
123,002552.OF,,21.372377077365,
124,002568.OF,4.7411961356489,1.5752046916169,
125,002578.OF,,6.9567687067119,
126,002600.OF,,,
127,002603.OF,,29.194002667201,
128,002625.OF,,57.917845252005,
129,002638.OF,0.76635890311216,99.233641096888,
130,002698.OF,,28.99655978504,
131,002716.OF,,100.0,
132,002750.OF,,,
133,002754.OF,,3.9446918790928,
134,002755.OF,,23.311502152161,
135,002781.OF,,39.90514206396,
136,002817.OF,,82.82971737578,
137,002832.OF,,81.024515355153,
138,002864.OF,,4.9989859382881,
139,002868.OF,,8.5167501671771,
140,002898.OF,,,
141,002904.OF,12.869081127636,22.562395072053,
142,002927.OF,1.7900241147184,20.162966155429,
143,002929.OF,,5.5881653829003,
144,002930.OF,,5.8844528166994,
145,002970.OF,,63.187491930612,
146,002985.OF,19.970459914789,,
147,002991.OF,0.66426004249019,14.034292369428,
148,002994.OF,,37.893871577856,
149,003039.OF,,48.928789760162,
150,003102.OF,,98.355529213752,
151,003155.OF,,43.725933626303,
152,003162.OF,,21.377754380234,
