,thscode,ths_nb_mv_to_bond_invest_mv_fund,ths_zcxjrzszzzqtzszb_fund,ths_cbb_to_bond_invest_mv_fund
0,070005.OF,2.206912164923,16.00661173425,
1,070025.OF,0.35773551139522,8.4028646148829,
2,070037.OF,0.02181627166536,16.430650332015,
3,100018.OF,0.93410758072162,19.219480365589,
4,100058.OF,,3.8392566945064,
5,100066.OF,0.58495331154007,54.912372337499,
6,100072.OF,0.26951291906414,1.8124050210962,
7,110035.OF,,18.458334173364,
8,160602.OF,,18.402724979238,
9,202103.OF,,10.699271696366,
10,202108.OF,,19.038646676086,
11,217003.OF,0.75691921848885,22.883718800986,
12,217022.OF,4.6430521014452,4.7472915980439,
13,261001.OF,,47.32337620784,
14,270043.OF,,,
15,270048.OF,,6.2416704649237,
16,400009.OF,,5.2494919983649,
17,485105.OF,,5.3773039110567,
18,485107.OF,,24.361119827467,
19,519137.OF,,,
20,519138.OF,,5.5324793834481,
21,519206.OF,7.8489643212288,33.976520123896,
22,519225.OF,,100.0,
23,519322.OF,,15.554897976917,
24,519324.OF,,8.7393796446354,
25,519328.OF,,68.486582426025,
26,519330.OF,,16.06175546499,
27,519332.OF,,35.474558438198,
28,519334.OF,,65.727896732765,
29,519680.OF,,9.8551862465898,
30,519718.OF,3.8233157732425,12.308102747691,
31,519743.OF,,100.0,
32,519746.OF,,70.210211983018,
33,519762.OF,0.77093870413157,5.0455975962962,
34,519776.OF,,9.3710499285567,
35,519782.OF,,3.9740895339851,
36,519784.OF,,,
37,530021.OF,4.9447453163994,12.651055552107,
38,650001.OF,13.898232547152,52.303475000178,
39,675041.OF,,66.521446946713,
40,960040.OF,,,
41,H000355.OF,,,
42,H202108.OF,,,
43,H217003.OF,,,
44,160128.SZ,,,
45,160515.SZ,,2.0652838411829,
46,160618.SZ,,24.122573957706,
47,161014.SZ,,2.2118412780255,
48,161019.SZ,6.5113958946497,14.248408223784,
49,161115.SZ,14.348911343232,31.043485575388,
50,161117.SZ,,8.146869328571,
51,162715.SZ,,71.943761844387,
52,164703.SZ,0.47403619292057,66.151264296854,
53,000005.OF,,,
54,000032.OF,,18.557356056416,
55,000084.OF,,5.5258163012681,
56,000105.OF,1.9288713577561,13.623817670618,
57,000111.OF,,,
58,000128.OF,0.73400815635978,4.3572758540787,
59,000137.OF,,43.741336773761,
60,000139.OF,0.036749218465762,16.774005689834,
61,000147.OF,,7.06339461963,
62,000183.OF,18.762241431719,56.836610954607,
63,000187.OF,,38.670637938082,
64,000191.OF,0.0135133908442,10.655397694383,
65,000205.OF,,7.7215437821481,
66,000207.OF,,6.2010759790255,
67,000244.OF,,1.6963491403139,
68,000252.OF,0.37388148295518,28.35083998214,
69,000254.OF,,13.566867623805,
70,000265.OF,,3.1512331967069,
71,000295.OF,,,
72,000345.OF,,10.740644663132,
73,000346.OF,,4.2736541646924,
74,000355.OF,,22.018589763267,
75,000395.OF,,5.3871633712196,
76,000402.OF,10.340257020593,5.2080962981943,
77,000469.OF,,4.1922531894828,
78,000516.OF,1.5307849458388,2.9434860855536,
79,000546.OF,,,
80,000552.OF,,10.206168246918,
81,000606.OF,,100.0,
82,000799.OF,,,
83,000815.OF,4.1360283467238,4.2508044133803,
84,000914.OF,,10.942662538529,
85,000943.OF,,11.596917027423,
86,001001.OF,,5.540168378203,
87,001246.OF,,7.3201061519775,
88,001299.OF,1.0347910956435,14.316385788284,
89,001368.OF,,,
90,001545.OF,,69.536524878737,
91,001578.OF,,70.470333803479,
92,001785.OF,,43.741336773761,
93,001819.OF,2.6497678450308,12.651773218212,
94,001911.OF,,12.005686977597,
95,001960.OF,,61.325165778243,
96,001961.OF,,40.740364789528,
97,001993.OF,,10.943175991884,
98,002109.OF,,51.019434882791,
99,002140.OF,,14.127668000323,
100,002143.OF,,79.473491665988,
101,002169.OF,,74.805307444413,
102,002175.OF,,95.259591018917,
103,002188.OF,,100.0,
104,002198.OF,,47.655457583856,
105,002206.OF,,4.8864093255581,
106,002268.OF,0.0031288608587519,7.9204860298967,
107,002301.OF,,9.0348439484911,
108,002336.OF,,83.144584048066,
109,002338.OF,,6.8745249959956,
110,002341.OF,,43.472760116115,
111,002354.OF,,3.9294450913178,
112,002377.OF,,9.3583833888497,
113,002381.OF,31.30578043175,28.211075543461,
114,002395.OF,,,
115,002438.OF,,15.044457332623,
116,002445.OF,0.15791994745278,18.605597043825,
117,002447.OF,,4.3440482768334,
118,002452.OF,,11.436362151907,
119,002466.OF,,29.054946694548,
120,002483.OF,0.81866877888891,4.8342832298248,
121,002548.OF,,4.369785545986,
122,002549.OF,0.86734737338599,15.570798986462,
123,002552.OF,,88.268004632029,
124,002568.OF,,22.019781459353,
125,002578.OF,,7.1207698224524,
126,002600.OF,,,
127,002603.OF,,,
128,002625.OF,,6.2907014662223,
129,002638.OF,,100.0,
130,002698.OF,,68.348349815193,
131,002716.OF,,100.0,
132,002750.OF,,30.948001272317,
133,002754.OF,,17.807607861006,
134,002755.OF,,9.6191647779974,
135,002781.OF,,23.332206016303,
136,002817.OF,,81.692834963178,
137,002832.OF,,100.0,
138,002864.OF,,5.4157928429241,
139,002868.OF,,3.8762665177209,
140,002898.OF,,69.153540810843,
141,002904.OF,12.196722523638,25.447425742269,
142,002927.OF,,7.7557152615911,
143,002929.OF,,47.501658556034,
144,002930.OF,,5.948099900974,
145,002970.OF,,66.206477748732,
146,002985.OF,,26.119612681558,
147,002991.OF,,4.5365738185267,
148,002994.OF,,46.491320807865,
149,003039.OF,,70.385997419925,
150,003102.OF,,5.9153093162136,
151,003155.OF,2.9176835010095,65.94449368564,
152,003162.OF,1.3203996548247,32.626621292635,
153,003188.OF,0.35627941300644,91.720552219113,
154,003192.OF,,6.2029212741077,
155,003193.OF,0.46636465913781,3.6392303484686,
156,003209.OF,,4.4365318599097,
157,003213.OF,,6.9480505579346,
158,003214.OF,,20.12385460157,
159,003223.OF,0.49310600996196,16.971195679303,
160,003258.OF,,100.0,
161,003260.OF,,100.0,
162,003265.OF,,23.279986013341,
163,003268.OF,,4.0444281339144,
164,003269.OF,6.0045984790093,21.493284596572,
165,003280.OF,,20.734222194021,
166,003285.OF,,19.883553647837,
167,003289.OF,,100.0,
168,003290.OF,,100.0,
169,003313.OF,,54.113025179427,
170,003315.OF,28.164602523155,71.835397476845,
171,003327.OF,,42.044503400908,
172,003329.OF,0.053763906204671,16.656238618921,
173,003417.OF,,17.965775591302,
174,003428.OF,,70.209721024154,
175,003438.OF,,5.4041029199008,
176,003440.OF,10.31006349206,19.606802936637,
177,003445.OF,0.016869771730366,8.3833320270724,
178,003452.OF,1.9778775254863,13.109368691514,
179,003454.OF,,100.0,
180,003518.OF,,49.488412833009,
181,003528.OF,,6.546519721724,
182,003547.OF,,3.4270751614462,
183,003569.OF,,4.2742297260119,
184,003571.OF,,8.7125722793671,
185,003590.OF,,46.806887427989,
186,003605.OF,,14.874163946711,
187,003607.OF,,28.691573995588,
188,003640.OF,,100.0,
189,003651.OF,,10.743095988705,
190,003660.OF,,10.553353381183,
191,003662.OF,,7.3105141363872,
192,003671.OF,,88.864106076922,
193,003673.OF,,12.466849629797,
194,003730.OF,,73.379664732406,
195,003746.OF,,38.747038799313,
196,003770.OF,,68.835922035921,
197,003809.OF,,4.7989252759782,
198,003832.OF,,47.100030251742,
199,003859.OF,,6.5359861670867,
200,003863.OF,,7.3180216219549,
201,003869.OF,,52.351500751588,
202,003929.OF,,39.064946755336,
203,003949.OF,,22.093169022577,
204,003952.OF,,3.2775537336235,
205,003983.OF,,5.3826862498035,
206,004020.OF,,8.1910668025166,
207,004027.OF,,5.7404412820187,
208,004030.OF,0.99251484180963,7.933020833778,
209,004031.OF,,100.0,
210,004032.OF,,100.0,
211,004042.OF,,4.9760626674138,
212,004052.OF,,4.8580953784277,
213,004061.OF,,100.0,
214,004118.OF,,84.212340969761,
215,004122.OF,,3.3060030509683,
216,004124.OF,0.50571244456519,61.315134751876,
217,004126.OF,0.44911879279373,17.545403937948,
218,004127.OF,,12.172434555816,
219,004136.OF,,43.285192977218,
220,004140.OF,,12.421197426605,
221,004141.OF,,9.8124082205978,
222,004200.OF,,3.985628342246,
223,004230.OF,,79.620302465335,
224,004238.OF,,4.0424339243804,
225,004307.OF,,4.3350423665918,
226,004322.OF,,4.6371941030116,
227,004334.OF,,5.071617622853,
228,004366.OF,100.0,,
229,004388.OF,,3.9496118813658,
230,004438.OF,,7.0232306861156,
231,004459.OF,,6.072428136319,
232,004479.OF,,85.046805728645,
233,004498.OF,,51.320797082317,
234,004499.OF,,16.415229659358,
235,004503.OF,,8.8327822480973,
236,004544.OF,0.54114759105143,19.08877612712,
237,004547.OF,0.047783629758127,12.197759141899,
238,004555.OF,2.4234052882496,69.849989538878,
239,004601.OF,,38.779018152283,
240,004614.OF,,14.687607225754,
241,004637.OF,,8.1214870938841,
242,004655.OF,,1.060112376127,
243,004672.OF,,4.3493244449081,
244,004689.OF,,100.0,
245,004705.OF,,22.812706865309,
246,004722.OF,,32.329981277832,
247,004728.OF,,76.99887211645,
248,004736.OF,,5.9137231339887,
249,004797.OF,,11.636669670152,
250,004821.OF,,,
251,004859.OF,,2.9322562999611,
252,004882.OF,,20.02215862597,
253,004887.OF,,12.509339479177,
254,004899.OF,1.5414719290538,11.608453974093,
255,004910.OF,0.63086301910254,4.2881403866518,
256,004911.OF,,,
257,004919.OF,,10.506994923515,
258,004920.OF,,11.496619291003,
259,004923.OF,,1.7359227915985,
260,004940.OF,,23.880637271818,
261,004956.OF,,100.0,
262,004978.OF,,41.611485729097,
263,005024.OF,6.142238722086,,
264,005072.OF,,100.0,
265,005073.OF,,4.5683781346514,
266,005124.OF,,0.45139313133888,
267,005171.OF,,4.461789493298,
268,005307.OF,5.0975639998816,15.391846022648,
269,005309.OF,,100.0,
270,005321.OF,4.3342593357747,38.488899074841,
271,005322.OF,,9.3717280265232,
272,005336.OF,,47.052299526178,
273,005338.OF,,11.429665224522,
274,005364.OF,,,
275,005369.OF,,4.5778355979797,
276,005375.OF,3.7981179613324,2.1004929314411,
277,005383.OF,,3.4295905998652,
278,005388.OF,,4.8423368466079,
279,005393.OF,,38.985515283449,
280,005398.OF,,79.931740351351,
281,005410.OF,,6.1461026996457,
282,005419.OF,,,
283,005432.OF,,5.5700161204397,
284,005435.OF,,3.2409294741133,
285,005439.OF,,21.950703303805,
286,005442.OF,,5.2203757811726,
287,005462.OF,,15.051884367297,
288,005469.OF,2.6443934844074,70.617714505931,
289,005525.OF,,16.674771039942,
290,005577.OF,,,
291,005590.OF,,,
292,005594.OF,4.1722418529462,10.438162829508,
293,005606.OF,,75.010592663804,
294,005622.OF,,12.505062479785,
295,005631.OF,,42.375190886532,
296,005648.OF,4.1925139438522,21.860219034111,
297,005666.OF,,7.7567042598426,
298,005670.OF,,,
299,005684.OF,,,
300,005703.OF,,59.349452008612,
301,005710.OF,,100.0,
302,005712.OF,,4.3210621763126,
303,005719.OF,,,
304,005740.OF,,7.8762489550166,
305,005754.OF,0.7165939942117,4.0694740196902,
306,005772.OF,,16.377081831553,
307,005781.OF,,12.770215780076,
308,005782.OF,,,
309,005784.OF,,,
310,005791.OF,,,
311,005820.OF,,3.5180440345207,
312,005831.OF,,3.156128970107,
313,005841.OF,,3.22440898088e-05,
314,005845.OF,,,
315,005853.OF,,,
316,005854.OF,,100.0,
317,005864.OF,,85.524911094356,
318,005871.OF,,3.8883209601155,
319,005879.OF,,38.095866068952,
320,005897.OF,,,
321,005898.OF,,,
322,005920.OF,,84.660126622425,
323,005921.OF,,77.267017945161,
324,005936.OF,,,
325,005972.OF,,78.830037958922,
326,005988.OF,8.7508713027047,74.43804826445,
327,006029.OF,,,
328,006037.OF,,,
329,006043.OF,,100.0,
330,006053.OF,,,
331,006066.OF,,4.7307842773536,
332,006076.OF,,,
333,006107.OF,2.7718376612122,43.357342736459,
334,006112.OF,,25.212540911068,
335,006150.OF,,,
336,006171.OF,,,
337,006172.OF,,,
338,006212.OF,,,
339,006275.OF,,71.705949859054,
340,006360.OF,,,
341,006367.OF,,,
342,006393.OF,,,
