,jydm,jydm_mc,p00483_f002,p00483_f007,p00483_f008
0,002524.OF,兴业福益债券,080217,7.280,7.7330657207745451
1,001578.OF,博时裕瑞纯债债券,090204,4.130,4.7712429452294618
2,002524.OF,兴业福益债券,090204,14.390,15.2853945879073360
3,000183.OF,嘉实丰益策略定期债券,010107,16.800,13.9369612249735643
4,161019.SZ,富国新天锋债券(LOF)A,010107,9.830,11.6757496858729808
5,003315.OF,景顺长城政策性金融债A,010107,29.120,27.3946165021738781
6,004672.OF,华夏短债债券A,010107,23.930,26.5706883393397516
7,161019.SZ,富国新天锋债券(LOF)A,010303,9.910,11.7666673240573228
8,002206.OF,博时裕康纯债,058021,9.060,9.0636236752460257
9,002206.OF,博时裕康纯债,078042,8.280,8.2852321473631088
10,003859.OF,招商招旭纯债A,098008,8.440,6.2690086164608195
11,004030.OF,嘉实丰安6个月定期债券,090208,3.790,2.9499772481288703
12,003949.OF,兴全稳泰债券A,090208,6.070,6.2032275452550198
13,004655.OF,汇添富鑫汇债券A,122017,8.250,9.0725421528046663
14,005781.OF,华富富瑞3个月定期开放债券,0980140,6.810,17.3850078221697254
15,003528.OF,汇添富长添利定期开放债券A,0980146,4.850,4.9785559319033608
16,005383.OF,富国绿色纯债一年定开债券,0980165,4.770,3.1739080746357733
17,003417.OF,中加丰泽纯债,0980182,5.210,4.6255986797303117
18,003590.OF,建信睿富纯债债券,0980185,5.160,5.3170077440927418
19,003213.OF,中银悦享定期开放债券,1080022,6.020,6.3842704851791408
20,005124.OF,易方达恒益定开债券发起式,1082151,3.170,2.3127064589521287
21,004544.OF,嘉实稳华纯债债券A,1180052,6.210,5.5207804309893452
22,001961.OF,博时裕荣纯债债券,1182082,8.120,8.3652418696865924
23,003869.OF,长信稳势纯债债券,122066,4.390,4.5092049393356346
24,485105.OF,工银增强收益债券A,1116001,7.390,6.4362589391316196
25,002550.OF,嘉实稳荣债券,122072,8.880,6.8522189682360892
26,005781.OF,华富富瑞3个月定期开放债券,110238,4.370,11.1742364745575291
27,003155.OF,中加丰尚纯债债券A,110017,10.130,10.0976157662067497
28,003290.OF,长城久稳债券A,110017,7.380,7.4058899606085437
29,004940.OF,中加聚鑫纯债一年A,1180132,8.590,6.3204777993849462
30,003269.OF,招商招乾3个月定开债发起式A,1182216,5.620,5.7219057255285718
31,002994.OF,招商招裕纯债A,110254,10.460,10.9402351660019932
32,001993.OF,博时裕泰纯债债券,1180141,8.940,9.0415757776934750
33,519762.OF,交银裕通纯债债券A,1182277,4.630,3.7237493241828013
34,004200.OF,博时富瑞纯债债券A,1182277,4.950,3.7160263018635064
35,002395.OF,鹏华丰尚定期开放债券A,112044,9.450,9.7839183537742564
36,003454.OF,招商招通纯债A,122783,8.730,9.1532252103823228
37,519322.OF,浦银安盛盛元定开债券A,122774,4.060,3.3403365363183055
38,002750.OF,工银泰享三年理财债券,110420,5.410,4.0923338326955959
39,001578.OF,博时裕瑞纯债债券,120207,6.430,7.4316184281585491
40,003571.OF,招商招琪纯债A,120207,3.290,3.3610158498399057
41,003528.OF,汇添富长添利定期开放债券A,122723,8.320,8.5363021555497778
42,003309.OF,兴业启元一年定开债券A,122723,8.660,8.9093686709096971
43,519137.OF,海富通瑞福债券A,1280047,2.970,2.5790419482594748
44,160128.SZ,南方金利定开债券A,1280055,3.700,3.2626415212843655
45,003571.OF,招商招琪纯债A,1282091,4.460,4.5483808829906904
46,002483.OF,富国泰利定期开放债券发起式,122660,5.090,4.3098487688733414
47,002188.OF,鹏华丰华债券,120221,56.340,59.1908838387940417
48,003452.OF,招商招盛纯债A,120221,2.470,2.5180856164005561
49,003192.OF,创金合信尊丰纯债,1282150,5.950,6.1036687312032507
50,004307.OF,博时富元纯债债券,1282176,6.630,5.0828744028948749
51,003590.OF,建信睿富纯债债券,1282205,8.330,8.5872671301902691
52,003863.OF,招商招祥纯债A,1282205,7.140,7.7195130860727170
53,001961.OF,博时裕荣纯债债券,120412,15.030,15.4877362527293665
