,thscode,ths_top_n_top_stock_mv_to_si_mv_fund
0,161818.OF,67.01060416549
1,161910.OF,54.252497781256
2,162209.OF,64.75224640737
3,162214.OF,43.496495673209
4,163411.OF,29.092198371699
5,163805.OF,73.188382832419
6,163807.OF,35.887794506619
7,163822.OF,33.368420517522
8,166002.OF,38.179810706876
9,166005.OF,42.892047550694
10,166020.OF,37.844053476194
11,166301.OF,26.091093381356
12,180010.OF,21.537784257953
13,180012.OF,79.609364496039
14,180013.OF,32.551497227967
15,180018.OF,69.258566082774
16,180028.OF,42.38975666641
17,180031.OF,39.446958118171
18,200001.OF,34.435230353799
19,200006.OF,55.845562178982
20,200008.OF,73.370383804248
21,202003.OF,46.561180282315
22,202005.OF,50.532257333694
23,202007.OF,46.929132015223
24,202011.OF,54.60002305497
25,202023.OF,46.454641600881
26,202212.OF,58.346899583727
27,206009.OF,58.3048981841
28,210003.OF,50.755101300199
29,210008.OF,68.278330741748
30,210009.OF,38.308784916464
31,213003.OF,64.212686650322
32,217009.OF,46.793616018616
33,217010.OF,50.925262002452
34,217012.OF,48.961285913886
35,217013.OF,46.860398921023
36,217020.OF,42.986684464466
37,229002.OF,11.687320685729
38,233006.OF,67.784767101126
39,233007.OF,67.947577910584
40,233009.OF,10.964782409097
41,233011.OF,58.054013295968
42,240004.OF,48.605440542047
43,240008.OF,73.578171742485
44,240022.OF,56.985292319885
45,257010.OF,49.285538694859
46,257020.OF,58.281734443379
47,257040.OF,63.488944854072
48,257070.OF,62.757586335671
49,260101.OF,37.882640730262
50,260103.OF,67.318526744315
51,260104.OF,73.76962013177
52,260108.OF,79.573216342228
53,260109.OF,79.248249291215
54,260116.OF,45.616790768896
55,262001.OF,
56,270005.OF,69.458032762994
57,270006.OF,69.414887131898
58,270008.OF,71.27573877043
59,270021.OF,68.057100086048
60,270025.OF,76.824140007978
61,270028.OF,43.035332345045
62,270041.OF,63.375083998721
63,270050.OF,71.780362522207
64,288002.OF,28.221086468227
65,290011.OF,94.86224702668
66,290012.OF,70.38876809772
67,320003.OF,47.20964467892
68,320005.OF,71.024675782288
69,320011.OF,60.269896045772
70,320012.OF,56.874432261275
71,320015.OF,65.447587927445
72,340007.OF,62.48225085915
73,370027.OF,57.804902581482
74,375010.OF,63.746587915992
75,377010.OF,69.323901253707
76,377016.OF,
77,377240.OF,65.123533374139
78,378010.OF,35.980245361513
79,378546.OF,
80,379010.OF,51.566791783099
81,398011.OF,46.867601072527
82,398021.OF,49.77417542768
83,398061.OF,60.700849854949
84,400001.OF,53.489688083209
85,400007.OF,50.069144567227
86,400011.OF,27.090785756111
87,400015.OF,72.971022784002
88,400025.OF,50.963741364713
89,410003.OF,54.367994164495
90,410006.OF,45.802086676582
91,410007.OF,54.021760644328
92,420001.OF,37.044361378789
93,420003.OF,56.242173121932
94,420005.OF,66.038349535075
95,450002.OF,55.862448583765
96,450003.OF,50.091455291644
97,450004.OF,27.945150824961
98,450007.OF,47.668419580646
99,450010.OF,29.787142090242
100,450011.OF,51.803400919093
101,460001.OF,49.374699540448
102,460007.OF,61.916024486246
103,460009.OF,8.9689002822247
104,460010.OF,
105,470006.OF,65.135960418256
106,470008.OF,54.516039548465
107,470009.OF,39.708648277047
108,481001.OF,46.577055937018
109,481004.OF,31.978389673619
110,481006.OF,51.583136898864
111,481008.OF,51.371849007274
112,481013.OF,52.676569408664
113,487021.OF,49.078830208388
114,519001.OF,25.710150331485
115,519002.OF,38.215355387937
116,519003.OF,39.504930786512
117,519005.OF,48.759312663666
118,519008.OF,49.412708435992
119,519011.OF,65.309961011219
120,519015.OF,64.772372668007
121,519017.OF,51.545699972491
122,519018.OF,36.263766634694
123,519020.OF,73.270521915283
124,519021.OF,70.640693065821
125,519025.OF,32.035262075513
126,519026.OF,67.826712063247
127,519029.OF,46.0959403035
128,519035.OF,71.169889659759
129,519056.OF,64.355158374185
130,519069.OF,42.027558820335
131,519087.OF,65.086427697754
132,519089.OF,43.909325150778
133,519093.OF,41.875846391014
134,519126.OF,42.667338405446
135,519133.OF,35.308741187975
136,519139.OF,60.069763992748
137,519181.OF,72.044609739732
138,519195.OF,75.361962606826
139,519196.OF,60.585546220248
140,519224.OF,19.544454862075
141,519601.OF,
142,519619.OF,55.971755566197
143,519621.OF,55.971755566197
144,519651.OF,61.66099576546
145,519664.OF,72.883187504873
146,519668.OF,47.235053496645
147,519672.OF,54.523181031552
148,519674.OF,84.93095124837
149,519678.OF,71.638015258775
150,519688.OF,62.233212865432
151,519690.OF,54.427401238548
152,519692.OF,79.087262185456
153,519694.OF,78.943668025753
154,519696.OF,
155,519704.OF,53.884610599983
156,519710.OF,84.849199382294
157,519712.OF,80.344273557897
158,519727.OF,76.364231599644
159,519736.OF,77.738041533584
160,519756.OF,52.22153550181
161,519767.OF,58.720045726853
162,519773.OF,72.122245023107
163,519908.OF,46.561142934986
164,519915.OF,61.023177319847
165,519929.OF,54.780708265174
166,519983.OF,19.925023054458
167,519991.OF,54.954581080463
168,519995.OF,26.824303976085
169,530001.OF,47.286481100489
170,530003.OF,79.534365954106
171,530006.OF,88.848259684523
172,530019.OF,86.723003463037
173,539002.OF,
174,550001.OF,43.662274791399
175,550002.OF,44.185602986421
176,550003.OF,47.641361159598
177,550008.OF,39.589400328371
