,thscode,ths_top_n_top_stock_mv_to_si_mv_fund
0,570001.OF,79.618649526491
1,570008.OF,74.478759700621
2,590005.OF,51.169115822555
3,610004.OF,61.190782304619
4,610006.OF,57.825905709992
5,630002.OF,38.196170921469
6,630006.OF,42.165569079334
7,630010.OF,42.142483752115
8,630016.OF,50.369056655228
9,660004.OF,35.966429147048
10,660006.OF,20.756022353902
11,660010.OF,64.312128275587
12,660012.OF,50.355745323952
13,688888.OF,71.248928062293
14,690004.OF,56.579183797685
15,690005.OF,49.518947671282
16,690007.OF,56.575947278586
17,700001.OF,40.175305801984
18,700003.OF,54.344389189815
19,720001.OF,62.730997176353
20,750001.OF,57.439717935785
21,160133.SZ,39.84590889434
22,160322.SZ,51.039515025282
23,000041.OF,
24,000043.OF,
25,000082.OF,26.605194813921
26,000309.OF,69.268578929902
27,000409.OF,77.093954822985
28,000457.OF,56.206031888348
29,000471.OF,39.032022661271
30,000513.OF,51.64754981183
31,000524.OF,38.322975594722
32,000549.OF,26.450640955541
33,000577.OF,68.664080850758
34,000592.OF,42.076366007703
35,000628.OF,76.495157926235
36,000746.OF,58.728962012349
37,000751.OF,62.824948253201
38,000778.OF,82.322596348364
39,000780.OF,52.30125602073
40,000828.OF,47.074174017896
41,000831.OF,66.685885461545
42,000866.OF,40.560289480769
43,000893.OF,46.57203777967
44,000925.OF,38.685131304181
45,000955.OF,39.362999076046
46,000960.OF,65.7994867876
47,000971.OF,70.249642048648
48,000978.OF,18.410008335864
49,000979.OF,77.714474178629
50,000985.OF,42.204206211223
51,000991.OF,60.164138360106
52,000996.OF,74.725017811806
53,001008.OF,38.674182674761
54,001009.OF,44.993701668214
55,001028.OF,28.088580949058
56,001036.OF,49.102250321325
57,001040.OF,54.557974270426
58,001044.OF,71.214232932261
59,001054.OF,52.362668880573
60,001070.OF,51.194787987945
61,001072.OF,43.137295968065
62,001126.OF,61.878056953738
63,001158.OF,51.120425360789
64,001163.OF,61.94931322063
65,001166.OF,59.491358146193
66,001171.OF,66.976863919103
67,001178.OF,72.426604207498
68,001186.OF,65.768481025326
69,001195.OF,58.820557618057
70,001223.OF,62.351315564937
71,001230.OF,69.279130889681
72,001236.OF,42.903297420743
73,001245.OF,41.433982167338
74,001291.OF,25.530523106545
75,001313.OF,54.239422564617
76,001396.OF,64.533777405638
77,001404.OF,52.76238584219
78,001410.OF,20.426235266192
79,001416.OF,21.328981768162
80,001473.OF,79.51781394737
81,001476.OF,48.489259399316
82,001490.OF,49.937391541217
83,001496.OF,53.54555377065
84,001528.OF,48.251310039358
85,001542.OF,59.602121227441
86,001576.OF,66.441327241043
87,001579.OF,50.158097062054
88,001583.OF,58.144288533218
89,001605.OF,35.048313951094
90,001616.OF,61.704602725729
91,001637.OF,22.897370445839
92,001645.OF,82.981735885154
93,001651.OF,40.18649921862
94,001672.OF,37.461069661209
95,001703.OF,52.238117792018
96,001705.OF,48.557921978813
97,001717.OF,64.18582350894
98,001725.OF,54.665610161705
99,001726.OF,51.289050329418
100,001736.OF,23.392006294692
101,001766.OF,62.783301103676
102,001790.OF,74.636269914544
103,001825.OF,52.512129408214
104,001878.OF,57.115071009959
105,001956.OF,59.492940724807
106,001974.OF,29.687137621781
107,001975.OF,55.129992348528
108,002121.OF,67.803235877149
109,002168.OF,68.967095468181
110,002210.OF,16.116269826176
111,002229.OF,49.983831401037
112,003145.OF,40.97299347459
113,003298.OF,59.30630354863
114,003745.OF,76.173790296708
115,003834.OF,70.328435425979
116,003984.OF,67.939568855309
117,004075.OF,58.462721095513
118,004476.OF,42.23374091170001
119,004640.OF,59.08414765868
120,004683.OF,45.427186476665
121,004851.OF,76.667879927042
122,005267.OF,83.411464941287
123,005268.OF,56.965187318495
124,040018.OF,
125,110022.OF,85.545281529052
126,118001.OF,
127,162208.OF,43.517923982676
128,320022.OF,33.030921476799
129,340006.OF,51.175260928786
130,376510.OF,37.490686887078
131,450009.OF,50.32505462141
132,457001.OF,
133,519193.OF,53.337895336225
134,519714.OF,74.432309939634
135,519965.OF,30.860385786642
136,519975.OF,24.953245836136
137,540008.OF,68.367013082774
138,540010.OF,70.731567089279
139,580008.OF,54.790579288706
140,160314.SZ,51.131186729867
141,160421.SZ,60.762898286474
142,160518.SZ,42.84340671603
143,160613.SZ,57.015306764085
144,160916.SZ,65.237062628894
145,160918.SZ,57.609524518838
146,161005.SZ,39.777709746218
147,161224.SZ,49.604685978699
148,161610.SZ,24.918810845305
149,161706.SZ,58.275202448359
150,161810.SZ,73.203415874161
151,161903.SZ,74.318620452546
152,162006.SZ,52.452002541248
153,162605.SZ,77.47843724431
154,162703.SZ,81.064825274528
155,163302.SZ,50.486794676389
156,163406.SZ,40.889247056542
157,163409.SZ,49.278408281937
158,163412.SZ,49.8287913998
159,163415.SZ,36.689491453989
160,163503.SZ,53.548122443522
161,165313.SZ,47.765633369504
162,166001.SZ,40.170293110486
163,166006.SZ,53.632301628602
164,166009.SZ,57.956408727947
165,166024.SZ,49.718914215867
166,168101.SZ,83.692213212633
167,168102.SZ,84.588952989793
168,501038.SH,71.250632029686
169,501046.SH,66.670456178619
170,501049.SH,58.311543015374
171,501051.SH,50.133229067677
172,000011.OF,60.627078366592
173,000017.OF,46.44883574166
174,000020.OF,43.328684532471
175,000021.OF,32.827590579896
176,000031.OF,66.215476672944
177,000039.OF,53.373468957676
178,000083.OF,60.995513518556
179,000117.OF,67.526842390274
180,000127.OF,64.693662402396
181,000167.OF,75.515032771014
182,000172.OF,18.392510531109
183,000173.OF,53.880818197446
184,000242.OF,46.966781939937
185,000251.OF,78.350638452382
186,000263.OF,38.913164237275
187,000264.OF,47.013441070075
188,000294.OF,45.798406123954
189,000308.OF,52.261368828286
190,000339.OF,51.668689513896
191,000390.OF,38.816718250296
192,000408.OF,47.421015982
193,000480.OF,51.229213022559
194,000520.OF,58.448107678408
195,000522.OF,65.189902603833
196,000527.OF,38.546267706529
197,000589.OF,49.785738548339
198,000595.OF,65.450364974456
199,000609.OF,48.97218119006
200,000612.OF,48.555356830376
201,000619.OF,60.253833738881
202,000652.OF,48.179968289739
203,000727.OF,75.099238761066
204,000742.OF,59.854559283738
205,000747.OF,78.463582697442
206,000877.OF,21.36697433108
207,000880.OF,75.633108209084
208,000934.OF,
