,thscode,ths_top_n_top_stock_mv_to_si_mv_fund
0,570001.OF,79.656522035282
1,570008.OF,77.894975971695
2,590005.OF,65.968027256095
3,610004.OF,46.098565711541
4,610006.OF,47.679902415945
5,630002.OF,38.012413065559
6,630006.OF,43.744931899819
7,630010.OF,43.417870379418
8,630016.OF,53.288421291565
9,660004.OF,34.941642150584
10,660006.OF,23.036568228514
11,660010.OF,68.864694306759
12,660012.OF,59.057976126384
13,688888.OF,67.973813535468
14,690004.OF,59.626354125607
15,690005.OF,47.436549986894
16,690007.OF,52.332744128659
17,700001.OF,38.444772775679
18,700003.OF,48.056298509464
19,720001.OF,69.563471824953
20,750001.OF,65.875665286357
21,160133.SZ,35.536860604032
22,160322.SZ,46.854767965167
23,000041.OF,
24,000043.OF,
25,000082.OF,25.789027224965
26,000309.OF,67.65321547813
27,000409.OF,77.586345002062
28,000457.OF,46.011983834395
29,000471.OF,38.924790900057
30,000513.OF,45.962128197397
31,000524.OF,41.462780237723
32,000549.OF,24.667344975467
33,000577.OF,71.230684405664
34,000592.OF,39.943184386036
35,000628.OF,79.595120390047
36,000746.OF,71.233902068884
37,000751.OF,59.376040747216
38,000778.OF,83.691103591819
39,000780.OF,52.132294513238
40,000828.OF,56.00065300202
41,000831.OF,63.463289729811
42,000866.OF,38.136390203945
43,000893.OF,47.743479497302
44,000925.OF,39.925860853574
45,000955.OF,35.275529918819
46,000960.OF,67.036705779687
47,000971.OF,70.526915072003
48,000978.OF,20.753633105796
49,000979.OF,70.780229991864
50,000985.OF,57.028935299174
51,000991.OF,58.02194325792
52,000996.OF,81.696100140885
53,001008.OF,40.35184604156
54,001009.OF,44.342649416691
55,001028.OF,24.981770929517
56,001036.OF,51.521135566588
57,001040.OF,50.380498776868
58,001044.OF,77.396127444948
59,001054.OF,46.356738987194
60,001070.OF,54.431304742731
61,001072.OF,33.997324207505
62,001126.OF,56.278553415273
63,001158.OF,49.781959116541
64,001163.OF,65.204977156006
65,001166.OF,55.708292129176
66,001171.OF,59.860396682864
67,001178.OF,81.026243145791
68,001186.OF,65.852399268956
69,001195.OF,56.162099513405
70,001223.OF,52.55578124445
71,001230.OF,62.344769151766
72,001236.OF,43.394082836615
73,001245.OF,49.071671540831
74,001291.OF,22.260317649957
75,001313.OF,47.345481517983
