,thscode,ths_top_n_top_stock_mv_to_si_mv_fund
0,570001.OF,77.906056124496
1,570008.OF,80.564358294202
2,590005.OF,56.58689960708
3,610004.OF,49.455265486856
4,610006.OF,56.906226363692
5,630002.OF,34.034322779751
6,630006.OF,46.911500004223
7,630010.OF,46.796304337334
8,630016.OF,42.144447268452
9,660004.OF,28.925538926183
10,660006.OF,19.407789127586
11,660010.OF,40.666212322302
12,660012.OF,47.534635575799
13,688888.OF,59.794988440398
14,690004.OF,55.771551095738
15,690005.OF,51.666425487779
16,690007.OF,56.4785703036
17,700001.OF,40.995224283551
18,700003.OF,44.68355273547
19,720001.OF,68.894851366164
20,750001.OF,44.367261327591
21,160133.SZ,38.998984145822
22,160322.SZ,56.028638326712
23,000041.OF,
24,000043.OF,
25,000082.OF,20.902158556066
26,000309.OF,76.36515959517
27,000409.OF,73.444933377162
28,000457.OF,62.677878957261
29,000471.OF,30.976033562357
30,000513.OF,62.666031542759
31,000524.OF,48.529268951279
32,000549.OF,21.098094393482
33,000577.OF,80.939976447321
34,000592.OF,42.621692863859
35,000628.OF,74.991792535221
36,000746.OF,57.540720881541
37,000751.OF,51.949567698553
38,000778.OF,86.93978628836
39,000780.OF,52.834036823852
40,000828.OF,43.51996994496
41,000831.OF,63.306280219
42,000866.OF,38.846803749048
43,000893.OF,44.262589919149
44,000925.OF,47.906389085569
45,000955.OF,36.104315734462
46,000960.OF,53.27350150467
47,000971.OF,69.034049377345
48,000978.OF,21.545909926258
49,000979.OF,64.47473989575
50,000985.OF,57.479733597798
51,000991.OF,55.24158114615
52,000996.OF,76.206222946693
53,001008.OF,38.156876399213
54,001009.OF,38.655850591512
55,001028.OF,22.675065245905
56,001036.OF,48.819771488653
57,001040.OF,57.546136567798
58,001044.OF,72.449277124425
59,001054.OF,57.680120165251
60,001070.OF,53.321005293544
61,001072.OF,45.340906205336
62,001126.OF,45.367506975223
63,001158.OF,48.003139074466
64,001163.OF,65.222857188887
65,001166.OF,59.68021036739
66,001171.OF,48.765809279162
67,001178.OF,73.291957510703
68,001186.OF,62.979820903872
69,001195.OF,44.050687631523
70,001223.OF,52.973970336033
71,001230.OF,65.373567311865
72,001236.OF,40.613097472145
73,001245.OF,48.464513698482
74,001291.OF,22.374362191651
75,001313.OF,49.625964330849
76,001396.OF,50.171698282785
77,001404.OF,49.671934197518
78,001410.OF,22.194946752229
79,001416.OF,20.461710947557
80,001473.OF,78.347398005177
81,001476.OF,32.986415556837
82,001490.OF,47.303505613072
83,001496.OF,51.991300229766
84,001528.OF,52.146113679718
85,001542.OF,62.574744967532
86,001576.OF,65.333223920191
87,001579.OF,51.895154942507
88,001583.OF,57.564198449165
89,001605.OF,36.972610062268
90,001616.OF,58.287748547438
91,001637.OF,13.314777083062
92,001645.OF,76.748090969376
93,001651.OF,43.926115308559
94,001672.OF,32.787750454433
95,001703.OF,51.460268434038
96,001705.OF,44.960663495045
97,001717.OF,67.761364535031
98,001725.OF,69.732945562055
99,001726.OF,51.933913359773
100,001736.OF,23.937656893162
101,001766.OF,59.847156742094
102,001790.OF,72.887166227582
103,001825.OF,49.724353245348
104,001878.OF,48.188090917124
105,001956.OF,54.419495840742
106,001974.OF,27.730142869066
107,001975.OF,46.043518980983
108,002121.OF,64.641234488466
109,002168.OF,65.166423766782
110,002210.OF,14.554642425913
111,002229.OF,40.337338069968
112,003145.OF,34.324162668135
113,003298.OF,73.886351367088
114,003745.OF,78.198832699573
115,003834.OF,65.858358762686
116,003984.OF,62.233593720622
117,004075.OF,54.419298535079
118,004476.OF,42.778296170088
119,004640.OF,66.599175896927
120,004683.OF,48.460524777723
121,004851.OF,63.227978060946
122,005267.OF,74.75761263454
123,005268.OF,54.29010257351
124,040018.OF,
125,110022.OF,79.565403235037
126,118001.OF,
127,162208.OF,24.67202103651
128,320022.OF,30.376645484157
129,340006.OF,52.424731102739
130,376510.OF,37.498465647237
131,450009.OF,49.483073276893
132,457001.OF,
133,519193.OF,56.538607056122
134,519714.OF,72.3494794028
135,519965.OF,37.483392741726
136,519975.OF,20.005464722423
137,540008.OF,67.790116327425
138,540010.OF,60.821375726245
139,580008.OF,48.528987504874
140,160314.SZ,49.032597553133
141,160421.SZ,44.270772904651
142,160518.SZ,39.167288840253
143,160613.SZ,46.616485155355
144,160916.SZ,64.69988324152
145,160918.SZ,55.603694495428
146,161005.SZ,33.578754164438
147,161224.SZ,52.567505464713
148,161610.SZ,20.744828282625
149,161706.SZ,54.756030706848
150,161810.SZ,75.844265605647
