,thscode,ths_top_n_top_stock_mv_to_si_mv_fund
0,570001.OF,75.736897725804
1,570008.OF,79.331114755036
2,590005.OF,51.157534422805
3,610004.OF,64.018321653819
4,610006.OF,66.446654979325
5,630002.OF,38.463705551565
6,630006.OF,46.070570365874
7,630010.OF,46.097727068001
8,630016.OF,40.424845170013
9,660004.OF,29.903883897173
10,660006.OF,20.110629773327
11,660010.OF,48.43974087239
12,660012.OF,43.962058249208
13,688888.OF,63.743557733275
14,690004.OF,55.441229137333
15,690005.OF,52.375408443387
16,690007.OF,62.124956098868
17,700001.OF,36.216998554607
18,700003.OF,45.811624692206
19,720001.OF,65.877184928708
20,750001.OF,53.418795621369
21,160133.SZ,38.254033822908
22,160322.SZ,50.393458884826
23,000041.OF,
24,000043.OF,
25,000082.OF,24.909569038386
26,000309.OF,72.19595547654
27,000409.OF,80.320511367898
28,000457.OF,52.452623512075
29,000471.OF,30.793302486835
30,000513.OF,57.729640556063
31,000524.OF,43.233037850228
32,000549.OF,21.645733443799
33,000577.OF,80.416248361286
34,000592.OF,39.861173915818
35,000628.OF,66.39932301222
36,000746.OF,63.030990445081
37,000751.OF,55.569657975883
38,000778.OF,85.053146488598
39,000780.OF,53.026102464436
40,000828.OF,60.40809070954
41,000831.OF,60.860852317613
42,000866.OF,35.010712315693
43,000893.OF,45.813541691389
44,000925.OF,45.167409565129
45,000955.OF,36.575676145771
46,000960.OF,55.532690740494
47,000971.OF,72.18552739292
48,000978.OF,21.758297799999
49,000979.OF,69.805225387431
50,000985.OF,42.461413748331
51,000991.OF,60.656350619421
52,000996.OF,73.763877166361
53,001008.OF,42.823920635034
54,001009.OF,34.281144976315
55,001028.OF,23.696803121692
56,001036.OF,46.393196088729
57,001040.OF,52.043016960926
58,001044.OF,72.871524831013
59,001054.OF,57.555680508655
60,001070.OF,44.524320832306
61,001072.OF,35.624793282606
62,001126.OF,48.072566878607
63,001158.OF,49.147807903316
64,001163.OF,68.57131929524
65,001166.OF,60.527190722657
66,001171.OF,53.064693395663
67,001178.OF,73.860552198223
68,001186.OF,60.974143955727
69,001195.OF,45.356947718527
70,001223.OF,55.693993170682
71,001230.OF,79.711857405514
72,001236.OF,44.959170486079
73,001245.OF,47.517851970488
74,001291.OF,20.344247644085
75,001313.OF,44.882948764237
76,001396.OF,54.010856833747
77,001404.OF,52.682476189123
78,001410.OF,22.673005232493
79,001416.OF,23.485264512608
80,001473.OF,77.922274493272
81,001476.OF,35.88412958032
82,001490.OF,53.512716880956
83,001496.OF,56.527464198049
84,001528.OF,60.632964195632
85,001542.OF,45.486117529268
86,001576.OF,69.267071516703
87,001579.OF,51.522488463012
88,001583.OF,53.802737209765
89,001605.OF,36.7976381697
90,001616.OF,58.568151994714
91,001637.OF,12.407018584376
92,001645.OF,84.345292002717
93,001651.OF,40.797207026398
94,001672.OF,33.740489541841
95,001703.OF,55.982753639303
96,001705.OF,46.794059197681
97,001717.OF,62.111098780858
98,001725.OF,66.806162290764
99,001726.OF,71.97968965963
100,001736.OF,25.393257104716
101,001766.OF,64.866997892753
102,001790.OF,72.950087625002
103,001825.OF,51.459013475935
104,001878.OF,50.405588953311
105,001956.OF,58.800203517379
106,001974.OF,26.812917841241
107,001975.OF,47.614480121393
108,002121.OF,55.931118041507
109,002168.OF,63.230150556392
110,002210.OF,14.32293982865
111,002229.OF,43.523628320638
112,003145.OF,42.34758116109
113,003298.OF,58.336525437532
114,003745.OF,72.769906063764
115,003834.OF,73.196220986416
116,003984.OF,66.186251199713
117,004075.OF,56.36760673064
118,004476.OF,38.766639933342
119,004640.OF,63.592021307093
120,004683.OF,51.759152856989
121,004851.OF,69.373304284913
122,005267.OF,76.826444597148
123,005268.OF,53.162368924401
124,040018.OF,
125,110022.OF,76.282778239245
126,118001.OF,
127,162208.OF,32.60918769445
128,320022.OF,29.7847891304
129,340006.OF,52.399696791471
130,376510.OF,43.487047550606
131,450009.OF,44.199205874486
132,457001.OF,
133,519193.OF,57.910123007011
134,519714.OF,77.38845538833
135,519965.OF,40.029899538499
136,519975.OF,21.586691506931
137,540008.OF,72.226329156142
138,540010.OF,67.137296419512
139,580008.OF,45.603388629253
140,160314.SZ,50.714730623727
141,160421.SZ,37.450538494236
142,160518.SZ,37.807625653076
143,160613.SZ,51.021903433895
144,160916.SZ,66.819056334901
145,160918.SZ,52.729970547077
146,161005.SZ,36.51990092578
147,161224.SZ,58.026024450017
148,161610.SZ,22.861102618424
149,161706.SZ,62.521099378346
150,161810.SZ,78.234704770976
151,161903.SZ,69.975110755559
152,162006.SZ,56.244244798155
153,162605.SZ,77.886995759126
154,162703.SZ,74.615702927414
155,163302.SZ,54.528554157644
156,163406.SZ,37.32017720324
157,163409.SZ,47.560334119689
158,163412.SZ,65.231801645544
159,163415.SZ,38.013289764739
160,163503.SZ,34.60785137996
161,165313.SZ,50.978004111789
162,166001.SZ,33.643355600574
163,166006.SZ,44.150623668667
164,166009.SZ,50.871883900322
165,166024.SZ,47.546257405331
166,168101.SZ,82.796916917885
167,168102.SZ,53.999951789701
168,501038.SH,67.152251039702
169,501046.SH,63.30426752548
170,501049.SH,63.291418601418
171,501051.SH,50.183535848936
172,000011.OF,56.074731385024
173,000017.OF,55.475026350266
174,000020.OF,44.464899204399
175,000021.OF,29.067855475996
176,000031.OF,57.476425998292
177,000039.OF,40.16280699992
178,000083.OF,62.103873822902
179,000117.OF,66.533341198477
180,000127.OF,48.733147242525
181,000167.OF,69.239305338635
182,000172.OF,16.476199028634
183,000173.OF,52.464848433058
184,000242.OF,51.850166157288
185,000251.OF,77.481609910501
186,000263.OF,37.485379416938
187,000264.OF,47.739947795387
188,000294.OF,39.919005080062
189,000308.OF,40.511964042227
190,000339.OF,40.271977143958
191,000390.OF,33.252265514794
192,000408.OF,53.154099796982
193,000480.OF,53.49505084207
194,000520.OF,47.451027724909
195,000522.OF,72.578118405263
196,000527.OF,38.293222636887
197,000589.OF,49.918921236335
198,000595.OF,57.418198807753
199,000609.OF,34.878327067855
200,000612.OF,45.329766176111
201,000619.OF,53.225118102802
202,000652.OF,53.104905130661
203,000727.OF,51.479933597053
204,000742.OF,47.262667237124
205,000747.OF,73.483881241637
206,000877.OF,19.393533005652
207,000880.OF,59.781868243899
208,000934.OF,
209,000939.OF,74.876069833796
210,000940.OF,47.255070380588
211,000965.OF,43.059987043829
212,000967.OF,34.288556619025
213,000976.OF,56.205535680635
214,000977.OF,44.577066256837
215,001000.OF,63.395282237535
216,001017.OF,22.462011479357
217,001018.OF,40.312634964022
218,001053.OF,40.728519165386
219,001071.OF,38.086838803428
220,001074.OF,19.707517655352
221,001102.OF,85.226814470627
222,001106.OF,40.174397862902
223,001117.OF,31.805991845443
224,001125.OF,47.092549944814
225,001143.OF,35.262657487512
226,001150.OF,36.774687079997
227,001179.OF,50.372509727981
228,001184.OF,55.669470813918
229,001222.OF,63.036832566611
