,thscode,ths_top_n_top_stock_mv_to_si_mv_fund
0,570001.OF,71.876269477508
1,570008.OF,73.607069340712
2,590005.OF,56.751650049711
3,610004.OF,46.378131643462
4,610006.OF,49.16883199242
5,630002.OF,28.340624451721
6,630006.OF,50.737128296496
7,630010.OF,46.924448133082
8,630016.OF,43.148777639603
9,660004.OF,33.005708919075
10,660006.OF,21.360098569452
11,660010.OF,47.571717932797
12,660012.OF,51.184853070474
13,688888.OF,79.63495752835
14,690004.OF,60.470865795575
15,690005.OF,62.222644825262
16,690007.OF,56.53478803072
17,700001.OF,34.979715973056
18,700003.OF,43.318737400386
19,720001.OF,61.995420375894
20,750001.OF,48.048817046782
21,160133.SZ,44.045734702535
22,160322.SZ,59.697099161731
23,000041.OF,
24,000043.OF,
25,000082.OF,21.459271598822
26,000309.OF,75.812225593415
27,000409.OF,72.051319356466
28,000457.OF,72.501056740714
29,000471.OF,32.769662762402
30,000513.OF,67.240403838076
31,000524.OF,44.684581976724
32,000549.OF,21.695532774612
33,000577.OF,80.722554363496
34,000592.OF,42.425083205545
35,000628.OF,79.130934611685
36,000746.OF,72.007658288164
37,000751.OF,52.676959632028
38,000778.OF,85.506370064892
39,000780.OF,36.904896308831
40,000828.OF,62.408416884462
41,000831.OF,59.402326520308
42,000866.OF,28.571479211905
43,000893.OF,37.272078722965
44,000925.OF,37.7424696487
45,000955.OF,41.0525204581
46,000960.OF,51.089609091519
47,000971.OF,67.466648235361
48,000978.OF,10.798416324748
49,000979.OF,64.398372843302
50,000985.OF,47.4756222823
51,000991.OF,54.312910930848
52,000996.OF,59.018519670957
53,001008.OF,38.806894456758
54,001009.OF,41.550813953186
55,001028.OF,21.984773581827
56,001036.OF,46.933014290756
57,001040.OF,66.18626361589
58,001044.OF,76.271530239535
59,001054.OF,57.255446979315
60,001070.OF,48.671944627089
61,001072.OF,39.885884621915
62,001126.OF,52.757437429472
63,001158.OF,50.165543840693
64,001163.OF,67.57248902512
65,001166.OF,68.231287093848
66,001171.OF,47.384774587676
67,001178.OF,77.368276482408
68,001186.OF,45.860437114722
69,001195.OF,53.944254852457
70,001223.OF,67.66609041111
71,001230.OF,56.795701452533
72,001236.OF,42.164156853125
73,001245.OF,53.805225701724
74,001291.OF,17.177221759117
75,001313.OF,47.74810952023
76,001396.OF,40.329372066216
77,001404.OF,53.086828314633
78,001410.OF,22.149809468721
79,001416.OF,19.933711083848
80,001473.OF,84.25584051455
81,001476.OF,35.721972413636
82,001490.OF,45.971463201297
83,001496.OF,45.60941914207
84,001528.OF,63.079922630827
85,001542.OF,81.520217888416
86,001576.OF,69.718065767059
87,001579.OF,51.446014088181
88,001583.OF,55.98169638237
89,001605.OF,35.470163900042
90,001616.OF,59.103823514451
91,001637.OF,11.222978109644
92,001645.OF,79.252280229606
93,001651.OF,42.910530486845
94,001672.OF,34.02101219444
95,001703.OF,49.593129908136
96,001705.OF,41.608370523132
97,001717.OF,66.687562145167
98,001725.OF,69.240576969026
99,001726.OF,58.293160172037
100,001736.OF,22.470571955976
101,001766.OF,53.288872044359
102,001790.OF,66.64090189557
103,001825.OF,46.885150674025
104,001878.OF,49.704253676679
105,001956.OF,67.703951930697
106,001974.OF,17.611273817134
107,001975.OF,45.245690274022
108,002121.OF,59.768722514737
109,002168.OF,68.307524185264
110,002210.OF,15.221424616691
111,002229.OF,38.786723876046
112,003145.OF,35.085892608006
113,003298.OF,75.228970272781
114,003745.OF,68.166382608579
115,003834.OF,70.635147826824
116,003984.OF,66.760524232425
117,004075.OF,59.748511871374
118,004476.OF,42.089619443993
119,004640.OF,70.100184710926
120,004683.OF,49.922404190094
121,004851.OF,41.794939382212
122,005267.OF,73.369666772558
123,005268.OF,55.654134095846
124,040018.OF,
125,110022.OF,77.286503065137
126,118001.OF,
127,162208.OF,28.671726926714
128,320022.OF,31.638909973761
129,340006.OF,51.672280379644
