,thscode,ths_top_n_top_stock_mv_to_si_mv_fund
211,000965.OF,45.332267988189
212,000967.OF,42.298265129929
213,000976.OF,61.620234215745
214,000977.OF,53.453968343437
215,001000.OF,60.42192552626
216,001017.OF,25.347596242517
217,001018.OF,44.39181346664
218,001053.OF,37.72295256009
219,001071.OF,41.601174856011
220,001074.OF,20.867793833719
221,001102.OF,78.630316643467
222,001106.OF,48.404088109675
223,001117.OF,39.813694414811
224,001125.OF,48.668052623878
225,001143.OF,38.572789097137
226,001150.OF,41.159686984764
227,001179.OF,53.883077572248
228,001184.OF,58.726043633912
229,001222.OF,59.640925851465
230,001255.OF,52.550493794615
231,001256.OF,40.583295179941
232,001280.OF,52.309125297818
233,001297.OF,46.438428634682
234,001349.OF,48.054661839514
235,001366.OF,38.651461732321
236,001371.OF,48.308938668821
237,001373.OF,54.809186852327
238,001382.OF,96.817828480047
239,001398.OF,68.948743642014
240,001437.OF,67.802544536745
241,001457.OF,43.823046435218
242,001468.OF,52.625697719451
243,001475.OF,71.586364606382
244,001480.OF,68.489540837469
245,001513.OF,31.559013615272
246,001564.OF,51.441236909637
247,001569.OF,62.029161011111
248,001607.OF,66.786902567853
249,001667.OF,23.424769421452
250,001668.OF,
251,001808.OF,53.539853447265
252,001810.OF,54.909960624936
253,001832.OF,76.205047402765
254,001837.OF,77.383808559553
255,001838.OF,88.056412079057
256,001857.OF,71.414693890215
257,001869.OF,54.930025301507
258,001898.OF,50.484918730754
259,001910.OF,54.332031233204
260,001924.OF,60.766305972025
261,001927.OF,66.575067712361
262,001955.OF,96.561077996854
263,001985.OF,52.870633829481
264,001986.OF,86.323031759603
265,001990.OF,22.471279907256
266,002124.OF,43.092205434145
267,002249.OF,54.810359699969
268,002259.OF,50.988764454938
269,002340.OF,37.376194069905
270,002545.OF,28.589087111281
271,002562.OF,24.216080992605
272,002593.OF,62.208366819061
273,002624.OF,79.255231861559
274,002653.OF,29.330666650679
275,002685.OF,68.462419950324
276,002692.OF,51.666120499144
277,002707.OF,42.903862818146
278,002803.OF,62.818317136323
279,002808.OF,39.871120441422
280,002939.OF,86.246717783702
281,002983.OF,74.724547145472
282,003095.OF,57.774334582851
283,003131.OF,27.260330073716
284,003243.OF,
285,003244.OF,
286,003245.OF,
287,003293.OF,48.19480376226
288,003378.OF,55.854428120529
289,003580.OF,28.527133217388
290,003715.OF,69.648683767523
291,003940.OF,49.034473597177
292,004183.OF,55.933428106497
293,004263.OF,72.209262191607
294,004374.OF,60.980157370178
295,004394.OF,42.670548679929
296,004434.OF,45.009821904122
297,004477.OF,49.537377861461
298,004505.OF,65.059577440986
299,004666.OF,61.487013417901
300,004868.OF,78.985273756289
301,004871.OF,52.044832983224
302,004877.OF,
303,004881.OF,30.804822587198
304,004958.OF,24.552647250331
305,005028.OF,51.133709208977
306,005075.OF,27.59688957076
307,005094.OF,79.718601425917
308,005241.OF,67.351524516662
309,005244.OF,43.959174829914
310,005250.OF,50.672602387109
311,005258.OF,30.192999531038
312,005299.OF,47.42108448149
313,005335.OF,68.157408710939
314,005521.OF,37.529523691713
315,020005.OF,69.660183988944
316,020010.OF,50.352745918981
317,020023.OF,30.821394953468
