,jydm,jydm_mc,p00475_f001,p00475_f002,p00475_f009
0,000011.OF,华夏大盘精选混合A/B,2018/12/31,601098.SH,3.85169499074418847000
1,000011.OF,华夏大盘精选混合A/B,2018/12/31,600019.SH,4.48676277159750150100
2,000011.OF,华夏大盘精选混合A/B,2018/12/31,600036.SH,4.88809328879871566400
3,000011.OF,华夏大盘精选混合A/B,2018/12/31,002419.SZ,4.92340281394810097800
4,000011.OF,华夏大盘精选混合A/B,2018/12/31,600885.SH,5.24165552714988707200
5,000011.OF,华夏大盘精选混合A/B,2018/12/31,300124.SZ,5.74503861975524983800
6,000011.OF,华夏大盘精选混合A/B,2018/12/31,000089.SZ,6.04573469619541808900
7,000011.OF,华夏大盘精选混合A/B,2018/12/31,600029.SH,6.46522583402657275600
8,000011.OF,华夏大盘精选混合A/B,2018/12/31,600009.SH,7.35260824784850247700
9,000011.OF,华夏大盘精选混合A/B,2018/12/31,600176.SH,7.58775756329567577900
10,000011.OF,华夏大盘精选混合A/B,2018/12/31,600600.SH,7.89418959579288475900
11,000011.OF,华夏大盘精选混合A/B,2018/12/31,600690.SH,10.27205610231550426400
12,000011.OF,华夏大盘精选混合A/B,2018/12/31,002271.SZ,0.0000004925460011623763551800
13,000011.OF,华夏大盘精选混合A/B,2018/12/31,601860.SH,0.001907267433597551523700
14,000011.OF,华夏大盘精选混合A/B,2018/12/31,603185.SH,0.002511775416506776317200
15,000011.OF,华夏大盘精选混合A/B,2018/12/31,002938.SZ,0.007983033449078819169000
16,000011.OF,华夏大盘精选混合A/B,2018/12/31,601100.SH,0.45207735674254867600
17,000011.OF,华夏大盘精选混合A/B,2018/12/31,000528.SZ,0.46173810456457520900
18,000011.OF,华夏大盘精选混合A/B,2018/12/31,601233.SH,0.59391797764315199300
19,000011.OF,华夏大盘精选混合A/B,2018/12/31,000333.SZ,0.79010787693901836800
20,000011.OF,华夏大盘精选混合A/B,2018/12/31,000596.SZ,2.20318526765188281800
21,000011.OF,华夏大盘精选混合A/B,2018/12/31,300747.SZ,2.37800497356473932900
22,000011.OF,华夏大盘精选混合A/B,2018/12/31,603899.SH,2.67692077538349698200
23,000011.OF,华夏大盘精选混合A/B,2018/12/31,600004.SH,2.79378990736243562700
24,000011.OF,华夏大盘精选混合A/B,2018/12/31,002032.SZ,2.99918581737517971000
25,000011.OF,华夏大盘精选混合A/B,2018/12/31,600309.SH,3.04882267768861443500
26,000011.OF,华夏大盘精选混合A/B,2018/12/31,603833.SH,3.28519542871859156700
27,000011.OF,华夏大盘精选混合A/B,2018/12/31,000568.SZ,3.55043121605237933000
28,000017.OF,财通可持续混合,2018/12/31,603986.SH,0.007259227445271326970700
29,000017.OF,财通可持续混合,2018/12/31,300454.SZ,0.01043688669923477000
30,000017.OF,财通可持续混合,2018/12/31,300760.SZ,0.01272228532690202700
31,000017.OF,财通可持续混合,2018/12/31,600519.SH,0.02749048000631922700
32,000017.OF,财通可持续混合,2018/12/31,601888.SH,0.13000773147443662100
33,000017.OF,财通可持续混合,2018/12/31,600486.SH,0.38550793631505342000
34,000017.OF,财通可持续混合,2018/12/31,300531.SZ,0.49421570598638701500
35,000017.OF,财通可持续混合,2018/12/31,300324.SZ,0.54234763382731837600
36,000017.OF,财通可持续混合,2018/12/31,600570.SH,5.04376290088232803000
37,000017.OF,财通可持续混合,2018/12/31,300015.SZ,1.26167423101560155300
38,000017.OF,财通可持续混合,2018/12/31,002821.SZ,4.96095102732467410300
39,000017.OF,财通可持续混合,2018/12/31,300253.SZ,4.65416785177990775800
40,000017.OF,财通可持续混合,2018/12/31,300357.SZ,4.60941514556731881300
41,000017.OF,财通可持续混合,2018/12/31,600036.SH,4.63058244475589328400
42,000017.OF,财通可持续混合,2018/12/31,002410.SZ,4.00779124867662970300
43,000017.OF,财通可持续混合,2018/12/31,000063.SZ,3.90940380105587100900
44,000017.OF,财通可持续混合,2018/12/31,603288.SH,3.59044930529678500900
45,000017.OF,财通可持续混合,2018/12/31,300285.SZ,3.51222156631061584500
46,000017.OF,财通可持续混合,2018/12/31,300146.SZ,3.47906751439628128900
47,000017.OF,财通可持续混合,2018/12/31,601318.SH,3.39856807519623761400
48,000017.OF,财通可持续混合,2018/12/31,600760.SH,3.30553569396538126600
49,000017.OF,财通可持续混合,2018/12/31,002153.SZ,3.03693456379892792500
50,000017.OF,财通可持续混合,2018/12/31,603708.SH,2.85736468990812228400
51,000017.OF,财通可持续混合,2018/12/31,002739.SZ,2.83896385294519687500
52,000017.OF,财通可持续混合,2018/12/31,600887.SH,2.76374350985039883900
53,000017.OF,财通可持续混合,2018/12/31,600276.SH,2.71973298742456038800
54,000017.OF,财通可持续混合,2018/12/31,002281.SZ,1.55294828611179341400
55,000017.OF,财通可持续混合,2018/12/31,300271.SZ,1.52947540177250506500
56,000017.OF,财通可持续混合,2018/12/31,300529.SZ,1.42493264879282903800
57,000017.OF,财通可持续混合,2018/12/31,300124.SZ,0.002345969845118172740500
58,000017.OF,财通可持续混合,2018/12/31,600703.SH,0.001317423979557424711800
59,000017.OF,财通可持续混合,2018/12/31,000830.SZ,0.001141534482728803021700
60,000017.OF,财通可持续混合,2018/12/31,600309.SH,0.000097810867872181214000
61,000017.OF,财通可持续混合,2018/12/31,601933.SH,7.05611068532114342800
62,000017.OF,财通可持续混合,2018/12/31,300144.SZ,5.84397530009981438900
63,000017.OF,财通可持续混合,2018/12/31,002044.SZ,5.75630690786512334900
64,000017.OF,财通可持续混合,2018/12/31,300059.SZ,5.32853608017573403400
