,jydm,jydm_mc,p00475_f001,p00475_f002,p00475_f009
0,000011.OF,华夏大盘精选混合A/B,2019/12/31,688003.SH,0.01471875061309233800
1,000011.OF,华夏大盘精选混合A/B,2019/12/31,601077.SH,0.01866020976149230800
2,000011.OF,华夏大盘精选混合A/B,2019/12/31,601138.SH,0.19550431138210359800
3,000011.OF,华夏大盘精选混合A/B,2019/12/31,002311.SZ,0.21784929512405744000
4,000011.OF,华夏大盘精选混合A/B,2019/12/31,002507.SZ,0.26958850271602108200
5,000011.OF,华夏大盘精选混合A/B,2019/12/31,600486.SH,0.27687031711785300200
6,000011.OF,华夏大盘精选混合A/B,2019/12/31,600859.SH,1.01584828707733223500
7,000011.OF,华夏大盘精选混合A/B,2019/12/31,600885.SH,1.46093392438111711200
8,000011.OF,华夏大盘精选混合A/B,2019/12/31,601088.SH,1.47249986519038825000
9,000011.OF,华夏大盘精选混合A/B,2019/12/31,300124.SZ,1.70856858752862108000
10,000011.OF,华夏大盘精选混合A/B,2019/12/31,600009.SH,1.94786475262034920000
11,000011.OF,华夏大盘精选混合A/B,2019/12/31,000089.SZ,2.58722541505063002400
12,000011.OF,华夏大盘精选混合A/B,2019/12/31,000568.SZ,2.76219614828384694100
13,000011.OF,华夏大盘精选混合A/B,2019/12/31,603833.SH,2.81592888428645069700
14,000011.OF,华夏大盘精选混合A/B,2019/12/31,000338.SZ,6.76127096641997341200
15,000011.OF,华夏大盘精选混合A/B,2019/12/31,000596.SZ,2.93958966421306262100
16,000011.OF,华夏大盘精选混合A/B,2019/12/31,600258.SH,3.03472743592908170500
17,000011.OF,华夏大盘精选混合A/B,2019/12/31,600019.SH,3.12644571480268112900
18,000011.OF,华夏大盘精选混合A/B,2019/12/31,601668.SH,3.28750269877753126200
19,000011.OF,华夏大盘精选混合A/B,2019/12/31,600031.SH,3.64970525851459396500
20,000011.OF,华夏大盘精选混合A/B,2019/12/31,601111.SH,4.24146526237230833400
21,000011.OF,华夏大盘精选混合A/B,2019/12/31,600036.SH,4.47229804548441994600
22,000011.OF,华夏大盘精选混合A/B,2019/12/31,600309.SH,4.77993008275551103100
23,000011.OF,华夏大盘精选混合A/B,2019/12/31,603899.SH,5.39595148394787933500
24,000011.OF,华夏大盘精选混合A/B,2019/12/31,601100.SH,5.86754900669535101600
25,000011.OF,华夏大盘精选混合A/B,2019/12/31,002419.SZ,6.19154048237076532200
26,000011.OF,华夏大盘精选混合A/B,2019/12/31,600029.SH,6.24110893671283460200
27,000011.OF,华夏大盘精选混合A/B,2019/12/31,600754.SH,6.69135925393145637700
28,000011.OF,华夏大盘精选混合A/B,2019/12/31,600176.SH,7.32823918393782464700
29,000011.OF,华夏大盘精选混合A/B,2019/12/31,600690.SH,9.18155624011655712800
30,000011.OF,华夏大盘精选混合A/B,2019/12/31,002973.SZ,0.000132687164564616185200
31,000011.OF,华夏大盘精选混合A/B,2019/12/31,603109.SH,0.000365209819989140693800
32,000011.OF,华夏大盘精选混合A/B,2019/12/31,002972.SZ,0.000434331989345832019000
33,000011.OF,华夏大盘精选混合A/B,2019/12/31,688310.SH,0.001792115441408546121600
34,000011.OF,华夏大盘精选混合A/B,2019/12/31,688081.SH,0.001794152937454886958800
35,000011.OF,华夏大盘精选混合A/B,2019/12/31,688078.SH,0.002897437984735126958700
36,000011.OF,华夏大盘精选混合A/B,2019/12/31,688025.SH,0.003601892005857723699900
37,000011.OF,华夏大盘精选混合A/B,2019/12/31,688181.SH,0.003819984969452623603800
38,000011.OF,华夏大盘精选混合A/B,2019/12/31,688168.SH,0.004448530210538483730400
39,000011.OF,华夏大盘精选混合A/B,2019/12/31,688258.SH,0.004896026752103738420500
40,000011.OF,华夏大盘精选混合A/B,2019/12/31,688023.SH,0.006742472799154672967300
41,000011.OF,华夏大盘精选混合A/B,2019/12/31,688007.SH,0.01457818981020747000
42,000017.OF,财通可持续混合,2019/12/31,300133.SZ,1.06420829221633803200
43,000017.OF,财通可持续混合,2019/12/31,688181.SH,0.05013599612654656400
44,000017.OF,财通可持续混合,2019/12/31,603288.SH,0.03820216790090509100
45,000017.OF,财通可持续混合,2019/12/31,002972.SZ,0.01641884655074033700
46,000017.OF,财通可持续混合,2019/12/31,300760.SZ,0.013870302395614333789300
47,000017.OF,财通可持续混合,2019/12/31,603109.SH,0.013805853909716734916700
48,000017.OF,财通可持续混合,2019/12/31,002821.SZ,0.009874679275602288211700
49,000017.OF,财通可持续混合,2019/12/31,002371.SZ,0.005904981954460549800100
50,000017.OF,财通可持续混合,2019/12/31,600585.SH,0.005348644811643605438800
51,000017.OF,财通可持续混合,2019/12/31,002973.SZ,0.005015910058848098528800
52,000017.OF,财通可持续混合,2019/12/31,000651.SZ,0.005000629087984541011000
53,000017.OF,财通可持续混合,2019/12/31,300357.SZ,0.003366541235659004050600
54,000017.OF,财通可持续混合,2019/12/31,300124.SZ,0.002336371992312386956000
