,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,bigcompany,Duration,lever,bondtype
42,164703.SZ,汇添富纯债(LOF),胡娜,混合债券型基金(一级),稳定大基金公司,稳定中,稳定大,稳定信用债
43,000005.OF,嘉实增强信用定期债券,轩璇,混合债券型基金(一级),稳定大基金公司,稳定中,稳定大,稳定信用债
44,000032.OF,易方达信用债债券A,"胡剑,纪玲云",中长期纯债券型基金,稳定大基金公司,稳定长,稳定大,稳定信用债
45,000037.OF,广发景宁纯债A,宋倩倩,中长期纯债券型基金,稳定大基金公司,稳定长,稳定大,稳定信用债
46,000053.OF,鹏华永诚一年定开债券,刘涛,中长期纯债券型基金,稳定大基金公司,稳定长,稳定大,稳定信用债
47,000084.OF,博时安盈债券A,黄海峰,短期纯债券型基金,稳定大基金公司,稳定中,稳定中,稳定信用债
48,000090.OF,民生加银高等级信用债债券A,李文君,短期纯债券型基金,稳定大基金公司,稳定短,稳定中,
49,000111.OF,易方达纯债1年定期开放债券A,李一硕,中长期纯债券型基金,稳定大基金公司,稳定短,稳定大,稳定信用债
50,000137.OF,民生加银岁岁增利债券A,李文君,中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
51,000139.OF,富国国有企业债债券A/B,张波,中长期纯债券型基金,稳定大基金公司,稳定短,稳定小,稳定信用债
52,000147.OF,易方达高等级信用债债券A,胡剑,中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
53,000183.OF,嘉实丰益策略定期债券,轩璇,混合债券型基金(一级),稳定大基金公司,稳定中,稳定大,稳定信用债
54,000186.OF,华泰柏瑞季季红债券A,罗远航,中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
55,000187.OF,华泰柏瑞丰盛纯债债券A,何子建,中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
56,000191.OF,富国信用债债券A/B,"黄纪亮,吕春杰,陈倩",中长期纯债券型基金,稳定大基金公司,稳定中,稳定中,稳定信用债
57,000205.OF,易方达投资级信用债债券A,王晓晨,中长期纯债券型基金,稳定大基金公司,稳定中,稳定小,稳定信用债
58,000207.OF,建信双债增强A,彭紫云,混合债券型基金(一级),稳定大基金公司,稳定短,稳定小,稳定信用债
59,000244.OF,天弘稳利定期开放A,柴文婷,混合债券型基金(一级),稳定大基金公司,稳定短,稳定中,稳定信用债
60,000252.OF,景顺长城景兴信用纯债债券A,何江波,中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
61,000254.OF,长城定期开放债券A,张棪,混合债券型基金(一级),稳定大基金公司,稳定长,稳定中,稳定信用债
62,000265.OF,易方达恒久1年定期债券A,藏海涛,中长期纯债券型基金,稳定大基金公司,稳定中,稳定大,稳定信用债
63,000295.OF,鹏华丰实定期开放债券A,"方昶,王石千",混合债券型基金(一级),稳定大基金公司,稳定短,稳定中,稳定信用债
64,000345.OF,鹏华丰融定期开放债券,刘涛,混合债券型基金(一级),稳定大基金公司,稳定中,稳定小,稳定信用债
65,000346.OF,建信安心回报6个月定期开放债券A,"闫晗,彭紫云",混合债券型基金(一级),稳定大基金公司,稳定短,稳定中,稳定信用债
66,000355.OF,南方丰元信用增强债券A,李璇,混合债券型基金(一级),稳定大基金公司,稳定短,稳定小,稳定信用债
67,000402.OF,工银纯债债券A,"张略钊,谷衡",中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
68,000469.OF,富国目标齐利一年期纯债债券,"张洋,黄纪亮",中长期纯债券型基金,稳定大基金公司,稳定中,稳定大,稳定信用债
69,000516.OF,富国祥利一年期定期开放债券型A,黄纪亮,中长期纯债券型基金,稳定大基金公司,稳定长,稳定大,稳定信用债
70,000546.OF,兴业定开债券A,"腊博,周鸣",混合债券型基金(一级),稳定大基金公司,稳定长,稳定小,稳定信用债
71,000552.OF,中加纯债一年A,闫沛贤,中长期纯债券型基金,稳定大基金公司,稳定中,稳定大,稳定信用债
72,000606.OF,天弘优选债券,刘洋,中长期纯债券型基金,稳定大基金公司,稳定中,稳定中,稳定信用债
73,000783.OF,博时季季享三个月持有期债券A,"于渤洋,黄海峰",短期纯债券型基金,稳定大基金公司,稳定短,稳定小,稳定信用债
74,000799.OF,民生加银半年理财,李文君,短期纯债券型基金,稳定大基金公司,稳定短,稳定小,
75,000815.OF,鑫元合享纯债A,郭卉,中长期纯债券型基金,稳定大基金公司,稳定长,稳定大,
76,000914.OF,中加纯债债券,闫沛贤,中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
77,000931.OF,国寿安保尊益信用纯债债券,"陶尹斌,丁宇佳",混合债券型基金(一级),稳定大基金公司,稳定中,稳定中,稳定信用债
78,000943.OF,工银中高等级信用债债券A,陈桂都,中长期纯债券型基金,稳定大基金公司,稳定中,稳定小,稳定信用债
79,001246.OF,兴银长乐定开债,"范泰奇,陶国峰,王深",中长期纯债券型基金,稳定大基金公司,稳定中,稳定大,稳定信用债
80,001299.OF,兴业添利债券,"伍方方,周鸣",中长期纯债券型基金,稳定大基金公司,稳定长,稳定小,稳定信用债
81,001368.OF,兴业稳固收益一年理财债券,"周鸣,王卓然",中长期纯债券型基金,稳定大基金公司,稳定短,稳定中,稳定信用债
82,001369.OF,兴业稳固收益两年理财债券,唐丁祥,中长期纯债券型基金,稳定大基金公司,稳定短,稳定小,
83,001545.OF,博时裕嘉3个月定开债发起式,郭思洁,中长期纯债券型基金,稳定大基金公司,稳定短,稳定小,稳定信用债
84,001578.OF,博时裕瑞纯债债券,"李汉楠,李秋实,何平",中长期纯债券型基金,稳定大基金公司,稳定中,稳定中,稳定信用债
85,001619.OF,兴银汇福定开债,范泰奇,中长期纯债券型基金,稳定大基金公司,稳定中,稳定中,稳定信用债
86,001783.OF,兴银合盈债券A,王深,中长期纯债券型基金,稳定大基金公司,稳定中,稳定小,稳定信用债
87,001785.OF,民生加银岁岁增利债券D,李文君,中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,
88,001819.OF,兴全稳益定开债券,"翟秀华,王健,石广翔",中长期纯债券型基金,稳定大基金公司,稳定长,稳定大,稳定信用债
89,001911.OF,博时裕恒纯债债券,郭思洁,中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
90,001960.OF,兴银瑞益,"洪木妹,王深,陶国峰",中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
91,001961.OF,博时裕荣纯债债券,郭思洁,中长期纯债券型基金,稳定大基金公司,稳定中,稳定中,稳定信用债
92,001993.OF,博时裕泰纯债债券,李汉楠,中长期纯债券型基金,稳定大基金公司,稳定中,稳定大,稳定信用债
93,002109.OF,博时裕丰3个月定开债发起式,"王帅,程卓",中长期纯债券型基金,稳定大基金公司,稳定长,稳定大,轮动基金
94,002140.OF,博时裕诚纯债债券,郭思洁,中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
95,002143.OF,博时裕坤3个月定开债发起式,郭思洁,中长期纯债券型基金,稳定大基金公司,稳定中,稳定中,稳定信用债
96,002169.OF,永赢稳益债券,陶毅,中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
97,002175.OF,博时裕乾纯债A,何平,中长期纯债券型基金,稳定大基金公司,稳定长,稳定小,稳定信用债
98,002188.OF,鹏华丰华债券,刘涛,中长期纯债券型基金,稳定大基金公司,稳定长,稳定小,稳定信用债
99,002198.OF,博时裕达纯债,王帅,中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
100,002206.OF,博时裕康纯债,王帅,中长期纯债券型基金,稳定大基金公司,稳定长,稳定大,稳定信用债
101,002268.OF,兴业丰利债券,伍方方,中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
102,002301.OF,兴业短债债券A,刘禹含,短期纯债券型基金,稳定大基金公司,稳定短,稳定小,稳定信用债
103,002336.OF,创金合信尊享纯债债券A,郑振源,中长期纯债券型基金,稳定大基金公司,稳定中,稳定小,稳定信用债
104,002341.OF,招商招瑞纯债债券发起式A,刘万锋,中长期纯债券型基金,稳定大基金公司,稳定中,稳定中,稳定信用债
105,002354.OF,博时裕腾纯债,李秋实,中长期纯债券型基金,稳定大基金公司,稳定中,稳定中,轮动基金
106,002377.OF,建信睿怡纯债A,"吴沛文,闫晗",混合债券型基金(一级),稳定大基金公司,稳定长,稳定中,轮动基金
107,002395.OF,鹏华丰尚定期开放债券A,刘涛,混合债券型基金(一级),稳定大基金公司,稳定短,稳定中,稳定信用债
108,002438.OF,创金合信尊盛纯债债券,郑振源,中长期纯债券型基金,稳定大基金公司,稳定长,稳定大,轮动基金
109,002445.OF,兴业丰泰债券,王卓然,中长期纯债券型基金,稳定大基金公司,稳定中,稳定大,稳定信用债
110,002447.OF,博时裕安一年定开债发起式,李汉楠,中长期纯债券型基金,稳定大基金公司,稳定中,稳定小,稳定信用债
111,002466.OF,博时裕新纯债,郭思洁,中长期纯债券型基金,稳定大基金公司,稳定中,稳定中,稳定信用债
112,002483.OF,富国泰利定期开放债券发起式,俞晓斌,混合债券型基金(一级),稳定大基金公司,稳定短,稳定小,稳定信用债
113,002524.OF,兴业福益债券,唐丁祥,混合债券型基金(一级),稳定大基金公司,稳定中,稳定中,稳定信用债
114,002548.OF,嘉实稳瑞纯债债券,"王立芹,韩同利,闫红蕾",中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
115,002549.OF,嘉实稳祥纯债债券A,王亚洲,中长期纯债券型基金,稳定大基金公司,稳定长,稳定小,轮动基金
116,002552.OF,华夏恒利3个月定开债券,孙蕾,混合债券型基金(一级),稳定大基金公司,稳定中,稳定大,稳定信用债
117,002568.OF,博时裕发纯债债券,于渤洋,中长期纯债券型基金,稳定大基金公司,稳定长,稳定中,稳定信用债
118,002578.OF,博时裕泉纯债债券,李秋实,中长期纯债券型基金,稳定大基金公司,稳定短,稳定小,稳定信用债
119,002600.OF,易方达裕景添利6个月定期开放债券,李一硕,混合债券型基金(一级),稳定大基金公司,稳定长,稳定大,稳定信用债
120,002603.OF,工银瑞信瑞丰半年定期开放纯债债券,李娜,中长期纯债券型基金,稳定大基金公司,稳定短,稳定小,稳定信用债
121,002625.OF,博时安怡6个月定开债,王帅,混合债券型基金(一级),稳定大基金公司,稳定长,稳定中,稳定信用债
122,002638.OF,兴业天融债券,雷志强,中长期纯债券型基金,稳定大基金公司,稳定长,稳定大,稳定信用债
123,002698.OF,博时裕利纯债债券,陈黎,中长期纯债券型基金,稳定大基金公司,稳定短,稳定小,稳定信用债
124,002716.OF,博时裕通3个月定开债发起式A,何平,中长期纯债券型基金,稳定大基金公司,稳定长,稳定大,稳定信用债
125,002750.OF,工银泰享三年理财债券,陈桂都,中长期纯债券型基金,稳定大基金公司,稳定中,稳定大,稳定信用债
126,002754.OF,博时裕创纯债,李汉楠,中长期纯债券型基金,稳定大基金公司,稳定长,稳定大,轮动基金
127,002755.OF,博时裕盛纯债,李汉楠,中长期纯债券型基金,稳定大基金公司,稳定中,稳定小,稳定信用债
128,002781.OF,博时聚瑞6个月定开债发起式,于渤洋,中长期纯债券型基金,稳定大基金公司,稳定中,稳定小,稳定信用债
129,002832.OF,工银恒享纯债债券A,"杨曼丽,陈桂都",中长期纯债券型基金,稳定大基金公司,稳定中,稳定小,稳定信用债
