,thscode,INDtype20230630,INDtype20221231,INDtype20220630,INDtype20211231,INDtype20210630,INDtype20201231,行业标签
97,001576.OF,制造行业基金,制造行业基金,行业均衡基金,制造行业基金,制造行业基金,行业均衡基金,行业轮动基金
98,001579.OF,消费行业基金,行业均衡基金,行业均衡基金,行业均衡基金,消费行业基金,消费行业基金,行业轮动基金
99,519093.OF,消费行业基金,消费行业基金,消费行业基金,消费行业基金,行业均衡基金,消费行业基金,行业轮动基金
100,001000.OF,TMT行业基金,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
101,270028.OF,制造行业基金,制造行业基金,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
102,398061.OF,消费行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
103,004666.OF,制造行业基金,TMT行业基金,行业均衡基金,TMT行业基金,TMT行业基金,TMT行业基金,行业轮动基金
104,001396.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
105,001245.OF,制造行业基金,制造行业基金,行业均衡基金,制造行业基金,制造行业基金,行业均衡基金,行业轮动基金
106,163412.SZ,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,TMT行业基金,行业均衡基金,行业轮动基金
107,690004.OF,制造行业基金,制造行业基金,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
108,003298.OF,其他行业基金,其他行业基金,其他行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
109,260104.OF,消费行业基金,消费行业基金,消费行业基金,消费行业基金,行业均衡基金,消费行业基金,行业轮动基金
110,000524.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
111,519773.OF,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
112,519015.OF,制造行业基金,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
113,200008.OF,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,消费行业基金,稳定消费行业基金
114,180031.OF,TMT行业基金,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
115,519011.OF,制造行业基金,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
116,163302.SZ,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
117,003940.OF,消费行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
118,000294.OF,消费行业基金,行业均衡基金,消费行业基金,行业均衡基金,行业均衡基金,消费行业基金,行业轮动基金
119,519664.OF,消费行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
120,001044.OF,消费行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
121,000778.OF,消费行业基金,消费行业基金,消费行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
122,001150.OF,行业均衡基金,TMT行业基金,TMT行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
123,519181.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
124,002229.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
125,002939.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
126,375010.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
127,519712.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
128,481013.OF,行业均衡基金,行业均衡基金,消费行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
129,377240.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
130,270021.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
131,470009.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
132,162209.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
133,001222.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
134,519089.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
135,519025.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
136,519651.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
137,000520.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
138,270050.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
139,160624.OF,行业均衡基金,行业均衡基金,制造行业基金,制造行业基金,行业均衡基金,行业均衡基金,行业轮动基金
140,000866.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
141,050009.OF,行业均衡基金,制造行业基金,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
142,550002.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
143,000309.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
144,001569.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
145,020005.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,消费行业基金,行业轮动基金
146,000167.OF,行业均衡基金,行业均衡基金,行业均衡基金,消费行业基金,行业均衡基金,行业均衡基金,行业轮动基金
147,519690.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
148,420005.OF,行业均衡基金,周期行业基金,行业均衡基金,周期行业基金,行业均衡基金,行业均衡基金,行业轮动基金
149,000967.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
150,202011.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
151,180028.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
