,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_fund_manager_his_fund,ths_isindexfund_fund,ths_invest_type_first_classi_fund,ths_invest_type_second_classi_fund,ths_fund_scale_fund,ths_found_years_fund,ths_org_investor_held_ratio_fund,ths_stock_mv_to_fanv_fund,行业标签,风格标签,大小盘标签,共振因子标签,集中度标签
22,160322.SZ,华夏港股通精选股票(LOF)A,"黄芳,李湘杰",李湘杰(20161111-至今) 黄芳(20180117-至今),否,股票型基金,普通股票型基金,351147811.4,6.6356164383562,57.63,88.366181047822,,稳定价值型,稳定小盘,轮动基金,轮动基金
23,000041.OF,华夏全球股票(QDII)(人民币),"李湘杰,郑鹏",周全(20071009-20150410) 杨昌桁(20071009-20160601) 崔强(20120229-20140805) 陈永强(20150401-20160725) 李湘杰(20160525-至今) 郑鹏(20230327-至今),否,QDII基金,QDII股票型基金,1896417760.52,15.734246575342,0.3,81.763266777507,,,,稳定独立基金,稳定低
24,000043.OF,嘉实美国成长股票(QDII),张自力,张自力(20130614-至今),否,QDII基金,QDII股票型基金,1265482943.58,10.049315068493,5.48,90.919077333561,,,,稳定独立基金,稳定低
25,000082.OF,嘉实研究阿尔法股票A,"肖觅,张露",张琦(20130528-20160727) 刘斌(20140515-20160727) 赵宇(20160727-20170811) 张露(20170811-至今) 张丹华(20181101-20200730) 肖觅(20210319-至今),否,股票型基金,普通股票型基金,649193500.46,10.095890410959,45.33,88.49067756269,稳定行业均衡基金,稳定均衡-价值型,风格轮动基金,轮动基金,稳定低
26,000309.OF,大摩品质生活精选股票A,何晓春,钱斌(20131029-20140829) 周志超(20140809-20151121) 袁斌(20151015-20170701) 王大鹏(20170629-20181221) 何晓春(20180210-至今) 雷志勇(20190420-20210118),否,股票型基金,普通股票型基金,326849360.86,9.6739726027397,17.81,93.183664611924,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定高
27,000409.OF,鹏华环保产业股票,孟昊,梁浩(20140307-20151229) 郑川江(20150605-20190727) 孟昊(20190724-至今),否,股票型基金,普通股票型基金,2648878931.92,9.3205479452055,19.49,90.588835428605,行业轮动基金,稳定成长型,风格轮动基金,稳定共振基金,稳定高
28,000457.OF,摩根核心成长股票A,李博,孙芳(20140210-20150709) 李博(20141231-至今),否,股票型基金,普通股票型基金,896948658.8,9.3890410958904,7.62,86.13748145179,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
29,000471.OF,富国城镇发展股票,蒲世林,汪鸣(20140128-20180416) 毕天宇(20160205-20190114) 蒲世林(20181219-至今),否,股票型基金,普通股票型基金,967820995.87,9.4246575342466,46.84,93.707034501225,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低
30,000513.OF,富国高端制造行业股票A,毕天宇,毕天宇(20140620-至今) 厉叶淼(20150810-20181024),否,股票型基金,普通股票型基金,788145801.9,9.0328767123288,12.7,91.118023398331,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
31,000524.OF,摩根民生需求股票A,杨景喻,桂志强(20140314-20150331) 帅虎(20150130-20190426) 杨景喻(20190426-至今),否,股票型基金,普通股票型基金,137797789.65,9.3013698630137,,93.935515952096,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
32,000549.OF,华安大国新经济股票A,翁启森,陈逊(20140414-20150626) 翁启森(20140415-至今),否,股票型基金,普通股票型基金,74414822.49,9.2164383561644,0.0,94.097064563883,稳定行业均衡基金,风格轮动基金,稳定中盘,轮动基金,稳定低
33,000577.OF,安信价值精选股票,陈一峰,陈一峰(20140421-至今),否,股票型基金,普通股票型基金,1978540620.07,9.1972602739726,10.72,91.85177881694,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定高
34,000592.OF,建信改革红利股票A,陶灿,陶灿(20140514-至今),否,股票型基金,普通股票型基金,803782170.95,9.1342465753425,15.14,94.341561992339,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低
35,000628.OF,大成高新技术产业股票A,刘旭,徐彦(20150203-20180911) 刘旭(20150729-至今),否,股票型基金,普通股票型基金,5669009495.38,8.4082191780822,54.62,81.020615502715,稳定行业均衡基金,风格轮动基金,稳定中盘,轮动基金,稳定高
36,000746.OF,招商行业精选股票基金,贾成东,王忠波(20140903-20170107) 贾成东(20161231-至今),否,股票型基金,普通股票型基金,2307483404.21,8.827397260274,5.01,81.078444325389,稳定行业均衡基金,风格轮动基金,稳定大盘,轮动基金,轮动基金
37,000751.OF,嘉实新兴产业股票,归凯,王汉博(20140917-20160315) 季文华(20160315-20181204) 归凯(20181204-至今),否,股票型基金,普通股票型基金,7646701066.7,8.7890410958904,1.32,90.675107806094,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
38,000778.OF,鹏华先进制造股票,袁航,梁浩(20141104-20151229) 袁航(20141104-至今),否,股票型基金,普通股票型基金,222255097.8,8.6575342465753,41.31,90.272818556695,行业轮动基金,风格轮动基金,稳定大盘,稳定共振基金,稳定高
39,000780.OF,鹏华医疗保健股票,郎超,梁冬冬(20140923-20161014) 陈鹏(20161014-20180214) 金笑非(20170729-20200313) 郎超(20180412-至今),否,股票型基金,普通股票型基金,730482876.75,8.772602739726,11.32,89.833429252933,稳定医药行业基金,风格轮动基金,风格轮动基金,稳定独立基金,轮动基金
40,000828.OF,宏利转型机遇股票A,王鹏,梁辉(20141118-20150403) 吴华(20141118-20151223) 张勋(20151223-20171219) 王鹏(20171219-至今),否,股票型基金,普通股票型基金,4264576857.51,8.6191780821918,5.08,94.301430187649,行业轮动基金,风格轮动基金,稳定中盘,轮动基金,轮动基金
41,000831.OF,工银医疗保健股票,"丁洋,赵蓓",宋炳珅(20141118-20180828) 赵蓓(20141118-至今) 谭冬寒(20160902-20220614) 丁洋(20230505-至今),否,股票型基金,普通股票型基金,4632771547.98,8.6191780821918,19.04,89.374801201138,稳定医药行业基金,风格轮动基金,风格轮动基金,轮动基金,稳定高
42,000866.OF,华宝制造股票,贺喆,刘自强(20141210-20180824) 贺喆(20180824-至今),否,股票型基金,普通股票型基金,469073918.06,8.558904109589,57.71,93.930746084169,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低
43,000893.OF,工银创新动力股票,杨鑫鑫,刘天任(20141211-20170822) 王烁杰(20141211-20170519) 李劭钊(20160928-20190301) 杨鑫鑫(20190228-至今),否,股票型基金,普通股票型基金,5806669102.37,8.5561643835616,67.19,81.472069967774,稳定行业均衡基金,稳定价值型,稳定中盘,稳定独立基金,轮动基金
44,000925.OF,汇添富外延增长主题股票A,蔡志文,韩贤旺(20141208-20190118) 李威(20150129-20190118) 王栩(20190118-20221104) 蔡志文(20191204-至今),否,股票型基金,普通股票型基金,1631274341.3,8.5643835616438,21.37,80.358549984374,稳定行业均衡基金,风格轮动基金,稳定大盘,轮动基金,轮动基金
45,000955.OF,南方产业活力,蒋秋洁,张旭(20150127-20190315) 蒋秋洁(20190315-至今),否,股票型基金,普通股票型基金,343685897.88,8.427397260274,,81.114491234475,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定低
46,000960.OF,招商医药健康产业股票,李佳存,李佳存(20150130-至今),否,股票型基金,普通股票型基金,2179289058.26,8.4191780821918,5.14,90.618404428954,稳定医药行业基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
47,000971.OF,诺安新经济股票,杨琨,刘魁(20150126-20151121) 史高飞(20150126-20190220) 杨琨(20190220-至今),否,股票型基金,普通股票型基金,1468198678.68,8.4301369863014,2.81,89.197310713929,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定高
48,000978.OF,景顺长城量化精选股票,黎海威,黎海威(20150204-至今),否,股票型基金,普通股票型基金,631252127.49,8.4054794520548,18.17,92.862060983594,稳定行业均衡基金,稳定价值型,稳定小盘,稳定独立基金,稳定低
49,000979.OF,景顺长城沪港深精选股票,鲍无可,谢天翎(20150415-20160622) 鲍无可(20160528-至今) 黎海威(20171213-20190516),否,股票型基金,普通股票型基金,4467841717.78,8.213698630137,69.44,83.608467670965,稳定行业均衡基金,稳定价值型,风格轮动基金,稳定独立基金,稳定高
