,指数名称,年初至今累计收益,年初至今最大回撤,年初至今夏普比例,滚动一个月累计收益,滚动一个月最大回撤,滚动一个月夏普比例,本周累计收益,本周最大回撤,本周夏普比例
0,均衡型,-0.08955558474760084,0.16227168057425959,-0.06870749599731886,-0.0017811932327769036,0.12048531938768137,-0.005536253263618347,-0.008347149870453338,0.08955558474760084,-0.256923791810853
1,成长型,-0.1430204278527928,0.20642132960665469,-0.10545120643181538,-0.005107260483762582,0.16682108191816336,-0.022879375909529282,-0.009599229041970074,0.1430204278527928,-0.3062392718957725
2,价值型,-0.04611487770406564,0.11212146901148885,-0.0337047091856003,-0.01101919594393802,0.06905831555822972,-0.0613133799964261,-0.002927030845754921,0.04775253384169864,-0.09138349650947103
3,成长-均衡型,-0.1156517485777444,0.18775905789829708,-0.08114535069107592,-0.004158805212776651,0.14475154629001397,-0.016363381460013145,-0.010639584377386102,0.1156517485777444,-0.31146950658630657
4,均衡-价值型,-0.07361183655281622,0.14088187208242287,-0.056480131755566994,-0.01018411674311827,0.0965451484840939,-0.0542950720367546,-0.007202201626200788,0.07384037717664516,-0.24682562300280647
