,thscode,Xstyle20230630,Ystyle20230630,Xstyle20221231,Ystyle20221231,Xstyle20220630,Ystyle20220630,Xstyle20211231,Ystyle20211231,Xstyle20210630,Ystyle20210630,Xstyle20201231,Ystyle20201231,大小盘标签
56,001475.OF,成长型,中盘,成长型,中盘,成长型,中盘,成长型,中盘,成长型,中盘,成长-均衡型,中盘,稳定中盘
57,000976.OF,成长型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,均衡型,中盘,成长型,中盘,均衡型,中盘,稳定中盘
58,260108.OF,成长型,大盘,成长型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,稳定大盘
59,519651.OF,成长型,大盘,成长型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡-价值型,大盘,稳定大盘
60,000831.OF,成长型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,成长型,大盘,成长-均衡型,大盘,成长型,大盘,风格轮动基金
61,003745.OF,成长型,大盘,成长型,大盘,成长-均衡型,大盘,均衡型,大盘,均衡型,大盘,成长-均衡型,大盘,稳定大盘
62,519712.OF,成长型,大盘,成长型,大盘,成长-均衡型,大盘,成长-均衡型,中盘,均衡-价值型,中盘,价值型,大盘,风格轮动基金
63,000020.OF,成长型,中盘,成长-均衡型,中盘,成长-均衡型,大盘,成长型,大盘,均衡型,大盘,成长-均衡型,大盘,风格轮动基金
64,000017.OF,成长型,中盘,成长型,中盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,成长-均衡型,大盘,风格轮动基金
65,100039.OF,成长型,中盘,成长-均衡型,小盘,成长型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,均衡型,大盘,风格轮动基金
66,162006.SZ,成长型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,均衡型,中盘,成长型,中盘,均衡型,中盘,稳定中盘
67,003940.OF,成长型,大盘,成长型,大盘,成长-均衡型,大盘,成长型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,稳定大盘
68,257020.OF,成长型,中盘,均衡型,中盘,均衡型,中盘,均衡-价值型,中盘,均衡型,大盘,均衡-价值型,大盘,风格轮动基金
69,001163.OF,成长型,大盘,成长型,大盘,成长-均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡-价值型,大盘,稳定大盘
70,290012.OF,成长型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,成长-均衡型,小盘,均衡-价值型,中盘,风格轮动基金
71,000955.OF,成长型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,稳定大盘
72,398061.OF,成长型,大盘,均衡型,小盘,均衡型,中盘,均衡-价值型,中盘,成长-均衡型,中盘,成长型,中盘,风格轮动基金
73,110022.OF,成长型,大盘,成长型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡型,大盘,稳定大盘
74,001255.OF,成长型,中盘,成长型,小盘,成长-均衡型,小盘,成长型,小盘,成长型,中盘,成长型,大盘,风格轮动基金
75,000522.OF,成长型,中盘,均衡型,小盘,成长-均衡型,小盘,成长型,中盘,成长型,中盘,成长型,中盘,风格轮动基金
76,200001.OF,成长型,小盘,成长型,小盘,成长型,小盘,成长型,小盘,成长型,中盘,成长型,中盘,风格轮动基金
77,005094.OF,成长型,中盘,均衡-价值型,中盘,价值型,中盘,价值型,中盘,均衡-价值型,中盘,均衡型,中盘,稳定中盘
78,001457.OF,成长型,中盘,均衡型,中盘,成长型,中盘,均衡型,中盘,成长型,大盘,成长-均衡型,大盘,风格轮动基金
79,001126.OF,成长型,大盘,成长-均衡型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,稳定大盘
80,217013.OF,成长型,中盘,成长-均衡型,中盘,成长-均衡型,大盘,成长-均衡型,大盘,成长型,大盘,成长型,大盘,风格轮动基金
81,001717.OF,成长型,中盘,成长-均衡型,大盘,成长-均衡型,中盘,成长型,大盘,成长-均衡型,大盘,成长型,大盘,风格轮动基金
82,470008.OF,成长型,中盘,成长型,大盘,成长-均衡型,大盘,成长型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,风格轮动基金
83,519195.OF,成长型,中盘,均衡-价值型,中盘,价值型,中盘,价值型,中盘,均衡型,中盘,均衡型,大盘,风格轮动基金
84,001166.OF,成长型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,均衡型,大盘,均衡型,大盘,稳定大盘
85,460001.OF,成长型,小盘,成长型,中盘,成长型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,风格轮动基金
86,000939.OF,成长型,大盘,成长-均衡型,大盘,均衡-价值型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡型,大盘,稳定大盘
87,001726.OF,成长型,中盘,成长-均衡型,大盘,成长-均衡型,大盘,均衡型,大盘,成长型,大盘,成长型,大盘,风格轮动基金
88,001496.OF,成长型,中盘,成长型,大盘,成长型,大盘,成长型,大盘,成长-均衡型,大盘,成长型,大盘,风格轮动基金
89,001513.OF,成长型,中盘,成长型,小盘,成长型,中盘,成长-均衡型,中盘,成长型,大盘,成长型,大盘,风格轮动基金
90,003145.OF,成长型,小盘,成长型,中盘,成长型,中盘,均衡型,中盘,成长型,大盘,成长-均衡型,大盘,风格轮动基金
91,001000.OF,成长型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,稳定大盘
92,000996.OF,成长型,大盘,成长-均衡型,大盘,均衡-价值型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,稳定大盘
93,370027.OF,成长型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,成长型,大盘,成长型,大盘,成长-均衡型,大盘,稳定大盘
94,470006.OF,成长型,中盘,均衡型,中盘,成长-均衡型,大盘,成长型,中盘,成长-均衡型,大盘,成长型,大盘,风格轮动基金
95,001171.OF,成长型,中盘,成长-均衡型,中盘,均衡型,大盘,成长型,中盘,成长-均衡型,中盘,成长型,大盘,风格轮动基金
96,610004.OF,成长型,小盘,成长型,中盘,成长型,中盘,成长型,中盘,成长型,中盘,成长型,中盘,风格轮动基金
97,519196.OF,成长型,中盘,均衡-价值型,中盘,价值型,中盘,价值型,中盘,均衡型,中盘,均衡型,大盘,风格轮动基金
98,050010.OF,成长型,中盘,成长型,中盘,成长型,大盘,成长型,大盘,成长型,中盘,成长型,中盘,风格轮动基金
99,002707.OF,成长-均衡型,中盘,成长型,小盘,均衡型,小盘,成长-均衡型,小盘,均衡型,小盘,成长-均衡型,中盘,风格轮动基金
100,180012.OF,成长-均衡型,大盘,成长型,大盘,成长-均衡型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,稳定大盘
101,001480.OF,成长-均衡型,小盘,成长-均衡型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,成长-均衡型,中盘,风格轮动基金
102,720001.OF,成长-均衡型,小盘,均衡型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,成长-均衡型,中盘,风格轮动基金
103,700003.OF,成长-均衡型,中盘,均衡型,中盘,成长-均衡型,中盘,均衡-价值型,中盘,成长型,中盘,成长型,大盘,风格轮动基金
104,001178.OF,成长-均衡型,中盘,均衡型,中盘,均衡-价值型,大盘,价值型,大盘,价值型,大盘,均衡-价值型,大盘,风格轮动基金
105,004394.OF,成长-均衡型,大盘,成长-均衡型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,稳定大盘
106,001569.OF,成长-均衡型,小盘,成长型,中盘,成长型,中盘,成长型,中盘,成长型,中盘,成长型,中盘,风格轮动基金
107,210003.OF,成长-均衡型,中盘,均衡-价值型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,成长型,中盘,成长-均衡型,中盘,稳定中盘
108,004434.OF,成长-均衡型,中盘,成长型,中盘,成长型,中盘,成长型,大盘,成长-均衡型,大盘,价值型,大盘,风格轮动基金
109,001808.OF,成长-均衡型,中盘,成长型,中盘,成长型,大盘,成长-均衡型,中盘,成长型,大盘,成长型,中盘,风格轮动基金
110,005299.OF,成长-均衡型,小盘,成长型,小盘,成长-均衡型,中盘,成长-均衡型,中盘,成长型,中盘,成长型,中盘,风格轮动基金
111,540010.OF,成长-均衡型,中盘,成长型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,风格轮动基金
112,487021.OF,成长-均衡型,中盘,均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,成长型,大盘,风格轮动基金
113,001766.OF,成长-均衡型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,成长型,大盘,风格轮动基金
114,000294.OF,成长-均衡型,大盘,成长-均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,稳定大盘
115,000527.OF,成长-均衡型,中盘,成长-均衡型,大盘,成长型,大盘,成长-均衡型,大盘,成长型,大盘,成长型,大盘,风格轮动基金
116,001053.OF,成长-均衡型,中盘,均衡型,大盘,成长型,大盘,成长-均衡型,大盘,成长型,大盘,成长型,大盘,风格轮动基金
117,519668.OF,成长-均衡型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,价值型,大盘,均衡-价值型,大盘,稳定大盘
118,519710.OF,成长-均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,稳定大盘
119,163807.OF,成长-均衡型,大盘,成长型,大盘,成长型,大盘,均衡型,中盘,成长-均衡型,中盘,均衡-价值型,大盘,风格轮动基金
120,000021.OF,成长-均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,成长型,大盘,成长-均衡型,大盘,稳定大盘
121,040011.OF,成长-均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,稳定大盘
122,217020.OF,成长-均衡型,中盘,成长型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,风格轮动基金
123,001975.OF,成长-均衡型,小盘,均衡型,小盘,均衡型,中盘,成长-均衡型,中盘,均衡型,中盘,均衡型,中盘,风格轮动基金
124,163503.SZ,成长-均衡型,大盘,均衡-价值型,大盘,成长-均衡型,大盘,均衡型,大盘,成长型,大盘,均衡型,大盘,稳定大盘
125,000971.OF,成长-均衡型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡型,大盘,成长-均衡型,大盘,成长型,大盘,稳定大盘
126,000264.OF,成长-均衡型,小盘,成长-均衡型,小盘,成长型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,均衡型,大盘,风格轮动基金
127,340007.OF,成长-均衡型,中盘,成长-均衡型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,风格轮动基金
128,000524.OF,成长-均衡型,中盘,成长-均衡型,大盘,成长型,大盘,成长型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,风格轮动基金
129,001366.OF,成长-均衡型,大盘,成长-均衡型,大盘,均衡型,大盘,均衡型,中盘,均衡型,大盘,成长-均衡型,大盘,风格轮动基金
130,501046.SH,成长-均衡型,小盘,均衡型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,成长-均衡型,中盘,风格轮动基金
131,020005.OF,成长-均衡型,大盘,成长-均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡型,大盘,稳定大盘
132,004075.OF,成长-均衡型,中盘,成长-均衡型,中盘,成长型,大盘,成长型,中盘,成长-均衡型,大盘,成长型,大盘,风格轮动基金
133,519089.OF,成长-均衡型,大盘,成长-均衡型,中盘,成长-均衡型,大盘,均衡-价值型,大盘,成长型,大盘,成长-均衡型,大盘,风格轮动基金
134,001476.OF,成长-均衡型,大盘,成长型,中盘,成长型,大盘,成长型,中盘,成长型,大盘,成长-均衡型,大盘,风格轮动基金
135,460007.OF,成长-均衡型,中盘,均衡-价值型,中盘,成长-均衡型,中盘,均衡-价值型,大盘,成长型,大盘,成长型,大盘,风格轮动基金
136,260101.OF,成长-均衡型,中盘,均衡型,小盘,均衡型,中盘,成长-均衡型,中盘,均衡型,中盘,均衡型,中盘,风格轮动基金
137,003095.OF,成长-均衡型,中盘,成长-均衡型,大盘,成长型,大盘,成长型,大盘,成长-均衡型,大盘,成长型,大盘,风格轮动基金
138,233011.OF,成长-均衡型,中盘,成长型,大盘,成长型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡型,大盘,风格轮动基金
139,202005.OF,成长-均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,均衡-价值型,大盘,价值型,大盘,稳定大盘
140,002983.OF,成长-均衡型,小盘,成长型,中盘,成长型,小盘,成长-均衡型,中盘,均衡型,中盘,成长-均衡型,小盘,风格轮动基金
141,270028.OF,成长-均衡型,中盘,成长型,中盘,成长型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,稳定中盘
142,004868.OF,成长-均衡型,大盘,均衡型,大盘,均衡型,大盘,成长-均衡型,大盘,均衡型,大盘,均衡-价值型,大盘,稳定大盘
143,519714.OF,成长-均衡型,大盘,均衡型,大盘,均衡型,大盘,成长-均衡型,大盘,均衡型,大盘,均衡-价值型,大盘,稳定大盘
144,001398.OF,成长-均衡型,中盘,均衡-价值型,中盘,成长-均衡型,中盘,均衡-价值型,大盘,成长型,大盘,成长型,大盘,风格轮动基金
145,630006.OF,成长-均衡型,小盘,成长-均衡型,小盘,成长型,小盘,成长-均衡型,小盘,成长型,大盘,成长型,大盘,风格轮动基金
146,000977.OF,成长-均衡型,中盘,成长型,中盘,成长型,大盘,成长型,中盘,成长-均衡型,中盘,成长型,中盘,风格轮动基金
147,001825.OF,成长-均衡型,大盘,均衡-价值型,中盘,均衡-价值型,大盘,成长-均衡型,大盘,均衡型,中盘,成长型,大盘,风格轮动基金
148,519690.OF,成长-均衡型,中盘,均衡型,中盘,均衡型,大盘,均衡-价值型,中盘,均衡-价值型,中盘,价值型,中盘,风格轮动基金
149,270050.OF,成长-均衡型,小盘,成长型,小盘,成长型,大盘,成长型,大盘,均衡型,中盘,成长型,中盘,风格轮动基金
150,001222.OF,成长-均衡型,大盘,成长型,大盘,成长-均衡型,大盘,成长型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,稳定大盘
151,001986.OF,成长-均衡型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,稳定大盘
152,090015.OF,成长-均衡型,大盘,成长-均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,稳定大盘
153,001150.OF,成长-均衡型,小盘,成长型,小盘,成长型,中盘,成长型,小盘,均衡型,中盘,均衡型,大盘,风格轮动基金
154,000031.OF,成长-均衡型,小盘,成长型,中盘,成长型,中盘,成长型,中盘,成长型,大盘,成长-均衡型,中盘,风格轮动基金
155,001725.OF,成长-均衡型,中盘,成长型,中盘,均衡型,大盘,均衡型,中盘,成长-均衡型,大盘,均衡-价值型,大盘,风格轮动基金
156,002939.OF,成长-均衡型,大盘,成长型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,稳定大盘
157,002229.OF,成长-均衡型,中盘,成长型,中盘,成长型,中盘,成长-均衡型,大盘,均衡型,大盘,成长-均衡型,大盘,风格轮动基金
158,000960.OF,成长-均衡型,小盘,成长-均衡型,中盘,成长-均衡型,中盘,成长型,中盘,均衡型,大盘,成长型,大盘,风格轮动基金
159,519181.OF,成长-均衡型,中盘,均衡-价值型,中盘,价值型,中盘,价值型,中盘,均衡-价值型,中盘,均衡-价值型,大盘,风格轮动基金
160,660012.OF,成长-均衡型,中盘,均衡型,中盘,成长-均衡型,大盘,成长-均衡型,中盘,成长-均衡型,大盘,成长-均衡型,大盘,风格轮动基金
161,270005.OF,成长-均衡型,小盘,成长型,中盘,成长型,大盘,成长型,大盘,均衡型,中盘,成长型,中盘,风格轮动基金
162,000309.OF,成长-均衡型,小盘,均衡-价值型,中盘,均衡型,中盘,均衡型,中盘,均衡-价值型,中盘,价值型,中盘,风格轮动基金
163,320007.OF,成长-均衡型,中盘,均衡型,中盘,成长-均衡型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,风格轮动基金
164,040004.OF,成长-均衡型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡型,大盘,均衡型,大盘,稳定大盘
165,180018.OF,成长-均衡型,大盘,成长型,大盘,均衡型,大盘,成长型,大盘,成长-均衡型,大盘,成长型,大盘,稳定大盘
166,000263.OF,成长-均衡型,大盘,成长-均衡型,中盘,成长-均衡型,大盘,成长-均衡型,大盘,均衡型,大盘,成长-均衡型,大盘,风格轮动基金
167,001985.OF,成长-均衡型,中盘,均衡型,中盘,成长-均衡型,中盘,均衡型,中盘,成长-均衡型,中盘,均衡型,中盘,稳定中盘
168,290011.OF,成长-均衡型,小盘,成长型,小盘,成长型,中盘,成长型,中盘,成长型,中盘,成长型,中盘,风格轮动基金
169,519908.OF,成长-均衡型,中盘,价值型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,成长-均衡型,大盘,风格轮动基金
170,163805.OF,成长-均衡型,大盘,均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,稳定大盘
171,004851.OF,成长-均衡型,中盘,成长-均衡型,大盘,成长-均衡型,大盘,成长型,中盘,成长-均衡型,大盘,成长型,大盘,风格轮动基金
172,379010.OF,成长-均衡型,中盘,成长-均衡型,小盘,成长型,大盘,成长型,中盘,成长型,大盘,成长-均衡型,大盘,风格轮动基金
173,630010.OF,成长-均衡型,小盘,成长-均衡型,小盘,成长型,小盘,成长-均衡型,小盘,成长型,大盘,成长型,大盘,风格轮动基金
174,001223.OF,成长-均衡型,中盘,均衡-价值型,中盘,均衡型,中盘,成长-均衡型,中盘,均衡-价值型,大盘,均衡-价值型,大盘,风格轮动基金
175,270006.OF,成长-均衡型,大盘,均衡型,大盘,均衡型,大盘,成长型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,稳定大盘
176,100022.OF,成长-均衡型,大盘,均衡型,中盘,成长-均衡型,大盘,均衡型,大盘,成长型,大盘,成长-均衡型,大盘,风格轮动基金
177,004476.OF,成长-均衡型,中盘,均衡-价值型,小盘,均衡型,中盘,成长-均衡型,大盘,价值型,中盘,价值型,中盘,风格轮动基金
178,590005.OF,成长-均衡型,小盘,成长型,小盘,均衡-价值型,中盘,均衡-价值型,中盘,成长-均衡型,大盘,成长型,大盘,风格轮动基金
179,001705.OF,成长-均衡型,大盘,成长-均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡型,大盘,稳定大盘
180,163411.OF,成长-均衡型,中盘,均衡型,中盘,成长-均衡型,大盘,成长-均衡型,大盘,成长型,大盘,成长型,大盘,风格轮动基金
181,005268.OF,成长-均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,成长型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,稳定大盘
182,001017.OF,成长-均衡型,小盘,均衡-价值型,中盘,均衡型,中盘,均衡型,中盘,均衡型,大盘,均衡-价值型,大盘,风格轮动基金
183,000751.OF,成长-均衡型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,成长型,中盘,成长-均衡型,大盘,成长型,大盘,风格轮动基金
184,070006.OF,成长-均衡型,大盘,成长-均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,成长-均衡型,大盘,稳定大盘
185,001245.OF,成长-均衡型,大盘,成长-均衡型,大盘,成长型,大盘,成长型,中盘,成长型,大盘,成长-均衡型,大盘,风格轮动基金
186,519018.OF,成长-均衡型,大盘,均衡型,大盘,均衡型,大盘,成长-均衡型,中盘,均衡型,大盘,均衡型,大盘,风格轮动基金
187,229002.OF,成长-均衡型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,成长-均衡型,中盘,成长-均衡型,大盘,均衡型,大盘,风格轮动基金
188,100020.OF,成长-均衡型,大盘,成长型,大盘,均衡型,大盘,成长-均衡型,大盘,成长型,大盘,成长型,大盘,稳定大盘
189,260103.OF,成长-均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,稳定大盘
190,202023.OF,成长-均衡型,中盘,成长-均衡型,中盘,成长-均衡型,大盘,成长型,大盘,均衡型,大盘,成长-均衡型,大盘,风格轮动基金
191,000339.OF,成长-均衡型,小盘,成长-均衡型,中盘,成长型,中盘,成长-均衡型,小盘,成长型,中盘,成长型,大盘,风格轮动基金
192,000308.OF,成长-均衡型,中盘,均衡-价值型,中盘,成长-均衡型,中盘,成长-均衡型,小盘,成长型,中盘,成长-均衡型,中盘,风格轮动基金
193,420003.OF,成长-均衡型,大盘,成长型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,稳定大盘
194,162703.SZ,成长-均衡型,中盘,成长-均衡型,中盘,成长-均衡型,大盘,均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,风格轮动基金
195,004640.OF,成长-均衡型,小盘,成长-均衡型,小盘,均衡型,小盘,成长-均衡型,中盘,成长-均衡型,大盘,成长-均衡型,大盘,风格轮动基金
196,070002.OF,成长-均衡型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,成长型,中盘,成长-均衡型,中盘,成长型,大盘,风格轮动基金
197,168101.SZ,成长-均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,稳定大盘
198,000595.OF,均衡型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,成长型,中盘,成长-均衡型,大盘,成长型,大盘,风格轮动基金
199,690007.OF,均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡型,大盘,稳定大盘
200,001313.OF,均衡型,中盘,成长-均衡型,中盘,成长型,大盘,成长型,中盘,成长型,大盘,成长-均衡型,大盘,风格轮动基金
201,550002.OF,均衡型,中盘,均衡型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,均衡型,中盘,成长-均衡型,大盘,风格轮动基金
202,233006.OF,均衡型,小盘,均衡-价值型,中盘,均衡型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,价值型,中盘,风格轮动基金
203,001072.OF,均衡型,中盘,成长-均衡型,小盘,成长型,大盘,成长型,中盘,成长型,中盘,成长-均衡型,中盘,风格轮动基金
204,001473.OF,均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,稳定大盘
205,001070.OF,均衡型,中盘,均衡-价值型,中盘,均衡型,中盘,均衡型,小盘,成长-均衡型,中盘,成长-均衡型,大盘,风格轮动基金
206,210009.OF,均衡型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,均衡-价值型,小盘,均衡-价值型,小盘,稳定小盘
207,530006.OF,均衡型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡型,大盘,均衡-价值型,大盘,稳定大盘
208,001117.OF,均衡型,中盘,均衡型,中盘,均衡-价值型,大盘,价值型,中盘,均衡-价值型,大盘,价值型,大盘,风格轮动基金
209,001490.OF,均衡型,大盘,均衡型,大盘,均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,稳定大盘
210,004183.OF,均衡型,大盘,成长-均衡型,中盘,成长-均衡型,大盘,成长-均衡型,大盘,均衡型,大盘,均衡-价值型,大盘,风格轮动基金
211,000612.OF,均衡型,小盘,均衡-价值型,小盘,价值型,小盘,均衡-价值型,中盘,均衡-价值型,中盘,价值型,中盘,风格轮动基金
212,180013.OF,均衡型,中盘,成长型,大盘,均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,风格轮动基金
213,519688.OF,均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡型,中盘,均衡-价值型,大盘,均衡-价值型,大盘,风格轮动基金
214,005241.OF,均衡型,大盘,均衡-价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,均衡型,大盘,稳定大盘
215,180028.OF,均衡型,小盘,均衡型,小盘,均衡型,中盘,成长-均衡型,中盘,成长-均衡型,大盘,均衡型,大盘,风格轮动基金
216,004505.OF,均衡型,大盘,均衡型,中盘,均衡-价值型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,风格轮动基金
217,005028.OF,均衡型,中盘,成长型,中盘,成长型,中盘,成长型,中盘,成长型,大盘,成长型,大盘,风格轮动基金
218,660004.OF,均衡型,大盘,成长-均衡型,大盘,成长型,大盘,成长-均衡型,大盘,成长型,大盘,成长-均衡型,大盘,稳定大盘
219,162208.OF,均衡型,中盘,成长-均衡型,中盘,成长-均衡型,大盘,成长-均衡型,中盘,成长-均衡型,大盘,成长型,大盘,风格轮动基金
220,519736.OF,均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡型,中盘,均衡-价值型,大盘,均衡-价值型,大盘,风格轮动基金
221,040025.OF,均衡型,中盘,成长-均衡型,小盘,成长型,大盘,成长型,中盘,成长型,中盘,成长-均衡型,中盘,风格轮动基金
222,481013.OF,均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡型,大盘,价值型,大盘,均衡-价值型,大盘,稳定大盘
223,000457.OF,均衡型,大盘,均衡-价值型,大盘,价值型,中盘,价值型,中盘,价值型,中盘,价值型,中盘,风格轮动基金
224,000780.OF,均衡型,小盘,均衡型,小盘,价值型,中盘,均衡型,中盘,均衡型,大盘,成长型,大盘,风格轮动基金
225,001927.OF,均衡型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,稳定大盘
226,166001.SZ,均衡型,中盘,均衡型,中盘,均衡-价值型,大盘,均衡型,中盘,均衡-价值型,大盘,均衡型,大盘,风格轮动基金
227,001125.OF,均衡型,中盘,成长型,中盘,成长型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,风格轮动基金
228,519756.OF,均衡型,大盘,均衡-价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,稳定大盘
229,070032.OF,均衡型,大盘,成长-均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡型,大盘,均衡型,大盘,稳定大盘
230,001009.OF,均衡型,中盘,成长型,中盘,成长型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,风格轮动基金
231,377010.OF,均衡型,大盘,均衡-价值型,大盘,价值型,中盘,价值型,中盘,价值型,小盘,价值型,中盘,风格轮动基金
232,001143.OF,均衡型,大盘,成长-均衡型,大盘,成长型,大盘,均衡型,大盘,成长型,大盘,成长-均衡型,大盘,稳定大盘
233,001184.OF,均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,稳定大盘
234,000609.OF,均衡型,大盘,成长-均衡型,大盘,成长型,大盘,均衡型,大盘,成长型,大盘,成长-均衡型,大盘,稳定大盘
235,001838.OF,均衡型,中盘,成长-均衡型,中盘,均衡型,小盘,均衡-价值型,中盘,均衡-价值型,中盘,价值型,中盘,风格轮动基金
236,240004.OF,均衡型,小盘,价值型,大盘,均衡-价值型,中盘,价值型,中盘,价值型,中盘,均衡型,中盘,风格轮动基金
237,165313.SZ,均衡型,中盘,均衡-价值型,中盘,均衡型,大盘,均衡型,中盘,均衡-价值型,大盘,成长-均衡型,大盘,风格轮动基金
238,160314.SZ,均衡型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,成长型,中盘,均衡型,中盘,均衡型,大盘,风格轮动基金
239,163822.OF,均衡型,中盘,均衡型,中盘,成长-均衡型,中盘,均衡-价值型,中盘,成长-均衡型,中盘,均衡型,大盘,风格轮动基金
