,thscode,Xstyle20230630,Ystyle20230630,Xstyle20221231,Ystyle20221231,Xstyle20220630,Ystyle20220630,Xstyle20211231,Ystyle20211231,Xstyle20210630,Ystyle20210630,Xstyle20201231,Ystyle20201231,大小盘标签
412,001349.OF,价值型,中盘,均衡-价值型,中盘,均衡型,中盘,均衡-价值型,中盘,成长-均衡型,大盘,均衡型,大盘,风格轮动基金
413,005244.OF,价值型,小盘,价值型,小盘,均衡-价值型,小盘,均衡-价值型,小盘,均衡-价值型,小盘,均衡-价值型,小盘,稳定小盘
414,163415.SZ,价值型,中盘,均衡-价值型,中盘,价值型,中盘,均衡-价值型,中盘,价值型,大盘,均衡型,大盘,风格轮动基金
415,000471.OF,价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,价值型,大盘,风格轮动基金
416,000727.OF,价值型,小盘,均衡型,小盘,均衡型,小盘,均衡型,小盘,均衡-价值型,小盘,均衡-价值型,小盘,稳定小盘
417,001667.OF,价值型,大盘,均衡-价值型,大盘,均衡-价值型,中盘,均衡型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,风格轮动基金
418,020010.OF,价值型,小盘,均衡-价值型,小盘,均衡-价值型,小盘,均衡-价值型,小盘,均衡-价值型,中盘,成长-均衡型,中盘,风格轮动基金
419,004477.OF,价值型,中盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,价值型,大盘,价值型,大盘,风格轮动基金
420,000652.OF,价值型,中盘,价值型,中盘,价值型,中盘,价值型,中盘,均衡-价值型,中盘,价值型,中盘,稳定中盘
421,450009.OF,价值型,中盘,均衡型,中盘,价值型,中盘,价值型,中盘,价值型,中盘,均衡-价值型,大盘,风格轮动基金
422,001910.OF,价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,价值型,大盘,均衡-价值型,大盘,稳定大盘
423,001195.OF,价值型,小盘,均衡-价值型,小盘,均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡型,中盘,风格轮动基金
424,161606.OF,价值型,中盘,价值型,中盘,价值型,大盘,价值型,大盘,均衡-价值型,大盘,均衡型,大盘,风格轮动基金
425,163302.SZ,价值型,小盘,价值型,小盘,均衡-价值型,中盘,价值型,小盘,均衡-价值型,大盘,均衡-价值型,大盘,风格轮动基金
426,001371.OF,价值型,中盘,价值型,中盘,价值型,中盘,价值型,中盘,价值型,大盘,价值型,中盘,风格轮动基金
427,001074.OF,价值型,大盘,价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,价值型,大盘,价值型,大盘,稳定大盘
