,Unnamed: 0,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_fund_manager_his_fund,ths_isindexfund_fund,ths_invest_type_first_classi_fund,ths_invest_type_second_classi_fund,ths_fund_scale_fund,ths_found_years_fund,ths_org_investor_held_ratio_fund,ths_stock_mv_to_fanv_fund,行业标签,风格标签,大小盘标签,共振因子标签,集中度标签,3年滚动累计超额收益率均值,3年滚动超额夏普比例,3年滚动累计超额收益率均值排名,3年滚动超额夏普比例排名,总得分
125,120,004683.OF,建信高端医疗股票A,潘龙玲,潘龙玲(20170718-至今),否,股票型基金,普通股票型基金,231473301.24,5.9534246575342,11.06,83.987870197611,稳定医药行业基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金,0.06294682298420844,0.005474507684629731,253.0,241.0,247.0
126,309,005244.OF,国泰聚优价值灵活配置混合A,程洲,程洲(20171115-至今),否,混合型基金,灵活配置型基金,431693581.31,5.6246575342466,26.5,91.267945099119,稳定行业均衡基金,风格轮动基金,稳定小盘,轮动基金,轮动基金,0.055061491193212436,0.0066805352398066654,244.0,250.0,247.0
127,156,163406.SZ,兴全合润混合,"谢治宇,叶峰",张惠萍(20100422-20130207) 王海涛(20100525-20120221) 谢治宇(20130129-至今) 叶峰(20230104-至今),否,混合型基金,偏股混合型基金,26596647090.02,13.197260273973,3.01,93.462440842355,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低,0.05599818830738905,0.005942343727453371,245.0,246.0,245.5
128,20,750001.OF,安信灵活配置混合,张竞,陈振宇(20120620-20140115) 黄立华(20140115-20151201) 占冠良(20151201-20180115) 张竞(20171229-至今),否,混合型基金,灵活配置型基金,2164293693.82,11.032876712329,62.02,79.310439454746,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金,0.03766575581967578,0.007722851848020729,232.0,257.0,244.5
129,319,040005.OF,华安宏利混合A,王春,尚志民(20060906-20150217) 陈俏宇(20070314-20080213) 汪光成(20080213-20090327) 陈逊(20120530-20140423) 翁启森(20140318-20160921) 施卫平(20140430-20150626) 王春(20151028-至今),否,混合型基金,偏股混合型基金,2397224288.22,16.824657534247,3.51,74.124846028985,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金,0.04896138636127419,0.006559625442526975,241.0,248.0,244.5
130,229,001222.OF,鹏华外延成长混合,陈璇淼,张卓(20150519-20170318) 陈璇淼(20160329-至今),否,混合型基金,灵活配置型基金,1269893586.05,8.1205479452055,4.17,76.396840418548,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,轮动基金,0.05919061914804845,0.0053217754730521625,248.0,239.0,243.5
131,290,003715.OF,宝盈消费主题混合,杨思亮,段鹏程(20170104-20181124) 杨思亮(20181025-至今),否,混合型基金,灵活配置型基金,357985703.5,6.4876712328767,53.72,74.509534303232,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定高,0.040976672863801814,0.007173124339829336,235.0,252.0,243.5
132,84,001528.OF,诺安先进制造股票A,韩冬燕,刘魁(20150821-20151121) 韩冬燕(20151105-至今),否,股票型基金,普通股票型基金,312041026.96,7.8630136986301,38.6,89.933984689127,稳定行业均衡基金,稳定价值型,风格轮动基金,轮动基金,轮动基金,0.048332297911981056,0.005552233619079458,240.0,243.0,241.5
133,221,001102.OF,前海开源国家比较优势混合A,曲扬,曲扬(20150508-至今),否,混合型基金,灵活配置型基金,4337796806.68,8.1506849315068,1.23,90.503719361273,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定高,0.056968872346303046,0.00499213579678509,246.0,237.0,241.5
134,55,001028.OF,华安物联网主题股票A,翁启森,翁启森(20150317-至今),否,股票型基金,普通股票型基金,302507650.55,8.2931506849315,,93.9311348281,稳定行业均衡基金,风格轮动基金,稳定中盘,轮动基金,稳定低,0.0542698565536386,0.005458170551790573,243.0,240.0,241.5
135,205,000747.OF,广发逆向策略混合A,程琨,程琨(20140904-至今),否,混合型基金,灵活配置型基金,133675411.96,8.8246575342466,12.73,94.657461501945,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定高,0.043054928044624144,0.006492673573294028,236.0,247.0,241.5
136,301,004871.OF,中银金融地产混合A,刘腾,刘腾(20170928-至今),否,混合型基金,偏股混合型基金,139106495.91,5.7561643835616,0.0276,92.495724021777,稳定金融地产行业基金,稳定价值型,稳定大盘,稳定中立基金,轮动基金,0.04920150992387301,0.004742965613839113,242.0,236.0,239.0
137,224,001125.OF,博时互联网主题灵活配置混合,郭晓林,招扬(20150428-20180319) 张雪川(20150428-20160607) 郭晓林(20160720-至今) 肖瑞瑾(20170105-20190621),否,混合型基金,灵活配置型基金,414593847.42,8.1780821917808,0.0,78.860328913368,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金,0.048264892849768204,0.005289646186099706,238.0,238.0,238.0
138,178,000083.OF,汇添富消费行业混合,胡昕炜,朱晓亮(20130503-20160408) 胡昕炜(20160408-至今),否,混合型基金,偏股混合型基金,15576903099.03,10.164383561644,2.3,84.982853923476,稳定消费行业基金,风格轮动基金,稳定大盘,稳定共振基金,稳定高,0.0483201544985532,0.004329089381550038,239.0,233.0,236.0
139,123,005268.OF,鹏华优势企业,陈璇淼,陈璇淼(20171129-至今) 蒋鑫(20171222-20181117),否,股票型基金,普通股票型基金,408027630.19,5.586301369863,1.9,80.175114221473,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定中,0.04429133044884509,0.0041271979419548535,237.0,232.0,234.5
140,415,270050.OF,广发新经济混合A,邱璟旻,刘明月(20130206-20141224) 李险峰(20141224-20170301) 邱璟旻(20170301-至今),否,混合型基金,偏股混合型基金,1013100090.38,10.4,0.67,85.685680300278,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定高,0.04042902629277843,0.004700635337809317,234.0,235.0,234.5
141,391,233006.OF,大摩领先优势混合,何晓春,项志群(20090922-20100911) 陈晓(20100910-20110919) 徐强(20110919-20120428) 刘红(20120308-20130420) 钱斌(20121215-20140829) 王增财(20140809-20170125) 徐达(20170121-20190917) 何晓春(20190916-至今),否,混合型基金,偏股混合型基金,363529711.73,13.778082191781,0.34,94.456934522874,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定独立基金,稳定高,0.031885920665845044,0.0045384661228589016,230.0,234.0,232.0
142,52,000996.OF,中银新动力股票A,王伟然,史彬(20150213-20180503) 吴印(20180503-20231024) 王伟然(20231024-至今),否,股票型基金,普通股票型基金,738298674.77,8.3808219178082,0.1066,92.435292020624,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定高,0.03305196129619893,0.003986169178602584,231.0,230.0,230.5
143,440,410003.OF,华富成长趋势混合,陈启明,赵密(20070319-20070719) 林树财(20070403-20070512) 沈雪峰(20070512-20080517) 吴圣涛(20080308-20090918) 陈德义(20090908-20130116) 龚炜(20121221-20190717) 王光力(20131018-20150511) 王翔(20150511-20170314) 陈启明(20170314-至今),否,混合型基金,偏股混合型基金,1069056282.34,16.293150684932,56.89,92.526480316348,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定中立基金,轮动基金,0.029802448713154475,0.004125387377869452,229.0,231.0,230.0
144,41,000831.OF,工银医疗保健股票,"丁洋,赵蓓",宋炳珅(20141118-20180828) 赵蓓(20141118-至今) 谭冬寒(20160902-20220614) 丁洋(20230505-至今),否,股票型基金,普通股票型基金,4632771547.98,8.6191780821918,19.04,89.374801201138,稳定医药行业基金,风格轮动基金,风格轮动基金,轮动基金,稳定高,0.03922252791596509,0.0034205975205476424,233.0,226.0,229.5
145,166,168101.SZ,九泰锐智事件驱动混合(LOF),刘开运,刘开运(20150814-至今),否,混合型基金,灵活配置型基金,52887055.99,7.8821917808219,34.29,87.068626562815,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定中立基金,稳定高,0.025728724982889653,0.00397758862514497,227.0,229.0,228.0
146,359,163411.OF,兴全精选混合,陈宇,陈宇(20170906-至今),否,混合型基金,偏股混合型基金,3218044735.69,5.8164383561644,3.07,86.030090658028,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低,0.02613148372233104,0.002819923622557267,228.0,223.0,225.5
147,273,002624.OF,广发优企精选混合A,程琨,傅友兴(20160804-20200713) 程琨(20190507-至今),否,混合型基金,灵活配置型基金,1761607339.36,6.9068493150685,37.43,94.674418358573,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定高,0.020689135619271354,0.003969287909061311,222.0,228.0,225.0
148,12,660012.OF,农银消费主题混合A,徐文卉,付娟(20120424-20191108) 曹剑飞(20120424-20130624) 徐文卉(20170516-至今),否,混合型基金,偏股混合型基金,565018231.16,11.18904109589,0.76,75.107662233969,稳定消费行业基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金,0.02450611977891702,0.003117050545442591,225.0,225.0,225.0
149,441,410007.OF,华富价值增长混合,陈启明,季雷(20090715-20110125) 韩玮(20090804-20110124) 郭锋(20101227-20121219) 郭晨(20121219-20141009) 陈启明(20140926-至今),否,混合型基金,灵活配置型基金,961719527.45,13.967123287671,83.18,79.196933557076,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定中立基金,轮动基金,0.02135087469808508,0.003610199230093501,223.0,227.0,225.0
150,452,470008.OF,汇添富策略回报混合,顾耀强,顾耀强(20091222-至今),否,混合型基金,偏股混合型基金,949673291.94,13.528767123288,0.17,93.315612601854,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金,0.024710077466938637,0.00238894209600031,226.0,221.0,223.5
151,474,519035.OF,富国天博创新混合,毕天宇,毕天宇(20070427-至今),否,混合型基金,偏股混合型基金,2104756558.14,16.186301369863,12.73,92.18058384693,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金,0.022568142332892713,0.0026789633000702225,224.0,222.0,223.0
152,499,519727.OF,交银成长30混合,郭斐,管华雨(20130605-20141022) 王少成(20130702-20190618) 郭斐(20170926-至今),否,混合型基金,偏股混合型基金,1047558767.46,10.07397260274,0.01,71.322353421908,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定高,0.020005858932656495,0.002828611483345534,221.0,224.0,222.5
153,71,001230.OF,鹏华医药科技A,金笑非,梁冬冬(20150602-20160624) 梁浩(20160624-20170729) 金笑非(20160624-至今),否,股票型基金,普通股票型基金,3000780569.25,8.0821917808219,48.6,91.984093038831,稳定医药行业基金,风格轮动基金,风格轮动基金,稳定独立基金,轮动基金,0.019600253019974284,0.002125009605565155,220.0,220.0,220.0
154,130,376510.OF,摩根大盘蓝筹股票A,朱晓龙,罗建辉(20101220-20130821) 征茂平(20130722-20190719) 朱晓龙(20190719-至今),否,股票型基金,普通股票型基金,219620904.74,12.534246575342,0.11,93.696735878606,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低,0.01167815758391215,0.001996862296904532,219.0,219.0,219.0
155,193,000480.OF,东方红新动力混合A,周云,杨达治(20140128-20151209) 周云(20150914-至今) 孙伟(20160122-20170412),否,混合型基金,灵活配置型基金,1585196392.19,9.4246575342466,3.46,78.390769688478,稳定行业均衡基金,稳定价值型,风格轮动基金,稳定中立基金,轮动基金,0.010857552152372399,0.001876718207599519,218.0,218.0,218.0
