,thscode,ths_fund_supervisor_fund,ths_mergesize_fund
0,460008.OF,华泰柏瑞基金,2074752678.87
1,485022.OF,工银瑞信,6842283549.72
2,485105.OF,工银瑞信,887249211.55
3,485107.OF,工银瑞信,1523168896.96
4,485120.OF,工银瑞信,246380226.02
5,519137.OF,海富通基金,3011669514.71
6,519138.OF,海富通基金,1241186847.69
7,519225.OF,海富通基金,465297064.52
8,519322.OF,浦银安盛基金,9948260355.33
9,519324.OF,浦银安盛基金,340743176.08
10,519328.OF,浦银安盛基金,1025236445.22
11,519330.OF,浦银安盛基金,2017834052.61
12,519332.OF,浦银安盛基金,9476131510.29
13,519334.OF,浦银安盛基金,344689716.69
14,519680.OF,交银施罗德,3274486697.83
15,519718.OF,交银施罗德,7070304781.73
16,519743.OF,交银施罗德,3745638070.84
17,519746.OF,交银施罗德,1795417861.05
18,519762.OF,交银施罗德,530400775.6
19,519776.OF,交银施罗德,559737581.51
20,519782.OF,交银施罗德,12057234188.56
21,519784.OF,交银施罗德,1787298024.71
22,530021.OF,建信基金,5938213044.55
23,530029.OF,建信基金,8362504448.26
24,531028.OF,建信基金,15180270305.48
25,650001.OF,英大基金,447224139.06
26,675041.OF,西部利得基金,3809803567.6
27,960040.OF,南方基金,
28,970096.OF,东证融汇,3165785412.0
29,970098.OF,东证融汇,3690946878.08
30,970132.OF,东证融汇,1210427402.05
31,H000355.OF,南方基金,
32,H202108.OF,南方基金,
33,H217003.OF,招商基金,
34,160128.SZ,南方基金,310773371.61
35,160515.SZ,博时基金,445298134.35
36,160618.SZ,鹏华基金,1051805240.93
37,161014.SZ,富国基金,1263596202.76
38,161019.SZ,富国基金,2753850048.98
39,161115.SZ,易方达基金,8157771134.91
40,161117.SZ,易方达基金,1693087875.67
41,162715.SZ,广发基金,940378217.38
42,164703.SZ,汇添富基金,1603956790.37
43,000005.OF,嘉实基金,132422932.08
44,000032.OF,易方达基金,13412831973.13
45,000037.OF,广发基金,5219619447.15
46,000053.OF,鹏华基金,807725380.48
47,000084.OF,博时基金,8019771056.48
48,000090.OF,民生加银基金,1374178919.6
49,000111.OF,易方达基金,3341641644.5
50,000116.OF,嘉实基金,312731327.66
51,000137.OF,民生加银基金,1630876327.51
52,000139.OF,富国基金,10214265270.56
53,000147.OF,易方达基金,412486229.19
54,000183.OF,嘉实基金,2294931065.19
55,000186.OF,华泰柏瑞基金,10238578395.41
56,000187.OF,华泰柏瑞基金,5528252569.32
57,000191.OF,富国基金,16091672011.84
58,000205.OF,易方达基金,5783450794.48
59,000207.OF,建信基金,1404923927.69
60,000244.OF,天弘基金,67371961.45
61,000252.OF,景顺长城基金,214369856.62
62,000254.OF,长城基金,148643072.39
63,000265.OF,易方达基金,2504301442.13
64,000295.OF,鹏华基金,48456593.29
65,000345.OF,鹏华基金,879543153.62
66,000346.OF,建信基金,90541081.16
67,000355.OF,南方基金,531707949.49
68,000402.OF,工银瑞信,10024243640.64
69,000469.OF,富国基金,1220254742.41
70,000516.OF,富国基金,3421344359.24
71,000546.OF,兴业基金,2639742228.5
72,000552.OF,中加基金,1042639839.68
73,000606.OF,天弘基金,4917746675.26
74,000783.OF,博时基金,9797546554.03
75,000799.OF,民生加银基金,7728741517.34
76,000815.OF,鑫元基金,379819425.62
77,000914.OF,中加基金,8222815895.62
78,000931.OF,国寿安保基金,701050500.38
79,000943.OF,工银瑞信,347210460.17
80,001246.OF,兴银基金,5038309478.7
81,001299.OF,兴业基金,7347744260.56
82,001368.OF,兴业基金,5058272705.83
83,001369.OF,兴业基金,7984165430.39
84,001545.OF,博时基金,1375235559.59
85,001578.OF,博时基金,7089056626.78
86,001619.OF,兴银基金,1976433859.29
87,001783.OF,兴银基金,4952102815.48
88,001785.OF,民生加银基金,1630876327.51
89,001819.OF,兴证全球基金,9947477981.89
90,001911.OF,博时基金,2598798222.45
91,001960.OF,兴银基金,3609553706.33
92,001961.OF,博时基金,3629662423.96
93,001993.OF,博时基金,1390166203.93
94,002109.OF,博时基金,1011619213.34
95,002140.OF,博时基金,1092721761.83
96,002143.OF,博时基金,986748437.68
97,002169.OF,永赢基金,3147385350.67
98,002175.OF,博时基金,99624614.74
99,002188.OF,鹏华基金,7184371047.24
100,002198.OF,博时基金,1323403020.45
101,002206.OF,博时基金,495681872.14
102,002268.OF,兴业基金,4355233688.57
103,002301.OF,兴业基金,4514401281.98
104,002336.OF,创金合信基金,1078481343.99
105,002341.OF,招商基金,1514881590.45
106,002354.OF,博时基金,426043305.73
107,002377.OF,建信基金,250857196.49
108,002395.OF,鹏华基金,2671557904.27
109,002438.OF,创金合信基金,1028402293.35
110,002445.OF,兴业基金,4365553641.76
111,002447.OF,博时基金,952074048.59
112,002466.OF,博时基金,3610282247.11
113,002483.OF,富国基金,203370458.21
114,002524.OF,兴业基金,214397098.49
115,002548.OF,嘉实基金,1444137648.51
116,002549.OF,嘉实基金,9129216136.97
117,002550.OF,嘉实基金,1043638943.36
118,002552.OF,华夏基金,2944341198.6
119,002568.OF,博时基金,997236338.16
120,002578.OF,博时基金,5279051183.12
121,002600.OF,易方达基金,2204462945.05
122,002603.OF,工银瑞信,14770496117.23
123,002625.OF,博时基金,300115952.42
124,002638.OF,兴业基金,12518281539.71
125,002698.OF,博时基金,6038333608.06
126,002716.OF,博时基金,609094189.73
127,002750.OF,工银瑞信,15380891742.49
128,002754.OF,博时基金,1057491465.33
129,002755.OF,博时基金,482480842.3
130,002781.OF,博时基金,5170691237.1
131,002832.OF,工银瑞信,1396452385.04
132,002864.OF,广发基金,1411963757.75
133,002868.OF,鹏华基金,1057154955.67
134,002898.OF,富国基金,23991858804.86
135,002904.OF,博时基金,3096365257.13
136,002927.OF,长盛基金,2078812556.88
137,002929.OF,博时基金,1291394820.17
138,002930.OF,博时基金,213655797.64
139,002970.OF,博时基金,440224834.54
140,002985.OF,中银基金,55738570.27
141,002991.OF,嘉实基金,2849602440.69
142,002994.OF,招商基金,56078739.27
143,003039.OF,广发基金,993212358.75
144,003056.OF,嘉实基金,1771140643.64
145,003102.OF,长盛基金,1764643260.23
146,003155.OF,中加基金,1984893414.71
147,003162.OF,博时基金,3023299757.24
148,003188.OF,博时基金,10512717961.52
149,003192.OF,创金合信基金,935735092.51
150,003193.OF,创金合信基金,207682225.9
151,003209.OF,鹏华基金,1052012214.81
152,003213.OF,中银基金,21365205217.94
153,003214.OF,易方达基金,2267865219.09
154,003223.OF,广发基金,8201564673.36
155,003258.OF,博时基金,2192224514.03
156,003260.OF,博时基金,274217832.24
157,003265.OF,招商基金,2208998347.5
158,003268.OF,博时基金,1505630551.99
159,003269.OF,招商基金,3606138788.31
160,003280.OF,鹏华基金,8973494300.63
161,003285.OF,国寿安保基金,12911457267.9
162,003289.OF,创金合信基金,1021682459.17
163,003290.OF,长城基金,787106410.94
164,003309.OF,兴业基金,780197098.98
165,003313.OF,中银基金,24810556316.79
166,003315.OF,景顺长城基金,3489749479.54
167,003327.OF,万家基金,13920204486.67
168,003329.OF,万家基金,1930039850.65
169,003417.OF,中加基金,896201603.89
170,003428.OF,中加基金,2104792264.59
171,003445.OF,中加基金,6165346283.020001
172,003452.OF,招商基金,6593146304.34
173,003454.OF,招商基金,2214828213.24
174,003528.OF,汇添富基金,15160951194.31
175,003547.OF,鹏华基金,4012546125.05
176,003571.OF,招商基金,7871008473.16
177,003590.OF,建信基金,7160227748.22
178,003605.OF,景顺长城基金,5165457179.19
179,003607.OF,博时基金,1994438941.36
180,003640.OF,兴业基金,2408618417.81
181,003651.OF,博时基金,1470151199.47
182,003660.OF,中加基金,768919686.47
183,003662.OF,鹏华基金,3714296043.04
184,003671.OF,兴业基金,1739313954.71
185,003673.OF,中加基金,1927021119.51
186,003703.OF,博时基金,792342766.97
187,003730.OF,博时基金,1061233122.51
188,003746.OF,广发基金,7369176496.54
189,003770.OF,中银基金,5525922347.84
190,003809.OF,招商基金,1642613350.66
191,003832.OF,中银基金,17047829483.31
192,003847.OF,华安基金,2638468337.68
193,003859.OF,招商基金,5471441371.46
194,003863.OF,招商基金,6250095265.63
195,003869.OF,长信基金,4656200833.49
196,003880.OF,嘉实基金,2995161123.0
197,003929.OF,中银证券,33793734908.03
198,003949.OF,兴证全球基金,18055794662.59
199,003983.OF,鹏华基金,1615133895.88
200,004020.OF,广发基金,2277182912.61
201,004027.OF,广发基金,3009798001.08
202,004030.OF,嘉实基金,1040702403.23
203,004031.OF,鑫元基金,1448774281.4
204,004032.OF,工银瑞信,7703461164.87
205,004042.OF,华夏基金,8682589693.73
206,004052.OF,华夏基金,4710433516.21
207,004061.OF,华夏基金,997964811.81
208,004118.OF,博时基金,1125243861.57
209,004122.OF,兴银基金,3015651306.93
210,004126.OF,浦银安盛基金,885467044.24
211,004127.OF,鹏华基金,2828803726.01
212,004136.OF,博时基金,823065229.04
213,004140.OF,兴业基金,5930447850.61
214,004141.OF,兴业基金,2540817123.82
215,004200.OF,博时基金,11867372135.82
216,004230.OF,永赢基金,5284602847.72
217,004238.OF,永赢基金,1798824735.27
218,004307.OF,博时基金,3463412340.4
219,004322.OF,创金合信基金,493728194.15
220,004334.OF,博时基金,5996509870.84
221,004366.OF,博时基金,1084951986.54
222,004388.OF,鹏华基金,7834121952.19
223,004438.OF,鹏华基金,360688628.68
224,004459.OF,鑫元基金,1023181782.1
225,004479.OF,博时基金,1930178142.36
226,004498.OF,鹏华基金,1997326928.91
227,004499.OF,鹏华基金,1922056026.61
228,004503.OF,鹏华基金,675207158.32
229,004504.OF,鹏华基金,414982641.58
230,004544.OF,嘉实基金,1836366128.19
231,004547.OF,华夏基金,276423598.19
232,004555.OF,南方基金,4535584011.44
233,004601.OF,博时基金,527672441.46
234,004614.OF,鹏扬基金,7968427320.89
235,004637.OF,华夏基金,1006575065.98
236,004639.OF,华夏基金,2230066929.28
237,004655.OF,汇添富基金,1409229777.28
238,004672.OF,华夏基金,14008322675.79
239,004689.OF,博时基金,492254614.4
240,004705.OF,南方基金,3431636254.47
241,004722.OF,中银基金,48486790862.2
242,004728.OF,中欧基金,656471771.11
243,004736.OF,富国基金,992713958.44
244,004797.OF,国寿安保基金,5334033678.770001
245,004821.OF,国寿安保基金,5306510922.48
246,004839.OF,银华基金,2482777489.8
247,004859.OF,泰康基金,6206234619.51
248,004882.OF,中银基金,7992849157.73
249,004887.OF,长信基金,1073552162.75
250,004899.OF,中银基金,1026944777.31
251,004910.OF,中加基金,2587560182.83
252,004911.OF,中加基金,8805963348.83
253,004919.OF,兴证全球基金,4998993216.01
254,004920.OF,富国基金,6868755684.97
255,004923.OF,华夏基金,2023750695.85
256,004940.OF,中加基金,244847662.11
257,004954.OF,中银证券,1033073368.75
258,004956.OF,中银证券,31259185.54
259,004978.OF,富国基金,4508380964.98
260,005024.OF,南方基金,2020988522.69
261,005072.OF,中银基金,601583618.62
262,005073.OF,永赢基金,2006221904.76
263,005099.OF,易方达基金,185931730.39
264,005124.OF,易方达基金,4046109612.12
265,005171.OF,富国基金,1092247358.09
266,005200.OF,浦银安盛基金,1018626005.94
267,005307.OF,财通证券资管,6509183751.520001
268,005309.OF,中银证券,42651419428.36
269,005321.OF,中银证券,11826752358.0
270,005322.OF,中银基金,3118342441.04
271,005336.OF,中加基金,7172509025.08
272,005362.OF,中银证券,1099448923.07
273,005364.OF,华夏基金,4853597277.01
274,005369.OF,富国基金,4005583564.11
275,005383.OF,富国基金,250785353.4
276,005388.OF,兴业基金,2964187039.81
277,005393.OF,南方基金,8118274253.74
278,005398.OF,鹏扬基金,1272436938.08
279,005419.OF,中欧基金,630631419.61
280,005432.OF,上银基金,2490390503.18
281,005435.OF,国投瑞银基金,2353732626.39
282,005439.OF,易方达基金,998646443.73
283,005442.OF,兴业基金,4910575754.17
284,005462.OF,博时基金,1987023048.38
285,005469.OF,南方基金,2579111219.47
286,005525.OF,工银瑞信,5047967003.770001
287,005531.OF,华安基金,1818791349.34
288,005577.OF,交银施罗德,5891449734.54
289,005590.OF,汇添富基金,5743986897.04
290,005594.OF,招商基金,5061364687.61
291,005606.OF,招商基金,1003628057.52
292,005622.OF,博时基金,5130954747.28
293,005631.OF,博时基金,8223438276.34
294,005648.OF,招商基金,2225777796.85
295,005666.OF,上银基金,8130039517.04
296,005670.OF,嘉实基金,3408913740.55
297,005684.OF,财通证券资管,2338349702.86
298,005703.OF,永赢基金,5026691891.79
299,005705.OF,永赢基金,8246607147.68
300,005709.OF,华安基金,3667286477.98
301,005710.OF,兴业基金,1996229463.55
302,005712.OF,兴证全球基金,9838495630.16
303,005718.OF,长信基金,10038464152.8
304,005719.OF,招商基金,1789188984.79
305,005736.OF,中欧基金,2900254348.34
306,005740.OF,易方达基金,7681358970.91
307,005754.OF,平安基金,4986804405.98
308,005772.OF,工银瑞信,14038469447.6
309,005781.OF,华富基金,4999280390.26
310,005782.OF,创金合信基金,498690211.02
311,005784.OF,创金合信基金,297522986.47
312,005791.OF,华夏基金,1997381943.26
313,005816.OF,国泰基金,216629142.06
314,005820.OF,博时基金,3132410527.29
315,005831.OF,鹏华基金,3445076910.44
316,005836.OF,创金合信基金,530248190.95
317,005841.OF,富国基金,6995944905.91
318,005842.OF,海富通基金,519356956.79
319,005845.OF,长城基金,2992633297.85
320,005853.OF,财通基金,533182621.12
321,005854.OF,财通基金,489109555.16
322,005862.OF,华夏基金,4008024937.94
323,005864.OF,国投瑞银基金,2300579183.96
324,005871.OF,天弘基金,4978084166.28
325,005879.OF,中加基金,2004980285.4
326,005897.OF,平安基金,3491010075.26
327,005898.OF,浦银安盛基金,1816409605.89
328,005920.OF,富国基金,962091845.4
329,005921.OF,农银汇理基金,5245143072.68
330,005971.OF,平安基金,730535922.45
331,005972.OF,交银施罗德,980581045.34
332,005988.OF,兴业基金,1006772484.91
333,006029.OF,鹏华基金,4132981196.35
334,006032.OF,创金合信基金,339109065.49
335,006043.OF,永赢基金,3221946347.49
