,thscode,ths_fund_supervisor_fund,ths_mergesize_fund
0,460008.OF,华泰柏瑞基金,2288369052.09
1,485022.OF,工银瑞信,1022125539.66
2,485105.OF,工银瑞信,904107157.66
3,485107.OF,工银瑞信,713118633.29
4,485120.OF,工银瑞信,268442952.58
5,519137.OF,海富通基金,1681969233.12
6,519138.OF,海富通基金,961637738.29
7,519225.OF,海富通基金,519278093.52
8,519322.OF,浦银安盛基金,10084546720.17
9,519324.OF,浦银安盛基金,337033945.37
10,519328.OF,浦银安盛基金,1006822906.2
11,519330.OF,浦银安盛基金,2902288568.6
12,519332.OF,浦银安盛基金,10052138569.91
13,519334.OF,浦银安盛基金,2888901639.8
14,519680.OF,交银施罗德,4922533817.67
15,519718.OF,交银施罗德,16747233384.07
16,519743.OF,交银施罗德,5860998007.45
17,519746.OF,交银施罗德,2446192681.94
18,519762.OF,交银施罗德,503459614.18
19,519776.OF,交银施罗德,554107548.96
20,519782.OF,交银施罗德,17705784977.17
21,519784.OF,交银施罗德,1782157765.27
22,530021.OF,建信基金,9231686699.39
23,530029.OF,建信基金,8461746815.51
24,531028.OF,建信基金,14571991027.63
25,650001.OF,英大基金,2566429542.3
26,675041.OF,西部利得基金,3829288133.25
27,960040.OF,南方基金,
28,970096.OF,东证融汇,1076053900.46
29,970098.OF,东证融汇,763740410.53
30,970132.OF,东证融汇,
31,H000355.OF,南方基金,
32,H202108.OF,南方基金,
33,H217003.OF,招商基金,
34,160128.SZ,南方基金,307681331.94
35,160515.SZ,博时基金,600044306.07
36,160618.SZ,鹏华基金,777746924.13
37,161014.SZ,富国基金,1253962104.11
38,161019.SZ,富国基金,2956574615.42
39,161115.SZ,易方达基金,4866601588.14
40,161117.SZ,易方达基金,2120763807.88
41,162715.SZ,广发基金,424667396.06
42,164703.SZ,汇添富基金,1574519741.71
43,000005.OF,嘉实基金,122418764.13
44,000032.OF,易方达基金,19914615585.68
45,000037.OF,广发基金,3665724808.16
46,000053.OF,鹏华基金,812728653.0
47,000084.OF,博时基金,12670658933.86
48,000090.OF,民生加银基金,1534014266.05
49,000111.OF,易方达基金,3160875186.96
50,000116.OF,嘉实基金,626889367.68
51,000137.OF,民生加银基金,1662021792.1
52,000139.OF,富国基金,10048190191.32
53,000147.OF,易方达基金,4550940227.09
54,000183.OF,嘉实基金,2332825196.94
55,000186.OF,华泰柏瑞基金,8518965093.86
56,000187.OF,华泰柏瑞基金,584378045.76
57,000191.OF,富国基金,22698344968.94
58,000205.OF,易方达基金,10606220612.35
59,000207.OF,建信基金,27819781.79
60,000244.OF,天弘基金,87192641.66
61,000252.OF,景顺长城基金,133903401.95
62,000254.OF,长城基金,153062830.5
63,000265.OF,易方达基金,2333049415.4
64,000295.OF,鹏华基金,50658597.18
65,000345.OF,鹏华基金,773253386.76
66,000346.OF,建信基金,50775909.87
67,000355.OF,南方基金,5611119246.82
68,000402.OF,工银瑞信,9456134525.29
69,000469.OF,富国基金,1197336625.59
70,000516.OF,富国基金,4630613225.28
71,000546.OF,兴业基金,1221122552.11
72,000552.OF,中加基金,518644390.84
73,000606.OF,天弘基金,7203634767.020001
74,000783.OF,博时基金,16492018200.44
75,000799.OF,民生加银基金,0.0
76,000815.OF,鑫元基金,382696702.03
77,000914.OF,中加基金,7336527466.38
78,000931.OF,国寿安保基金,673554768.26
79,000943.OF,工银瑞信,169042173.7
80,001246.OF,兴银基金,5118789664.69
81,001299.OF,兴业基金,7581396880.42
82,001368.OF,兴业基金,5038544925.64
83,001369.OF,兴业基金,8011693469.14
84,001545.OF,博时基金,2132041831.57
85,001578.OF,博时基金,340151104.64
86,001619.OF,兴银基金,1986068616.74
87,001783.OF,兴银基金,4999036454.62
88,001785.OF,民生加银基金,1662021792.1
89,001819.OF,兴证全球基金,10097557832.5
90,001911.OF,博时基金,2669446855.66
91,001960.OF,兴银基金,3632468922.7
92,001961.OF,博时基金,3580187462.03
93,001993.OF,博时基金,1282411528.21
94,002109.OF,博时基金,51043093.46
95,002140.OF,博时基金,1075685236.63
96,002143.OF,博时基金,971880095.44
97,002169.OF,永赢基金,5611734100.770001
98,002175.OF,博时基金,896236086.48
99,002188.OF,鹏华基金,6524676251.3
100,002198.OF,博时基金,1627538785.53
101,002206.OF,博时基金,706961964.82
102,002268.OF,兴业基金,4364789192.76
103,002301.OF,兴业基金,4617509469.09
104,002336.OF,创金合信基金,1190136287.36
105,002341.OF,招商基金,1489309730.49
106,002354.OF,博时基金,437925107.17
107,002377.OF,建信基金,2459184088.68
108,002395.OF,鹏华基金,56066275.22
109,002438.OF,创金合信基金,1007741832.35
110,002445.OF,兴业基金,4417018730.64
111,002447.OF,博时基金,990553728.55
112,002466.OF,博时基金,4211607249.53
113,002483.OF,富国基金,423553775.41
114,002524.OF,兴业基金,255157689.27
