,thscode,ths_fund_supervisor_fund,ths_mergesize_fund
0,460008.OF,华泰柏瑞基金,2024333580.44
1,485022.OF,工银瑞信,6805084071.24
2,485105.OF,工银瑞信,852244655.23
3,485107.OF,工银瑞信,2436796030.14
4,485120.OF,工银瑞信,233068326.8
5,519137.OF,海富通基金,3974017749.46
6,519138.OF,海富通基金,1274385266.51
7,519225.OF,海富通基金,412517911.92
8,519322.OF,浦银安盛基金,10052999990.31
9,519324.OF,浦银安盛基金,347630735.64
10,519328.OF,浦银安盛基金,1036786664.02
11,519330.OF,浦银安盛基金,1705817746.95
12,519332.OF,浦银安盛基金,9502038173.51
13,519334.OF,浦银安盛基金,1328241064.23
14,519680.OF,交银施罗德,2749716961.99
15,519718.OF,交银施罗德,5667015184.93
16,519743.OF,交银施罗德,5494369730.79
17,519746.OF,交银施罗德,1852270088.45
18,519762.OF,交银施罗德,653070619.1
19,519776.OF,交银施罗德,9062519035.32
20,519782.OF,交银施罗德,14263070755.33
21,519784.OF,交银施罗德,1815055127.69
22,530021.OF,建信基金,8817650175.28
23,530029.OF,建信基金,8511282994.770001
24,531028.OF,建信基金,19934409386.8
25,650001.OF,英大基金,486167478.04
26,675041.OF,西部利得基金,3496499419.91
27,960040.OF,南方基金,
28,970096.OF,东证融汇,13814445985.13
29,970098.OF,东证融汇,10574052547.91
30,970132.OF,东证融汇,2634814198.25
31,H000355.OF,南方基金,
32,H202108.OF,南方基金,
33,H217003.OF,招商基金,
34,160128.SZ,南方基金,321560691.95
35,160515.SZ,博时基金,455014395.25
36,160618.SZ,鹏华基金,1420249132.36
37,161014.SZ,富国基金,1301474556.61
38,161019.SZ,富国基金,2759163077.72
39,161115.SZ,易方达基金,7814961069.22
40,161117.SZ,易方达基金,1722648227.58
41,162715.SZ,广发基金,1424931930.49
42,164703.SZ,汇添富基金,1530020079.01
43,000005.OF,嘉实基金,240889487.74
44,000032.OF,易方达基金,10872700695.31
45,000037.OF,广发基金,7544181269.79
46,000053.OF,鹏华基金,755075043.66
47,000084.OF,博时基金,10290942347.83
